Sar-e Talkhak	id=g:1127046
Sar-e Tālah	id=g:1127047
Sar-e Tālah	id=g:1127048
Sar-e Tālah	id=g:1127049
Sar-e Takht	id=g:1127050
Sar-e Takht	id=g:1127051
Shār-e Takhārī	id=g:1127052
Sar-e Takhak	id=g:1127053
Sar-e Ţāhar	id=g:1127054
Sar Espī Ōbêh	id=g:1127055
Kōh-e Sar-e Surkhī	id=g:1127056
Sar-e Sorkh Āb	id=g:1127057
Sar-e Shōrāwak	id=g:1127058
Sar-e Sumūch	id=g:1127059
Sar-e Sīāh Rayg	id=g:1127060
Sar-e Sīāh Kōyak	id=g:1127061
Sar-e Shōrān	id=g:1127062
Sar-e Shōr	id=g:1127063
Sar-e Oshtur Murdah	id=g:1127064
Sar-e Shulān	id=g:1127065
Kōh-e Sar-e Shār	id=g:1127066
Sar-e Shār	id=g:1127067
Sar-e Shakarkī	id=g:1127068
Sar-e Shahr	id=g:1127069
Sar-e Saywak	id=g:1127070
Sar-e Serdāq	id=g:1127071
Sar-e Seh Bêrīk	id=g:1127072
Sar-e Safayd Kōtal	id=g:1127073
Sar-e Saysalī	id=g:1127074
Sar-e Sar Jangal	id=g:1127075
Sar Sarak Rēg	id=g:1127076
Sar Sarak Kêlay	id=g:1127077
Sar-e Sarāb	id=g:1127078
Sar-e Sang Āb	id=g:1127079
Kōh-e Sar-e Sang	id=g:1127080
Sar-e Sang	id=g:1127081
Sar-e Sang	id=g:1127082
Sar-e Sang	id=g:1127083
Sar-e Sang	id=g:1127084
Sar-e Sang	id=g:1127085
Sar-e Sang	id=g:1127086
Sar-e Sang	id=g:1127087
Sar-e Sang	id=g:1127088
Sar-e Rīg	id=g:1127089
Sar-e Rayg	id=g:1127090
Sar-e Rāst Kamān	id=g:1127091
Sar-e Rāqōl	id=g:1127092
Sar-e Rāmī	id=g:1127093
Sar-e Qutus	id=g:1127094
Sar-e Qurghān	id=g:1127095
Sar-e Qōmaghay	id=g:1127096
Sar-e Qōl Panjī	id=g:1127097
Sar-e Qōl	id=g:1127098
Sar-e Qōl	id=g:1127099
Sar-e Quriq Sāy	id=g:1127100
Sar-e Qādī	id=g:1127101
Sar-e Qarah Bāgh	id=g:1127102
Sar-e Qal‘ahchah	id=g:1127103
Sar-e Qāl	id=g:1127104
Sar-e Pōzah	id=g:1127105
Velāyat-e Sar-e Pol	id=g:1127106
Daryā-ye Sar-e Pul	id=g:1127107
Sar-e Pul	id=g:1127108
Sar-e Pul	id=g:1127109
Sar-e Pol	id=g:1127110
Sar-e Pul	id=g:1127111
Sar-e Pol	id=g:1127112
Sar-e Pul	id=g:1127113
Sar-e Pol	id=g:1127114
Sar-e Pīādah Rāh	id=g:1127115
Sar-e Pastalak	id=g:1127116
Sar-e Parparī	id=g:1127117
Sar-e Pal	id=g:1127118
Sar-e Pal	id=g:1127119
Sari-Oshan	id=g:1127120
Sar-e Āwpōsh	id=g:1127121
Sar-e ‘Ulūm	id=g:1127122
Sar-e ‘Ulūm	id=g:1127123
Sar-e ‘Ulyād	id=g:1127124
Sar-e Obōtū	id=g:1127125
Sar-e Ubūtū	id=g:1127126
Sar-e Nāw Bayd	id=g:1127127
Sar-e Namak	id=g:1127128
Sar-e Mundah Wuliyād	id=g:1127129
Sar-e Marghī	id=g:1127130
Sar-e Mīr Ghulām	id=g:1127131
Sar-e Mīān Qōl	id=g:1127132
Sar-e Meydān	id=g:1127133
Sar-e Maynagiqul	id=g:1127134
Sar-e Masjed	id=g:1127135
Sar-e Maqşūd	id=g:1127136
Sar-e Māqōlak	id=g:1127137
Sar-e Mang	id=g:1127138
Sar-e Mang	id=g:1127139
Sar-e Manā	id=g:1127140
Sar-e Malmenj	id=g:1127141
Sari-Luman	id=g:1127142
Sar-e Lisak	id=g:1127143
Kōh-e Sar-e Lāyah	id=g:1127144
Sar-e Lowrān	id=g:1127145
Sar-e Lashbah	id=g:1127146
Sar-e Lar	id=g:1127147
Sar-e Lar	id=g:1127148
Sar-e Langar	id=g:1127149
Sar-e Kōtal-e ‘Olyā	id=g:1127150
Sar-e Kōtal	id=g:1127151
Sar-e Kushk	id=g:1127152
Sar-e Kōryah	id=g:1127153
Sar-e Kōrgah	id=g:1127154
Sar-e Kunḏī	id=g:1127155
Sar-e Kundah-ye Pā’īn	id=g:1127156
Sar-e Kundah-ye Bālā	id=g:1127157
Sar-e Khōch	id=g:1127158
Sar-e Khār	id=g:1127159
Sar-e Kham	id=g:1127160
Sar-e Khāk Rayz	id=g:1127161
Sar-e Khāgak	id=g:1127162
Sar-e Kilagay	id=g:1127163
Sar-e Kaych	id=g:1127164
Sar-e Kawshaw	id=g:1127165
Sar-e Katah Dōlānah	id=g:1127166
Sar-e Kānsī	id=g:1127167
Sar-e Kang	id=g:1127168
Sar-e Kanak	id=g:1127169
Sar-e Kamar	id=g:1127170
Sari-Kalan	id=g:1127171
Sar-e Kajgīr	id=g:1127172
Sar-e Kaftar Khān	id=g:1127173
Sar-e Jōy	id=g:1127174
Sar-e Jelowgīrak	id=g:1127175
Sar-e Jay	id=g:1127177
Sar-e Jark	id=g:1127178
Sar-e Jar-e Shebartū	id=g:1127179
Sar-e Jar-e Qarghaliq	id=g:1127180
Sar-e Jar	id=g:1127181
Sar-e Jangal	id=g:1127182
Sar-e Jangal	id=g:1127183
Sar-e Jamāl	id=g:1127184
Gardanah-ye Sar-e Hōsh	id=g:1127185
Rūd-e Sar-e Ḩowẕ	id=g:1127186
Sar-e Ḩowẕ	id=g:1127187
Sar-e Ḩowẕ	id=g:1127188
Sar-e Ḩowẕ	id=g:1127189
Sar-e Ḩişār	id=g:1127190
Kōh-e Sar-e Helmand	id=g:1127191
Sar-e Gardam	id=g:1127192
Sar-e Gulkhār	id=g:1127193
Sar-e Gulbīnah	id=g:1127194
Sar-e Ghōlah Kadah	id=g:1127195
Sar-e Ghojūr	id=g:1127196
Sar-e Ghunḏêy	id=g:1127197
Sar-e Ghulāmak	id=g:1127198
Sar-e Ghar Gharah	id=g:1127199
Sar-e Ghargharah	id=g:1127200
Sar-e Ghargharow	id=g:1127201
Kōh-e Sar-e Ghār	id=g:1127202
Sar-e Ghalmīn	id=g:1127203
Sar-e Gow	id=g:1127204
Sar-e Gargarah	id=g:1127205
Sar-e Isfowr	id=g:1127206
Sar-e Daywālak	id=g:1127207
Sar-e Deh Gaz	id=g:1127208
Sar-e Deh	id=g:1127209
Sar-e Dasht-e Jāmē	id=g:1127210
Sar-e Dasht	id=g:1127211
Sar-e Dasht	id=g:1127212
Sar-e Dasht	id=g:1127213
Sar-e Dasht	id=g:1127214
Sar-e Chōqā	id=g:1127215
Sar-e Cheshmeh	id=g:1127216
Sar-e Cheshmeh	id=g:1127217
Sar-e Chaman	id=g:1127218
Sar-e Chahār Āsyā	id=g:1127219
Sar-e Chāh	id=g:1127220
Sar-e Chabal	id=g:1127221
Sar-e Chakah	id=g:1127222
Sar-e Būy	id=g:1127223
Sar-e Būm	id=g:1127224
Sar-e Būm	id=g:1127225
Sar-e Būm	id=g:1127226
Sar-e Būm	id=g:1127227
Sar-e Būm	id=g:1127228
Sar-e Būm	id=g:1127229
Sar-e Būm	id=g:1127230
Sar-e Būm	id=g:1127231
Sar-e Būm	id=g:1127232
Sar-e Būm	id=g:1127233
Sar-e Būm	id=g:1127234
Sar-e Būm	id=g:1127235
Sar-e Bōghundī	id=g:1127236
Sar-e Barghō Sang	id=g:1127237
Sar-e Būlāq	id=g:1127238
Sar-e Boghundī	id=g:1127239
Sar-e Boghundī	id=g:1127240
Sar-e Bayd	id=g:1127241
Sar-e Bayd	id=g:1127242
Sar-e Bayd	id=g:1127243
Sar-e Bayshah	id=g:1127244
Sar-e Bayrī	id=g:1127245
Kōh-e Sar-e Bayghamak	id=g:1127246
Sar-e Bāzār	id=g:1127247
Sar-e Bāz	id=g:1127248
Sar-e Bānū	id=g:1127249
Sar-e Band	id=g:1127250
Sar-e Band	id=g:1127251
Sar-e Band	id=g:1127252
Sar-e Band	id=g:1127253
Sar-e Bāgh	id=g:1127254
Sar-e Bāgh	id=g:1127255
Sar-e Bādah Sīāh	id=g:1127256
Bābur Darah	id=g:1127257
Sar-e Aygal	id=g:1127258
Sar-e Āw-e Anōy	id=g:1127259
