Happy Valley Gardens	id=g:7150656
North Green Valley	id=g:7150657
Green Valley	id=g:7150658
Faith Christian Academy	id=g:7150659
Hillcrest Heights	id=g:7150660
Lakeview	id=g:7150661
Apel-Bacher Park	id=g:7150662
Wheat Ridge Fire Department Station 1	id=g:7150663
Our Lady of the Rosary Academy	id=g:7150664
Mountain View City Hall	id=g:7150665
Highland Gardens	id=g:7150666
Wheat Ridge Library	id=g:7150667
Melrose	id=g:7150668
Wheat Ridge Fire Department Station 2	id=g:7150669
Louise Turner Park	id=g:7150670
Westhaven	id=g:7150671
Cressman Gulch Park	id=g:7150672
Mesa Meadows Park	id=g:7150673
Golden Fire Department Station 1	id=g:7150675
Vanover Park	id=g:7150676
Colorado Railroad Museum	id=g:7150677
Compass Montessori Secondary School	id=g:7150678
Youngfield Plaza Shopping Center	id=g:7150679
Applewood Village	id=g:7150680
Lewis Meadows Park	id=g:7150681
Fairmount Fire Protection District Station 1	id=g:7150682
Fairmount Fire Protection District Station 2	id=g:7150683
Candlelight	id=g:7150684
Meadow Lake	id=g:7150685
Tucker Lake Open Space Park	id=g:7150686
Eldorado Estates	id=g:7150687
Spring Mesa	id=g:7150688
Supreme Estates	id=g:7150689
Sherwood Farms	id=g:7150690
Northwood Acres	id=g:7150691
Meadow Wood Farms	id=g:7150692
Village of Five Parks	id=g:7150693
Cameo Estates	id=g:7150694
Ralston Valley Senior High School	id=g:7150695
Alkire Estates	id=g:7150696
Country View Estates	id=g:7150697
Mesa Heights	id=g:7150698
Van Arsdale Elementary School	id=g:7150699
Shadow Mountain Park	id=g:7150700
Maple Valley Park	id=g:7150701
Ralston Estates	id=g:7150702
Colorado Mills Mall Shopping Center	id=g:7150703
Blue Star Memorial Park	id=g:7150704
Estates Park	id=g:7150705
Gary McDonnell Park	id=g:7150706
Golden Heights Park	id=g:7150707
Heritage Dells Park	id=g:7150708
Loveland Trail Park	id=g:7150709
South Ridge Park	id=g:7150710
Tanglewood Sports Park	id=g:7150711
Trappers Glen Park	id=g:7150712
Ute Trail Park	id=g:7150713
Applewood Glen	id=g:7150714
College West Estates	id=g:7150715
Crestview Villa	id=g:7150716
Daniels Garden	id=g:7150717
Genesee Ridge	id=g:7150718
Golden Heights	id=g:7150719
Heritage Dells	id=g:7150720
Mountain Meadow Heights	id=g:7150721
Mountain View Estates	id=g:7150722
Panorama Heights	id=g:7150723
Rainbow Hills	id=g:7150724
Riva Chase	id=g:7150725
Spring Ranch	id=g:7150726
Vernon Gardens	id=g:7150727
Willow Brook	id=g:7150729
Belleview Acres Park	id=g:7150730
Bellevue Acres	id=g:7150731
Country West	id=g:7150732
West Meadows	id=g:7150733
Regis University-Broomfield	id=g:7150734
Quest Academy	id=g:7150735
Meritor Academy	id=g:7150736
Beautiful Savior Lutheran School	id=g:7150737
Broomfield Recreation Center	id=g:7150738
Highland Park	id=g:7150739
Chariot Christian School	id=g:7150740
The Broadlands	id=g:7150741
McKay Landing	id=g:7150742
Legacy High School	id=g:7150743
Crofton Park	id=g:7150744
Columbine Meadows Park	id=g:7150745
Pony Estates	id=g:7150746
Southeast Youth Academy	id=g:7150747
Southwest Academy	id=g:7150748
Pamfilis Karate Academy	id=g:7150749
Brooklyn Church of the Nazarene	id=g:7150750
Brooklyn Heights United Methodist Church	id=g:7150751
Brooklyn Park United Brethren Church	id=g:7150752
Adkins Branch	id=g:7150753
Andy Akers Branch	id=g:7150754
Ball Hollow	id=g:7150755
Barn Hollow	id=g:7150756
Bee Branch	id=g:7150757
Big Rock Branch of Bear Fork	id=g:7150758
Big Root Branch	id=g:7150759
Black Cow Hollow	id=g:7150760
Blue Spring Hollow	id=g:7150761
Board Tree Branch	id=g:7150762
Board Tree Hollow	id=g:7150763
Boyd Hollow	id=g:7150764
Brandy Hollow	id=g:7150765
Bull Branch	id=g:7150766
Cabin Branch	id=g:7150767
Calamus Hollow	id=g:7150768
Camp Branch	id=g:7150769
Cline Hollow	id=g:7150770
Coal Fork Branch	id=g:7150771
Coal Hollow	id=g:7150772
Cold Bank Hollow	id=g:7150773
Deskins Hollow	id=g:7150774
Doc Bell Branch	id=g:7150775
Edmonds Hollow	id=g:7150776
Ferrell Elkins Branch	id=g:7150777
Garden Branch	id=g:7150778
Graveyard Hollow	id=g:7150779
Groundhog Hollow	id=g:7150780
Home Branch	id=g:7150781
Homemade Hollow	id=g:7150782
Horse Pen Branch	id=g:7150783
Horseshoe Branch	id=g:7150784
Ivy Creek	id=g:7150785
Jennie Branch	id=g:7150786
Joel Branch	id=g:7150787
