City of Slaughters	id=g:7170823
City of Slocomb	id=g:7170824
City of Smackover	id=g:7170825
City of Smithfield	id=g:7170826
City of Smithland	id=g:7170827
City of Smiths Grove	id=g:7170828
City of Smiths Station	id=g:7170829
City of Smithville	id=g:7170830
City of Smithville	id=g:7170831
City of Smyrna	id=g:7170832
City of Somerset	id=g:7170833
City of Sonora	id=g:7170834
City of Sopchoppy	id=g:7170835
City of South Bay	id=g:7170836
City of South Carrollton	id=g:7170837
City of South Miami	id=g:7170838
City of South Park View	id=g:7170839
City of South Pasadena	id=g:7170840
City of South Shore	id=g:7170841
City of Southgate	id=g:7170842
City of Southport	id=g:7170843
City of Southside	id=g:7170844
City of Spanish Fort	id=g:7170845
City of Sparkman	id=g:7170846
City of Sparta	id=g:7170847
City of Sparta	id=g:7170848
City of Spring Hill	id=g:7170849
City of Spring Mill	id=g:7170850
City of Spring Valley	id=g:7170851
City of Springfield	id=g:7170852
City of Springfield	id=g:7170853
City of Springlee (historical)	id=g:7170854
City of Springville	id=g:7170855
City of Stamping Ground	id=g:7170856
City of Stamps	id=g:7170857
City of Stanford	id=g:7170858
City of Stanton	id=g:7170859
City of Stapleton	id=g:7170860
City of Starke	id=g:7170861
City of Statesville	id=g:7170862
City of Stephens	id=g:7170863
City of Stillmore	id=g:7170864
City of Strathmoor Manor	id=g:7170865
City of Strathmoor Village	id=g:7170866
City of Strong	id=g:7170867
City of Stuart	id=g:7170868
City of Sturgis	id=g:7170869
City of Stuttgart	id=g:7170870
City of Sulligent	id=g:7170871
City of Summertown	id=g:7170872
City of Summit	id=g:7170873
City of Sunbright	id=g:7170874
City of Sunny Isles Beach	id=g:7170875
City of Sunny Side	id=g:7170876
City of Sweetwater	id=g:7170877
City of Swifton	id=g:7170878
City of Sycamore	id=g:7170879
City of Sycamore	id=g:7170880
City of Talbotton	id=g:7170881
City of Talladega	id=g:7170882
City of Tallahassee	id=g:7170883
City of Tallapoosa	id=g:7170884
City of Tallassee	id=g:7170885
City of Tallulah	id=g:7170886
City of Tarpon Springs	id=g:7170887
City of Taylor	id=g:7170888
City of Taylor Mill	id=g:7170889
City of Taylorsville	id=g:7170890
City of Tega Cay	id=g:7170891
City of Temple	id=g:7170892
City of Temple Terrace	id=g:7170893
City of Ten Broeck	id=g:7170894
City of Thomaston	id=g:7170895
City of Thomasville	id=g:7170896
City of Thomasville	id=g:7170897
City of Thornhill	id=g:7170898
City of Thornton	id=g:7170899
City of Three Way	id=g:7170900
City of Tillar	id=g:7170901
City of Titusville	id=g:7170902
