Victory Primitive Methodist Church	id=g:7184261
Victory Temple Original Church of God	id=g:7184262
Voice of Vision Outreach Ministries	id=g:7184263
Wallace Memorial United Presbyterian Church	id=g:7184264
Walton United Methodist Church	id=g:7184265
Waterdam Church	id=g:7184266
Wesley Center African Methodist Episcopal Zion Church	id=g:7184267
West End African Methodist Episcopal Zion Church	id=g:7184268
West End United Church of Christ	id=g:7184269
West Hills Alliance Church	id=g:7184270
West Hills Baptist Church	id=g:7184271
West Hills Christian Church	id=g:7184272
West Side United Methodist Church	id=g:7184273
Wexford Community Presbyterian Church	id=g:7184274
Whitaker United Methodist Church	id=g:7184275
Hillcrest Alliance Church	id=g:7184276
Hillcrest Seventh Day Adventist Church	id=g:7184277
Hillcrest United Presbyterian Church	id=g:7184278
Hilltop Baptist Church	id=g:7184279
His Disciples Christian Outreach Ministry	id=g:7184280
Hoboken Presbyterian Church	id=g:7184281
Holiday Park Baptist Church	id=g:7184282
Holiday Park United Methodist Church	id=g:7184283
Holy Angels Church	id=g:7184284
Holy Assumption Orthodox Church	id=g:7184285
Holy Child Parish Church	id=g:7184286
Holy Child Parish Hall	id=g:7184287
Holy Cross Episcopal Church	id=g:7184288
Holy Cross Greek Orthodox Church	id=g:7184289
Holy Family Church	id=g:7184290
Holy Family Polish National Catholic Church	id=g:7184291
Holy Ghost Byzantine Catholic Church	id=g:7184292
Holy Ghost Byzantine Church	id=g:7184293
Holy Innocents Church	id=g:7184294
Holy Martyrs Church	id=g:7184295
Holy Sepulcher Church	id=g:7184296
Holy Spirit Praise and Fellowship Center	id=g:7184297
Holy Temple Church of God in Christ	id=g:7184298
Holy Trinity Church	id=g:7184299
Holy Trinity Lutheran Church	id=g:7184300
Holy Trinity Polish National Catholic Church	id=g:7184301
Holy Trinity Ukranian Catholic Church	id=g:7184302
Holy Virgin Russian Orthodox Church	id=g:7184303
Holy Virgin Ukrainian Orthodox Church	id=g:7184304
Homestead Park United Methodist Church	id=g:7184305
Homestead United Presbyterian Church	id=g:7184306
Homewood Church of Christ	id=g:7184307
Hope United Methodist Church	id=g:7184308
Hungarian Reformed Church	id=g:7184309
Immaculate Conception Church	id=g:7184310
Immaculate Conception Church	id=g:7184311
Immaculate Heart of Mary Church	id=g:7184312
Immanuel Lutheran Church	id=g:7184313
Immanuel United Pentecostal Church	id=g:7184314
In the Beginning Christian Learning Center	id=g:7184315
Incarnation Catholic Church	id=g:7184316
Independent Bible Presbyterian Church	id=g:7184317
Ingomar United Methodist Church	id=g:7184318
Inner City Ministries	id=g:7184319
Irons Memorial Church	id=g:7184320
Jefferson United Methodist Church	id=g:7184321
Jefferson United Presbyterian Church	id=g:7184322
Jerusalem Baptist Church	id=g:7184323
Jesus Apostolic Church	id=g:7184324
John McMillan Presbyterian Church	id=g:7184325
John Wesley African Methodist Episcopal Zion Church	id=g:7184326
Kearns Spirituality Center	id=g:7184327
Ken Mawr Christian Church	id=g:7184328
Ken Mawr United Presbyterian Church	id=g:7184329
Kennedy First Alliance Church	id=g:7184330
Kephart United Methodist Church	id=g:7184331
Kerr Presbyterian Church	id=g:7184332
Keystone Church of Hazelwood	id=g:7184333
King of Kings Baptist Ministries	id=g:7184334
Kingdom Come Ministry	id=g:7184335
Kingdom Hall of Jehovahs Witnesses	id=g:7184336
Kingdom Hall of Jehovahs Witnesses	id=g:7184337
Kingdom Hall of Jehovahs Witnesses	id=g:7184338
Kingdom Hall of Jehovahs Witnesses	id=g:7184339
Kingdom Hall of Jehovahs Witnesses	id=g:7184340
Kingdom Hall of Jehovahs Witnesses	id=g:7184341
Kingdom Hall of Jehovahs Witnesses	id=g:7184342
Kingdom Hall of Jehovahs Witnesses Swissville Congregation	id=g:7184343
Knoxville Christian Church	id=g:7184344
Knoxville United Church	id=g:7184345
Koinonia Church	id=g:7184346
Korean United Presbyterian Church	id=g:7184347
Laketon Heights United Methodist Church	id=g:7184348
Lakeview Christian Life Church	id=g:7184349
Lamb of God Christian Ministries	id=g:7184350
Latino Catholic Community of Pittsburgh	id=g:7184351
Mount Hope-Crescent Hills Community Primary School	id=g:7184352
Mount Lebanon Academy	id=g:7184353
Mount Lebanon Montessori School and Academy	id=g:7184354
Murrysville Methodist Preschool	id=g:7184355
Murrysville Presbyterian Preschool	id=g:7184356
Nativity School	id=g:7184357
Neighborhood Academy	id=g:7184358
New Horizons School	id=g:7184359
New Horizons School	id=g:7184360
Noahs Ark Preschool	id=g:7184361
North American Martyrs School	id=g:7184362
North Hills Christian School	id=g:7184363
Northside Urban Pathways Charter School	id=g:7184364
Oakland Catholic High School	id=g:7184365
Observatory Hill School	id=g:7184366
Orchard Hills Christian Academy	id=g:7184367
Our Lady of Fatima School	id=g:7184368
Our Lady Sacred Heart High School	id=g:7184369
Overbrook Middle School	id=g:7184370
Pace School	id=g:7184371
Pace School	id=g:7184372
Pace School	id=g:7184373
Parkway West Alternative Vocational Technical School	id=g:7184374
Penn State University at McKeesport	id=g:7184375
Pennsylvania Cyber Charter School	id=g:7184376
Pittsburgh Classical Middle School	id=g:7184377
Pittsburgh Consortium of Independent Schools	id=g:7184378
Pittsburgh Gifted Center	id=g:7184379
Pittsburgh Institute of Religion	id=g:7184380
Pittsburgh New Church School	id=g:7184381
Pittsburgh Presbyterian School	id=g:7184382
Pittsburgh Urban Christian School	id=g:7184383
Pittsburgh-Mount Oliver Intermediate Unit 2 School	id=g:7184384
Plea Development Preschool	id=g:7184385
Pleasant Hill Wesleyan Academy	id=g:7184386
Point Park Childrens School	id=g:7184387
Prince of Peace Roman Catholic School	id=g:7184388
Propel Charter School Homestead	id=g:7184389
Propel Charter School McKeesport	id=g:7184390
Prospect Elementary School	id=g:7184391
Pumpkin Patch Preschool	id=g:7184392
Queen of Angels Catholic School	id=g:7184393
Queen of Angels Catholic School Site 2	id=g:7184394
Rainbow Connection Education Center	id=g:7184395
Rainbows End Child Academy	id=g:7184396
Rainbows End Learning Center	id=g:7184397
Redeemer Lutheran School of Oakmont	id=g:7184398
Reizenstein Middle School	id=g:7184399
Rhema Christian School	id=g:7184400
Richland Christian School	id=g:7184401
Robinson Township Christian School	id=g:7184402
Rocking Horse Preschool	id=g:7184403
Rodman Street Baptist Church Day School	id=g:7184404
Ronnie Lyn Stefaniak Nursery School	id=g:7184405
Rooney Middle School	id=g:7184406
Roosevelt Elementary School	id=g:7184407
Royal Oak Nursery School and Kindergarten	id=g:7184408
Sacred Heart Elementary School	id=g:7184409
Saint Agnes School	id=g:7184410
Saint Agnes School	id=g:7184411
Saint Alexis School	id=g:7184412
Saint Alphonsus School	id=g:7184413
Saint Andrew Day School	id=g:7184414
Saint Angela Merici School	id=g:7184415
Saint Anne School	id=g:7184416
Saint Athanasius School	id=g:7184417
Saint Bartholomew School	id=g:7184418
Saint Bede School	id=g:7184419
Saint Benedict the Moor School	id=g:7184420
Saint Bernadette Catholic School	id=g:7184421
Saint Cyril of Alexandria School	id=g:7184422
Saint Edmunds Academy	id=g:7184423
Saint Elizabeth Ann Seton School	id=g:7184424
Saint Elizabeth Elementary School	id=g:7184425
Saint Elizabeth High School	id=g:7184426
Saint Frances Cabrini Preschool	id=g:7184427
Saint Irenaeus School	id=g:7184428
Saint James School	id=g:7184429
Saint John Neumann Regional Elementary School	id=g:7184430
Saint John the Baptist School	id=g:7184431
Saint John the Baptist School	id=g:7184432
Saint Johns Greek Catholic Educational Center	id=g:7184433
Saint Joseph High School	id=g:7184434
Saint Joseph Regional Catholic School	id=g:7184435
Saint Joseph School	id=g:7184436
Saint Louise de Marillac Church School	id=g:7184437
Saint Louise De Marillac School	id=g:7184438
Saint Matthew Brighton Heights Campus	id=g:7184439
Saint Matthew Christian Academy	id=g:7184440
Saint Patrick School	id=g:7184441
Saint Paul Lutheran Preschool	id=g:7184442
Saint Philip Grade School	id=g:7184443
Saint Rosalia Grade School	id=g:7184444
Saint Sebastian School	id=g:7184445
Saint Simon and Jude School	id=g:7184446
Saint Stephen Kindergarten	id=g:7184447
Saint Titus School	id=g:7184448
Saints Peter and Paul School	id=g:7184449
Saints Simon and Jude School	id=g:7184450
Secondary Alternative Education Center	id=g:7184451
Serra Catholic High School	id=g:7184452
Seton Lasalle High School	id=g:7184453
Shady Lane School	id=g:7184454
Shady Side Academy Junior School	id=g:7184455
Sisters of Divine Providence Convent School	id=g:7184456
Sleepy Hollow Academy	id=g:7184457
Snowdrop Elementary School	id=g:7184458
South Brook Middle School	id=g:7184459
South Central Area Special School	id=g:7184460
South Hills Middle School	id=g:7184461
Southeastern Area Special School	id=g:7184462
Southwood School	id=g:7184463
Southwood School	id=g:7184464
Southwood School	id=g:7184465
Spectrum Charter School	id=g:7184466
Spring Hill Elementary School	id=g:7184467
Sylvania Hills Christian School	id=g:7184468
Temple Emanuel Nursery School	id=g:7184469
The Early Learning Institute	id=g:7184470
The Heartwood Institute	id=g:7184471
The Presbyterian Church of Pitcairn Preschool	id=g:7184472
Three Hierarchs East Orthodox School	id=g:7184473
Three Rivers Youth Academy	id=g:7184474
Transfiguration School	id=g:7184475
Trinity Christian School	id=g:7184476
Trinity Weekday School	id=g:7184477
Tri-State Christian Academy	id=g:7184478
United Methodist Preschool	id=g:7184479
Upper Beaver County Christian School	id=g:7184480
Victory Christian Academy of the Tri State	id=g:7184481
Waldorf School of Pittsburgh	id=g:7184482
Washington County Day School	id=g:7184483
Washington County Mennonite School	id=g:7184484
Weil Technology Elementary School	id=g:7184485
Wesley Academy	id=g:7184486
Wesley Highland Services School	id=g:7184487
Wesley Highlands School	id=g:7184488
Wesley Institute School	id=g:7184489
West Liberty Elementary School	id=g:7184490
Western Area Special School	id=g:7184491
Western Pennsylvania Cyber Charter School	id=g:7184492
Western Pennsylvania Montessori School	id=g:7184493
