Opstad Elementary School	id=g:7224358
Faith Lutheran School	id=g:7224359
Discovery Elementary School	id=g:7224360
Island Christian School	id=g:7224361
Robinswood Middle School	id=g:7224362
Cascade Vista Baptist School	id=g:7224363
Discovery Montessori School	id=g:7224364
Seattle Lutheran High School	id=g:7224365
Carpe Diem Primary School	id=g:7224366
Mercer Island School District Office	id=g:7224367
Marymoor Montessori School	id=g:7224368
Cougar Ridge Elementary School	id=g:7224369
Rock Creek Elementary School	id=g:7224370
Enumclaw Christian School	id=g:7224371
Albert Einstein Elementary School	id=g:7224372
Arbor Elementary School	id=g:7224373
Cascadia Montessori School	id=g:7224374
Saint Luke Elementary School	id=g:7224375
Two Rivers School	id=g:7224376
Family Learning Center at BEST High School	id=g:7224377
Cougar Mountain Academy	id=g:7224378
Matheia School	id=g:7224379
Highlands Christian School	id=g:7224380
Dartmoor School	id=g:7224381
Alpha Montessori School	id=g:7224382
Meadow Ridge Elementary School	id=g:7224383
Seattle Hebrew Academy	id=g:7224384
Environmental and Adventure School	id=g:7224385
Highline School District Office	id=g:7224386
Washington Academy of Performing Arts	id=g:7224387
Northshore Montessori School	id=g:7224388
Sunbeams Lutheran School	id=g:7224389
University Child Development School	id=g:7224390
Enumclaw School District Office	id=g:7224391
Tahoma School District Office	id=g:7224392
Kent View Christian Senior High School	id=g:7224393
Gatewood Private School	id=g:7224394
Saint Francis of Assisi School	id=g:7224395
Montessori Garden School	id=g:7224396
Northshore School District - Special Services	id=g:7224397
Aldercrest Elementary School	id=g:7224398
Langston Hughes Cultural Arts School	id=g:7224399
Cougar Mountain Montessori School	id=g:7224400
Russell Ridge Alternative School	id=g:7224401
Seattle Jewish Community School	id=g:7224402
Snoqualmie Valley Christian School	id=g:7224403
New Horizon School	id=g:7224404
Little Folks Christian School	id=g:7224405
Glendale Lutheran School	id=g:7224406
Normandy Park Academy Montessori School	id=g:7224407
Renton School District Office	id=g:7224408
Compass Montessori School	id=g:7224409
Internet Academy	id=g:7224410
SeaTac Christian Academy	id=g:7224411
Zion Preparatory Academy	id=g:7224412
Glacier Park Elementary School	id=g:7224413
Pacific Crest School	id=g:7224414
Kent School District Office	id=g:7224415
Evening School Marshall	id=g:7224416
Northwest School for Hearing Impaired	id=g:7224417
Dartmoor School	id=g:7224418
Eastlake High School	id=g:7224419
Laura Ingalls Wilder Elementary School	id=g:7224420
Montessori Plus School	id=g:7224421
Sammamish Montessori School	id=g:7224422
Saint Nicholas Montessori School	id=g:7224423
Seattle Urban Academy	id=g:7224424
Puget Sound Education Service District Office	id=g:7224425
Glenridge Elementary School	id=g:7224426
Kent Phoenix Academy High School	id=g:7224427
Fremont Community School	id=g:7224428
Issaquah School District Office	id=g:7224429
Childrens Institute for Learning	id=g:7224430
Kent Learning Center	id=g:7224431
University of Washington Medical Center - Experimental Education Unit	id=g:7224432
Saint Joseph School	id=g:7224433
King's Elementary School	id=g:7224434
Northshore School District Office	id=g:7224435
Chief Kanim Middle School	id=g:7224436
Lake Washington School District Office	id=g:7224437
Billings Middle School	id=g:7224438
French American School of Puget Sound	id=g:7224439
Emerald Park Elementary School	id=g:7224440
Middle College High School	id=g:7224441
Eastside Urban Academy	id=g:7224442
Bellevue Montessori School	id=g:7224443
Children's House Montessori School	id=g:7224444
Gateway Christian School	id=g:7224445
Twin Falls Middle School	id=g:7224446
Cascade View Elementary School	id=g:7224447
Millennium Elementary School	id=g:7224448
Arthur Jacobsen Elementary School	id=g:7224449
Lakeland Hills Elementary School	id=g:7224450
Auburn Mountainview High School	id=g:7224451
Renton Academy	id=g:7224452
Cascade Ridge Elementary School	id=g:7224453
Grand Ridge Elementary School	id=g:7224454
Newcastle Elementary School	id=g:7224455
Pacific Cascade Freshman Campus	id=g:7224456
Rachel Carson Elementary School	id=g:7224457
Explorer Community School	id=g:7224458
Rosa Parks Elementary School	id=g:7224459
Renaissance School of Art and Reasoning	id=g:7224460
Stella Schola Middle School	id=g:7224461
Northwest Aviation College	id=g:7224462
Embry - Riddle Aeronautical University	id=g:7224463
Renton Technical College	id=g:7224464
City University	id=g:7224465
Cascadia Community College	id=g:7224466
