Pooles Grove Baptist Church	id=g:7231028
Poplar Grove Baptist Church	id=g:7231029
Potters Place	id=g:7231030
Praise Gospel Assembly	id=g:7231031
Prayer and Bible Independent Church of God For All People	id=g:7231032
Price Cathedral African Methodist Episcopal Zion Church	id=g:7231033
Princeton Deliverance Center	id=g:7231034
Promised Land Church of Christ	id=g:7231035
Purvis Chapel African Methodist Episcopal Zion Church	id=g:7231036
Queen Street Missionary Baptist Church	id=g:7231037
Queens Creek United Methodist Church	id=g:7231038
Saint Marks Episcopal Church	id=g:7231039
Saint Marks Free Will Baptist Church	id=g:7231040
Saint Mary Catholic Church	id=g:7231041
Saint Marys Catholic Church	id=g:7231042
Saint Matthews Evangelical Lutheran Church	id=g:7231043
Saint Nicholas Greek Orthodox Church	id=g:7231044
Saint Paul Free Will Baptist Church	id=g:7231045
Saint Pauls Episcopal Church	id=g:7231046
Saint Pauls Episcopal Church	id=g:7231047
Saint Pauls Episcopal Church	id=g:7231048
Saint Pauls Evangelical Lutheran Church	id=g:7231049
Saint Peter Church of Christ	id=g:7231050
Saint Peter United Holy Church	id=g:7231051
Saint Peters Catholic Church	id=g:7231052
Saint Peters Missionary Baptist Church	id=g:7231053
Saint Phillip African Methodist Episcopal Church	id=g:7231054
Saint Stephen African Methodist Episcopal Church	id=g:7231055
Saint Stephen Missionary Baptist Church	id=g:7231056
Saint Stephens African Methodist Episcopal Church	id=g:7231057
Saint Stephens Baptist Church	id=g:7231058
Saint Timothy Lutheran Church	id=g:7231059
Salem Baptist Church	id=g:7231060
Salem Baptist Church	id=g:7231061
Sanctuary Church of Wilmington	id=g:7231062
Sandy Acres Free Baptist Church	id=g:7231063
Saulston United Methodist Church	id=g:7231064
Scotts Hill Baptist Church	id=g:7231065
Seagate Baptist Church	id=g:7231066
Shiloh Baptist Church	id=g:7231067
Shiloh Baptist Church	id=g:7231068
Shiloh Pentecostal Holiness Church	id=g:7231069
Solid Rock Pentecostal Church	id=g:7231070
South Greenville Church of Christ	id=g:7231071
Southside Baptist Church	id=g:7231072
Spirit of Life Church of God	id=g:7231073
Spring Hill Free Will Baptist Church	id=g:7231074
Straits United Methodist Church	id=g:7231075
Sunset Park Baptist Church	id=g:7231076
Swansboro Church of God	id=g:7231077
The Church of Jesus Christ of Latter Day Saints	id=g:7231078
The Church of Jesus Christ of Latter Day Saints	id=g:7231079
The Church of Jesus Christ of Latter Day Saints	id=g:7231080
The Redeemer Anglican Church	id=g:7231081
Topsail Baptist Church	id=g:7231082
Topsail Presbyterian Church	id=g:7231083
Trent River Missionary Baptist Church	id=g:7231084
Trinity Independent Baptist Church	id=g:7231085
Trinity United Methodist Church	id=g:7231086
Trinity United Methodist Church	id=g:7231087
True Holiness Assembly Church	id=g:7231088
True Vine Holiness Church	id=g:7231089
Truth Temple Church of God	id=g:7231090
Union Baptist Church	id=g:7231091
Union Missionary Baptist Church	id=g:7231092
Union Star Original Free Will Baptist Church	id=g:7231093
United Advent Christian Church	id=g:7231094
United Chapel African Methodist Episcopal Zion Church	id=g:7231095
United Holy Temple Church	id=g:7231096
Unity Christ Church of Wilmington	id=g:7231097
Unity Fellowship Christian Church	id=g:7231098
Unity Free Will Baptist Church	id=g:7231099
Verona Free Will Baptist Church	id=g:7231100
Verona United Methodist Church	id=g:7231101
Victory Free Will Baptist Church	id=g:7231102
Vineyard Community Church	id=g:7231103
Warner Temple African Methodist Episcopal Zion Church	id=g:7231104
Way of the Truth and the Life Church	id=g:7231105
Wells Chapel Church of God	id=g:7231106
Wesley Memorial United Methodist Church	id=g:7231107
Wesley Memorial United Methodist Church	id=g:7231108
West Belhaven Church of Christ	id=g:7231109
Westminster Presbyterian Church	id=g:7231110
Whispering Pines Baptist Church	id=g:7231111
Whiteplain Free Will Baptist Church	id=g:7231112
Wilmington First Baptist Church	id=g:7231113
Wilmington First Pentecostal Holiness Church	id=g:7231114
Wilmington First Presbyterian Church	id=g:7231115
Wilmington Seventh Day Adventist Church	id=g:7231116
Windermere Presbyterian Church	id=g:7231117
Winter Park Baptist Church	id=g:7231118
Winter Park Presbyterian Church	id=g:7231119
Word of Life Fellowship Church	id=g:7231120
Wrightsboro Baptist Church	id=g:7231121
Wrightsville Avenue Church of God	id=g:7231122
