Sperry's Restaurant	id=g:7288749
Kelly's Restaurant and Brew Pub	id=g:7288750
Max Lager's Wood Fired Grill	id=g:7288751
Hofbrauhaus Newport	id=g:7288752
Bangkok Thai Talay	id=g:7288753
Big Dog's Draft House	id=g:7288754
Grotta Azzurra	id=g:7288766
Lahaina Grill	id=g:7288767
Felix's Fish Camp Grill	id=g:7288768
La Perla Family Restaurant	id=g:7288769
Sonoda's Sushi	id=g:7288770
Prima Ristorante	id=g:7288771
Parkshore Grill	id=g:7288772
Pepe's Restaurante Mexicano	id=g:7288773
The Original Fish Market	id=g:7288774
Arbor Brewing Company	id=g:7288775
John Harvard's Harvard Square/Framingham	id=g:7288776
Kells Irish Restaurant and Pub	id=g:7288777
Roth's Westside Steakhouse	id=g:7288778
Padre Figlio	id=g:7288779
Bobby Van's Grill	id=g:7288780
Bobby Van's Steakhouse	id=g:7288781
Kansai Bistro	id=g:7288782
Takami  Sushi	id=g:7288783
Folino's Ristorante	id=g:7288785
Hofbrau Beer Garden	id=g:7288787
Axis / Radius	id=g:7288788
Arcade Bar at The Lakewood Theater	id=g:7288790
Veneto Trattoria Italiana	id=g:7288791
Ace Wasabi's - "Rock N' Roll Sushi"	id=g:7288792
Nelore Churrascaria - Orlando	id=g:7288793
Nelore Churrascaria - Houston	id=g:7288794
75th Street Brewery	id=g:7288795
York Grill	id=g:7288796
The MerK Bistro Italiano	id=g:7288807
Shuhei Restaurant of Japan	id=g:7288810
Test Restaurant	id=g:7288812
Red Rock Brewing Company	id=g:7288814
Tomo Japanese Restaurant	id=g:7288815
Sekisui Midtown	id=g:7288817
Sekisui Bartlett	id=g:7288818
Dish	id=g:7288819
Sekisui Humphreys Center	id=g:7288820
Sekisui Cordova	id=g:7288821
Casa D'Angelo Ristorante	id=g:7288822
Zensei Sushi	id=g:7288823
Sekisui South	id=g:7288824
Sekisui Collierville	id=g:7288825
Sekisui Pacific Rim Memphis	id=g:7288826
Bluefin	id=g:7288827
Sekisui Pacific Rim of Clayton	id=g:7288828
Sekisui Vestavia Hills	id=g:7288829
Sekisui of St. Louis	id=g:7288830
Ichiban	id=g:7288831
Sekisui Pacific Rim Birmingham	id=g:7288832
Margaret Kuo's	id=g:7288833
The Fish - Sushi Bar	id=g:7288839
Bukhara Grill	id=g:7288840
Jason's Beachside Grille	id=g:7288841
Pomegranate Restaurant	id=g:7288842
Nibblers Eatery	id=g:7288843
Gente	id=g:7288844
Toloache	id=g:7288845
Stockyards Restaurant	id=g:7288846
BiCE Ristorante	id=g:7288847
Gallagher's Steakhouse	id=g:7288848
Dickie Brennan's Steakhouse	id=g:7288849
Old Lisbon Restaurant	id=g:7288850
Kellari Taverna	id=g:7288851
Jeff Ruby's	id=g:7288852
Carnevor Steakhouse Moderne	id=g:7288853
Porters Restaurant	id=g:7288856
Bistro Romano	id=g:7288857
Restaurants at The Westin La Paloma in Tucson, Arizona	id=g:7288861
