Tunanitas	id=g:3791117
Tupuri	id=g:3791118
Cienaga de Tupuri	id=g:3791119
Vaquera Turiaca	id=g:3791120
Turiacas	id=g:3791121
Hacienda La Turquera	id=g:3791122
Hacienda Turrumote	id=g:3791123
La Última	id=g:3791124
Último Tiro	id=g:3791125
Vaquera Ultimo Tiro	id=g:3791126
Barrio Unión	id=g:3791127
Finca La Unión	id=g:3791128
Hacienda Unión	id=g:3791129
Hacienda La Unión	id=g:3791130
Hacienda La Unión	id=g:3791131
Hacienda La Unión	id=g:3791132
Hacienda La Unión	id=g:3791133
Hacienda La Unión	id=g:3791134
Hacienda La Unión	id=g:3791135
Hacienda La Unión	id=g:3791136
Hacienda La Unión	id=g:3791137
La Unión	id=g:3791138
La Unión	id=g:3791139
Matera La Unión	id=g:3791140
Vaquera La Uno	id=g:3791141
Urbanización Urdaneta	id=g:3791142
La Vaca Perra	id=g:3791143
Hacienda Valencia	id=g:3791144
Granja Valle Verde	id=g:3791145
Hacienda Valle Verde	id=g:3791146
Fundo El Valle	id=g:3791147
Hacienda El Valle	id=g:3791148
Hacienda El Valle	id=g:3791149
Hacienda Los Valles	id=g:3791150
Caño La Vaqueta	id=g:3791151
Hacienda Varadero	id=g:3791152
Las Varillas	id=g:3791153
Hacienda Varsovia	id=g:3791154
Hacienda Varsovia	id=g:3791155
Hacienda El Vaticano	id=g:3791156
Cañada La Vega de Riecito	id=g:3791157
Cañada Vega del Bijao	id=g:3791158
Cañada La Vega del Ranchito	id=g:3791159
Finca La Vega	id=g:3791160
Hacienda La Vega	id=g:3791161
Hacienda La Vega	id=g:3791162
Hacienda La Vega	id=g:3791163
La Vega	id=g:3791164
La Vega	id=g:3791165
Fundo Las Vegas	id=g:3791166
Hacienda Las Vegas	id=g:3791167
Hacienda Las Vegas	id=g:3791168
Las Vegas	id=g:3791169
Fundo Las Veguitas	id=g:3791170
Veinticuatro de Julio	id=g:3791171
Hacienda El Veintidos	id=g:3791172
Fundo El Veintinueve	id=g:3791173
Hacienda El Veintiocho	id=g:3791174
Hacienda El Veintiseis	id=g:3791175
Hacienda El Veintisiete	id=g:3791176
El Veintiuno	id=g:3791177
Hacienda La Vela	id=g:3791178
Vaquera Veladero	id=g:3791179
Hacienda El Venado	id=g:3791180
Hacienda Venecia	id=g:3791181
Matera Venecia	id=g:3791182
Hacienda Venezuela	id=g:3791183
Hacienda Venezuela	id=g:3791184
Hacienda Vera Picada	id=g:3791185
Hato La Vera	id=g:3791186
La Vera	id=g:3791187
Hacienda Veracruz	id=g:3791188
Hacienda Veracruz	id=g:3791189
Hacienda Veracruz	id=g:3791190
Hacienda Veracruz	id=g:3791191
Fundo El Veral	id=g:3791192
Hacienda El Veral	id=g:3791193
Las Veras	id=g:3791194
Verdún	id=g:3791195
Hacienda Verdún	id=g:3791196
Hacienda Verdún	id=g:3791197
Hacienda Verdún	id=g:3791198
Hacienda Verdún	id=g:3791199
Hacienda Veritas	id=g:3791200
Las Veritas	id=g:3791201
Caño La Victoria	id=g:3791202
Fundo Victoria	id=g:3791203
Fundo La Victoria	id=g:3791204
Fundo La Victoria	id=g:3791205
