Ea Snô	id=g:1567834
Da Snirr	id=g:1567835
Cao Nguyên Snarr	id=g:1567836
S”manian (2)	id=g:1567837
Slein Hao Lan	id=g:1567838
Dang Sity	id=g:1567839
Sí Thọ	id=g:1567840
Sì Tháu Chải	id=g:1567841
Si Tao Chay	id=g:1567842
Ðak Sirr	id=g:1567843
Ya Sir	id=g:1567844
Ðak Sir	id=g:1567845
Kông Sipreh	id=g:1567846
Si Phay	id=g:1567847
Si Pa Ping	id=g:1567848
Phu Si Pa Phin	id=g:1567849
Phu Si Pan	id=g:1567850
Núi Si Pan	id=g:1567851
Khao Sip	id=g:1567852
Siong Lai Tao	id=g:1567853
Sion	id=g:1567854
Sin To (1)	id=g:1567855
Sin Tiay	id=g:1567856
Sin Tiay	id=g:1567857
Sin Tiay	id=g:1567858
Sin Tiai	id=g:1567859
Sin Than	id=g:1567860
Sin Tchay	id=g:1567861
Sin Tchay	id=g:1567862
Sin Tchang	id=g:1567863
Sin Tchai (2)	id=g:1567864
Sin Tchai (1)	id=g:1567865
Sin Tchai	id=g:1567866
Sin Tchai	id=g:1567867
Sin Soui Hô	id=g:1567868
Sin Sảng	id=g:1567869
Sin Quen Hô	id=g:1567870
Sin Quen	id=g:1567871
Sin Pong	id=g:1567872
Sin Pao Tiai	id=g:1567873
Sin Keu Hoa Ngai	id=g:1567874
Sinh Vinh	id=g:1567875
Sinh Tcha Pao	id=g:1567876
Núi Sin Hô	id=g:1567877
Sinh Hồ	id=g:1567878
Sinh Ho	id=g:1567879
Sinh Chái	id=g:1567880
Presqu’île aux Singes	id=g:1567881
Île des Singes	id=g:1567882
Sí Ngải	id=g:1567883
Dak Sing	id=g:1567884
Ðak Sing	id=g:1567885
Chư Sing	id=g:1567886
Sin Chải (2)	id=g:1567887
Sin Chải (1)	id=g:1567888
Sin Chải Ho	id=g:1567889
Nằm Sin Chải	id=g:1567890
Sin Chải	id=g:1567891
Sin Chải	id=g:1567892
Sin Chải	id=g:1567893
Sín Chải	id=g:1567894
Sin Cao (3)	id=g:1567895
Sin Cao (2)	id=g:1567896
Sin Cao (1)	id=g:1567897
Sin Cao	id=g:1567898
Sin Cao	id=g:1567899
Nằm Sin	id=g:1567900
Nằm Sin	id=g:1567901
Si Ma Kai	id=g:1567902
Phu Si Lùng	id=g:1567903
Nằm Si Lùng	id=g:1567904
Nằm Si Lu	id=g:1567905
Si Lo Lào	id=g:1567906
Si Linh	id=g:1567907
Si Li	id=g:1567908
Si Li	id=g:1567909
Si Li	id=g:1567910
Si Leng Tiay	id=g:1567911
Si Ka La	id=g:1567912
Sĩ Hội	id=g:1567913
Núi Signère	id=g:1567914
Siêu Xin Thang	id=g:1567915
Siên Ky	id=g:1567916
Siên Chăng	id=g:1567917
Phu Siem	id=g:1567918
Ngok Sie	id=g:1567919
Ngok Sie	id=g:1567920
Sidienne	id=g:1567921
Ngok Si Dak Dang	id=g:1567922
Sia Tien Fang	id=g:1567923
Da Siat	id=g:1567924
Siao Tong Tinh	id=g:1567925
Siao Tống Chung Hồ	id=g:1567926
Siao Thon	id=g:1567927
Siao Nam Lao	id=g:1567928
Siao Mon Wan	id=g:1567929
Siao Mi Ti	id=g:1567930
Siang Chouei	id=g:1567931
Sia Loung (1)	id=g:1567932
Dak Sia	id=g:1567933
Phu Si	id=g:1567934
Phu Si	id=g:1567935
Kouei Si	id=g:1567936
Shui-k”ou Kuan	id=g:1567937
Shei Griao	id=g:1567938
Kinh Séville	id=g:1567939
Seu Lung	id=g:1567940
Núi Sét	id=g:1567941
Núi Serlung	id=g:1567942
Ser Dung	id=g:1567943
Da Serdo	id=g:1567944
Da Sépo	id=g:1567945
Dak Sepay	id=g:1567946
Seo Xin Trải	id=g:1567947
Séo Trung Hồi	id=g:1567948
Seo Mi Tai	id=g:1567949
Seo Lung Than	id=g:1567950
Seo Lung Than	id=g:1567951
Seo Leng Ho	id=g:1567952
Seo Leng	id=g:1567953
Seo Lan Than	id=g:1567954
Seo La Mong	id=g:1567955
Seo Ho Thau	id=g:1567956
Séo Chong Hò	id=g:1567957
Sen Trai	id=g:1567958
Sen Thương	id=g:1567959
Sen Thon	id=g:1567960
Sen Tchou	id=g:1567961
Phu Sen Tang	id=g:1567962
Sen Phương	id=g:1567963
Phu Senioum	id=g:1567964
Sen Hồ	id=g:1567965
Seney	id=g:1567966
Sen Ðợc	id=g:1567967
Sen Bang	id=g:1567968
Phu Sen	id=g:1567969
Phu Sen	id=g:1567970
Ngòi Sen	id=g:1567971
Ðak Semrigne	id=g:1567972
Ea Sem Long	id=g:1567973
Se Ma Tong	id=g:1567974
Phu Sế Ma	id=g:1567975
Nằm Sế Ma	id=g:1567976
Dak Sélo	id=g:1567977
Rocher Selle	id=g:1567978
Bol Sela	id=g:1567979
Dak Sekoel	id=g:1567980
Nam Sé Ho	id=g:1567981
Núi Se Gai	id=g:1567982
Da Sê Dang	id=g:1567983
Sec Kep	id=g:1567984
Yôk Sé	id=g:1567985
Dak Sé	id=g:1567986
Say Yên Than	id=g:1567987
Sa Yu Tiai	id=g:1567988
Nam Say Luong	id=g:1567989
Sa Yin Cao	id=g:1567990
Suối Say	id=g:1567991
Suối Say	id=g:1567992
Sông Sây	id=g:1567993
Nam Say	id=g:1567994
Nam Say	id=g:1567995
Sa Vi Xom	id=g:1567996
Sa Vè	id=g:1567997
Khe Sa Vanh	id=g:1567998
Sa Van	id=g:1567999
Sấu Vông	id=g:1568000
Kinh Sáu Thước	id=g:1568001
Kinh Sáu Sanh	id=g:1568002
Nằm Sau Lô Sa	id=g:1568003
Kong Saueou	id=g:1568004
Sâu Chùa	id=g:1568005
Suối Sau	id=g:1568006
Suối Sâu	id=g:1568007
Suối Sâu	id=g:1568008
Suối Sấu	id=g:1568009
Suối Sâu	id=g:1568010
Sông Sâu	id=g:1568011
Sông Sâu	id=g:1568012
Sông Sau	id=g:1568013
Rạch Sâu	id=g:1568014
Núi Sau	id=g:1568015
Nằm Sau	id=g:1568016
Sa Trung	id=g:1568017
Núi Sa Trúc	id=g:1568018
Sa Touan Tron	id=g:1568019
Sa Thôn	id=g:1568020
Sông Sa Thin	id=g:1568021
Prêk Sathay	id=g:1568022
Sa Thâu	id=g:1568023
Sa Tao	id=g:1568024
Sông Sát	id=g:1568025
Nậm Sát	id=g:1568026
Nam Sat	id=g:1568027
Khao Sat	id=g:1568028
Sa Sau	id=g:1568029
Núi Sa Ru	id=g:1568030
Ðộng Sar Liàng	id=g:1568031
Rạch Sa Rài	id=g:1568032
Suối Sara	id=g:1568033
Núi Sa Rá	id=g:1568034
Da Sar	id=g:1568035
Khao Sa Quang	id=g:1568036
Phu Sa Phin	id=g:1568037
Kouei Sa Phin	id=g:1568038
Sà Phìn	id=g:1568039
Sa Phin	id=g:1568040
Nằm Sà Phì	id=g:1568041
Sa Parr	id=g:1568042
Sa Pá	id=g:1568043
Suối Sap	id=g:1568045
Suối Sáp	id=g:1568046
Núi Sâp	id=g:1568047
Nam Sặp	id=g:1568048
Nam Sặp	id=g:1568049
Sao Va	id=g:1568050
Sa Ouhin	id=g:1568051
Sao Thông	id=g:1568052
Sáo Sơn	id=g:1568053
Chenal de la Saône	id=g:1568054
Sao Mo Phing	id=g:1568055
Nam Sao Lu	id=g:1568056
Phu Sao Lo	id=g:1568057
Sao Ko Ti	id=g:1568058
Sào Dồng	id=g:1568059
Núi Sao Cot	id=g:1568060
Núi Sao Cô	id=g:1568061
Sao Chay	id=g:1568062
Suối Sao	id=g:1568063
Sông Sao	id=g:1568064
Sông Sao	id=g:1568065
Phu Sao	id=g:1568066
Núi Sao	id=g:1568067
Núi Sao	id=g:1568068
Nam Sao	id=g:1568069
Mũi Sao	id=g:1568070
Huôi Sao	id=g:1568071
Hòn Sao	id=g:1568072
San Xa	id=g:1568073
Sanung	id=g:1568074
San Toung	id=g:1568075
San Tiai Po	id=g:1568076
San Tia	id=g:1568077
San Thàu	id=g:1568078
Phu San Thài	id=g:1568079
San Tchio	id=g:1568080
San Tao Hồ	id=g:1568081
San Tang Ngài	id=g:1568082
Santa Maria	id=g:1568083
Phu San Sing San	id=g:1568084
Phu San Sao	id=g:1568085
San Sả Hò	id=g:1568086
San Sa Hô	id=g:1568087
San Sả Hồ	id=g:1568088
San Loung	id=g:1568089
San Kia Tiai	id=g:1568090
San Kia	id=g:1568091
Kouei San Kan	id=g:1568092
San Kan	id=g:1568093
San Ho	id=g:1568094
Nam Sanh Hu	id=g:1568095
Rạch Sanh Ðôi	id=g:1568096
Khê Sanh	id=g:1568097
Sằng Uỷ	id=g:1568098
Sang Soui	id=g:1568099
Sang Sông	id=g:1568100
Sang Sao	id=g:1568101
Sang Sáng	id=g:1568102
Suối Săng Mảu	id=g:1568103
Sang Ma Tcháo	id=g:1568104
Île des Sangliers	id=g:1568105
Île aux Sangliers	id=g:1568106
Sằng Kheo	id=g:1568107
San Gì	id=g:1568108
Sang Huân	id=g:1568109
Sã Nghiêu	id=g:1568110
Suối Sa Nghe	id=g:1568111
Sang Hai	id=g:1568112
Sàng Dêng	id=g:1568113
Sa Ngà	id=g:1568114
Sông Sang	id=g:1568115
Phu Sang	id=g:1568116
Phu Sang	id=g:1568117
Phu Sáng	id=g:1568118
Nước Sang	id=g:1568119
Núi Sang	id=g:1568120
Nậm Sang	id=g:1568121
Hòn Săng	id=g:1568122
Ea Sang	id=g:1568123
San Ðịnh	id=g:1568124
San Dao	id=g:1568125
San Choc Si	id=g:1568126
Sấn Chay	id=g:1568127
Sông Sân Chầu	id=g:1568128
San Cap	id=g:1568129
San Cap	id=g:1568130
San Cai	id=g:1568131
San Cai	id=g:1568132
Phu San	id=g:1568133
Nằm San	id=g:1568134
M”neun San	id=g:1568135
Sam Ve	id=g:1568136
Ðộng Sá Mùi	id=g:1568137
Sá Mùi	id=g:1568138
Phou Sam Tié	id=g:1568139
Khao Sam Tang	id=g:1568140
Sam Ta	id=g:1568141
Sầm Sơn	id=g:1568142
Phu Sam Sip	id=g:1568143
Phu Sam Sao	id=g:1568144
Khao Sam Sao	id=g:1568145
Cao Sam Sao	id=g:1568146
Rạch Sầm Sai	id=g:1568147
Rạch Sa Mốp	id=g:1568148
Sam Luồng	id=g:1568149
Sam Lông	id=g:1568150
Sâm Linh	id=g:1568151
Sam Lai	id=g:1568152
Sam Kha	id=g:1568153
Sam Kha	id=g:1568154
Sam Keou Tien	id=g:1568155
Phu Sam Kap	id=g:1568156
Sa Mei	id=g:1568157
Sà Mếch	id=g:1568158
Sầm Ðương	id=g:1568159
Sam Cong	id=g:1568160
Khău Sạm Chom	id=g:1568161
Sam Cao	id=g:1568162
Sông Sam Bring	id=g:1568163
Phu Sambok	id=g:1568164
Suối Samat	id=g:1568165
Núi Samai	id=g:1568166
Suối Sà Mách	id=g:1568167
Suối Sam	id=g:1568168
Núi Sam	id=g:1568169
Núi Sam	id=g:1568170
Hòn Sam	id=g:1568171
Sa Lung	id=g:1568172
Sa Lung	id=g:1568173
Sa Lung	id=g:1568174
Sa Lung	id=g:1568175
Suối Saloun	id=g:1568176
Sa Long	id=g:1568177
Sa Lon	id=g:1568178
Núi Sa Leo	id=g:1568179
Sala Dak Xa Wong	id=g:1568180
Sông Sa Kỳ	id=g:1568181
Sa Khom	id=g:1568182
Nằm Sả Khò	id=g:1568183
Phu Sa Kha	id=g:1568184
Sa Kha	id=g:1568185
Rạch Sa Kéo	id=g:1568186
Sai Vong Mo Leng	id=g:1568187
Sài Trang	id=g:1568188
Sài Thôn	id=g:1568189
Sài Th	id=g:1568190
Sài San	id=g:1568191
Sai San	id=g:1568192
Kinh Saintenoy	id=g:1568193
Roche Sainte Anne	id=g:1568194
Kinh Saintard	id=g:1568195
Sài Lương	id=g:1568196
Sai Luong	id=g:1568197
Sài Lĩnh	id=g:1568198
Sài Khao	id=g:1568199
Sông Sài Gòn	id=g:1568200
Sông Sai	id=g:1568201
Ngok Sai	id=g:1568202
Khé Sai	id=g:1568203
Ga Sa Huỳnh	id=g:1568204
Sa Huỳnh	id=g:1568205
Cap Sa Hoi	id=g:1568206
Nam Sa Hò	id=g:1568207
Da Saho	id=g:1568208
Sa Dom	id=g:1568209
Sa Doan	id=g:1568210
Rạch Sa Ðéc	id=g:1568211
Sa Ðéc	id=g:1568212
Sac Na	id=g:1568213
Sack Sai	id=g:1568214
Sa Chiền	id=g:1568215
Sa Chem (2)	id=g:1568216
Sa Châu	id=g:1568217
Sả Chải	id=g:1568218
Suối Sách	id=g:1568219
Suối Sa Cát	id=g:1568220
Sa Cai	id=g:1568221
Núi Sa A	id=g:1568222
Nằm Sả	id=g:1568223
Nằm Sả	id=g:1568224
Hôi Sa	id=g:1568225
Dak Sa	id=g:1568226
Ry Ninh	id=g:1568227
Rù Trọc	id=g:1568228
Hầm Rù Rỳ	id=g:1568229
Ðèo Rù Rỳ	id=g:1568230
Ruộng Viên	id=g:1568231
Rừng Thái An	id=g:1568232
Ruộng Ruồng	id=g:1568233
Rừng Rạch Sâu	id=g:1568234
Núi Rừng Hồ	id=g:1568235
Ruộng Cân (1)	id=g:1568236
Rạch Rừng	id=g:1568237
Ia Rưng	id=g:1568238
Ruoc	id=g:1568239
Ru Nhon	id=g:1568240
Rũng Nghĩa	id=g:1568241
Hòn Rung Gia	id=g:1568242
Chư R'ung	id=g:1568243
Rạch Rùm	id=g:1568244
Rú Khôi	id=g:1568245
Rú Cồng	id=g:1568246
Ru Cấy	id=g:1568247
Ðak Ru	id=g:1568248
Da R”töl	id=g:1568249
Ea Rtô	id=g:1568250
Ðak R'ting	id=g:1568251
Ða R’til	id=g:1568252
Ðak R'tih	id=g:1568253
Ðak R'tih	id=g:1568254
Da R”tanh	id=g:1568255
Ðak R'tang	id=g:1568256
Kong R”tam	id=g:1568257
Da R”si	id=g:1568258
Da R”sas	id=g:1568259
Dak R”sal	id=g:1568260
Ea Rsai	id=g:1568261
Da R”sa	id=g:1568262
Da R”pung	id=g:1568263
Da R”phi	id=g:1568264
Chư Rpan	id=g:1568265
Chư Rpan	id=g:1568266
Núi Roy	id=g:1568267
Île Rousse	id=g:1568268
Hầm Rọ Tượng	id=g:1568269
Ðèo Rọ Tượng	id=g:1568270
Roche Rosslyn	id=g:1568271
Dak Ròsé	id=g:1568272
Roro	id=g:1568273
Dak Rơtil	id=g:1568274
Ya Rơtang	id=g:1568275
Dak Rơtak Ma	id=g:1568276
Ia Rơnhing	id=g:1568277
Dak Rơnga	id=g:1568278
Co Roong	id=g:1568279
Co Roong	id=g:1568280
Dak Rớnét	id=g:1568281
Ðak Rơnar	id=g:1568282
Ngok Rơnang	id=g:1568283
Dak Rơmao	id=g:1568284
Rơlơm	id=g:1568285
Dak Rơlong	id=g:1568286
Ðak Rơkoy	id=g:1568287
Ea Rơk	id=g:1568288
Ngok Rơjok	id=g:1568289
Ia Rơdung	id=g:1568290
Chi Rơ Bu	id=g:1568291
Ya Rơbé	id=g:1568292
Ea Rơbal	id=g:1568293
Ngoc Roo	id=g:1568294
Rống Vong	id=g:1568295
Suối Rỗng Tương	id=g:1568296
Ro Ngoi	id=g:1568297
Rạch Rong Cỏ	id=g:1568298
Rông Cấn	id=g:1568299
Sông Rong	id=g:1568300
Mũi Rong	id=g:1568301
Ia Rong	id=g:1568302
Hòn Rồng	id=g:1568303
Ðộng Rong	id=g:1568304
Cù Lao Rồng	id=g:1568305
Rong	id=g:1568306
Mũi Rond	id=g:1568307
Sông Ròn	id=g:1568308
Mũi Ròn	id=g:1568309
M”neun Ron	id=g:1568310
Khe Rôn	id=g:1568311
Cửa Ròn	id=g:1568312
Chư Rôn	id=g:1568313
Ròn	id=g:1568314
Rom Rom Xã	id=g:1568315
Romo	id=g:1568316
Romên	id=g:1568317
Dak Roman	id=g:1568318
Hòn Ròm	id=g:1568319
Ya Rok	id=g:1568320
Hòn Roi	id=g:1568321
Ðak Rohyô	id=g:1568322
Ia Roey	id=g:1568323
Nước Rôc Mơn	id=g:1568324
Róc Khơi	id=g:1568325
Dar Rố Choc	id=g:1568326
Baie du Rocher Noir	id=g:1568327
Chenal du Roc aux Aigles	id=g:1568328
Bù Róc	id=g:1568329
Ro'bé Ya	id=g:1568330
Rô Bân	id=g:1568331
Roang Pha	id=g:1568332
Vũng Ró	id=g:1568333
Sông Rô	id=g:1568334
Rạch Ro	id=g:1568335
Ro	id=g:1568336
Rô	id=g:1568337
Dak R”nhăng	id=g:1568338
M”neun R”Ngall	id=g:1568339
Ngoc R”moi	id=g:1568340
Ðak R'moan	id=g:1568341
Da R”miss	id=g:1568342
Da R’mang	id=g:1568343
Kong R”mane	id=g:1568344
Chư Rluk	id=g:1568345
Kong R”loum	id=g:1568346
Yôk Rlou	id=g:1568347
Yuk Rlong	id=g:1568348
Dak R”lon	id=g:1568349
R”lom	id=g:1568350
Da R”lian	id=g:1568351
Dak R’lau	id=g:1568352
Ðak R’lap	id=g:1568353
Rlang Yuk Nung	id=g:1568354
Cao Nguyên Rlangdja	id=g:1568355
Yuk Rlang	id=g:1568356
Yôk R”la	id=g:1568357
R”la	id=g:1568358
Núi R”klane	id=g:1568359
Yok R”keh	id=g:1568360
Ðak R'keh	id=g:1568361
Da R’keh	id=g:1568362
Ðak R'ké	id=g:1568363
Chư R'kai	id=g:1568364
Núi Rjinh	id=g:1568365
Banc Rivier	id=g:1568366
Riu Danarr	id=g:1568367
Co Ri Tioi	id=g:1568368
Da Rioum	id=g:1568369
Riong Thô (2)	id=g:1568370
Riong Thô (1)	id=g:1568371
Riong Serignac	id=g:1568372
Riong Sereigne	id=g:1568373
Riong Bolieng	id=g:1568374
Riong B’neur	id=g:1568375
Tam Riong	id=g:1568376
Dak Riong	id=g:1568377
Bù Rinh	id=g:1568378
Ngok Ring Rua	id=g:1568379
Ia Ring	id=g:1568380
Chư Ring	id=g:1568381
Suối Rinchit	id=g:1568382
Co Ri La Ta	id=g:1568383
Co Ri Kiau	id=g:1568384
Ri Hill	id=g:1568385
Rieu	id=g:1568386
Riệng Thượng	id=g:1568387
Ðộng Riang Tuan	id=g:1568388
Ngok Riang	id=g:1568389
Dông Riang	id=g:1568390
Ia Rian	id=g:1568391
Riam To Quanh	id=g:1568392
Da Riam	id=g:1568393
Nor Ria	id=g:1568394
Hòn Ria	id=g:1568395
Rịa	id=g:1568396
Chư R'hung	id=g:1568397
Da R”holl	id=g:1568398
Ia Rhna	id=g:1568399
Dak Rhéo	id=g:1568400
Rhan Plang	id=g:1568401
Rhang Ung (3)	id=g:1568402
Rhang Téh	id=g:1568403
Rhang Sa	id=g:1568404
Rhang Bott	id=g:1568405
R”han Blang (2)	id=g:1568406
R”han Blang (1)	id=g:1568407
Chư R’ha Dang	id=g:1568408
Rha	id=g:1568409
B”nöm R”gnoè	id=g:1568410
Dak Rgniet	id=g:1568411
Chư Rgné	id=g:1568412
Da R”gnao	id=g:1568413
Da Rgna	id=g:1568414
Yan Reum	id=g:1568415
Suối Rết	id=g:1568416
Sông Rết	id=g:1568417
Île du Repère	id=g:1568418
Houei Reng	id=g:1568419
Mine René	id=g:1568420
Suối Ren	id=g:1568421
Hòn Ré Lớn	id=g:1568422
Ðộng Re Lao	id=g:1568423
Dang Reich	id=g:1568424
Red River	id=g:1568425
Ia Rébang	id=g:1568426
Sông Re	id=g:1568427
Rạch Rễ	id=g:1568428
Núi Rề	id=g:1568429
Khao Re	id=g:1568430
Dak Re	id=g:1568431
Cù Lao Ré	id=g:1568432
Da R”dôn	id=g:1568433
Kong R”de	id=g:1568434
Da R”da	id=g:1568435
R”da	id=g:1568436
Ðak R'chung	id=g:1568437
Yuk Rchong	id=g:1568438
R”chay Dung	id=g:1568439
Yuk R”cap	id=g:1568440
Da R”cao	id=g:1568441
Da R”but	id=g:1568442
R'bout Yô	id=g:1568443
R'bout Ðeung	id=g:1568444
Cao Nguyên R”bout	id=g:1568445
Ea Rboa	id=g:1568446
Da R”bno	id=g:1568447
Ea R”bine	id=g:1568448
Yok R”beu	id=g:1568449
Ea Rbeu	id=g:1568450
Dak R”baye	id=g:1568451
Sông Ray	id=g:1568452
Rau Xa	id=g:1568453
Rạch Rau Dừa	id=g:1568454
Kinh Rau Cầu	id=g:1568455
Rata Linché (1)	id=g:1568456
Suối Rát	id=g:1568457
Rạch Rạt	id=g:1568458
Youk Rassome	id=g:1568459
Ra Rang	id=g:1568460
Ðộng Râp	id=g:1568461
Rạo Trạch	id=g:1568462
Sông Rao Reng	id=g:1568463
Sông Rào Quán	id=g:1568464
Rào Qua	id=g:1568465
Ngọn Rào Pheo	id=g:1568466
Rao Ngay	id=g:1568467
Rào Môc Xóm	id=g:1568468
Núi Rao	id=g:1568469
Ngòi Rào	id=g:1568470
Hang Rao	id=g:1568471
Ðak Ranng	id=g:1568472
Rành Rành	id=g:1568473
Kinh Ranh Láng	id=g:1568474
Kinh Ranh Hạt	id=g:1568475
Khău Ranh	id=g:1568476
Rang Rang	id=g:1568477
Rằng Rảng	id=g:1568478
Núi Răng Cưa	id=g:1568479
Núi Răng Cưa	id=g:1568480
Sông Rang	id=g:1568481
Chư Rang	id=g:1568482
Randit	id=g:1568483
Hòn Răn Của	id=g:1568484
Bù Ran	id=g:1568485
Suối Râm	id=g:1568486
Ea Ral	id=g:1568487
Ya Rai	id=g:1568488
Núi Rài	id=g:1568489
Hòn Rái	id=g:1568490
Dak Rai	id=g:1568491
Co Rai	id=g:1568492
Rah	id=g:1568493
Rạch Ra Ghe	id=g:1568494
Ra Cô Ấp	id=g:1568495
Kinh Rạch Vọp	id=g:1568496
Rạch Tre	id=g:1568497
Suối Rạch Trầu	id=g:1568498
Kinh Rạch Trà	id=g:1568499
