Bản A Ma	id=g:1591223
Suối Bà Nam	id=g:1591224
Ba Nam	id=g:1591225
Ban A Lè Bo	id=g:1591226
Bản A La	id=g:1591227
Chư Banak	id=g:1591228
Ban Ai Nu	id=g:1591229
Banai	id=g:1591230
Ban Ae Lai	id=g:1591231
Ban A Choc	id=g:1591232
Bản Ac	id=g:1591233
Khé Bana	id=g:1591234
Ba Na	id=g:1591235
Ba Na	id=g:1591236
Ba Na	id=g:1591237
Rạch Bần	id=g:1591238
Rạch Bần	id=g:1591239
Phu Ban	id=g:1591240
Nam Ban	id=g:1591241
Nam Ban	id=g:1591242
Houei Ban	id=g:1591243
Cù Lao Bàn	id=g:1591244
Núi Ba Mụ	id=g:1591245
Bá Mối	id=g:1591246
Sông Ba M'lah	id=g:1591247
Bam Chan	id=g:1591248
Île aux Bambous	id=g:1591249
Núi Bambouille	id=g:1591250
Bam Bo	id=g:1591251
Nước Bamao	id=g:1591252
Ba Ma Dang	id=g:1591253
Ngòi Bam	id=g:1591254
Ðổng Bàm	id=g:1591255
Ba Lương	id=g:1591256
Ba Lương	id=g:1591257
Bà Lương	id=g:1591258
Quần Ðảo Ba Lua	id=g:1591259
Ðắc Ba Lu	id=g:1591260
Ba Lòng	id=g:1591261
Núi Bà Lón	id=g:1591262
Kinh Bà Loan	id=g:1591263
Youk Balma	id=g:1591264
Ba Lien	id=g:1591265
Khé Ba Lé	id=g:1591266
Ðộng Ba Lé	id=g:1591267
Bà Lế	id=g:1591268
Ba La (1)	id=g:1591269
Ba Lay	id=g:1591270
Cửa Ba Lạt	id=g:1591271
Ga Bà Láp	id=g:1591272
Rạch Bà Lào	id=g:1591273
Núi Ba Lào	id=g:1591274
Cao Ba Lanh	id=g:1591275
Mũi Ba Lang An	id=g:1591276
Suối Bà Lăng	id=g:1591277
Rạch Bà Lang	id=g:1591278
Ba Lăng	id=g:1591279
Ba Lang	id=g:1591280
Balan	id=g:1591281
Ba Lan	id=g:1591282
Rạch Bà Lâm	id=g:1591283
Bá Lam	id=g:1591284
Sông Ba Lai	id=g:1591285
Cửa Ba Lai	id=g:1591286
Chư Bala	id=g:1591287
Ba La	id=g:1591288
Ea Bal	id=g:1591289
Sông Ba Kỳ	id=g:1591290
Núi Ba Koum	id=g:1591291
Mũi Ba Kiềm	id=g:1591292
Bà Khẹt	id=g:1591293
Kinh Ba Kheo	id=g:1591294
Ba Khè	id=g:1591295
Bá Khề	id=g:1591296
Ba Keo	id=g:1591297
Rạch Ba Kè	id=g:1591298
Hauts-fonds de Ba Ké	id=g:1591299
Bak Dap	id=g:1591300
Nước Ba Jui	id=g:1591301
Bái Xuyên	id=g:1591302
Bái Xim	id=g:1591303
Rạch Bãi Xàu	id=g:1591304
Bãi Xàu	id=g:1591305
Bãi Xa	id=g:1591306
Núi Bãi Voi	id=g:1591307
Bai Vạn Xóm	id=g:1591308
Bái Uyên	id=g:1591309
Bãi Tre	id=g:1591310
Bãi Tranh	id=g:1591311
Bai Trach Ha	id=g:1591312
Bài Thượng	id=g:1591313
Bái Thượng	id=g:1591314
Bái Thượng	id=g:1591315
Bãi Thảo	id=g:1591316
Bài Thang	id=g:1591317
Bai Tai	id=g:1591318
Bai Sương	id=g:1591319
Pointe Bai Sau	id=g:1591320
Mũi Bãi Sao	id=g:1591321
Suối Bai Sang	id=g:1591322
Bai Nua	id=g:1591323
Mũi Bãi Nồm	id=g:1591324
Núi Bái Nang	id=g:1591325
Bãi Một	id=g:1591326
Bãi Man	id=g:1591327
Îles Bai Ma Lieng	id=g:1591328
Île de Bai Luoi	id=g:1591329
Bài Liệt	id=g:1591330
Bài Lâm	id=g:1591331
Mũi Bãi Khem	id=g:1591332
Núi Bai Héou	id=g:1591333
Núi Bãi Gốc	id=g:1591334
Bai Giao	id=g:1591335
Bai Gai	id=g:1591336
Bài Dương	id=g:1591337
Bái Ðức Thôn	id=g:1591338
Bai Ðơp	id=g:1591339
Sông Bãi Ðồn	id=g:1591340
Bái Ðô	id=g:1591341
Núi Bải Dinh	id=g:1591342
Bái Ðao	id=g:1591343
Bai Ðanh	id=g:1591344
Bái Ðăng	id=g:1591345
Dãy Núi Bãi Ðại	id=g:1591346
Bai Da	id=g:1591347
Bái Ða	id=g:1591348
Mũi Bãi Chướng	id=g:1591349
Bãi Chỏi	id=g:1591350
Bai Chay	id=g:1591351
Núi Bại Cây Tất	id=g:1591352
Bai Cạo	id=g:1591353
Bãi Cao	id=g:1591354
Bãi Cao	id=g:1591355
Hòn Bãi Cạnh	id=g:1591356
Bai Ca	id=g:1591357
Bãi Bo18n	id=g:1591358
Bái Ân	id=g:1591359
Núi Bai	id=g:1591360
Nam Bai	id=g:1591361
Ðồi Bài	id=g:1591362
Coc Bai	id=g:1591363
Bà Huỳnh	id=g:1591364
Ba Hưng	id=g:1591365
Núi Ba Hùng	id=g:1591366
Núi Bahoua	id=g:1591367
Vịnh Ba Hòn	id=g:1591368
Núi Ba Hòn	id=g:1591369
Kinh Ba Hòn	id=g:1591370
Ba Hòn	id=g:1591371
Ba Hoi	id=g:1591372
Bá Hoàng	id=g:1591373
Núi Bá Hô	id=g:1591374
Rạch Ba Hinh	id=g:1591375
Rạch Bà Hiền	id=g:1591376
Ba Hi	id=g:1591377
Bah Diou	id=g:1591378
Suối Bà Hào	id=g:1591379
Suối Bà Hào	id=g:1591380
Núi Bá Hâo	id=g:1591381
Sông Ba Hanh	id=g:1591382
Sông Bà Hai	id=g:1591383
Sông Baha	id=g:1591384
Bá Hạ	id=g:1591385
Rạch Bà Giồng	id=g:1591386
Sông Bà Giỏi	id=g:1591387
Núi Ba Gioi	id=g:1591388
Chư Ba Giam	id=g:1591389
Baghe	id=g:1591390
Ba Gen	id=g:1591391
Suối Bà Ét	id=g:1591392
Ba Dương Thi	id=g:1591393
Bá Dương Nội	id=g:1591394
Bà Dương	id=g:1591395
Ba Dương	id=g:1591396
Bả Duộc	id=g:1591397
Mũi Bà Dú	id=g:1591398
Sông Ba Dọng	id=g:1591399
Bâ Ðông	id=g:1591400
Ba Ðông	id=g:1591401
Núi Bà Ðội	id=g:1591402
Ba Ðộc (4)	id=g:1591403
Ba Ðộc (2)	id=g:1591404
Ba Ðộc (1)	id=g:1591405
Ba Ðộc	id=g:1591406
Bà Ðie18m	id=g:1591407
Bà Ðét	id=g:1591408
Núi Bà Ðen	id=g:1591409
Ba Ðên	id=g:1591410
Ba Da (1)	id=g:1591411
Badat	id=g:1591412
Sông Bâ Ðáp	id=g:1591413
Ba Dao	id=g:1591414
Rạch Bà Ðăng	id=g:1591415
Núi Bà Ðặng	id=g:1591416
Khé Ba Dang	id=g:1591417
Kinh Bà Ðầm	id=g:1591418
Rạch Bà Ðái	id=g:1591419
Núi Bả Ðài	id=g:1591420
Baie de Ba Dai	id=g:1591421
Bắc Yên	id=g:1591422
Bắc Xảo	id=g:1591423
Bác Vọng	id=g:1591424
Bac Van	id=g:1591425
Bac Vai (2)	id=g:1591426
Kinh Bắc Trang	id=g:1591427
Bac Tiên Trai	id=g:1591428
Bắc Thuận	id=g:1591429
Bắc Tà Tuôm	id=g:1591431
Bắc Tắn Trai	id=g:1591432
Bắc Tăng (2)	id=g:1591433
Bắc Tà	id=g:1591434
Bắc Sơn	id=g:1591435
Bắc Sớn	id=g:1591436
Bâc Ruông	id=g:1591437
Bac Re	id=g:1591438
Bac Quéo	id=g:1591439
Bắc Quang	id=g:1591440
Bac Quang	id=g:1591441
Bac Po Poan (1)	id=g:1591442
