Iwey	id=g:2136806
Itounga	id=g:2136807
Pointe Itoto	id=g:2136808
Baie Iteing	id=g:2136809
Inwa Itchasès	id=g:2136810
Itas	id=g:2136811
Itamotou	id=g:2136812
Itakoma	id=g:2136813
Baie de l’ Itaé	id=g:2136814
Itaé	id=g:2136815
Isino	id=g:2136816
Nétchan Isinègen	id=g:2136817
Inwa Isia	id=g:2136818
Isia	id=g:2136819
Baie de l’ Isel	id=g:2136820
Isel	id=g:2136821
Baie Isavéraro	id=g:2136822
Isavaï	id=g:2136823
Isarkey	id=g:2136824
Isangel	id=g:2136825
Isaka	id=g:2136826
Iririki Island	id=g:2136827
Iriré	id=g:2136828
Pointe Irinangélévo	id=g:2136829
Irhan	id=g:2136830
Nétchan Iréva	id=g:2136831
Ireupuow	id=g:2136832
Ipeukel	id=g:2136833
Ipenyen	id=g:2136834
Ipayato	id=g:2136835
Ipao	id=g:2136836
Baie Iowakwana	id=g:2136837
Inyeug	id=g:2136838
Inwoumkalao	id=g:2136839
Inwoumetch	id=g:2136840
Inwooutié	id=g:2136841
Invanou	id=g:2136842
Inter	id=g:2136843
Récif Intao	id=g:2136844
Mount Inrerow Atamein	id=g:2136845
Récif Inmâl	id=g:2136846
Iniéri	id=g:2136847
Inwa Iniamét	id=g:2136848
Iniamét	id=g:2136849
Inépéi	id=g:2136850
Indoubton	id=g:2136851
Nafayava Inap	id=g:2136852
Inap	id=g:2136853
Imwaya	id=g:2136854
Imwareupo	id=g:2136855
Imwapeul	id=g:2136856
Imwafeun	id=g:2136857
Imtsitsi	id=g:2136858
Inwa Imtania	id=g:2136859
Imreang	id=g:2136860
Impongkor	id=g:2136861
Immeus	id=g:2136862
Imlao	id=g:2136863
Imé	id=g:2136864
Imareukak	id=g:2136865
Imalé	id=g:2136866
Imaki	id=g:2136867
Ilpweutou	id=g:2136868
Ilpar	id=g:2136869
Iliwaba	id=g:2136870
Ilisilis	id=g:2136871
Iléreup	id=g:2136872
Ilépapo	id=g:2136873
Ilava	id=g:2136874
Ilamré	id=g:2136875
Ikouroup	id=g:2136876
Ikounap	id=g:2136877
Ikounala	id=g:2136878
Ikiyoo	id=g:2136879
Ikeupo	id=g:2136880
Ikaseukwi	id=g:2136881
Ikaokao	id=g:2136882
Ikahakahak	id=g:2136883
Nafayava Ijeptzav	id=g:2136884
Inwa Ijeptzav	id=g:2136885
Ijeptzav	id=g:2136886
Iilé	id=g:2136887
Ignal	id=g:2136888
Ifo	id=g:2136889
Ifira Island	id=g:2136890
Iétop	id=g:2136891
Ietkar	id=g:2136892
Iasoa	id=g:2136893
Pointe Iarropoewi	id=g:2136894
Baie Iaouwatout	id=g:2136895
Iaosaou	id=g:2136896
Baie Ialounbilip	id=g:2136897
Iakobone	id=g:2136898
Ia	id=g:2136899
Tavani Hourrata	id=g:2136900
Hourma	id=g:2136901
Hounnbank	id=g:2136902
Houné	id=g:2136903
Ruisseau de Houlé	id=g:2136904
Passage Houlé	id=g:2136905
Houlé	id=g:2136906
Houbikou	id=g:2136907
Hotnonsouban	id=g:2136908
Horrok	id=g:2136909
