Al ‘Aqm	id=g:402496
Al Mazarīyah	id=g:402497
An Nājiyah	id=g:402498
Jabal Şubḩān	id=g:402499
Maḩall al ‘Arāyā	id=g:402500
Jabal ath Thuwayr	id=g:402501
Nabqah	id=g:402502
Bahkah	id=g:402503
As Sabal	id=g:402504
Al Qufl	id=g:402505
Qamarīyah	id=g:402506
Jabal Habbān	id=g:402507
Kidf al Ma‘ātibah	id=g:402508
Kidf	id=g:402509
Jabal Ma‘yan	id=g:402510
Al Jalb	id=g:402511
Jabal ash Shā’im	id=g:402512
Jabal Qaynah	id=g:402513
Bayt al Yisrī	id=g:402514
Masyab	id=g:402515
Dhūmā	id=g:402516
Jabal Radmān	id=g:402517
Radmān	id=g:402518
Jabal Māni‘	id=g:402519
Qarn Farḑ	id=g:402520
Al Marāşib	id=g:402521
Jabal aş Şu‘aydī	id=g:402522
Jabal Raḩbah	id=g:402523
Wādī Maḩaḑān	id=g:402524
Jabal al Qā’imah	id=g:402525
Şayḩ	id=g:402526
Bayt Sa‘d	id=g:402527
Qā‘ al Baṭaḩah	id=g:402528
Barḩān	id=g:402529
Qā‘ Barḩān	id=g:402530
Jabal Zubayd	id=g:402531
Maḩaḑān	id=g:402532
Muslim	id=g:402533
Jabal al Maḩrathī	id=g:402534
‘Urr ‘Awand	id=g:402535
Al Lakamah	id=g:402536
Ḩanaḑān	id=g:402537
Wādī al Mā‘iz	id=g:402538
Raḑam	id=g:402539
Jabal Bayt Sha’i‘	id=g:402540
Ar Rufī‘	id=g:402541
Maḩall al Bukayrah	id=g:402542
Wādī Bayt Ţallān	id=g:402543
Al Kadan	id=g:402544
Al Mawbid	id=g:402545
Nāşirī	id=g:402546
Al Maḩāriq	id=g:402547
Qā‘ al Jarīb	id=g:402548
Mabrūt	id=g:402549
Shulayḩ	id=g:402550
Al ‘Ashawān	id=g:402551
Al Kuwayrah	id=g:402552
Qā‘ Ţaysān	id=g:402553
Al Ḩusaynīyah	id=g:402554
Kawlat ash Shā’ib	id=g:402555
Bayt ad Dayl	id=g:402556
Maḩall al ‘Abīd	id=g:402557
Maḩall Aḩmad Muḩammad	id=g:402558
Qā‘ Bayt ad Dayl	id=g:402559
Jabal al ‘Urr	id=g:402560
Ḩişn Shamāt	id=g:402561
Al Ḩarf	id=g:402562
‘Urrat al Qaşabah	id=g:402563
Aş Şaraḩah	id=g:402564
Az̧ Z̧uhār al Asfal	id=g:402565
Maḩall al Ashrāf	id=g:402566
Dharḩān	id=g:402567
Şabārīyah	id=g:402568
Ḩişn al ‘Arūs	id=g:402569
Al Madāfin	id=g:402570
‘Urr aḑ Ḑaw’	id=g:402571
Ad Dāḩir	id=g:402572
Bayt Qaţīnah	id=g:402573
Jabal Mayfa‘ah	id=g:402574
Maḩall al ‘Abīd	id=g:402575
Jaw‘ān	id=g:402576
Duḩrah	id=g:402577
Madām	id=g:402578
Al Ḩajar	id=g:402579
Al Fishsh	id=g:402580
Bayt ‘Abd Allāh	id=g:402581
Al Mi‘rāj	id=g:402582
Dayr ar Ranfah	id=g:402583
Az̧ Z̧uhār al A‘lá	id=g:402584
Al Fiqrah	id=g:402585
Qā‘ Ḑabyān	id=g:402586
Az̧ Z̧afīr	id=g:402587
Qā‘ al Munaqqab	id=g:402588
Al Kawlah	id=g:402589
Al Maḩjar	id=g:402590
Bayt al Mulaykī	id=g:402591
Bayt Shahm	id=g:402592
Bayt Shadhdhān	id=g:402593
Bayt Quşaylah	id=g:402594
Bayt Mulayk	id=g:402595
Wādī Ghazwān	id=g:402596
Al Miḩsām	id=g:402597
Bayt ‘Īsá	id=g:402598
Khalaqah	id=g:402599
Al Kharshah	id=g:402600
Ḩajar Sa‘īd	id=g:402601
‘Izzān	id=g:402602
Bāb an Nāqah	id=g:402603
Ash Sharj	id=g:402604
Wādī al Markh	id=g:402605
Al Mikhsā’	id=g:402606
Al Mu‘tariḑ	id=g:402607
Khurshubah	id=g:402608
‘Izzān	id=g:402609
Maḩall Qaḩmūs	id=g:402610
‘Īsīyah	id=g:402611
Dayr al Hujārī	id=g:402612
Maḩall az Zināqah	id=g:402613
Al Ya‘qūbīyah	id=g:402614
Darmā’	id=g:402615
Dayr al Khushmū‘	id=g:402616
Dayr Mūsá	id=g:402617
Dayr Juraynah	id=g:402618
Al Hayj	id=g:402619
Al Mikshā	id=g:402620
Dayr as Sādah	id=g:402621
Al Ḩayd	id=g:402622
Qaryat al Mishwāf	id=g:402623
Al Kabbah	id=g:402624
Dayr Zinqāḩ	id=g:402625
Faydar	id=g:402626
Al Qurayn	id=g:402627
Al Ḩabīl	id=g:402628
Dayr Juraynah	id=g:402629
Al Khaţwah	id=g:402630
Dayr ‘Ubayd	id=g:402631
Jabal ‘Āniz	id=g:402632
Ad Diman	id=g:402633
Az̧ Zuhrah	id=g:402634
Jabal Quraḩ	id=g:402635
Jabal Ghurbah	id=g:402636
Al Ḩuşayn	id=g:402637
Jabal Buraysh	id=g:402638
Al Ḩişn	id=g:402639
Jabal al Ḩişn	id=g:402640
Al Bashāwil	id=g:402641
An Najd	id=g:402642
Ḩizz al Ashrāf	id=g:402643
Jabal Aḩmām	id=g:402644
Ḩizz aş Şarmayn	id=g:402645
Jabal Suhwā‘	id=g:402646
Jabal ‘Ajāsh	id=g:402647
Ḩizz al Mushāharah	id=g:402648
Bayt Jurayd	id=g:402649
Sūq as Sabt	id=g:402650
Jabal al Madhābiḩah	id=g:402651
Şu‘ūţ	id=g:402652
Maḩall al Jirb	id=g:402653
Ḩuţayb	id=g:402654
Maḩall al Qādirī	id=g:402655
Al Jirmah	id=g:402656
Jabal Bayt Malaḩ	id=g:402657
Dayr al Kubayḩ	id=g:402658
Madārah	id=g:402659
Dayr Kaynah	id=g:402660
Jabal Kurān	id=g:402661
Al ‘Arīf	id=g:402662
Wādī al ‘Arīf	id=g:402663
Wādī Banī Shaddād	id=g:402664
Dayr al Marīdī	id=g:402665
Wādī Nabhān	id=g:402666
Al Jarr	id=g:402667
Ad Duraymah	id=g:402668
Zawmī	id=g:402669
Kabbat Mujaymish	id=g:402670
Jabal Ta‘izz	id=g:402671
Banī Shaddād	id=g:402672
Maḩall al Bakārīyah	id=g:402673
Maḩall al Ja‘al	id=g:402674
Wādī al ‘Āriḑ	id=g:402675
Ḩazwah	id=g:402676
Banī Zā’id	id=g:402677
Aş Şalūl	id=g:402678
Az̧ Z̧ahrah	id=g:402679
Banī Murrah	id=g:402680
Lakamat al Mi‘qāb	id=g:402681
Qaryat al ‘Iţāfīyah	id=g:402682
Lakamat al Kurūf	id=g:402683
Jabal Aqna‘	id=g:402684
Bayt al ‘Alī	id=g:402685
Jabal al Qārah	id=g:402686
Jabal al Ḩajūf	id=g:402687
Jabal Qarn Ḩaţab	id=g:402688
Wādī al Bi’r	id=g:402689
Jabal al Mithammah	id=g:402690
Ad Dā’ir	id=g:402691
Ar Riḩābī	id=g:402692
Qā‘ Ibn Mahdī	id=g:402693
Wādī al Ḩannah	id=g:402694
