Shi‘b Hājir	id=g:7344167
Qarn ‘Alī	id=g:7344168
Al ‘Arḑ	id=g:7344169
Qal‘at Ḩamīd	id=g:7344170
Najd al Maghāwirah	id=g:7344171
Qashshah	id=g:7344172
Al Kābah	id=g:7344173
Bayt as Salāmah	id=g:7344174
Bayt Shamlah	id=g:7344175
Dhahbān	id=g:7344176
Al Mahādilah	id=g:7344177
Niswī	id=g:7344178
Jabal Niswī	id=g:7344179
Az Zuraybīyah	id=g:7344180
Al Quţayfah	id=g:7344181
Bayt Ţafyān	id=g:7344182
Ar Rawnah	id=g:7344183
Al ‘Ūlah	id=g:7344184
Sabāḩīyah	id=g:7344185
Buraymah	id=g:7344186
Dhirā‘ Banī Ţalḩah	id=g:7344187
Wādī Shughaymah	id=g:7344188
Z̧ahr al Būţayr	id=g:7344189
Wādī adh Dhirā‘	id=g:7344190
Duman	id=g:7344191
Al Qarā‘ī	id=g:7344192
Jabal al Mashabbah	id=g:7344193
Sambah	id=g:7344194
Shughaymah	id=g:7344195
Al Juruf	id=g:7344196
Al Ḩishwah	id=g:7344197
Maḩall as Sulūf	id=g:7344198
Maḩall Sahl al Qarā‘ī	id=g:7344199
Al Ḩadd	id=g:7344200
Jabal Banī Ḩārithah	id=g:7344201
Banī Ḩārithah	id=g:7344202
Dhirā‘ ar Rayb	id=g:7344203
Midba‘ah	id=g:7344204
Wādī al Khaww	id=g:7344205
Al Khaww	id=g:7344206
Aş Şāfiyah	id=g:7344207
Wādī al ‘Annāşī	id=g:7344208
Kirdimah	id=g:7344209
Al ‘Annāşī	id=g:7344210
Jabal ash Shabakah	id=g:7344211
Qaryat al Ghayl	id=g:7344212
Sūq ad Dām	id=g:7344213
Ash Shabakah	id=g:7344214
Wādī Ḩaqbah	id=g:7344215
Maḩall Banī Ḩamzah	id=g:7344216
Bayt al Ghārib	id=g:7344217
Maḩall ash Sharqī Banī ash Shawmī	id=g:7344218
Wādī Kurmān	id=g:7344219
Ar Raḩabah	id=g:7344220
Ad Dumaysh	id=g:7344221
Ash Shilwah	id=g:7344222
Maḩall Kurmān	id=g:7344223
Al Jārah	id=g:7344224
Al Maḩjar	id=g:7344225
Jabal Baḑ‘ah	id=g:7344226
Bi’r ‘Ā’iḑ	id=g:7344227
Bayt Sallāb	id=g:7344228
Al Marḩah	id=g:7344229
Wādī Qāsim	id=g:7344230
Dha‘wān	id=g:7344231
Bayt aḑ Ḑul‘ī	id=g:7344232
Bayt Sha‘lal	id=g:7344233
Idān	id=g:7344234
Bayt Shā’i‘	id=g:7344235
Ad Diqrārī	id=g:7344236
Al ‘Amrī	id=g:7344237
Al Maşlah	id=g:7344238
Banī Ḩumayd	id=g:7344239
Al Jir‘ān	id=g:7344240
