Kaulela	id=g:991600
Kaukwe	id=g:991601
Kaukpan	id=g:991602
Katzenberg	id=g:991603
Ka-Tumbu	id=g:991604
Kattegatspruit	id=g:991605
Kattegat	id=g:991606
Katspruit	id=g:991607
Katspruit	id=g:991608
Katspruit	id=g:991609
Katspruit	id=g:991610
Katsloot	id=g:991611
Katsibane	id=g:991612
Ka-Tshituugulwani	id=g:991613
Katsenberg	id=g:991614
Ka-Tsatsawani	id=g:991615
Ka-Tsakani	id=g:991616
Katsagaeslokasie	id=g:991617
Katryntjiespruit	id=g:991618
Katrivierdam	id=g:991619
Katrivier	id=g:991620
Katrivier	id=g:991621
Katrivier	id=g:991622
Katrivier	id=g:991623
Katrivier	id=g:991624
Kat River Mouth	id=g:991625
Katrinasrust	id=g:991626
Katoen	id=g:991627
Katoen	id=g:991628
Katoemspruit	id=g:991629
Katnael	id=g:991630
Katlehong	id=g:991631
Katlehong	id=g:991632
Katlani	id=g:991633
Katlaagte	id=g:991634
Kat Kops Kolke	id=g:991635
Katkoprivier	id=g:991636
Katkoppe	id=g:991637
Katkopkolk	id=g:991638
Katkop	id=g:991639
Katkop	id=g:991640
Katkop	id=g:991641
Katkop	id=g:991642
Katkop	id=g:991643
Katkop	id=g:991644
Katkop	id=g:991645
Katkop	id=g:991646
Katkop	id=g:991647
Katkop	id=g:991648
Katkop	id=g:991649
Katkop	id=g:991650
Kat Kop	id=g:991651
Katkloof	id=g:991652
Katkloof	id=g:991653
Katjieskraalrivier	id=g:991654
Katjieskop	id=g:991655
Katjieskloof	id=g:991656
Katjie se Kop	id=g:991657
Katjiesberg	id=g:991658
Katjiesberg	id=g:991659
Katjiesberg	id=g:991660
Katjes Fontein	id=g:991661
Katinyanga	id=g:991662
Kathu Forest Reserve	id=g:991663
Kathu	id=g:991664
Kathu	id=g:991665
Kathu	id=g:991666
Kathu	id=g:991667
Kathoek	id=g:991668
Kat Hoek	id=g:991669
Ka-Thlothloma	id=g:991670
Ka-Thlothloma	id=g:991671
Kathlamba	id=g:991672
Katfontein	id=g:991673
Kate’s Hope	id=g:991674
Katema-Nedersetting	id=g:991675
Kate Hamel	id=g:991676
Katdoringsyfer	id=g:991677
Katdoringbult	id=g:991678
Katdoornput	id=g:991679
Katdoornplaat	id=g:991680
Katdoornpan	id=g:991681
Katdoornkuil	id=g:991682
Kat Doorn Kuil	id=g:991683
Katdoornkraal	id=g:991684
Katdoornkraal	id=g:991685
Katdoornkraal	id=g:991686
Katdoornbult	id=g:991687
Katdoornbosch	id=g:991688
Katbosspruit	id=g:991689
Katboslaagte	id=g:991690
Katboskuil	id=g:991691
Katbosch Laagte	id=g:991692
Katboschfontein	id=g:991693
Katboschfontein	id=g:991694
Katboschfontein	id=g:991695
Katboschfontein	id=g:991696
Katbosch	id=g:991697
Kat Bosch	id=g:991698
Katbergpas	id=g:991699
Katberge	id=g:991700
Katberg	id=g:991701
Katberg	id=g:991702
Katberg	id=g:991703
Kataza	id=g:991704
Katana	id=g:991705
Katakura	id=g:991706
Ka-Sunduza	id=g:991707
Kastrolnek	id=g:991708
Kasteelkoppies	id=g:991709
Kasteelkop	id=g:991710
Kasteelkop	id=g:991711
Kasteelkoo	id=g:991712
Kasteel	id=g:991713
Kassel	id=g:991714
Kas se Hoek	id=g:991715
Kasrant	id=g:991716
Kaspersnekrivier	id=g:991717
Kaspersnek	id=g:991718
Kaspersnek	id=g:991719
Kaspersdraai	id=g:991720
Kaspers Draai	id=g:991721
Kaspers Draai	id=g:991722
Kasouga Road	id=g:991723
Kasougarivier	id=g:991724
Kasouga	id=g:991725
Kasjet	id=g:991726
Ka-Siyandhani	id=g:991727
Ka-Sibhejane	id=g:991728
Kashmir	id=g:991729
Ka-Shigamane	id=g:991730
Ka-Shigamane	id=g:991731
Kasey	id=g:991732
Ka-Sekatulane	id=g:991733
Kaschula	id=g:991734
Kasarmberge	id=g:991735
Kasa-Mia	id=g:991736
Kasa	id=g:991737
Kasa	id=g:991738
Karvloer	id=g:991739
Karup	id=g:991740
Karsriviervlei	id=g:991741
Karsrivier	id=g:991742
Karsrivier	id=g:991743
Kars Rivier	id=g:991744
Kars	id=g:991745
Karroo-Vlakte	id=g:991746
Karroo Spruit	id=g:991747
Karrooside	id=g:991748
Karrooside	id=g:991749
Karroobult	id=g:991750
Karroo	id=g:991751
Karringmelksrivier	id=g:991752
Karringmelkspruit	id=g:991753
Karringmelkspan	id=g:991754
Karringmelkskolk	id=g:991755
Karringmelkkop	id=g:991756
Karringmelkkloof	id=g:991757
Karringmelk	id=g:991758
Karriebosdrift	id=g:991759
Karrieboschdrift	id=g:991760
Karriebos	id=g:991761
Karridene	id=g:991762
Karridene	id=g:991763
Karre River	id=g:991764
Karre River	id=g:991765
Karree Stomp Outspan	id=g:991766
Karreestomp	id=g:991767
Karreespruit	id=g:991768
Karree Rivier	id=g:991769
Karreeputs	id=g:991770
Karree Puts	id=g:991771
Karreepoort	id=g:991772
Karreepoort	id=g:991773
Karreepoort	id=g:991774
Karreeplaat	id=g:991775
Karreepan	id=g:991776
Karreepan	id=g:991777
Karreepan	id=g:991778
Karreepan	id=g:991779
Karree Nek	id=g:991780
Karreeleegte	id=g:991781
Karreelaagte	id=g:991782
Karreelaagte	id=g:991783
Karreekuil	id=g:991784
Karree Kuil	id=g:991785
Karree Kuil	id=g:991786
Karreekraal	id=g:991787
Karreekop	id=g:991788
Karree Kolk	id=g:991789
Karreekloof	id=g:991790
Karree Kloof	id=g:991791
Karree-Kloof	id=g:991792
Karreekloof	id=g:991793
Karreekloof	id=g:991794
Karreekloof	id=g:991795
Karree Kap	id=g:991796
Karreehoek	id=g:991797
Karreehoek	id=g:991798
Karreehoek	id=g:991799
Karreefountain	id=g:991800
Karree Fontein	id=g:991801
Karreefontein	id=g:991802
Karreefontein	id=g:991803
Karreefontein	id=g:991804
Karree Doorn	id=g:991805
Karreedam	id=g:991806
Karree Bult	id=g:991807
Karreeboskolk	id=g:991808
Karreebosch Fontein	id=g:991809
