Sisagolo	id=g:175173
Sintemba	id=g:175174
Sinsima	id=g:175175
Sinonde	id=g:175176
Sinka	id=g:175177
Singwa	id=g:175178
Singwa	id=g:175179
Singoyi	id=g:175180
Sinelingonzi	id=g:175181
Sindano	id=g:175182
Sindano	id=g:175183
Sindano	id=g:175184
Sindano	id=g:175185
Sindano	id=g:175186
Sindano	id=g:175187
Sindano	id=g:175188
Sindaila	id=g:175189
Simwenya	id=g:175190
Simwenya	id=g:175191
Simundu Hill	id=g:175192
Simulunsi Ridge	id=g:175193
Simon Simutenda	id=g:175194
Simon Nyumba	id=g:175195
Simon Nsimba	id=g:175196
Simon Kandapupwe	id=g:175197
Simon	id=g:175198
Simon	id=g:175199
Simeon Zombe	id=g:175200
Simbule	id=g:175201
Silimani	id=g:175202
Silanda	id=g:175203
Sikasaya	id=g:175204
Sikapali	id=g:175205
Sikapali	id=g:175206
Sikantende	id=g:175207
Sikamo	id=g:175208
Sikalembe	id=g:175209
Sikalala	id=g:175210
Sikai	id=g:175211
Sikafu	id=g:175212
Sichomba	id=g:175213
Sichomba	id=g:175214
Sichole	id=g:175215
Sichela	id=g:175216
Shitamina	id=g:175217
Shisona	id=g:175218
Shipalala	id=g:175219
Shinyele	id=g:175220
Shinondo	id=g:175221
Shini	id=g:175222
Shimwita	id=g:175223
Shimwenya	id=g:175224
Shimwelela	id=g:175225
Shimulundu School	id=g:175226
Shimilungu	id=g:175227
Shemu	id=g:175228
Shem	id=g:175229
Shefele	id=g:175230
Shaveri	id=g:175231
Shanyemba	id=g:175232
Shakumbu	id=g:175233
Shadrack	id=g:175234
Senkanone	id=g:175235
Senka	id=g:175236
Senga Hill Mission	id=g:175237
Senga Hill	id=g:175238
Senga Hill	id=g:175239
Senga	id=g:175240
Senda	id=g:175241
Semu	id=g:175242
Semu	id=g:175243
Sementi	id=g:175244
Selemani	id=g:175245
Selemani	id=g:175246
Satoka	id=g:175247
Sapalulwa	id=g:175248
Sanza	id=g:175249
Sanyanta	id=g:175250
Sanya	id=g:175251
Sansya	id=g:175252
Sansi	id=g:175253
Sansamwenge	id=g:175254
Sanjela	id=g:175255
Sangwapo	id=g:175256
Sanga	id=g:175257
Sanchi	id=g:175258
Samson Siyame	id=g:175259
Samson	id=g:175260
Samson	id=g:175261
Samson	id=g:175262
Samson	id=g:175263
Sampatika	id=g:175264
Samfu	id=g:175265
Sambwe	id=g:175266
Sambwe	id=g:175267
Sambwe	id=g:175268
Sambulwa	id=g:175269
Sambo	id=g:175270
Samba	id=g:175271
Samamba	id=g:175272
Saisi River	id=g:175273
Saisi River	id=g:175274
Saisi	id=g:175275
Saint Paul’s Mission	id=g:175276
Saint Mary’s Minor	id=g:175277
Saint Mary’s	id=g:175278
Sachi	id=g:175279
Ruben Kachinga	id=g:175280
Rosa Mission	id=g:175281
Rosa Landing Ground	id=g:175282
Rosa	id=g:175283
Robert Zombe	id=g:175284
Robert	id=g:175285
Pwizi	id=g:175286
Pweto	id=g:175287
Puta	id=g:175288
Pupa	id=g:175289
Pungwa	id=g:175290
Cap Pungu	id=g:175291
Pumpa	id=g:175292
Pulwe	id=g:175293
Puluwe	id=g:175294
Pule	id=g:175295
Pula	id=g:175296
Pukutu	id=g:175297
Popomozi	id=g:175298
Popomozi	id=g:175299
Ponya Hill	id=g:175300
Ponga Ponga	id=g:175301
Ponde Mission	id=g:175302
Ponde	id=g:175303
Ponde	id=g:175304
Pona	id=g:175305
Pompo	id=g:175306
Pombwe	id=g:175307
Pomba	id=g:175308
Pola	id=g:175309
Pokolwe	id=g:175310
Pimbe	id=g:175311
Philip	id=g:175312
Philip	id=g:175313
Petulo Musomali	id=g:175314
Petro Sinkala	id=g:175315
Petro Simfukwe	id=g:175316
Petelo Yumbo	id=g:175317
Penza	id=g:175318
Pensulo	id=g:175319
Pensulo	id=g:175320
Pende Pool	id=g:175321
Pemvia	id=g:175322
Pembe Lagoon	id=g:175323
Pembe	id=g:175324
Pembamoto	id=g:175325
Pemba	id=g:175326
Pemba	id=g:175327
Paulos	id=g:175328
Paulo	id=g:175329
Pate	id=g:175330
Pata	id=g:175331
Papote	id=g:175332
Paolokapepula	id=g:175333
Pansi Hill	id=g:175334
Pansa	id=g:175335
Panga Panga	id=g:175336
Pangalyambo Hill	id=g:175337
Pangala	id=g:175338
Panga	id=g:175339
Panga	id=g:175340
Pando	id=g:175341
Pambashe	id=g:175342
Pambashe	id=g:175343
Pamba	id=g:175344
Pale	id=g:175345
Palangwa	id=g:175346
Pako	id=g:175347
Opulanga	id=g:175348
Old Fife	id=g:175349
Olandi	id=g:175350
Nzochi	id=g:175351
Nzimu	id=g:175352
Nzelani	id=g:175353
Nzazi	id=g:175354
Nzanga	id=g:175355
Nyondo	id=g:175356
Nyimbwa	id=g:175357
Nyimbo Hill	id=g:175358
Nyimba	id=g:175359
Nyikangombe	id=g:175360
Nyengele	id=g:175361
Nyembe	id=g:175362
Nyela School	id=g:175363
Nyansa	id=g:175364
Nyangalala	id=g:175365
Nyanda	id=g:175366
Nyala	id=g:175367
Nyala	id=g:175368
Nunkanungu	id=g:175369
Nunga	id=g:175370
Cape Nundo	id=g:175371
Ntungwa	id=g:175372
Ntumbachushi Falls	id=g:175373
Ntumba	id=g:175374
Ntumba	id=g:175375
Ntoto	id=g:175376
Ntika	id=g:175377
Ntenke School	id=g:175378
Ntenga	id=g:175379
Ntende	id=g:175380
Ntenda	id=g:175381
Ntembo Hills	id=g:175382
Ntembe	id=g:175383
Nteko	id=g:175384
Ntavu	id=g:175385
Ntatumbila	id=g:175386
Ntanda	id=g:175387
Ntanana	id=g:175388
Ntambo	id=g:175389
Ntambe	id=g:175390
Ntambala	id=g:175391
Ntamba	id=g:175392
Ntafindila	id=g:175393
Nswamba	id=g:175394
Nsupila	id=g:175395
Nsunda	id=g:175396
Nsombezi	id=g:175397
Nsokolo	id=g:175398
Nsokolo	id=g:175399
Nsofu Ridge	id=g:175400
Nsofu	id=g:175401
Nsofu	id=g:175402
Nsofu	id=g:175403
Nshindano	id=g:175404
Nshimba	id=g:175405
Nshika	id=g:175406
Nsenga	id=g:175407
Nseluka	id=g:175408
Nsansamina	id=g:175409
Nsaniko	id=g:175410
Nsangu	id=g:175411
Nsama	id=g:175412
Nsama	id=g:175413
Nondo	id=g:175414
Nondo	id=g:175415
Nondo	id=g:175416
Nonde Hill	id=g:175417
Nonde	id=g:175418
Nonda	id=g:175419
Nombwe	id=g:175420
Nombwe	id=g:175421
Noah Siame	id=g:175422
Noah	id=g:175423
Nkute	id=g:175424
Nkusa	id=g:175425
Nkumbwe	id=g:175426
Nkumba	id=g:175427
Nkule	id=g:175428
Nkula	id=g:175429
Nkotwa	id=g:175430
Nkoshya	id=g:175431
Nkoshi	id=g:175432
Nkonzi	id=g:175433
Nkonye	id=g:175434
Nkonte Kalomoloma Plain	id=g:175435
Nkonta Island	id=g:175436
Nkongola	id=g:175437
Nkongala	id=g:175438
Nkondwe	id=g:175439
Nkomena	id=g:175440
Nkomba	id=g:175441
Nkolongo	id=g:175442
Nkolombe	id=g:175443
Nkokomoshi	id=g:175444
Nkate	id=g:175445
Nkanga	id=g:175446
Nkanda	id=g:175447
Nkamba Lodge	id=g:175448
Nkamba Bay	id=g:175449
Nkamba	id=g:175450
Nkamba	id=g:175451
Nkalwe	id=g:175452
Nkale	id=g:175453
Nkalamo	id=g:175454
Nkala Hill	id=g:175455
Njikulilwa	id=g:175456
Njesa	id=g:175457
Njelesi	id=g:175458
Njelesani	id=g:175459
Nitande Chitongo	id=g:175460
Ninga	id=g:175461
Ninga	id=g:175462
Niamkolo Village Middens	id=g:175463
Niamkolo Church	id=g:175464
Ngumbu	id=g:175465
Ngumba	id=g:175466
Ngowela	id=g:175467
Ngowela	id=g:175468
Ngoshe	id=g:175469
Ngonya	id=g:175470
Ngonsya	id=g:175471
Ngonga	id=g:175472
Ngonawankonka	id=g:175473
Ngona Inono	id=g:175474
Ngona	id=g:175475
Ngona	id=g:175476
Ngona	id=g:175477
Ngombe	id=g:175478
Ngombe	id=g:175479
Ngombe	id=g:175480
Ngombe	id=g:175481
Ngomba	id=g:175482
Ngoma	id=g:175483
Ngolo	id=g:175484
Nganze	id=g:175485
Ngandu	id=g:175486
Ngambo	id=g:175487
Ndundundu	id=g:175488
Ndota	id=g:175489
Ndolochi	id=g:175490
Ndole Bay	id=g:175491
Ndiyala	id=g:175492
Ndekwa	id=g:175493
Ndakala Village	id=g:175494
Nchinge	id=g:175495
Nchelenje	id=g:175496
Nchelenge District	id=g:175497
Nchelenge	id=g:175498
Nchelenge	id=g:175499
Nchanka	id=g:175500
Nchanka	id=g:175501
Nchanka	id=g:175502
Nawapanga Ridge	id=g:175503
Nawalozi	id=g:175504
Nausu Hill	id=g:175505
Natumumba	id=g:175506
Natendi	id=g:175507
Nashimbo	id=g:175508
Nankutu	id=g:175509
Nankumba Point	id=g:175511
Nankengulu	id=g:175512
Nangwa	id=g:175513
Nangulwe	id=g:175514
Cape Nangu	id=g:175515
Nandase	id=g:175516
Namwala	id=g:175517
Namva	id=g:175518
Namutambalala Hill	id=g:175519
Namumambwe	id=g:175520
Namuloswi	id=g:175521
Namuku	id=g:175522
Namukonde Wamikuwa	id=g:175523
Namukonda	id=g:175524
Namukonda	id=g:175525
Namukonda	id=g:175526
Namukonda	id=g:175527
Namukonda	id=g:175528
Namukale	id=g:175529
Namuchila	id=g:175530
Nampondo	id=g:175531
Nampenzu	id=g:175532
Namitowa	id=g:175533
Namilembe	id=g:175534
Namfungo	id=g:175535
Nambule	id=g:175536
Namboshi	id=g:175537
Nambo	id=g:175538
Cape Nambeyeye	id=g:175539
Namba	id=g:175540
Namasale	id=g:175541
Namantemba	id=g:175542
Namanda	id=g:175543
Namachamela	id=g:175544
Nalweya	id=g:175545
Nalutete	id=g:175546
Nalusenga	id=g:175547
Nalimanji	id=g:175548
Nalili	id=g:175549
Nalenje	id=g:175550
Nalenje	id=g:175551
Nakulu Ridge	id=g:175552
Nakonje	id=g:175553
Nakonde	id=g:175554
Nakonde	id=g:175555
Nakayanka	id=g:175556
Nakawona	id=g:175557
Nakawanensala	id=g:175558
Nakawale	id=g:175559
Nakawale	id=g:175560
Nakawale	id=g:175561
Nakatete	id=g:175562
Nakatendo	id=g:175563
Nakatende Ridge	id=g:175564
Nakatali	id=g:175565
Nakasende	id=g:175566
Nakasakalawe	id=g:175567
Nakakondola	id=g:175568
Nakakola	id=g:175569
Nakafwemfwe	id=g:175570
Nakafuliko	id=g:175571
Nakabale	id=g:175572
Nachiwanda	id=g:175573
Nachitonge	id=g:175574
Nachisolwe	id=g:175575
Nachisitu School	id=g:175576
Nachipeta	id=g:175577
Nachinse	id=g:175578
Nachilumba	id=g:175579
Nachilulu	id=g:175580
Nachamba	id=g:175581
Nabole	id=g:175582
Mzangwa	id=g:175583
Myunga	id=g:175584
Myunga	id=g:175585
Myonga	id=g:175586
Myenge	id=g:175587
Myangaluwa	id=g:175588
Myangaluba	id=g:175589
Myambo	id=g:175590
Myala	id=g:175591
Myafi	id=g:175592
Mwiyemba	id=g:175593
Mwititi	id=g:175594
Mwitasenga	id=g:175595
Mwita	id=g:175596
Mwisi	id=g:175597
Mwinshi	id=g:175598
Mwinimpangala Village	id=g:175599
Mwinimpangala	id=g:175600
Mwinechinji	id=g:175601
Mwinebala	id=g:175602
Mwina Point	id=g:175603
Mwina Point	id=g:175604
Mwila	id=g:175605
Mwila	id=g:175606
Mwikanzovu Hill	id=g:175607
Mwika	id=g:175608
Mwika	id=g:175609
Mwika	id=g:175610
Mweru Wantipa National Park	id=g:175611
Mweru Wantipa Marsh	id=g:175612
Lake Mweru Wantipa	id=g:175613
Mweru Marsh	id=g:175614
Mwepwe Falls	id=g:175615
Mwenzo Mission	id=g:175616
Mwenzo	id=g:175617
Mwenze	id=g:175618
Mwenyi	id=g:175619
Mwenya Hill	id=g:175620
Mwenya	id=g:175621
Mwenimpanza Landing Ground	id=g:175622
Mweni Malambo	id=g:175623
Mwenilezi	id=g:175624
Mwenge	id=g:175625
Mwenga	id=g:175626
Mwene Chileshe	id=g:175627
Mwendwe	id=g:175628
Mwendimashi	id=g:175629
Mwenda Hills	id=g:175630
Mwenda	id=g:175631
Mwenda	id=g:175632
Mwembe	id=g:175633
Mwemba	id=g:175634
Mwelwa	id=g:175635
Mweluwe	id=g:175636
Mwelushi	id=g:175637
Mwelu	id=g:175638
Mwelu	id=g:175639
Mwelangombe	id=g:175640
Mwelampande	id=g:175641
Mwela	id=g:175642
Mwela	id=g:175643
Mwayi	id=g:175644
Mwawe	id=g:175645
Mwatishi School	id=g:175646
Mwatishi	id=g:175647
Mwatipa	id=g:175648
Mwaongo	id=g:175649
Mwanza	id=g:175650
Mwanyanji	id=g:175651
Mwansamila	id=g:175652
Mwansakalunga	id=g:175653
Mwansa	id=g:175654
Mwansa	id=g:175655
Mwangulila	id=g:175656
Mwangishi	id=g:175657
Mwange	id=g:175658
Mwangata	id=g:175659
Mwangata	id=g:175660
Mwangashi	id=g:175661
Mwanga	id=g:175662
Mwandwizi	id=g:175663
Mwandwe	id=g:175664
Mwande	id=g:175665
Mwande	id=g:175666
Mwananzovu	id=g:175667
Mwananombwe	id=g:175668
Mwanamweshi	id=g:175669
Mwanambezuma	id=g:175670
Mwanakotwe	id=g:175671
Mwanakatwe	id=g:175672
Mwanachiya	id=g:175673
Mwanaboyi	id=g:175674
Mwamukwa	id=g:175675
Mwami	id=g:175676
Mwambwa	id=g:175677
Mwambo	id=g:175678
Mwambo	id=g:175679
Mwambeshi	id=g:175680
Mwambeshi	id=g:175681
Mwambe	id=g:175682
Mwambe	id=g:175683
Mwambayi	id=g:175684
Mwambala	id=g:175685
Mwamba	id=g:175686
Mwamba	id=g:175687
Mwalela	id=g:175688
Mwala	id=g:175689
Mwaka	id=g:175690
Mwabu	id=g:175691
Mwabishitwa	id=g:175692
Muzumwa Bay	id=g:175693
Muzombe	id=g:175694
Muzizi	id=g:175695
Muzengakaya	id=g:175696
Muyembe School	id=g:175697
Muwamba	id=g:175698
Mutwale Musakanya	id=g:175699
Mututu	id=g:175700
Mututa Ridge	id=g:175701
Mutupike	id=g:175702
Mutundi	id=g:175703
Mutunda	id=g:175704
Mutulwa	id=g:175705
Mutulamila	id=g:175706
Mutukumbi	id=g:175707
Mutuke	id=g:175708
Mutuka	id=g:175709
Mutuka	id=g:175710
Mutufuku	id=g:175711
Mutozo	id=g:175712
Mutotoshi	id=g:175713
Mutoto	id=g:175714
Mutoto	id=g:175715
Mutoshi	id=g:175716
Mutosha	id=g:175717
Mutondwe Island	id=g:175718
Mutobe	id=g:175719
Mutitinya	id=g:175720
Mutitimya	id=g:175721
Mutipe	id=g:175722
Mutimbwa	id=g:175723
Mutifume	id=g:175724
Mutengu	id=g:175725
Mutengo	id=g:175726
Mutema	id=g:175727
Mutapuka Mission	id=g:175728
Mutapa	id=g:175729
Mutanga Hill	id=g:175730
Mutanga	id=g:175731
Mutamkula	id=g:175732
Mutambanshiku	id=g:175733
Mutambalala	id=g:175734
Mutalye	id=g:175735
Mutale	id=g:175736
Mutale	id=g:175737
