Ntambu	id=g:900486
Ntambo	id=g:900487
Ntambe Ridge	id=g:900488
Ntambazina	id=g:900489
Ntambali	id=g:900490
Ntambale	id=g:900491
Ntamba	id=g:900492
Ntamakoko	id=g:900493
Ntalushya	id=g:900494
Ntale	id=g:900495
Ntalazya	id=g:900496
Ntalaziva Daila	id=g:900497
Ntalasha	id=g:900498
Ntagwiyiri Hill	id=g:900499
Ntabo	id=g:900500
Nsweshya	id=g:900501
Nswanakudya School	id=g:900502
Nswana	id=g:900503
Nsuntu	id=g:900504
Nsungu	id=g:900505
Nsungo	id=g:900506
Nsunga	id=g:900507
Nsunga	id=g:900508
Nsumbu Island	id=g:900509
Nsumbu Island	id=g:900510
Nsumbi	id=g:900511
Nsumba Village	id=g:900512
Nsuluka	id=g:900513
Nsuki	id=g:900514
Nsosye	id=g:900515
Nsonsa	id=g:900516
Nsoni	id=g:900517
Nsonga	id=g:900518
Nsonga	id=g:900519
Nsonga	id=g:900520
Nsomochila	id=g:900521
Nsombo	id=g:900522
Nsombo	id=g:900523
Nsomaulwa	id=g:900524
Nsolo	id=g:900525
Nsokosho	id=g:900526
Nsoko	id=g:900527
Nsingkanga	id=g:900528
Nsindama	id=g:900529
Nsimba	id=g:900530
Nsima	id=g:900531
Nshingo	id=g:900532
Nshimono	id=g:900533
Nshimba	id=g:900534
Nshimba	id=g:900535
Nshimba	id=g:900536
Nshila	id=g:900537
Nshashe	id=g:900538
Nsesha	id=g:900539
Nsepe	id=g:900540
Nsepawandya	id=g:900541
Nsensha	id=g:900542
Nsenga School	id=g:900543
Nsengalila	id=g:900544
Nsengalila	id=g:900545
Nsenga	id=g:900546
Nsenga	id=g:900547
Nsenga	id=g:900548
Nsemuchila	id=g:900549
Nsele	id=g:900550
Nsefu Game Reserve	id=g:900551
Nsefu	id=g:900552
Nsefu	id=g:900553
Nsefa	id=g:900554
Nsawala	id=g:900555
Nsao	id=g:900556
Nsansa Hill	id=g:900557
Nsansa	id=g:900558
Nsankula	id=g:900559
Nsanje	id=g:900560
Nsangwe	id=g:900561
Nsanguni	id=g:900562
Nsangi	id=g:900563
Nsanga	id=g:900564
Nsando	id=g:900565
Nsamfwe	id=g:900566
Nsamba	id=g:900567
Nsamba	id=g:900568
Nsamba	id=g:900569
Nsamba	id=g:900570
Nsamba	id=g:900571
Nsalushi Island	id=g:900572
Nsalu	id=g:900573
Nsalu	id=g:900574
Nsala	id=g:900575
Nsakululi Hill	id=g:900576
Nsakanya	id=g:900577
Nsakaluba Mission	id=g:900578
Nsakaluba	id=g:900579
Nsakaluba	id=g:900580
Lake Nsakalala	id=g:900581
Nsakalala	id=g:900582
Nsakalala	id=g:900583
Nsaika	id=g:900584
Nsadzu Mission	id=g:900585
Nsadzu	id=g:900586
Noyoo	id=g:900587
Noyoo	id=g:900588
Nowasi	id=g:900589
Nowash	id=g:900590
Notunganyi	id=g:900591
Nosiku	id=g:900592
Noshinga Swamp	id=g:900593
North-Western Province	id=g:900594
North Swaka Protected Forest Area	id=g:900595
North Swaka Native Reserve Number III	id=g:900596
North Mutundu	id=g:900597
North Musondweji	id=g:900598
North Luangwa National Park	id=g:900599
North Kariba Coal Locations	id=g:900600
Northern Province	id=g:900601
Luate	id=g:900602
Northern	id=g:900603
North End	id=g:900604
North Charterland Concession	id=g:900605
Norrhoadia Estate	id=g:900606
Nonwa	id=g:900607
Nongonga	id=g:900608
Nongola	id=g:900609
Nonglube	id=g:900610
Nonga	id=g:900611
Nonga	id=g:900612
Nonga	id=g:900613
Nondo	id=g:900614
Nonde	id=g:900615
Nomwana	id=g:900616
Nombi	id=g:900617
Nomai	id=g:900618
Nolwa	id=g:900619
Nokonga	id=g:900620
Nokolwe	id=g:900621
Noka	id=g:900622
Nobutu	id=g:900623
Nobala	id=g:900624
Noasukya	id=g:900625
Noanga	id=g:900626
Noala	id=g:900627
Noake	id=g:900628
Noah Nsakalula	id=g:900629
Noah Kastila	id=g:900630
Noah	id=g:900631
Nkyingwe	id=g:900632
Nkweto	id=g:900633
Nkwenze	id=g:900634
Nkwemba	id=g:900635
Nkwekwe Hills	id=g:900636
Nkawe Hills	id=g:900637
Nkwato	id=g:900638
Nkwate	id=g:900639
Nkwasa	id=g:900640
Nkwanga	id=g:900641
Nkwale Hill	id=g:900642
Nkuwa	id=g:900643
Nkutu	id=g:900644
Nkuti	id=g:900645
Nkusu	id=g:900646
Nkusi	id=g:900647
Nkusa	id=g:900648
Nkunyi Protected Forest Area	id=g:900649
Nkuntwa	id=g:900650
Nkunta	id=g:900651
Nkunkulusha	id=g:900652
Nkunku	id=g:900653
Nkungwa	id=g:900654
Nkunguyembe Hill	id=g:900655
Nkungulu	id=g:900656
Nkungu Hill	id=g:900657
Nkunga	id=g:900658
Nkundye	id=g:900659
Nkundwe	id=g:900660
Nkunduwavu	id=g:900661
Nkumesha	id=g:900662
Nkumbwa	id=g:900663
Nkumbula	id=g:900664
Nkumbula	id=g:900665
Nkumbo Hills	id=g:900666
Nkumbe	id=g:900667
Nkumba	id=g:900668
Nkumba	id=g:900669
Nkumba	id=g:900670
Nkumba	id=g:900671
Nkumashi	id=g:900672
Nkulwashi	id=g:900673
Nkulwashi	id=g:900674
Nkuluwa	id=g:900675
Nkulungwe	id=g:900676
Nkulumwenda Hill	id=g:900677
Nkulumwanechiba	id=g:900678
Nkulumbashiba	id=g:900679
Nkulumashiwa	id=g:900680
Nkulumashiwa	id=g:900681
Nkulumashiba	id=g:900682
Nkulumashiba	id=g:900683
Nkulumashiba	id=g:900684
Nkulumashiba	id=g:900685
Nkulumashiba	id=g:900686
Nkulumashiba	id=g:900687
Nkulumashiba	id=g:900688
Nkulumashiba	id=g:900689
Nkulumashiba	id=g:900690
Nkulukusa	id=g:900691
Nkulukazi	id=g:900692
Nkulo	id=g:900693
Nkulo	id=g:900694
Nkuli	id=g:900695
Nkulashi	id=g:900696
Nkulashi	id=g:900697
Nkulamena	id=g:900698
Nkulakia	id=g:900699
Nkula	id=g:900700
Nkufi	id=g:900701
Nkua	id=g:900702
Nkoya Native Reserve Number XIV	id=g:900703
Nkowe	id=g:900704
Nkowe	id=g:900705
Nkotwe	id=g:900706
Nkotonkoto	id=g:900707
Nkoto Hill	id=g:900708
Nkota	id=g:900709
Nkosia	id=g:900710
Nkonzi	id=g:900711
Nkonyanga	id=g:900712
Nkonyanga	id=g:900713
Nkonto	id=g:900714
Nkonshi	id=g:900715
Nkonkwa	id=g:900716
Nkonkonto	id=g:900717
Nkonkola	id=g:900718
Nkonko	id=g:900719
Nkonkelela	id=g:900720
Nkonkela	id=g:900721
Nkonka	id=g:900722
Nkongolo	id=g:900723
Nkonge	id=g:900724
Nkonge	id=g:900725
Nkonge	id=g:900726
Nkonga	id=g:900727
Nkonesha	id=g:900728
Nkondwa	id=g:900729
Nkondukoyu	id=g:900730
Nkondola	id=g:900731
Nkonde	id=g:900732
Nkonde	id=g:900733
Nkonda	id=g:900734
Nkomponi	id=g:900735
