Duvaduve	id=g:7453416
Chivanje	id=g:7453417
Mutemera Business Centre	id=g:7453418
Vengayi	id=g:7453419
Betera	id=g:7453420
Ngohlo	id=g:7453421
Gudo	id=g:7453422
Mutezo	id=g:7453423
Kandenga Business Centre	id=g:7453424
Mangadzi	id=g:7453425
Mhereyenyoka	id=g:7453426
Chirimudombo	id=g:7453427
Njinja	id=g:7453428
Kwenda	id=g:7453429
Chapinga	id=g:7453430
Tasaranarwo	id=g:7453431
Tarume	id=g:7453432
Mafuratidze	id=g:7453433
Rashamira	id=g:7453434
Chizema	id=g:7453435
Zimbande	id=g:7453436
Maburuse Business Centre	id=g:7453437
Rwamamhanda	id=g:7453438
Domboromusam	id=g:7453439
Kagumbudzi Ruins	id=g:7453440
Zviurana Hills	id=g:7453441
Masvingo	id=g:7453442
Mukutukutu	id=g:7453443
Mudziti	id=g:7453444
Madume	id=g:7453445
Mugumbate	id=g:7453459
Chidiro	id=g:7453460
Dzapasi	id=g:7453461
Mutunho	id=g:7453462
Hukuimwe	id=g:7453463
Hadzizi	id=g:7453464
Nheya	id=g:7453465
Utete	id=g:7453466
Matombomaviri	id=g:7453467
Mataswa	id=g:7453468
Wadzenenga	id=g:7453469
Hatinahama	id=g:7453470
Viriri	id=g:7453471
Gudo	id=g:7453472
Mangoma	id=g:7453473
Mashandu	id=g:7453474
Mapfungautsi	id=g:7453475
Magondo	id=g:7453476
Chinouya	id=g:7453477
Chief Nyashanu	id=g:7453478
Wirahuro	id=g:7453479
Tsongorera	id=g:7453480
Zumbgwiruare	id=g:7453481
Maremare	id=g:7453482
Muruwa	id=g:7453483
Nzvimbe	id=g:7453484
Barapata	id=g:7453485
Gwirahudo	id=g:7453486
Matombomaire	id=g:7453487
Manera	id=g:7453488
Hodero	id=g:7453489
Mushingaidze Business Centre	id=g:7453490
Chitubwe	id=g:7453491
Mutondoshuru	id=g:7453492
Tsima	id=g:7453493
Buhera Business Centre	id=g:7453494
Buhera Dip	id=g:7453495
Fuve	id=g:7453496
Chitupa	id=g:7453497
Mudadi	id=g:7453518
Nuyai	id=g:7453519
Rongo	id=g:7453520
Chikutuva	id=g:7453521
Chingwetu	id=g:7453522
Mujawo	id=g:7453523
Munyikwa	id=g:7453524
Gweme	id=g:7453525
Mutero	id=g:7453526
Firoumwe School	id=g:7453527
Dambo	id=g:7453528
Vinga	id=g:7453529
Chikara	id=g:7453530
Mabhonzo	id=g:7453531
Unyetu	id=g:7453532
Gato	id=g:7453533
Guto	id=g:7453534
Chomusoro	id=g:7453535
Maringe	id=g:7453536
Domborehikiti	id=g:7453537
Nguvomare	id=g:7453538
Chipfeni	id=g:7453539
Chikara School	id=g:7453540
Domborenhikiti School	id=g:7453541
Mavuzhe School	id=g:7453542
Dambara School	id=g:7453543
Guchacha School	id=g:7453544
Foto Business Centre	id=g:7453545
Mushuku Business Centre	id=g:7453546
Mufunduru Business Centre	id=g:7453547
Denhere School	id=g:7453548
Chinandira Dip	id=g:7453549
Gasva Dip	id=g:7453550
Chani Business Centre	id=g:7453551
Mandeya Store	id=g:7453552
Wete School	id=g:7453553
Mvimvi	id=g:7453554
Donhodzo	id=g:7453555
Sambira School	id=g:7453556
Noeldate	id=g:7453570
Nelville	id=g:7453571
Chief Gutu	id=g:7453572
Chengoma	id=g:7453573
Uithoek	id=g:7453574
Donodzo	id=g:7453575
Makumbe Dip	id=g:7453582
Whicho Dip	id=g:7453583
Maregedze School	id=g:7453610
Mukoroverwe Business Centre	id=g:7453611
Mupako Dip	id=g:7453612
Utsinda	id=g:7453613
Hamandishe Business Centre	id=g:7453614
Munyuki Dam	id=g:7453615
Dara	id=g:7453616
Mazhindu Dip	id=g:7453617
Dandavare	id=g:7453618
Charunza	id=g:7453619
Chinyika	id=g:7453620
Runguvuyu	id=g:7453621
Chinyika	id=g:7453622
Shoniwa Dip	id=g:7453623
Chikombingo Dip	id=g:7453624
Nyamandi Dip	id=g:7453625
Chomuraro Dip	id=g:7453626
Chesvingo	id=g:7453627
Chinyamajoti	id=g:7453628
Nharira School	id=g:7453629
Machingambi School	id=g:7453630
Masunda School	id=g:7453631
Shoniwa Business Centre	id=g:7453632
Murebwa	id=g:7453726
Kadivirire	id=g:7453749
Maramwidze	id=g:7453750
Gudo	id=g:7453751
Kefas	id=g:7453752
Chivasa	id=g:7453753
Zambara	id=g:7453754
Mukweshe	id=g:7453755
Muchaparawa	id=g:7453756
Tarwirei	id=g:7453757
Chebundo	id=g:7453758
Livisoni	id=g:7453759
