Lockwood Park	id=g:6058320
Lockwood Peak	id=g:6058321
Lockwood Rock	id=g:6058322
Lockyers Point	id=g:6058323
Lockyers Waters	id=g:6058324
Locomotive Island	id=g:6058325
Locomotive Mountain	id=g:6058326
Locust Hill	id=g:6058327
Lode Lake	id=g:6058328
Loder Peak	id=g:6058329
Loders Cove	id=g:6058330
Loders Creek	id=g:6058331
Loders Pond	id=g:6058332
Lodestone Creek	id=g:6058333
Lodestone Lake	id=g:6058334
Lodestone Lake	id=g:6058335
Lodestone Lake	id=g:6058336
Lodestone Mountain	id=g:6058337
Lodge	id=g:6058338
Lodge Bay	id=g:6058339
Lodge Bay	id=g:6058340
Lodge Channel	id=g:6058341
Lodge Creek	id=g:6058342
Lodge Creek	id=g:6058343
Lodge Creek	id=g:6058344
Lodge Lake	id=g:6058345
Lodge Lake	id=g:6058346
Lodge Lake	id=g:6058347
Lodge Lake	id=g:6058348
Lodge Lake	id=g:6058349
Lodge Lake	id=g:6058350
Lodge Mountain	id=g:6058351
Lodge Point	id=g:6058352
Lodgepole	id=g:6058353
Lodgepole Creek	id=g:6058354
Lodgepole Lake	id=g:6058355
Lodgepole Lake	id=g:6058356
Lodge Pond	id=g:6058357
Lodgeroom Corners	id=g:6058358
Lodges	id=g:6058359
Lodging Point	id=g:6058360
Lodi	id=g:6058361
Lodi Lake	id=g:6058362
Lodwick Lake	id=g:6058363
Loehr Island	id=g:6058364
Lo-Ellen	id=g:6058365
Loeppky Lake	id=g:6058366
Loewen Bay	id=g:6058367
Loewen Island	id=g:6058368
Loewen Lake	id=g:6058369
Loewen Lake	id=g:6058370
Lofquist Lake	id=g:6058371
Lofthouse Brook	id=g:6058372
Lofthouse Hill	id=g:6058373
Lofthouse Lake	id=g:6058374
Lofthouse Point	id=g:6058375
Loft Lake	id=g:6058376
Loftson Lake	id=g:6058377
Loftus Creek	id=g:6058378
Loftus Island	id=g:6058379
Loftus Lake	id=g:6058380
Loftus Lake	id=g:6058381
Lofty Lake	id=g:6058382
Lofty Lake	id=g:6058383
Lofvendahl Lake	id=g:6058384
Logan	id=g:6058385
Logan	id=g:6058386
Logan Bay	id=g:6058387
Logan Bay	id=g:6058388
Logan Bay	id=g:6058389
Logan Bay	id=g:6058390
Logan Bay	id=g:6058391
Loganberry Creek	id=g:6058392
Loganberry Lake	id=g:6058393
Logan Coulee	id=g:6058394
Logan Creek	id=g:6058395
Logan Creek	id=g:6058396
Logan Creek	id=g:6058397
Logan Creek	id=g:6058398
Logan Glacier	id=g:6058399
Logan Hill	id=g:6058400
Logan Inlet	id=g:6058401
Logan Island	id=g:6058402
Logan Island	id=g:6058403
Logan Island	id=g:6058404
Logan Lake	id=g:6058405
Logan Lake	id=g:6058406
Logan Lake	id=g:6058407
Logan Lake	id=g:6058408
Logan Lake	id=g:6058409
Logan Lake	id=g:6058410
Logan Lake	id=g:6058411
Logan Lake	id=g:6058412
Logan Lake	id=g:6058413
Logan Lake	id=g:6058414
