White Stone Lake	id=g:6181141
Whitestone Reef	id=g:6181142
Whitestone Ridge	id=g:6181143
Whitestone River	id=g:6181144
Whitestone River	id=g:6181145
Whitestone Village	id=g:6181146
White Strait	id=g:6181147
Whitesucker Lake	id=g:6181148
White Sunkers	id=g:6181149
White Swan Creek	id=g:6181150
Whiteswan Lake	id=g:6181151
Whiteswan Lake Park	id=g:6181152
Whiteswan Lakes	id=g:6181153
Whiteswan Lake (Whelan Bay) Recreation Site	id=g:6181154
Whitetail Brook	id=g:6181155
Whitetail Creek	id=g:6181156
Whitetail Creek	id=g:6181157
Whitetail Lake	id=g:6181158
Whitetail Lake	id=g:6181159
White-throat Lake	id=g:6181160
Whitethroat Lake	id=g:6181161
Whitetip Glacier	id=g:6181162
Whitetip Mountain	id=g:6181163
Whitetooth	id=g:6181164
White Top Ledge	id=g:6181165
Whitetop Mountain	id=g:6181166
White Top Rock	id=g:6181167
White Triplets Peaks	id=g:6181168
White Trout Bay	id=g:6181169
Whitevale	id=g:6181170
Whitevale Pond	id=g:6181171
White Valley	id=g:6181172
White Valley No. 49	id=g:6181173
Whitewater	id=g:6181174
Whitewater	id=g:6181175
White Water	id=g:6181176
Whitewater Brook	id=g:6181177
Whitewater Brook	id=g:6181178
Whitewater Creek	id=g:6181179
Whitewater Creek	id=g:6181180
Whitewater Creek	id=g:6181181
Whitewater Creek	id=g:6181182
Whitewater Falls	id=g:6181183
Whitewater Lake	id=g:6181184
Whitewater Lake	id=g:6181185
Whitewater Lake	id=g:6181186
Whitewater Lake	id=g:6181187
Whitewater Lake	id=g:6181188
Whitewater Lake	id=g:6181189
Whitewater Lake	id=g:6181190
Whitewater Lake	id=g:6181191
Whitewater Lake	id=g:6181192
Whitewater Lake Wildlife Management Area	id=g:6181193
White Water Lily Lake	id=g:6181194
White Water Lily Lake	id=g:6181195
Whitewater Mountain	id=g:6181196
Whitewater Mountain	id=g:6181197
Whitewater Region	id=g:6181198
Whitewater River	id=g:6181199
Whiteway	id=g:6181200
Whiteway Bay	id=g:6181201
Whiteway Cove	id=g:6181202
Whiteway Head	id=g:6181203
Whiteway Island	id=g:6181204
Whiteway Lake	id=g:6181205
Whiteway Pond	id=g:6181206
Whiteways Cove	id=g:6181207
White Whale River	id=g:6181208
White Wind Glacier	id=g:6181209
White Wind Peak	id=g:6181210
Whitewolf Lake	id=g:6181211
Whitewood	id=g:6181212
White Wood Cove	id=g:6181213
Whitewood Creek	id=g:6181214
Whitewood Creek	id=g:6181215
Whitewood Falls	id=g:6181216
Whitewood Grove	id=g:6181217
Whitewood Hills	id=g:6181218
Whitewood Lake	id=g:6181219
Whitewood Lake	id=g:6181220
Whitewood Lake	id=g:6181221
Whitewood Pond	id=g:6181222
Whitey Narrows	id=g:6181223
Whitfield	id=g:6181224
Whitford	id=g:6181225
Whitford Bay	id=g:6181226
Whitford Creek	id=g:6181227
Whitford Creek	id=g:6181228
Whitford Lake	id=g:6181229
Whitford Lake	id=g:6181230
Whitford Lake	id=g:6181231
Whitford River	id=g:6181232
Whitham Lake	id=g:6181233
Whithorn	id=g:6181234
Whiting Bank	id=g:6181235
Whiting Bay	id=g:6181236
Whiting Creek	id=g:6181237
Whiting Creek	id=g:6181238
Whiting Creek	id=g:6181239
Whiting Glacier	id=g:6181240
Whiting Lake	id=g:6181241
Whiting Lake	id=g:6181242
Whiting River	id=g:6181243
Whitkow	id=g:6181244
Whitla	id=g:6181245
Whitla Coulee	id=g:6181246
Whitlaw Creek	id=g:6181247
Whitley Bay	id=g:6181248
Whitley Creek	id=g:6181249
Whitley Island	id=g:6181250
Whitley Lake	id=g:6181251
Whitley Lake	id=g:6181252
Whitley Lake	id=g:6181253
Whit Lilly Pond	id=g:6181254
Whitlock Brook	id=g:6181255
Whitlock Island	id=g:6181256
Whitlock Lake	id=g:6181257
Whitlocks Pond	id=g:6181258
Whitlow Island	id=g:6181259
Whitly Point	id=g:6181260
Whitly Point	id=g:6181261
Whitman	id=g:6181262
Whitman Creek	id=g:6181263
Whitman Creek	id=g:6181264
Whitman Gulch	id=g:6181265
Whitman Lake	id=g:6181266
Whitman Ledge	id=g:6181267
Whitman Point	id=g:6181268
Whitman Pond	id=g:6181269
Whitman Rock	id=g:6181270
Whitman's Bay	id=g:6181271
Whitmans Pond	id=g:6181272
Whitmore	id=g:6181273
Whitmore Creek	id=g:6181274
Whitmore Island	id=g:6181275
Whitmore Islands	id=g:6181276
Whitmore Lake	id=g:6181277
Whitmore Lake	id=g:6181278
