Zwüschetbach	id=g:6293544
Fuchsloch	id=g:6293545
Oetwil / Oetwil (Dorfkern)	id=g:6293546
Oetwil / Zelgliacker	id=g:6293547
Oetwil / Eichbüel	id=g:6293548
Oetwil / Breiti	id=g:6293549
Oetwil / Schützenhauswiese	id=g:6293550
Oetwil / Oberzelg	id=g:6293551
Oetwil / Schlössli	id=g:6293552
Oetwil / In der Beichlen	id=g:6293553
Oetwil / Im Jöndler	id=g:6293554
Oetwil / Vogelsang	id=g:6293555
Oetwil / Schwerze	id=g:6293556
Oetwil / In der Farb	id=g:6293557
Oetwil / Frohe Aussicht	id=g:6293558
Oetwil / Langholz	id=g:6293559
Bäpur	id=g:6293560
Oberror	id=g:6293561
Rorbüel	id=g:6293562
Betti	id=g:6293563
Felsengrund	id=g:6293564
Etzikon	id=g:6293565
Rinderweid	id=g:6293566
Summerau	id=g:6293567
Gartenacker	id=g:6293568
Auee	id=g:6293569
Hinteres Chloster	id=g:6293570
Gusch	id=g:6293571
Paradis	id=g:6293572
Under-Frobüel	id=g:6293573
Glärnischstrasse	id=g:6293574
Nidertal	id=g:6293575
Stubenloo	id=g:6293576
Ober-Frobüel	id=g:6293577
Neuguet	id=g:6293578
Bodenacher	id=g:6293579
Hochstrass	id=g:6293580
Oetwil / Industriestrasse	id=g:6293581
Riet	id=g:6293582
Unter-Chrüzlen	id=g:6293583
Waldheim	id=g:6293584
Neuegg	id=g:6293585
Schachen	id=g:6293586
Burst	id=g:6293587
Ober-Chrüzlen	id=g:6293588
Aegertenwis	id=g:6293589
Schachenweid	id=g:6293590
Eichholz	id=g:6293591
Reben	id=g:6293592
Holzhusen	id=g:6293593
Neuhus	id=g:6293594
Stäckenacher	id=g:6293595
Äulen	id=g:6293596
Willikon	id=g:6293597
Buacher	id=g:6293598
Goldrain	id=g:6293599
Horüti	id=g:6293600
Rebrain	id=g:6293601
Obere Beichlen	id=g:6293602
Beichlen	id=g:6293603
Sigmund	id=g:6293604
Grossweid	id=g:6293605
Geerenstöck	id=g:6293606
Farb	id=g:6293607
Dorf	id=g:6293608
Kehlhof	id=g:6293609
Mülihölzli	id=g:6293610
Schöni	id=g:6293611
Hunert	id=g:6293612
Wanne	id=g:6293613
Dachsleren	id=g:6293614
