Grialetsch	id=g:6934086
Schwarzi Simmla	id=g:6934087
Wittenberghorn	id=g:6934088
Piz Forcellina	id=g:6934089
Cogn	id=g:6934090
Rochers de Clè	id=g:6934091
Sella	id=g:6934092
Steghorn	id=g:6934094
Cima di Cardan	id=g:6934095
Corn Boval	id=g:6934096
Ammertenhorn	id=g:6934098
Stübleni	id=g:6934099
Flueschafberg	id=g:6934100
Pointe d'Aveneyre	id=g:6934101
Pizzo della Rossa	id=g:6934102
Arbächnubel	id=g:6934103
Filo di Revi	id=g:6934104
Oberlaubhorn	id=g:6934106
Piz Pian Grand	id=g:6934107
Chummehorn	id=g:6934108
Piz Boval	id=g:6934109
Monte Bardan	id=g:6934112
Pizzo di Soveltra	id=g:6934113
Piz Deserto	id=g:6934114
Zackengrat	id=g:6934115
Muotta Radonda	id=g:6934116
Mingalunhorn	id=g:6934117
Bödengrat	id=g:6934119
Fornale di Rüscada	id=g:6934120
Tube	id=g:6934121
Leiterli	id=g:6934122
Schwarzseehorn	id=g:6934123
Cima de Barna	id=g:6934124
Gross Stand	id=g:6934125
Rot Horn	id=g:6934126
Juferhorn	id=g:6934128
Crasta da Boval	id=g:6934130
Bel Giardin	id=g:6934131
Bockbiel	id=g:6934132
Munt Pers	id=g:6934133
Pianca Bella	id=g:6934135
Filo di Bugèla	id=g:6934137
Furggenspitz	id=g:6934140
Ammertengrat	id=g:6934141
Piz Grevasalvas	id=g:6934143
Spalihorn	id=g:6934144
Pulpito	id=g:6934145
Motta Bianca	id=g:6934147
Hirzenflue	id=g:6934148
Staldenhorn	id=g:6934149
Gletscherspitza	id=g:6934150
Les Dentaux	id=g:6934151
Croce di Sasso	id=g:6934152
Staldenflüe	id=g:6934153
Lonzahörner	id=g:6934154
L'Uomo	id=g:6934155
Pizzo Pecora	id=g:6934156
Ils Homins	id=g:6934157
Piz Ursera	id=g:6934158
Chastelets	id=g:6934159
Kleines Hockenhorn	id=g:6934160
Höh Büel	id=g:6934161
Pizzo Mascarpino	id=g:6934162
Plaun Grand	id=g:6934163
Piz Misaun	id=g:6934164
Cima di Balniscio	id=g:6934165
Höjabüel	id=g:6934167
Toggeliflue	id=g:6934168
Tierhörnli	id=g:6934169
Sur al Cant	id=g:6934170
Gess	id=g:6934171
Fiescherhorli	id=g:6934172
Cavallo Bianco	id=g:6934173
Corte del Piatto	id=g:6934174
Pizzo Penca	id=g:6934175
Fusshörner	id=g:6934176
Herchummegrat	id=g:6934177
Piz d'Arbeola	id=g:6934178
La Barrillette	id=g:6934181
Tscheischhorn	id=g:6934182
Felsenhorn	id=g:6934186
Klein Blinnenhorn	id=g:6934187
Torberg	id=g:6934188
Mugmol	id=g:6934190
Chindbettihorn	id=g:6934191
Schinetahörner	id=g:6934192
Sattelhorn	id=g:6934193
Stieltihorn	id=g:6934194
Laghetto Poncione del	id=g:6934195
Gross Fusshorn	id=g:6934196
Wandflue	id=g:6934197
Curtinella	id=g:6934198
Dischlighorn	id=g:6934199
Pizzo Pianché	id=g:6934201
Höj Stand	id=g:6934202
Staldehore	id=g:6934203
