Riedern	id=g:7286905
Riedholz	id=g:7286906
Riehen	id=g:7286907
Riein	id=g:7286908
Riemenstalden	id=g:7286909
Rietheim	id=g:7286910
Riex	id=g:7286911
Rifferswil	id=g:7286912
Riggisberg	id=g:7286913
Ringgenberg (BE)	id=g:7286914
Riniken	id=g:7286915
Riom-Parsonz	id=g:7286916
Risch	id=g:7286917
Riva San Vitale	id=g:7286918
Rivaz	id=g:7286919
Rivera	id=g:7286920
Rochefort	id=g:7286921
Roches (BE)	id=g:7286922
Roche (VD)	id=g:7286923
Rocourt	id=g:7286924
Rodels	id=g:7286925
Rodersdorf	id=g:7286926
Roggenburg	id=g:7286927
Roggliswil	id=g:7286928
Roggwil (BE)	id=g:7286929
Roggwil (TG)	id=g:7286930
Rohr (AG)	id=g:7286931
Rohrbach	id=g:7286932
Rohrbachgraben	id=g:7286933
Rohr (SO)	id=g:7286934
Rolle	id=g:7286935
Romainmôtier-Envy	id=g:7286936
Romairon	id=g:7286937
Romanel-sur-Lausanne	id=g:7286938
Romanel-sur-Morges	id=g:7286939
Romanshorn	id=g:7286940
Römerswil	id=g:7286941
Romont (BE)	id=g:7286942
Romont (FR)	id=g:7286943
Romoos	id=g:7286944
Ronco sopra Ascona	id=g:7286945
Rongellen	id=g:7286946
Root	id=g:7286947
Ropraz	id=g:7286948
Rorbas	id=g:7286949
Rorschach	id=g:7286950
Röschenz	id=g:7286951
Rossa	id=g:7286952
Rossemaison	id=g:7286953
Rossenges	id=g:7286954
Rossens (FR)	id=g:7286955
Rossinière	id=g:7286956
Röthenbach im Emmental	id=g:7286957
Rothenbrunnen	id=g:7286958
Rothenburg	id=g:7286959
Rothenfluh	id=g:7286960
Rothenthurm	id=g:7286961
Rothrist	id=g:7286962
Rottenschwil	id=g:7286963
Rougemont	id=g:7286964
Roveredo (GR)	id=g:7286965
Rovio	id=g:7286966
Rovray	id=g:7286967
Rubigen	id=g:7286968
Rüderswil	id=g:7286969
Rüdlingen	id=g:7286970
Rudolfstetten-Friedlisberg	id=g:7286971
Rüdtligen-Alchenflüh	id=g:7286972
Rue	id=g:7286973
Rüeggisberg	id=g:7286974
Rüegsau	id=g:7286975
Rueun	id=g:7286976
Rueyres	id=g:7286977
Rueyres-les-Prés	id=g:7286978
Rüfenach	id=g:7286979
Rumendingen	id=g:7286980
Rümikon	id=g:7286981
Rumisberg	id=g:7286982
Rümlang	id=g:7286983
Rümligen	id=g:7286984
Rümlingen	id=g:7286985
Rünenberg	id=g:7286986
Rupperswil	id=g:7286987
Ruppoldsried	id=g:7286988
Rüschegg	id=g:7286989
Ruschein	id=g:7286990
Rüschlikon	id=g:7286991
Russikon	id=g:7286992
Russin	id=g:7286993
Russy	id=g:7286994
Ruswil	id=g:7286995
Rüte	id=g:7286996
Rüthi (SG)	id=g:7286997
Rüti bei Büren	id=g:7286998
Rüti bei Lyssach	id=g:7286999
Rüti (GL)	id=g:7287000
Rüti (ZH)	id=g:7287001
Rütschelen	id=g:7287002
Rüttenen	id=g:7287003
Saanen	id=g:7287004
Saas	id=g:7287005
Saas-Almagell	id=g:7287006
Saas-Balen	id=g:7287007
Saas-Fee	id=g:7287008
Saas-Grund	id=g:7287009
Sachseln	id=g:7287010
Safenwil	id=g:7287011
Safien	id=g:7287012
Safnern	id=g:7287013
Sagno	id=g:7287014
Sagogn	id=g:7287015
Saicourt	id=g:7287016
Saignelégier	id=g:7287017
Saillon	id=g:7287018
Saint-Aubin (FR)	id=g:7287019
Saint-Aubin-Sauges	id=g:7287020
Saint-Barthélemy (VD)	id=g:7287021
Saint-Blaise	id=g:7287022
Saint-Brais	id=g:7287023
Saint-Cergue	id=g:7287024
Saint-Cierges	id=g:7287025
Sainte-Croix	id=g:7287026
Saint-George	id=g:7287027
Saint-Gingolph	id=g:7287028
Saint-Imier	id=g:7287029
Saint-Légier-La Chiésaz	id=g:7287030
Saint-Léonard	id=g:7287031
Saint-Livres	id=g:7287032
Saint-Martin (FR)	id=g:7287033
Saint-Maurice	id=g:7287034
Saint-Oyens	id=g:7287035
Saint-Prex	id=g:7287036
Saint-Saphorin (Lavaux)	id=g:7287037
Saint-Saphorin-sur-Morges	id=g:7287038
Saint-Sulpice (VD)	id=g:7287039
Salenstein	id=g:7287040
Sâles	id=g:7287041
Salgesch	id=g:7287042
Salins	id=g:7287043
Salmsach	id=g:7287044
Salouf	id=g:7287045
Salvan	id=g:7287046
Salvenach	id=g:7287047
Samedan	id=g:7287048
Samnaun	id=g:7287049
San Nazzaro	id=g:7287050
Santa Maria in Calanca	id=g:7287051
San Vittore	id=g:7287052
Sargans	id=g:7287053
Sarmenstorf	id=g:7287054
Sarn	id=g:7287055
Sarnen	id=g:7287056
Sarzens	id=g:7287057
Sassel	id=g:7287058
Satigny	id=g:7287059
Sattel	id=g:7287060
Saubraz	id=g:7287061
Saulcy	id=g:7287062
Saules (BE)	id=g:7287063
Savièse	id=g:7287064
Savigny	id=g:7287065
Savognin	id=g:7287066
Savosa	id=g:7287067
Saxeten	id=g:7287068
Saxon	id=g:7287069
Schaffhausen	id=g:7287070
Schafisheim	id=g:7287071
Schalunen	id=g:7287072
S-chanf	id=g:7287073
Schangnau	id=g:7287074
Schänis	id=g:7287075
Scharans	id=g:7287076
Schattdorf	id=g:7287077
Schattenhalb	id=g:7287078
Schelten	id=g:7287079
Schenkon	id=g:7287080
Scherz	id=g:7287081
Scheunen	id=g:7287082
Scheuren	id=g:7287083
Schiers	id=g:7287084
Schinznach-Bad	id=g:7287085
Schinznach-Dorf	id=g:7287086
Schlans	id=g:7287087
Schlatt-Haslen	id=g:7287088
Schlatt (TG)	id=g:7287089
Schlatt (ZH)	id=g:7287090
Schleinikon	id=g:7287091
Schleitheim	id=g:7287092
Schlierbach	id=g:7287093
Schlieren	id=g:7287094
Schlossrued	id=g:7287095
Schlosswil	id=g:7287096
Schluein	id=g:7287097
Schmerikon	id=g:7287098
Schmiedrued	id=g:7287099
Schmitten (FR)	id=g:7287100
Schmitten (GR)	id=g:7287101
Schnaus	id=g:7287102
Schneisingen	id=g:7287103
Schnottwil	id=g:7287104
Schöfflisdorf	id=g:7287105
Schöftland	id=g:7287106
Schönenberg (ZH)	id=g:7287107
Schönenbuch	id=g:7287108
Schönengrund	id=g:7287109
Schönenwerd	id=g:7287110
Schongau	id=g:7287111
Schönholzerswilen	id=g:7287112
Schötz	id=g:7287113
Schübelbach	id=g:7287114
Schupfart	id=g:7287115
Schüpfen	id=g:7287116
Schüpfheim	id=g:7287117
Schwaderloch	id=g:7287118
Schwadernau	id=g:7287119
Schwanden bei Brienz	id=g:7287120
Schwanden (GL)	id=g:7287121
Schwändi	id=g:7287122
Schwarzenberg	id=g:7287123
Schwarzhäusern	id=g:7287124
Schwellbrunn	id=g:7287125
Schwende	id=g:7287126
Schwendibach	id=g:7287127
Schwerzenbach	id=g:7287128
Schwyz	id=g:7287129
Scuol	id=g:7287130
Seeberg	id=g:7287131
Seedorf (BE)	id=g:7287132
Seedorf (UR)	id=g:7287133
Seegräben	id=g:7287134
Seehof	id=g:7287135
Seelisberg	id=g:7287136
Seengen	id=g:7287137
Seewen	id=g:7287138
Seewis im Prättigau	id=g:7287139
Seftigen	id=g:7287140
Seigneux	id=g:7287141
Selma	id=g:7287142
Seltisberg	id=g:7287143
Selzach	id=g:7287144
Sembrancher	id=g:7287145
Sementina	id=g:7287146
Semione	id=g:7287147
Sempach	id=g:7287148
Semsales	id=g:7287149
Senarclens	id=g:7287150
Senèdes	id=g:7287151
Sennwald	id=g:7287152
Sent	id=g:7287153
Seon	id=g:7287154
Sergey	id=g:7287155
Servion	id=g:7287156
Sessa	id=g:7287157
Seuzach	id=g:7287158
Sévaz	id=g:7287159
Sevelen	id=g:7287160
Sévery	id=g:7287161
Sevgein	id=g:7287162
Siat	id=g:7287163
Siblingen	id=g:7287164
Sierre	id=g:7287165
Sigirino	id=g:7287166
Siglistorf	id=g:7287167
Signau	id=g:7287168
Signy-Avenex	id=g:7287169
Sigriswil	id=g:7287170
Silenen	id=g:7287171
Sils im Domleschg	id=g:7287172
Silvaplana	id=g:7287173
Simplon	id=g:7287174
Sins	id=g:7287175
Sion	id=g:7287176
Sirnach	id=g:7287177
Siselen	id=g:7287178
Sisikon	id=g:7287179
Sissach	id=g:7287180
Sisseln	id=g:7287181
Siviriez	id=g:7287182
Soazza	id=g:7287183
Sobrio	id=g:7287184
Soglio	id=g:7287185
Solothurn	id=g:7287186
Sommeri	id=g:7287187
Sonceboz-Sombeval	id=g:7287188
Sonogno	id=g:7287189
Sonvico	id=g:7287190
Sonvilier	id=g:7287191
Sool	id=g:7287192
Soral	id=g:7287193
Sorengo	id=g:7287194
Sorens	id=g:7287195
Sornetan	id=g:7287196
Sorvilier	id=g:7287197
Sottens	id=g:7287198
Soubey	id=g:7287199
Souboz	id=g:7287200
Soulce	id=g:7287201
Soyhières	id=g:7287202
Speicher	id=g:7287203
Spiez	id=g:7287204
Spiringen	id=g:7287205
Splügen	id=g:7287206
Spreitenbach	id=g:7287207
Staatswald Galm	id=g:7287208
Stabio	id=g:7287209
Stadel	id=g:7287210
Stäfa	id=g:7287211
Staffelbach	id=g:7287212
Staldenried	id=g:7287213
Stalden (VS)	id=g:7287214
Stallikon	id=g:7287215
Stampa	id=g:7287216
Stans	id=g:7287217
Stansstad	id=g:7287218
St. Antoni	id=g:7287219
St. Antönien	id=g:7287220
Starrkirch-Wil	id=g:7287221
Staufen	id=g:7287222
Steckborn	id=g:7287223
Steffisburg	id=g:7287224
Steg-Hohtenn	id=g:7287225
