Pampa Cayulafquén	id=g:3896063
Cerro Cayulafquén	id=g:3896064
Río Cayucupil	id=g:3896065
Quebrada Cayiri	id=g:3896066
Cerro Cayire	id=g:3896067
Isla Cayetano	id=g:3896068
Cerro Cayetano	id=g:3896069
Caleta Cayetano	id=g:3896070
Punta Cayetano	id=g:3896071
Quebrada de Caya	id=g:3896072
Pampa Caya	id=g:3896073
Aguada Caya	id=g:3896074
Caya	id=g:3896075
Monte Cay	id=g:3896076
Isla Cavour	id=g:3896077
Río Cavisañi	id=g:3896078
Estero Cavilolén	id=g:3896079
Punta Cavieses	id=g:3896080
Punta Cavernosa	id=g:3896081
Bahía Cave	id=g:3896082
Punta Cavancha	id=g:3896083
Caleta Cavancha	id=g:3896084
Cavancha	id=g:3896085
Cavancha	id=g:3896086
Cavancha	id=g:3896087
Cerro Cauye	id=g:3896088
Río Cauyahué	id=g:3896089
Cautiva	id=g:3896090
Bajo Caution Sur	id=g:3896091
Bajo Caution Norte	id=g:3896092
Punta Caution	id=g:3896093
Río Cautín	id=g:3896094
Provincia de Cautín	id=g:3896095
Estación Cautín	id=g:3896096
Quebrada de Cautenicsa	id=g:3896097
Cautenicsa	id=g:3896098
Punta Cauten	id=g:3896099
Cerro Cauquima	id=g:3896100
Río Cauquenes	id=g:3896101
Laguna de Cauquenes	id=g:3896102
Laguna de Cauquenes	id=g:3896103
Baños de Cauquenes	id=g:3896104
Cauquenes	id=g:3896105
Cauquenes	id=g:3896106
Isla Caupolicán	id=g:3896107
Cerro Caupolicán	id=g:3896108
Cerro Caupolicán	id=g:3896109
Caupolicán	id=g:3896110
Caupolicán	id=g:3896111
Caupolicán	id=g:3896112
Quebrada Caunire	id=g:3896113
Cerro Caune	id=g:3896114
Cerro Caune	id=g:3896115
Caune	id=g:3896116
Caune	id=g:3896117
Caunao	id=g:3896118
Río Caunahue	id=g:3896119
Caulles Bajo	id=g:3896120
Caulles	id=g:3896121
Islita Caullaguapi	id=g:3896122
Canal Caulín	id=g:3896123
Estero Caudal	id=g:3896124
Quebrada Cauchil	id=g:3896125
Caucau	id=g:3896126
Caucao	id=g:3896127
Isla Caucahué	id=g:3896128
Canal Caucahué	id=g:3896129
Bajo Caucahué	id=g:3896130
Caucahue	id=g:3896131
Punta Caucaguapi	id=g:3896132
Punta Caucacura	id=g:3896133
Pampa Catuncalla	id=g:3896134
Catuncalla	id=g:3896135
Catrume	id=g:3896136
Catripulli	id=g:3896137
Catripulli	id=g:3896138
Estero del Catrimalal	id=g:3896139
Río Catrileufu	id=g:3896140
Cerro Catrileo	id=g:3896141
Catrico	id=g:3896142
Estero Catribolí	id=g:3896143
