Quebrada de Ruitoque	id=g:3670564
Quebrada Ruidosa	id=g:3670565
Rufina Viejo	id=g:3670566
Rufina Nuevo	id=g:3670567
Ciénaga Rufina	id=g:3670568
Ciénaga de Ruede	id=g:3670569
Río Rudiván	id=g:3670570
Rudiván	id=g:3670571
Río Rucio	id=g:3670572
Río Rucio	id=g:3670573
Rucio	id=g:3670575
Ciénaga El Rubio	id=g:3670576
Caño Rubiales	id=g:3670577
Rubí	id=g:3670578
Rubén	id=g:3670579
Ruáyapuy	id=g:3670580
Ruash	id=g:3670581
Rúa	id=g:3670582
Rozo	id=g:3670583
Río Royata	id=g:3670584
Royotá	id=g:3670585
Rovira	id=g:3670586
Rovira	id=g:3670587
Rovira	id=g:3670588
Rotura	id=g:3670589
Rotinet	id=g:3670590
Río Rotambría	id=g:3670591
Rosa Vieja	id=g:3670592
Rosa Vieja	id=g:3670593
Rosavieja	id=g:3670594
Rosas	id=g:3670595
Rosas	id=g:3670596
Río Rosario	id=g:3670597
Islas del Rosario	id=g:3670598
Isla del Rosario	id=g:3670599
Caño Rosario	id=g:3670600
Bocana del Rosario	id=g:3670601
Alto Rosario	id=g:3670602
Rosario	id=g:3670603
Rosario	id=g:3670604
Rosario	id=g:3670605
Rosario	id=g:3670606
Isla Rosa María	id=g:3670607
Rosa María	id=g:3670608
Rosal del Monte	id=g:3670609
Cerro Rosal	id=g:3670610
Rosa Florida	id=g:3670611
Rosacercada	id=g:3670612
Rosa Blanca	id=g:3670613
Rosablanca	id=g:3670614
Rosablanca	id=g:3670615
Rosa Blanca	id=g:3670616
Rosa Blanca	id=g:3670617
Rosa Blanca	id=g:3670618
Rosa Blanca	id=g:3670619
Rosablanca	id=g:3670620
Cayo Rosa	id=g:3670621
Quebrada Ropero	id=g:3670622
Isla Rondón	id=g:3670623
Rondón	id=g:3670624
Rondón	id=g:3670625
Rondon	id=g:3670626
Rondón	id=g:3670627
Rondón	id=g:3670628
Roncesvalles	id=g:3670629
Roncesvalles	id=g:3670630
Isla Rompedera	id=g:3670631
Cuchilla Romeros	id=g:3670632
Quebrada Romerito	id=g:3670633
Romerales	id=g:3670634
Serrania de Romeral	id=g:3670635
Laguna Romeral	id=g:3670636
Alto Romeral	id=g:3670637
Romanera	id=g:3670638
Roma	id=g:3670639
Roma	id=g:3670640
Roma	id=g:3670641
Roma	id=g:3670642
Cerros de Roldanillo	id=g:3670643
Roldanillo	id=g:3670644
Roldanillo	id=g:3670645
Río Rojo	id=g:3670646
Quebrada Rogerado	id=g:3670647
Rodrigoque	id=g:3670648
Rincón de Rodeo Chiquito	id=g:3670649
Quebrada del Rodeo	id=g:3670650
Alto Rodeo	id=g:3670651
Rodeo	id=g:3670652
El Rodeo	id=g:3670653
Ciénaga Rodeito	id=g:3670654
Rodecia	id=g:3670655
Rodas	id=g:3670656
Rodáculo	id=g:3670657
Cayo Rocoso	id=g:3670658
Rocky Point	id=g:3670659
Roche	id=g:3670660
Rocha	id=g:3670661
Río Robles	id=g:3670662
Ciénaga de Robles	id=g:3670663
Ciénaga Robles	id=g:3670664
Ciénaga Robles	id=g:3670665
Robles	id=g:3670666
Robles	id=g:3670667
Robles	id=g:3670668
Robles	id=g:3670669
Robles	id=g:3670670
Robles	id=g:3670671
Robles	id=g:3670672
La paz	id=g:3670673
Quebrada Robledo	id=g:3670674
Robledo	id=g:3670675
Robledo	id=g:3670676
Río Roble	id=g:3670677
Cuchilla del Roble	id=g:3670678
Alto del Roble	id=g:3670679
Alto Roblal	id=g:3670680
Roberto Payán	id=g:3670681
Isla de Roberto	id=g:3670682
Punta Róbalos	id=g:3670683
Boquerón Roaquira	id=g:3670684
Rives	id=g:3670685
Riverita	id=g:3670686
Riveralta	id=g:3670687
Quebrada de Rivera	id=g:3670688
Punta Rivera	id=g:3670689
Ciénaga de la Rivera	id=g:3670690
Rivera	id=g:3670691
Rivera	id=g:3670692
Rivera	id=g:3670693
Alto Ritacuba	id=g:3670694
Risueña	id=g:3670695
Quebrada Risatá	id=g:3670696
Río Risaralda	id=g:3670697
Departamento de Risaralda	id=g:3670698
Risaralda	id=g:3670699
Risaralda	id=g:3670700
Risaralda	id=g:3670701
Quebrada la Riqueza	id=g:3670702
Oleoducto Río Zulia-Santa Marta	id=g:3670703
Río Ríovira	id=g:3670704
Isla Ríoviejo	id=g:3670705
Ciénaga Río Viejo	id=g:3670706
Caño Rioviejo	id=g:3670707
Caño Río Viejo	id=g:3670708
Río Viejo	id=g:3670709
Río Viejo	id=g:3670710
Ríoviejo	id=g:3670711
Río Viejo	id=g:3670712
Rioviejito	id=g:3670713
Ríoverde	id=g:3670714
Ríoverde	id=g:3670715
Río Tarra	id=g:3670716
Río Sucio	id=g:3670717
Riosucio	id=g:3670718
Riosucio	id=g:3670719
Ríosucio	id=g:3670720
Ríosucio	id=g:3670721
Río Seco	id=g:3670722
Río Piedras	id=g:3670723
Ríonuevo	id=g:3670724
Río Nuevo	id=g:3670725
Río Nuevo	id=g:3670726
Boca Río Negro	id=g:3670727
Alto Ríonegro	id=g:3670728
Rionegro	id=g:3670729
Rionegro	id=g:3670730
Ríonegro	id=g:3670731
Río Negro	id=g:3670732
Ríonegro	id=g:3670733
Rio Negro	id=g:3670734
Ríonegro	id=g:3670735
Ríonegro	id=g:3670736
Ríomar	id=g:3670737
Ríomar	id=g:3670738
Riomanso	id=g:3670739
Río Río Loro	id=g:3670740
Cuchilla de Río Loro	id=g:3670741
Ríoloro	id=g:3670742
Ríojaneiro	id=g:3670743
Riohacha Old	id=g:3670744
Ríohacha	id=g:3670745
Riohacha	id=g:3670746
Ríohacha	id=g:3670747
Saliente del Río Guape	id=g:3670748
Río Grande	id=g:3670749
Ríogrande	id=g:3670750
Río Frío	id=g:3670751
Riofrio	id=g:3670752
Río Frío	id=g:3670753
Riofrío	id=g:3670754
Ríofrío	id=g:3670755
Río de Oro	id=g:3670756
Río de Oro	id=g:3670757
Ríoclaro	id=g:3670758
Río Chiquito	id=g:3670759
Río Cañas	id=g:3670760
Ríobravo	id=g:3670761
Río Bobo	id=g:3670762
Río Blanco	id=g:3670763
Rioblanco	id=g:3670764
Ríoblanco	id=g:3670765
Ríoblanco	id=g:3670766
Ríobamba	id=g:3670767
Ríobamba	id=g:3670768
Río Arriba	id=g:3670769
Río Arriba	id=g:3670770
Cerro del Río	id=g:3670771
Rincón Seco	id=g:3670772
Rincón Santo	id=g:3670773
Rincón Santo	id=g:3670774
Rincón Santo	id=g:3670775
Rincón Palmarito	id=g:3670776
Rincón La Malagueña	id=g:3670777
Rincón Hormigo	id=g:3670778
Caño Rincón Hondo	id=g:3670779
