La Salina	id=g:3677769
Páramo de Las Alfombras	id=g:3677770
Las Alfombras	id=g:3677771
La Salamina	id=g:3677772
Quebrada La Salada	id=g:3677773
Quebrada La Salada	id=g:3677774
Raudal de La Sal	id=g:3677775
La Sal	id=g:3677776
Las Aguas	id=g:3677777
Las Aguaditas	id=g:3677778
Las Aguaditas	id=g:3677779
Las Aguadas	id=g:3677780
Las Acacies	id=g:3677781
Las Acacias 2	id=g:3677782
La Sabrosita	id=g:3677783
La Sabrosa	id=g:3677784
Quebrada Las Abras	id=g:3677785
La Sabina	id=g:3677786
Las Abejas	id=g:3677787
Las Abejas	id=g:3677788
Arroyo La Sabana	id=g:3677789
La Sabana	id=g:3677790
La Sabana	id=g:3677791
La Sabana	id=g:3677792
Río La Rusia	id=g:3677793
Páramo de La Rusia	id=g:3677794
La Rusia	id=g:3677795
La Ruiza	id=g:3677796
La Ruina	id=g:3677797
Quebrada La Ruidosa	id=g:3677798
La Ruidosa	id=g:3677799
La Ruidosa	id=g:3677800
La Rubiera	id=g:3677801
La Rubiera	id=g:3677802
La Rosita	id=g:3677803
La Rosita	id=g:3677804
La Rosita	id=g:3677805
Alto La Rosa	id=g:3677806
La Roncona	id=g:3677807
Brazuelo de La Rompida	id=g:3677808
La Romelia	id=g:3677809
La Rivera	id=g:3677810
La Risa	id=g:3677811
La Risa	id=g:3677812
La Risa	id=g:3677813
Cuchilla La Riqueza	id=g:3677814
Ciénaga La Rinconada	id=g:3677815
La Rinconada	id=g:3677816
La Rinconada	id=g:3677817
Ciénaga La Rica	id=g:3677818
La Ribona	id=g:3677819
Alto La Ribera	id=g:3677820
La Ribera	id=g:3677821
La Ribera	id=g:3677822
La Ribera	id=g:3677823
Caño Largo	id=g:3677824
Caño Largo	id=g:3677825
Caño Largo	id=g:3677826
Caño Largo	id=g:3677827
Caño Largo	id=g:3677828
Brazo Largo	id=g:3677829
Sabana Larga	id=g:3677830
Quebrada Larga	id=g:3677831
Quebrada Larga	id=g:3677832
Punta Larga	id=g:3677833
Laguna Larga	id=g:3677834
Laguna Larga	id=g:3677835
Laguna Larga	id=g:3677836
Ciénaga Larga	id=g:3677837
Cañada Larga	id=g:3677838
La Retirada	id=g:3677839
La Retirada	id=g:3677840
Resurrección	id=g:3677841
La Respuesta	id=g:3677842
La Reserva	id=g:3677843
La Reserva	id=g:3677844
La Reserva	id=g:3677845
La Reserva	id=g:3677846
La Reserva	id=g:3677847
La Reserva	id=g:3677848
La Reserva	id=g:3677849
La República	id=g:3677850
Peña La Rendija	id=g:3677851
La Reliquia	id=g:3677852
La Rejoya	id=g:3677853
La Reinera	id=g:3677854
Pico La Reina	id=g:3677855
Cerro La Reina	id=g:3677856
La Reina	id=g:3677857
La Reina	id=g:3677858
Caño La Regla	id=g:3677859
La Regina	id=g:3677860
La Regadera	id=g:3677861
Quebrada La Reforma	id=g:3677862
La Reforma	id=g:3677863
La Reforma	id=g:3677864
La Reforma	id=g:3677865
La Reforma	id=g:3677866
La Reforma	id=g:3677867
La Reforma	id=g:3677868
La Reforma	id=g:3677869
La Reforma	id=g:3677870
La Reforma	id=g:3677871
La Reforma	id=g:3677872
La Reforma	id=g:3677873
La Reforma	id=g:3677874
La Reforma	id=g:3677875
