Arroyo de El Algarrobo	id=g:3685000
El Algarrobo	id=g:3685001
El Algarrobo	id=g:3685002
El Algarrobo	id=g:3685003
El Algarrobo	id=g:3685004
Los Algarrobos	id=g:3685005
El Algarrobo	id=g:3685006
El Algarrobo	id=g:3685007
El Algarrobo	id=g:3685008
El Algarrobo	id=g:3685009
El Algarrobo	id=g:3685010
El Algarrobo	id=g:3685011
El Algarrobo	id=g:3685012
El Algarrobo	id=g:3685013
El Algarrobo	id=g:3685014
Quebrada El Alcón	id=g:3685015
El Alcázar	id=g:3685016
El Alcázar	id=g:3685017
El Alcaparro	id=g:3685018
El Alcahual	id=g:3685019
El Alambrado	id=g:3685020
El Ají	id=g:3685021
El Ahuaco	id=g:3685022
Quebrada El Águila	id=g:3685023
Caño El Aguila	id=g:3685024
El Águila	id=g:3685025
El Águila	id=g:3685026
El Águila	id=g:3685027
El Águila	id=g:3685028
El Aguamaco	id=g:3685029
El Aguamaca	id=g:3685030
Quebrada El Agualita	id=g:3685031
El Aguaco	id=g:3685032
El Aguacate	id=g:3685033
El Agrado	id=g:3685034
El Agasajo	id=g:3685035
El Aceituno	id=g:3685036
El Aceituno	id=g:3685037
El Aceitico	id=g:3685038
El Aceite	id=g:3685039
El Aburrido	id=g:3685040
Cerro de El Abra	id=g:3685041
El Abra	id=g:3685042
El Abra	id=g:3685043
El Abejero	id=g:3685044
Ekuáhu	id=g:3685045
Cementerio Eirrakajahurip	id=g:3685046
Eirrakajahuria	id=g:3685047
Arroyo Egipto	id=g:3685048
Egipto	id=g:3685049
Egipto	id=g:3685050
Egido	id=g:3685051
Quebrada Egeria	id=g:3685052
Edén	id=g:3685053
Caño Edagua	id=g:3685054
Ecuador	id=g:3685055
Serranía de Ecce Homo	id=g:3685056
Cerro de Ecce Homo	id=g:3685057
Ebéjico	id=g:3685058
Ebéjico	id=g:3685059
Punta Ébano	id=g:3685060
Caño Duygia	id=g:3685061
Duygia	id=g:3685062
Caño Duya	id=g:3685063
Río Duriameina	id=g:3685064
Duriameina	id=g:3685065
Arroyo Durapoco	id=g:3685066
Durania	id=g:3685067
Durania	id=g:3685068
Durania	id=g:3685069
Durania	id=g:3685070
Durania	id=g:3685071
Caño Dume	id=g:3685072
Quebrada Dumavarí	id=g:3685073
Caño Dumagua del Norte	id=g:3685074
Caño Dumagua	id=g:3685075
Caño Dumagua	id=g:3685076
Caño Dumacito	id=g:3685077
Caño Dullacias	id=g:3685078
Dulce Nombre	id=g:3685079
Quebrada Dulce	id=g:3685080
Cordillera del Dulce	id=g:3685081
Cuchilla Dulama	id=g:3685082
Dujos	id=g:3685083
Duitama	id=g:3685084
Duitama	id=g:3685085
Loma Dufresnoy	id=g:3685086
Quebrada Duendes	id=g:3685087
Salto del Duende	id=g:3685088
Quebrada Dudúbera	id=g:3685089
Río Duda	id=g:3685090
Río Dubasa	id=g:3685091
Río Dovio	id=g:3685092
Dos Ríos	id=g:3685093
Quebrada Dos Quebradas	id=g:3685094
Dos Quebradas	id=g:3685095
Dosquebradas	id=g:3685096
Dos Quebradas	id=g:3685097
Punta Dos Puntas	id=g:3685098
Dos Marías	id=g:3685099
Dos Marías	id=g:3685100
Dos Islas	id=g:3685101
Dos Hermanos	id=g:3685102
Dos Caminos	id=g:3685103
Alto Dos Cabezas	id=g:3685104
Dos Burros	id=g:3685105
Quebrada Dos Brazos	id=g:3685106
Quebrada Dos Bocas	id=g:3685107
Dos Bocas	id=g:3685108
Dos Bocas	id=g:3685109
Dos Bocas	id=g:3685110
Dos Aguas	id=g:3685111
Caño la Dormida	id=g:3685112
Dorado	id=g:3685113
Doradillo	id=g:3685114
Río Doradas	id=g:3685115
Quebrada Doradas	id=g:3685116
Quebrada Doradas	id=g:3685117
Doradas	id=g:3685118
Quebrada la Dorada	id=g:3685119
Quebrada Dorada	id=g:3685120
Quebrada Doradas	id=g:3685121
Caño Dorada	id=g:3685122
Arroyo Dorada	id=g:3685123
Páramo de Don Simón	id=g:3685124
Quebrada Don Pedro	id=g:3685125
Don Matías	id=g:3685126
Don Matías	id=g:3685127
Quebrada Don Juan	id=g:3685128
Pozo Don Juan	id=g:3685129
Quebrada Don Jaca	id=g:3685130
Don Gabriel	id=g:3685131
Don Fortunato	id=g:3685132
Don Félix	id=g:3685133
Río Don Diego Chiquito	id=g:3685134
Río Don Diego	id=g:3685135
Río Don Diego	id=g:3685136
Punta Don Diego	id=g:3685137
Loma de Don Diego	id=g:3685138
Cuchilla Don Diego	id=g:3685139
Caño Don Diego	id=g:3685140
Boca Don Diego	id=g:3685141
Don Diego	id=g:3685142
Don Diego	id=g:3685143
Don Diego	id=g:3685144
Quebrada Donceto	id=g:3685145
Ciénaga Doncella	id=g:3685146
Cerro Don Carlos	id=g:3685147
Don Bosco	id=g:3685148
Don Bosco	id=g:3685149
Serranía Donan Chucua	id=g:3685150
Ciénaga Doña María	id=g:3685151
Doña María	id=g:3685152
Doña María	id=g:3685153
Doña María	id=g:3685154
Doña María	id=g:3685155
Ciénga Doña Luisa	id=g:3685156
Boca de Doña Luisa	id=g:3685157
Cerro Don Alonso	id=g:3685158
Don Alonso	id=g:3685159
Don Alonso	id=g:3685160
Volcán Doña Juana	id=g:3685161
Río Doña Juana	id=g:3685162
Doña Juana	id=g:3685163
Quebrada de Doña Inés	id=g:3685164
Ciénaga Doña Francisca	id=g:3685165
Cerro Doña Francisca	id=g:3685166
Río Donachui	id=g:3685167
Donachui	id=g:3685168
Quebrada Doña Ana	id=g:3685169
Doña Ana	id=g:3685170
Dominguillo	id=g:3685171
Río Domingodó	id=g:3685172
Domingodó	id=g:3685173
Domingo Arias	id=g:3685174
Bocana Domingo	id=g:3685175
Laguna Domina	id=g:3685176
Río Dolores	id=g:3685177
Dolores	id=g:3685178
Dolores	id=g:3685179
Río Dojurgo	id=g:3685180
Quebrada Doima	id=g:3685181
Estación Doima	id=g:3685182
Estación Doima	id=g:3685183
Doima	id=g:3685184
Doidó	id=g:3685185
Río Doguadó	id=g:3685186
Río Doguadó	id=g:3685187
Doctorero	id=g:3685188
Quebrada Doche	id=g:3685189
Río Docató	id=g:3685190
Ensenada de Docampó	id=g:3685191
Río Docampadó	id=g:3685192
Doa	id=g:3685193
Diviso	id=g:3685194
Divisa	id=g:3685195
Dividivi	id=g:3685196
Dividivi	id=g:3685197
Dividive	id=g:3685198
Diversión	id=g:3685199
Distracción	id=g:3685200
El Voladero	id=g:3685201
Disciplina	id=g:3685202
Canal del Dique	id=g:3685203
Dipurdú	id=g:3685204
Filo Diostedé	id=g:3685205
Diosmevea	id=g:3685206
Diomate	id=g:3685207
Quebrada Diomata	id=g:3685208
Quebrada Dingui	id=g:3685209
Río Dinde	id=g:3685210
Dinde	id=g:3685211
Estación Dindal	id=g:3685212
Dindal	id=g:3685213
Dinamarca	id=g:3685214
Dinamarca	id=g:3685215
Río Diluvio	id=g:3685216
Diluvio	id=g:3685217
Dilia Ester	id=g:3685218
Río Digua	id=g:3685219
Diganome	id=g:3685220
Quebrada Diego Felipe	id=g:3685221
Río Dibulla	id=g:3685222
Dibulla	id=g:3685223
Diaz Granados	id=g:3685224
Diamanteviejo	id=g:3685225
Diamante Rojo	id=g:3685226
Quebrada Diamante	id=g:3685227
Alto Diamante	id=g:3685228
Diamante	id=g:3685229
Hacienda Diamante	id=g:3685230
La Cuesta del Diablo	id=g:3685231
Isla Diablo	id=g:3685232
Cerro del Diablo	id=g:3685233
Alto del Diablo	id=g:3685234
Destacamento	id=g:3685235
Caño El Desquite	id=g:3685236
Morro la Despensita	id=g:3685237
Morro la Despensa	id=g:3685238
Despensa	id=g:3685239
Sabanas del Despacho	id=g:3685240
Desengano	id=g:3685241
Río Desecho del Diablo	id=g:3685242
Desecho	id=g:3685243
San Pedro Consolado	id=g:3685244
Desconsolado	id=g:3685245
Descolgadero	id=g:3685246
Playones del Descocotado	id=g:3685247
Descansé	id=g:3685248
Descansadero	id=g:3685249
Río Desbaratado	id=g:3685250
Derrumbo	id=g:3685251
Cerro Derrumbes	id=g:3685252
Derrumbe	id=g:3685253
Sabana la Derrota	id=g:3685254
Río Derecho	id=g:3685255
Cañada La Rubiera	id=g:3685256
Alto Delicias	id=g:3685257
Delicias	id=g:3685258
Delicias	id=g:3685259
Las Delicias	id=g:3685260
Delicias	id=g:3685261
Delicias	id=g:3685262
Las Delicias	id=g:3685263
Delgado	id=g:3685264
Quebrada Deleite	id=g:3685265
De La Osa	id=g:3685266
Déjame Estar	id=g:3685267
Decisivo	id=g:3685268
Río Davis	id=g:3685269
Davis	id=g:3685270
Dávila	id=g:3685271
David	id=g:3685272
Calima	id=g:3685273
Dapa	id=g:3685274
Raudal Danto	id=g:3685275
Quebrada Dantas	id=g:3685276
Quebrada Danta	id=g:3685277
Ciénaga Danta	id=g:3685278
Danta	id=g:3685279
Daniel Sánchez	id=g:3685280
Dánaco	id=g:3685281
Damasco	id=g:3685282
Damasco	id=g:3685283
Damasco	id=g:3685284
Damasco	id=g:3685285
Damasco	id=g:3685286
Arroyo las Damas	id=g:3685287
Punta Damaquiel	id=g:3685288
Damaquiel	id=g:3685289
Río Dagua	id=g:3685290
Caño Dagua	id=g:3685291
Dagua	id=g:3685292
Dagua	id=g:3685293
Dabeiba Viejo	id=g:3685294
Dabeiba	id=g:3685295
Dabeiba	id=g:3685296
Dabeiba	id=g:3685297
Dabaibe	id=g:3685298
Cuchilla del Cuzcuz	id=g:3685299
Caño Cuyucuyu	id=g:3685300
Cerro de Guayambí	id=g:3685301
Quebrada Cuya	id=g:3685302
Quebrada Cuya	id=g:3685303
Río Cuturú	id=g:3685304
Cuturú	id=g:3685305
