Quebrada La Julia	id=g:3781369
Santa Teresa	id=g:3781370
Palo Redondo	id=g:3781371
La Delfa	id=g:3781372
Quebrada Limones	id=g:3781373
Montealegre	id=g:3781374
Quebrada Barcelona	id=g:3781375
Quebrada La Betulia	id=g:3781376
Morro El Caucho	id=g:3781377
Quebrada El Zancudo	id=g:3781378
Quebrada de Polvo Locas	id=g:3781379
Quebrada La Hermosa	id=g:3781380
Río de Janeiro	id=g:3781381
San Luis	id=g:3781382
Quebrada Purace	id=g:3781383
El Eden	id=g:3781384
La Abadía	id=g:3781385
El Aguila	id=g:3781386
La Divisa	id=g:3781387
Quebrada del Guamo	id=g:3781388
Quebrada Charco Verde	id=g:3781389
Quebrada Silguia	id=g:3781390
Quebrada Sandía	id=g:3781391
Quebrada Congo	id=g:3781392
Quebrada La Despensa	id=g:3781393
Quebrada Golconda	id=g:3781394
Quebrada Changüi	id=g:3781395
Quebrada Argelía	id=g:3781396
El Castillo	id=g:3781397
Quebrada Papayal	id=g:3781398
Quebrada Tomaspía	id=g:3781399
La Siberia	id=g:3781400
Quebrada del Oro	id=g:3781401
Quebrada Los Angeles	id=g:3781402
Quebrada Valdivia	id=g:3781403
La Rochela	id=g:3781404
Quebrada El Salado	id=g:3781405
La Sainera	id=g:3781406
Quebrada La Camelia	id=g:3781407
Quebrada Lázaro	id=g:3781408
La Libia	id=g:3781409
Las Brisas	id=g:3781410
Quebrada Caucayá	id=g:3781411
Patio Bonito	id=g:3781412
Quebrada Guacha	id=g:3781413
La Morabia	id=g:3781414
Quebrada San Pedro	id=g:3781415
Santa Inés	id=g:3781416
La Olga	id=g:3781417
Quebrada Maraprá	id=g:3781418
El Crucero	id=g:3781419
El Contento	id=g:3781420
El Cairo	id=g:3781421
Quebrada Pedregosa	id=g:3781422
Quebrada Beltrán	id=g:3781423
Beltrán	id=g:3781424
Quebrada Parvara	id=g:3781425
Quebrada Montevideo	id=g:3781426
Moravia	id=g:3781427
Mayorquin	id=g:3781428
Los Medios	id=g:3781429
Quebrada La Turquesa	id=g:3781430
Quebrada El Rayado	id=g:3781431
Maraprá	id=g:3781432
El Crucero	id=g:3781433
Quebrada La Mica	id=g:3781434
Playa Rica	id=g:3781435
Quebrada La Fea	id=g:3781436
Quebrada La Primavera	id=g:3781437
Quebrada del Purgatorio	id=g:3781438
Las Playas	id=g:3781439
La Miranda	id=g:3781440
El Rayado	id=g:3781441
Quebrada La Siria	id=g:3781442
Quebrada del El Guaico	id=g:3781443
Quebrada La Moravia	id=g:3781444
Quiebra de Santa Bárbara	id=g:3781445
Pinares	id=g:3781446
Quebrada La Soledad	id=g:3781447
Quebrada La Florida	id=g:3781448
Quebrada Santa Rita	id=g:3781449
