Villersdamm	id=g:2817225
Villersbronn	id=g:2817226
Viller	id=g:2817227
Försterei Villenhaus	id=g:2817228
Villenberg	id=g:2817229
Villenbach	id=g:2817230
Villbach	id=g:2817231
Villau	id=g:2817232
Villa Maria	id=g:2817233
Villa Hullerbusch	id=g:2817234
Vilkerath	id=g:2817235
Vilich Rheindorf	id=g:2817236
Vilich-Müldorf	id=g:2817237
Vilich	id=g:2817238
Vilgertshofen	id=g:2817239
Vilchband	id=g:2817240
Vijohlenburg	id=g:2817241
Viezenhof	id=g:2817242
Viezen	id=g:2817243
Viez	id=g:2817244
Vie-Wiesen	id=g:2817245
Vietznitzer Luch	id=g:2817246
Vietznitz	id=g:2817247
Vietzke	id=g:2817248
Vietzen	id=g:2817249
Vietzen	id=g:2817250
Vietze	id=g:2817251
Veitsrodt	id=g:2817252
Vietschow	id=g:2817253
Viets-Berg	id=g:2817254
Vietow	id=g:2817255
Vietow	id=g:2817256
Vietmannsdorfer Kanal	id=g:2817257
Vietmannsdorf	id=g:2817258
Vietlübber Tannen	id=g:2817259
Vietlübber See	id=g:2817260
Vietlübbe	id=g:2817261
Vietlübbe	id=g:2817262
Vietlöd	id=g:2817263
Vietlipp	id=g:2817264
Vieth	id=g:2817265
Vieth	id=g:2817266
Vietgest	id=g:2817267
Viet	id=g:2817268
Viesenhäuserhof	id=g:2817269
Viesen	id=g:2817270
Vieselbach	id=g:2817271
Viesecke	id=g:2817272
Viesebeck	id=g:2817273
Vierzigstücken	id=g:2817274
Vierzig Hölzer	id=g:2817275
Vierzehnheiligen	id=g:2817276
Vierzehnheiligen	id=g:2817277
Vierwitz	id=g:2817278
Vierwinden	id=g:2817279
Vierundzwanzig Höfe	id=g:2817280
Viertshöhe	id=g:2817281
Viertmoor	id=g:2817282
Viertlweggrub	id=g:2817283
Viertlerhof	id=g:2817284
Viertl	id=g:2817285
Viertl	id=g:2817286
Vierths Berg	id=g:2817287
Vierthorn	id=g:2817288
Vierthof	id=g:2817289
Vierthof	id=g:2817290
Vierthof	id=g:2817291
Vierthege	id=g:2817292
Vierth	id=g:2817293
Vierth	id=g:2817294
