Darah-ye Sūr Apan	id=g:1459724
Kōtal-e Lukah Sang	id=g:1459725
Kōtal-e ‘Arab	id=g:1459726
Owlīā Ghar	id=g:1459727
Lukah Sang	id=g:1459728
Sang-e Kōchakā	id=g:1459729
Jar-e Ghūkah-ye Kalān	id=g:1459730
Ghūkah-ye Khōrd	id=g:1459731
Jar-e Ghūkah-ye Khōrd	id=g:1459732
Tangī Farangī	id=g:1459733
Kōh-e Safayd	id=g:1459734
Kōtal-e Sūr Apan	id=g:1459735
Darah-ye Pīr-e Kirmān	id=g:1459736
Ghōjagak	id=g:1459737
Shaylah-ye Ōzūr	id=g:1459738
Rīg-e Ravān	id=g:1459739
Sang-e Hasht Asār	id=g:1459740
Jīragag	id=g:1459741
Turāshah	id=g:1459742
Band-e Rukhān	id=g:1459743
Jar-e Karukh	id=g:1459744
Lākh-e Sīāh	id=g:1459745
Zarnī	id=g:1459746
Darah-ye Bahārkhān	id=g:1459747
Pīr-e Kirmān	id=g:1459748
Kōtal-e Piyān	id=g:1459749
Band-e Taymīān	id=g:1459750
Sīāh Khūrdak	id=g:1459751
Khāk-e Tālāb	id=g:1459752
Sabzamān	id=g:1459753
Barzarī	id=g:1459754
Kōr Āb	id=g:1459755
Panj Khūlah	id=g:1459756
Kowtar Khān	id=g:1459757
Darah-ye Jīragag	id=g:1459758
Zīārat-e Khalīfah Mīr Şādiq	id=g:1459759
Rāhrow-e Zālak	id=g:1459760
Qal‘ah-ye Dukhtar	id=g:1459761
Zīārat-e Shāh Amānullāh Şāḩib	id=g:1459762
Kōh-e Khūm	id=g:1459763
Nāwah-ye Sarshār	id=g:1459764
Kōh-e Nishar	id=g:1459765
Kōtal-e Chashmah-ye Malakī	id=g:1459766
Kōh-e Isparmān	id=g:1459767
Kōtal-e Isparmān	id=g:1459768
Darah-ye Chashmah-ye Malakī	id=g:1459769
Darah-ye Jān Qal‘ah	id=g:1459770
Kōh-e Bāgh-e Mullā	id=g:1459771
Tangī Darzāb	id=g:1459772
Darah-ye Tay Khāj	id=g:1459773
Kōh-e Rukhān	id=g:1459774
Tangī-e Ghowr	id=g:1459775
Darah-ye Dīwānah Āb	id=g:1459776
Kōtal-e Farangī	id=g:1459777
Shaylah-ye Sar Band-e Hāshim Khān	id=g:1459778
Sang-e Now Shayr	id=g:1459779
Kōh-e Gāw Khānah	id=g:1459780
Kōh-e Ghujī Ghugī	id=g:1459781
Kōh-e Saybak	id=g:1459782
