Malmunj	id=g:1468082
Gazān	id=g:1468083
Now Ābād	id=g:1468084
Shīnah	id=g:1468085
Chashmah-ye Bayd	id=g:1468086
Rabāţ	id=g:1468087
Āshē	id=g:1468088
Kōh-e Sang-e Ramah	id=g:1468089
Zīārat-e Qalāt-e Shaykh	id=g:1468090
Wuz Namad	id=g:1468091
Darah-ye Sum Darah	id=g:1468092
Darah-ye Khāsh	id=g:1468093
Darah-ye Takhs Āb	id=g:1468094
Darah-ye Arghanj Khāh	id=g:1468095
Khānaqāh	id=g:1468096
Tagābak	id=g:1468097
Now Ābād-e Wurān Shahr	id=g:1468098
Pūlar	id=g:1468099
Dasht-e Pahn	id=g:1468100
Kōh-e Sarkī Khāh	id=g:1468101
Takhs Āb	id=g:1468102
Zīārat-e Khwājah Abū Abdāl	id=g:1468103
Rabāţ	id=g:1468104
Khāsh	id=g:1468105
Kōh-e Akhtah Khānah	id=g:1468106
Zar Shakh	id=g:1468107
Kōtal-e Dar Khān	id=g:1468108
Bāgh-e Mubārak	id=g:1468109
Dahān-e Darah	id=g:1468110
Gul Darah	id=g:1468111
Dahānah-ye Āb	id=g:1468112
Mōdrēl	id=g:1468113
Ţāqchah Darah	id=g:1468114
Ḩowẕī	id=g:1468115
Qarah Qūzī	id=g:1468116
Kishīn Darah	id=g:1468117
Safayd Alak	id=g:1468118
Kōh-e Gul Khōrak	id=g:1468119
Surkh Āb	id=g:1468120
Safayd Arak	id=g:1468121
Qūdūq	id=g:1468122
Zimistānak	id=g:1468123
Khāsābah	id=g:1468124
Ţūghak	id=g:1468125
Qarah Kamar	id=g:1468126
Marghuzār	id=g:1468127
Tūt Būlāq	id=g:1468128
Darah-ye Rāst	id=g:1468129
Pistah-ye Kalān	id=g:1468130
Sipāk	id=g:1468131
Kishtgāh	id=g:1468132
Chāyābak	id=g:1468133
Darah-ye Zimistānak	id=g:1468134
Darah-ye Safayd Sang Āb	id=g:1468135
Shakhāpar	id=g:1468136
Deh Tūt	id=g:1468137
Ābgandah	id=g:1468138
Chashmah-ye Khariṯah	id=g:1468139
Chihilgān Shahr	id=g:1468140
Sang Darah	id=g:1468141
Zayr-e Kōtal	id=g:1468142
Ghānghar-e Bālā	id=g:1468143
Ghānghar-e Pā’īn	id=g:1468144
Mazayk Dasht	id=g:1468145
Kōh-e Bandar-e ‘Alī Qōl	id=g:1468146
Manţaqah-ye Dāwāng	id=g:1468147
Gaylakī	id=g:1468148
Ishkāshān	id=g:1468149
Samatī	id=g:1468150
Āfāqī	id=g:1468151
Ḩalqah Jar	id=g:1468152
Kandaylān	id=g:1468153
Deh-Zindān	id=g:1468154
Bāzārak	id=g:1468155
Sīkh Darah	id=g:1468156
Khwājah Almās	id=g:1468157
Sar-e Nihang	id=g:1468158
Şūfīān	id=g:1468159
Nālah	id=g:1468160
Ḩowẕakān	id=g:1468161
Sīmīn Jow	id=g:1468162
Waykhā	id=g:1468163
Ghōz Murgh	id=g:1468164
Gazānak	id=g:1468165
Tūkashal	id=g:1468166
Bad Darah	id=g:1468167
Lōl Darah	id=g:1468168
Arwēshā	id=g:1468169
Qāz Darah	id=g:1468170
Khūgistānak	id=g:1468171
Hazār Sayb	id=g:1468172
Sōkhtah Kōh	id=g:1468173
Pahn Darah	id=g:1468174
Shāil	id=g:1468175
Sanduksay	id=g:1468176
Mahājerīn	id=g:1468177
Chugayi-Sufla	id=g:1468178
Khwājah Palak	id=g:1468179
Khukdara	id=g:1468180
Wulk-e Bālā	id=g:1468181
Bāghak	id=g:1468182
Bāgh-e Bālīn	id=g:1468183
Bar Bāgh	id=g:1468184
Dzhalayeri-Khurd	id=g:1468185
Yōnus Pandarah	id=g:1468186
Kōh-e Band-e Rāgh	id=g:1468187
Dzhalayeri-Kalan	id=g:1468188
Darwashkil	id=g:1468189
Anj	id=g:1468190
Nūshār	id=g:1468191
Ēlgah-ye Mīr	id=g:1468192
Dzhalayer	id=g:1468193
Ḩasan-e Dīwānah	id=g:1468194
Manţaqah-ye Dasht-e Sang-e Sabz	id=g:1468195
Garak	id=g:1468196
Manţaqah-ye Khaywah Kham	id=g:1468197
Beshkapa	id=g:1468198
Sēmchēw	id=g:1468199
Dah Sayr Chwān	id=g:1468200
Qaţār Bayd	id=g:1468201
Murchali	id=g:1468202
Shorcha	id=g:1468203
Shorcha	id=g:1468204
Shulās Darah	id=g:1468205
Ūjīkayl	id=g:1468206
Āyd Bachah	id=g:1468207
Shāfking	id=g:1468208
Ēshtatūk	id=g:1468209
Zīārat-e Dū Mullā	id=g:1468210
Chikā Kham	id=g:1468211
Surkhkyshlak	id=g:1468212
Sar-e Pol-e Chāl	id=g:1468213
Kaltah Tay	id=g:1468214
Zarnūd	id=g:1468215
Qalāt	id=g:1468216
Chakharchinar	id=g:1468217
Şālēt	id=g:1468218
Zarnūd	id=g:1468219
Jighring	id=g:1468220
Dakhani-Kyshlak	id=g:1468221
Shēpū-ye Pā’īn	id=g:1468222
Kōtal-e Ghār Jawīn	id=g:1468223
Chakharchinar	id=g:1468224
Kōh-e Shēwah	id=g:1468225
Darah-ye Qalāt	id=g:1468226
Āb Zijad	id=g:1468227
Chakharchinar	id=g:1468228
Darah-ye Āb Kōtal	id=g:1468229
Daryā-ye Nakhchīr Par	id=g:1468230
Darah-ye Jow	id=g:1468231
Baykyshlak	id=g:1468232
Ishkamysh	id=g:1468233
Talbūzanak	id=g:1468234
Bāqū Bāy Darah	id=g:1468235
Madraseh	id=g:1468236
Kōtal-e Kurang	id=g:1468237
Kōh-e Mīān Kōh	id=g:1468238
Ţōgh Darah	id=g:1468239
Kōl-e Wīzāwjēl	id=g:1468240
Ḩalqeh Yār	id=g:1468241
Zīn Darah	id=g:1468242
Sar Ghalah	id=g:1468243
Gōr Kūshān	id=g:1468244
Kal Bachcheh	id=g:1468245
Nārwan	id=g:1468246
Sumchān	id=g:1468247
Qāz Darah	id=g:1468248
Deh-e Kalān	id=g:1468249
Deh-e Zindān	id=g:1468250
Kungurbay	id=g:1468251
Deh-e Mīānah	id=g:1468252
Sīāh Shākh	id=g:1468253
Kungurbay	id=g:1468254
Kungurbay	id=g:1468255
Pandzhiri	id=g:1468256
Zīārat-e Khwājah Samyah	id=g:1468257
Kajī-ye Kham-e Bālā	id=g:1468258
Kajī-ye Kham-e Pā’īn	id=g:1468259
Kowtal-e Sar-e Bel	id=g:1468260
Kham-e Mīr	id=g:1468261
Daryā-ye Shākh Darah Bālā	id=g:1468262
Sangāw Darah	id=g:1468263
Daryā-ye Shākh Darah Pā’īn	id=g:1468264
Shorakab	id=g:1468265
Kōh-e Tīrshārī	id=g:1468266
Kōh-e Yāghardah	id=g:1468267
Kōh-e Yakhchiw Darah	id=g:1468268
Pandzhiri	id=g:1468269
Sanduksay	id=g:1468270
Daryā-ye Ghārsūpān	id=g:1468271
Musazai	id=g:1468272
Darah-ye Mākhūl Darah	id=g:1468273
Izwān Darah	id=g:1468274
Wīzak Darah	id=g:1468275
Qaram Qowl	id=g:1468276
Ghulām Darah	id=g:1468277
Yāwāch	id=g:1468278
Tarwazah	id=g:1468279
Andarabi	id=g:1468280
Īwīnak	id=g:1468281
Sīāhī	id=g:1468282
Sēlā	id=g:1468283
Kōl Darah	id=g:1468284
Khar Chang	id=g:1468285
Sarāsak	id=g:1468286
Izriw	id=g:1468287
Khambēl	id=g:1468288
Sīāh Darah	id=g:1468289
Muzung	id=g:1468290
Angārah-ye Kalān	id=g:1468291
Rūy-e Āb	id=g:1468292
Dargak	id=g:1468293
