Tītīn Darah	id=g:1474234
Amlōkō Mēnē	id=g:1474235
Mūsá Bānḏah	id=g:1474236
Kōlatān Darah	id=g:1474237
Sīgō Ghar	id=g:1474238
Jabāray	id=g:1474239
Ḏabā Khwaṟ	id=g:1474240
Ḏabā Ghar	id=g:1474241
Amrêy Nāw	id=g:1474242
Tītīndarē Ghar	id=g:1474243
Chêshanē Ghar	id=g:1474244
Kalahgōsh Ghar	id=g:1474245
Kambarkomā Ghar	id=g:1474246
Mullāyānō Tangaī	id=g:1474247
Nachapa	id=g:1474248
Sēray	id=g:1474249
Sulaīmānzaī	id=g:1474250
Kanḏêy	id=g:1474251
Kala	id=g:1474252
Jamanḏar Khwaṟ	id=g:1474253
Magal Ghar	id=g:1474254
Magal Darah	id=g:1474255
Shkōt Shaylah	id=g:1474256
Kanḏêy Shaylah	id=g:1474257
Wadawū	id=g:1474258
Kalahgōsh Ḏāg	id=g:1474259
Mōrgal Ghar	id=g:1474260
Tupak	id=g:1474261
Ghunḏêy	id=g:1474262
Daṟing	id=g:1474263
Māṉō	id=g:1474264
Bābuṟ Darah	id=g:1474265
Jā‘alam Shaylah	id=g:1474266
Gora Sunkulaygar	id=g:1474267
Ibalam	id=g:1474268
Barbar	id=g:1474269
Kajgard	id=g:1474270
Plār Darah	id=g:1474271
Chambēl	id=g:1474272
Sundurwā Darah	id=g:1474273
Gêrigāl	id=g:1474274
Rowgay	id=g:1474275
S̲h̲ādī Khēl	id=g:1474276
Shamkar	id=g:1474277
Hamwāray Kōṯ	id=g:1474278
Māmā Khōryay Sar	id=g:1474279
Khaki	id=g:1474280
Kulmānay	id=g:1474281
Qāẕī Bānḏah	id=g:1474282
Warnaṯah	id=g:1474283
Āhangarō Kalā	id=g:1474284
Shaykhānō Kêlay	id=g:1474285
Kōh-e Sawūch	id=g:1474286
Şāḩib Zādagān	id=g:1474287
Ningarāch Ghar	id=g:1474288
Tūt Tangaī	id=g:1474289
Darah-ye Pandāw	id=g:1474290
Gaṯō Kalā	id=g:1474291
Kōh-e Sigal	id=g:1474292
Kōh-e Masachīr	id=g:1474293
Darah-ye Tapakāl	id=g:1474294
Kōh-e Jatākatsū	id=g:1474295
Malikunḏā Khwaṟ	id=g:1474296
Gora Darkachisar	id=g:1474297
Spīn Jumā’at	id=g:1474298
Kōh-e Pākatī	id=g:1474299
Bar-Arazi	id=g:1474300
Gora Mardalu	id=g:1474301
Kōh-e Gambū	id=g:1474302
Kachū	id=g:1474303
Ḏārātah	id=g:1474304
Mūnḏul	id=g:1474305
Tīlī	id=g:1474306
Kūsūk	id=g:1474307
Kōṯā	id=g:1474308
Gumrāhī	id=g:1474309
Kanḏêy	id=g:1474310
Shalāgal	id=g:1474311
Ḏumlām	id=g:1474312
Siqān Watah	id=g:1474313
Pātah Kanah	id=g:1474314
Galwatah	id=g:1474315
Kōh-e Parmāwāl	id=g:1474316
Darah-ye Tamīn	id=g:1474317
Najīl	id=g:1474318
Kuz-Arazi	id=g:1474319
Chandāl	id=g:1474321
Khojil Khandū	id=g:1474322
Māsamūt	id=g:1474323
Waīs Mōrah	id=g:1474324
Darah-ye Gaḏyālah	id=g:1474325
Kōh-e Dowlat Shāh	id=g:1474326
Owlūk	id=g:1474327
Manāngōr	id=g:1474328
Darah-ye Manāngōr	id=g:1474329
Kōh-e Nūrah	id=g:1474330
Kandkōrī	id=g:1474331
Kōh-e Shāhī	id=g:1474332
Dumlich	id=g:1474333
Darah-ye Gōnapāl	id=g:1474334
Darah-ye Gōnapāl	id=g:1474335
Kōh-e Kōṯā	id=g:1474336
Khāş Kunaṟ	id=g:1474337
Kōh-e Murdārgaḏ	id=g:1474338
Sêrkī Ḏāg	id=g:1474339
Shālī Ḏāg	id=g:1474340
Kōh-e Najīl	id=g:1474341
Kōh-e Paṟāyen	id=g:1474342
Karbadāgh Dasht	id=g:1474343
Tarowgalō	id=g:1474344
Sanīkēchī	id=g:1474345
Qandō	id=g:1474346
Mūkah	id=g:1474347
Saīgal	id=g:1474348
