Camepo	id=g:3350901
Camenhe	id=g:3350902
Camenha	id=g:3350903
Camene	id=g:3350904
Camelungo	id=g:3350905
Camela	id=g:3350906
Cameia	id=g:3350907
Camedongo	id=g:3350908
Cambuta	id=g:3350909
Cambuta	id=g:3350910
Cambuta	id=g:3350911
Cambuta	id=g:3350912
Cambungo	id=g:3350913
Cambungo	id=g:3350914
Cambundo	id=g:3350915
Município Cambundi-Catembo	id=g:3350916
Cambundi-Catembo	id=g:3350917
Cambumba	id=g:3350918
Cambulo	id=g:3350919
Cambula	id=g:3350920
Cambula	id=g:3350921
Cambuio	id=g:3350922
Cambuio	id=g:3350923
Cambuinda	id=g:3350924
Cambuende	id=g:3350925
Cambuege	id=g:3350926
Cambua-Cabulo	id=g:3350927
Cambrinco	id=g:3350928
Cambongue	id=g:3350929
Cambongue	id=g:3350930
Cambongua	id=g:3350931
Cambongo	id=g:3350932
Cambongo	id=g:3350933
Cambonge	id=g:3350934
Cambonga	id=g:3350935
Cambondongolo	id=g:3350936
Cambondo	id=g:3350937
Cambondo	id=g:3350938
Serra Cambonda	id=g:3350939
Cambole	id=g:3350940
Cambodia	id=g:3350941
Cambocha	id=g:3350942
Cambobo	id=g:3350943
Cambo	id=g:3350944
Cambo	id=g:3350945
Cambisa	id=g:3350946
Cambinge	id=g:3350947
Cambinga	id=g:3350948
Cambindje	id=g:3350949
Cambinda e Mepo	id=g:3350950
Cambinda	id=g:3350951
Cambinda	id=g:3350952
Cambinda	id=g:3350953
Cambinda	id=g:3350954
Cambinda	id=g:3350955
Cambimbia	id=g:3350956
Cambimbe	id=g:3350957
Cambimbe	id=g:3350958
Cambije	id=g:3350959
Câmbia	id=g:3350960
Cambia	id=g:3350961
Cambia	id=g:3350962
Cambeu	id=g:3350963
Cambeo	id=g:3350964
Cambêno	id=g:3350965
Cambenje	id=g:3350966
Cambêmbua	id=g:3350967
Cambêmbua	id=g:3350968
Cambembe	id=g:3350969
Cambei	id=g:3350970
Cambau	id=g:3350971
Cambangungue	id=g:3350972
Cambango	id=g:3350973
Cambango	id=g:3350974
Cambanga	id=g:3350975
Cambândua	id=g:3350976
Cambanda	id=g:3350977
Cambambuela	id=g:3350978
Cambambe	id=g:3350979
Cambambe	id=g:3350980
Cambambe	id=g:3350981
Cambamba	id=g:3350982
Cambala	id=g:3350983
Cambala	id=g:3350984
Cambala	id=g:3350985
Cambachoco	id=g:3350986
Ponta da Cambaca	id=g:3350987
Cambaca	id=g:3350988
Camba	id=g:3350989
Camba	id=g:3350990
Camba	id=g:3350991
Camba	id=g:3350992
Camavo	id=g:3350993
Camava	id=g:3350994
Camatenda	id=g:3350995
Camatanga	id=g:3350996
Camaondeo	id=g:3350997
Camanja	id=g:3350998
Camanha	id=g:3350999
Camanha	id=g:3351000
Camanguina	id=g:3351001
Camangalala	id=g:3351002
Camangala	id=g:3351003
Camangala	id=g:3351004
Camanda	id=g:3351005
Camanacasa	id=g:3351006
Camalo	id=g:3351007
Camalanca	id=g:3351008
Camalanca	id=g:3351009
Camala	id=g:3351010
Camainga	id=g:3351011
Município Camacupa	id=g:3351012
Concelho deCamacupa, Município Camacupa	id=g:3351013
Camacupa	id=g:3351014
Município Camacuio	id=g:3351015
Camacho	id=g:3351016
Camaca	id=g:3351017
Calvário	id=g:3351018
Calussende	id=g:3351019
Caluqueme	id=g:3351020
Município Caluquembe	id=g:3351021
Missão de Caluquembe	id=g:3351022
Caluquembe	id=g:3351023
Caluquembe	id=g:3351024
Caluquele	id=g:3351025
Calupuca	id=g:3351026
Calupoteca	id=g:3351027
Caluponde	id=g:3351028
Calupole	id=g:3351029
Calupere	id=g:3351030
Calupere	id=g:3351031
Caluper	id=g:3351032
Calupenha	id=g:3351033
Calupemba	id=g:3351034
Calupele	id=g:3351035
Calupele	id=g:3351036
Calupele	id=g:3351037
Calupele	id=g:3351038
Caluombolo	id=g:3351039
Calunundo	id=g:3351040
Praia do Calungo	id=g:3351041
Calungo	id=g:3351042
Calungangana	id=g:3351043
Calunga	id=g:3351044
Calunga	id=g:3351045
Caluneva	id=g:3351046
Calundunga	id=g:3351047
Calundua	id=g:3351048
Calundo	id=g:3351049
Calundo	id=g:3351050
Calundo	id=g:3351051
Calundo	id=g:3351052
Calundo	id=g:3351053
Calundo	id=g:3351054
Calundango	id=g:3351055
Calunda	id=g:3351056
Calumué	id=g:3351057
Calumbo	id=g:3351058
Calumbinga	id=g:3351059
Calumbi	id=g:3351060
Calumbambe	id=g:3351061
Calumba	id=g:3351062
Calulo	id=g:3351063
Calulo	id=g:3351064
Caluli	id=g:3351065
Calulavela	id=g:3351066
Caluita	id=g:3351067
Caluíta	id=g:3351068
Caluimbe	id=g:3351069
Calui	id=g:3351070
Calui	id=g:3351071
Calui	id=g:3351072
Calueque	id=g:3351073
Calueque	id=g:3351074
Calueio	id=g:3351075
Calueio	id=g:3351076
Calueio	id=g:3351077
Calueio	id=g:3351078
Calueio	id=g:3351079
Calueio	id=g:3351080
Caluei	id=g:3351081
Caluehimba	id=g:3351082
Calue	id=g:3351083
Calucuta	id=g:3351084
Calucumbi	id=g:3351085
Calucula	id=g:3351086
Calucula	id=g:3351087
Calucula	id=g:3351088
Calucinga	id=g:3351089
Calucimba	id=g:3351090
Calucamba	id=g:3351091
Calube	id=g:3351092
Caluapanda	id=g:3351093
Caluango	id=g:3351094
Caluanga	id=g:3351095
Caluando	id=g:3351096
Caluaco	id=g:3351097
Caluache	id=g:3351098
Calpiongo	id=g:3351099
Caloxinha	id=g:3351100
Calovango	id=g:3351101
Calovango	id=g:3351102
Calotui	id=g:3351103
Caloquembe	id=g:3351104
Calonjombo	id=g:3351105
Calongunda	id=g:3351106
Calongulungo	id=g:3351107
Calongué	id=g:3351108
Calongue	id=g:3351109
Calongue	id=g:3351110
Calongola	id=g:3351111
Calongo	id=g:3351112
Calonganga	id=g:3351113
Ponta do Calonga	id=g:3351114
Enseada do Calonga	id=g:3351115
Calonga	id=g:3351116
Calonga	id=g:3351117
Calonga	id=g:3351118
Calonga	id=g:3351119
Calondungo	id=g:3351120
Calondongo	id=g:3351121
Calondo	id=g:3351122
Calomo	id=g:3351123
Calombula	id=g:3351124
Calombué	id=g:3351125
Calombo	id=g:3351126
Calombeú	id=g:3351127
Calombe	id=g:3351128
Calombe	id=g:3351129
Calomapala	id=g:3351130
Calomapala	id=g:3351131
Calola	id=g:3351132
Calogo	id=g:3351133
Vau do Caloeque	id=g:3351134
Caloenge	id=g:3351135
Caloeio	id=g:3351136
Calobombo	id=g:3351137
Calo	id=g:3351138
Calmango	id=g:3351139
Caliuzaúè	id=g:3351140
Caliueque	id=g:3351141
Caliueque	id=g:3351142
Serra Caliucavita	id=g:3351143
Calique	id=g:3351144
Caliponte	id=g:3351145
Calinho	id=g:3351146
