Kratzhahn	id=g:2884671
Vorwerk Kratzeroda	id=g:2884672
Kratzerimbach	id=g:2884673
Kratzerhof	id=g:2884674
Kratzerach	id=g:2884675
Kratzer	id=g:2884676
Kratzenburg	id=g:2884677
Kratzen-Berg	id=g:2884678
Kratzenberg	id=g:2884679
Kratzeburg	id=g:2884680
Kratze Bach	id=g:2884681
Krätze	id=g:2884682
Kratzbusch	id=g:2884683
Kratzberg	id=g:2884684
Kratz-Berg	id=g:2884685
Krätz-Berg	id=g:2884686
Kratz-Berg	id=g:2884687
Kratzberg	id=g:2884688
Kratz-Bach	id=g:2884689
Krattkoppel	id=g:2884690
Krattenweiler	id=g:2884691
Krattenberg	id=g:2884692
Kratt	id=g:2884693
Kratt	id=g:2884694
Krätis	id=g:2884695
Krastel	id=g:2884696
Krassow	id=g:2884697
Krassow	id=g:2884698
Krassolzheim	id=g:2884699
Kraßlau	id=g:2884700
Krassiger Heide	id=g:2884701
Krassig	id=g:2884702
Krassbronn	id=g:2884703
Krassach	id=g:2884704
Krassach	id=g:2884705
Kraspen	id=g:2884706
Krasnitzer Berg	id=g:2884707
Kraschwitz	id=g:2884708
Krasberg	id=g:2884709
Krapphof	id=g:2884710
Krappenhofen	id=g:2884711
Krappenhof	id=g:2884712
Krappenbuckel	id=g:2884713
Krappe	id=g:2884714
Kräpflins	id=g:2884715
Krapflhof	id=g:2884716
Krapfenreut	id=g:2884717
Krapfenkar Spitze	id=g:2884718
Krapfen-Berg	id=g:2884719
Krapfenberg	id=g:2884720
Krapfenau	id=g:2884721
Krapendorfer Kämpe	id=g:2884722
Krapendorf	id=g:2884723
Kräpelin	id=g:2884724
Kransmoor	id=g:2884725
Kranzmaar	id=g:2884726
Kränzliner Siedlung	id=g:2884727
Kränzlin	id=g:2884728
Kranzlhub	id=g:2884729
Kranzkopf	id=g:2884730
Kranzknogl	id=g:2884731
Kranzhorn	id=g:2884732
Kranzhof	id=g:2884733
Kranzgarten	id=g:2884734
Kranzfelder	id=g:2884735
Kranzer	id=g:2884736
Kranzegg	id=g:2884737
Kranzberg	id=g:2884738
Kranzberg	id=g:2884739
Kranz-Berg	id=g:2884740
Kranzbach	id=g:2884741
Kranz	id=g:2884742
Kranüchel	id=g:2884743
Krant-Berg	id=g:2884744
Kransevitz	id=g:2884745
Kransdorf	id=g:2884746
Kransburg	id=g:2884747
Kransberg	id=g:2884748
Försterei Kranold	id=g:2884749
Kranlucken	id=g:2884750
Krankenhagen	id=g:2884751
Krankel	id=g:2884752
Kränke	id=g:2884753
Kranich-Teich	id=g:2884754
Jagdschloß Kranichstein	id=g:2884755
Kranichsmoor	id=g:2884756
Kranichshof	id=g:2884757
Kranichs-Berge	id=g:2884758
Kranichs-Berg	id=g:2884759
Kranichpfuhl	id=g:2884760
Kranichfeld	id=g:2884761
Kranichborner Hügel	id=g:2884762
Kranichborn	id=g:2884763
Kranich-Berg	id=g:2884764
Kranich-Berg	id=g:2884765
Kranichau	id=g:2884766
Kranich	id=g:2884767
Krangener Forst	id=g:2884768
Wüste Feldmark Krangen	id=g:2884769
Krangen	id=g:2884770
Krangel-Berg	id=g:2884771
Kranepuhl	id=g:2884772
Kranepfuhl	id=g:2884773
Kranepfuhl	id=g:2884774
Kranenweide	id=g:2884775
Kranenkasper	id=g:2884776
Kranenkamp	id=g:2884777
Kranenburg	id=g:2884778
Kranenburg	id=g:2884779
Kranenbruch	id=g:2884780
Kranen-Bach	id=g:2884781
Kranen	id=g:2884782
Kranefuß	id=g:2884783
Krandsberg	id=g:2884784
Krandorf	id=g:2884785
Kranbuche	id=g:2884786
Kran-Berg	id=g:2884787
Kranawitt	id=g:2884788
Kranalalm	id=g:2884789
Kramswiesen	id=g:2884790
Kramssee	id=g:2884791
Kramsbeek	id=g:2884792
Krams	id=g:2884793
Krams	id=g:2884794
Krampnitzsee	id=g:2884795
Krampnitz-Berg	id=g:2884796
Krampnitz	id=g:2884797
Krampfer	id=g:2884798
Krampenhöhe	id=g:2884799
Krampe	id=g:2884800
Krampaser Berge	id=g:2884801
Krampas	id=g:2884802
Krämoos	id=g:2884803
Krammbek	id=g:2884804
Kramhof	id=g:2884805
Krämgen	id=g:2884806
Krametsberg	id=g:2884807
Krames	id=g:2884808
Krämerweiher	id=g:2884809
Krämersteen	id=g:2884810
Krämersreute	id=g:2884811
Kramerspitz	id=g:2884812
Krämers-Kuppe	id=g:2884813
Krämershof	id=g:2884814
Krämershäuschen	id=g:2884815
Kramersfeld	id=g:2884816
Kramersdorf	id=g:2884817
Kramerschopf	id=g:2884818
Kramerschlag	id=g:2884819
Kramersbrunn	id=g:2884820
Kramers	id=g:2884821
Krämerpfuhl	id=g:2884822
Kramerhof	id=g:2884823
Krämerhof	id=g:2884824
Kramerhof	id=g:2884825
Kramerding	id=g:2884826
Krämer-Berg	id=g:2884827
Kramer-Berg	id=g:2884828
Kramerberg	id=g:2884829
Kramer-Berg	id=g:2884830
Kramerberg	id=g:2884831
Kramer	id=g:2884832
Kramer	id=g:2884833
Kramelheide	id=g:2884834
Kram-Brook	id=g:2884835
Kram-Berg	id=g:2884836
Kram-Berg	id=g:2884837
Kram-Berg	id=g:2884838
