Deutsche Oper Berlin	id=g:6944058
Deutscher Bundestag	id=g:6944059
Deutsches Theater	id=g:6944060
East-Side-Gallery	id=g:6944061
Europa-Center	id=g:6944062
Frankfurter Tor	id=g:6944063
Friedrichstadtpalast	id=g:6944064
Genarmenmarkt	id=g:6944065
Grunewaldturm	id=g:6944066
Hackesche Höfe	id=g:6944067
Hamburger Bahnhof	id=g:6944068
Haus der Kulturen der Welt	id=g:6944069
Havelchaussee	id=g:6944070
Hedwigs Kathedrale	id=g:6944071
Holocaust Mahnmal	id=g:6944072
Hufeisensiedlung	id=g:6944073
Humboldt Universität	id=g:6944074
Jüdisches Museum	id=g:6944075
Kaiserin-Augusta-Allee	id=g:6944076
Kaufhaus des Westens	id=g:6944077
Kulturbrauerei	id=g:6944080
Museumsinsel	id=g:6944081
Nikolaikirche	id=g:6944082
Olympia Stadion	id=g:6944083
Orangerie	id=g:6944084
Philharmonie	id=g:6944085
Planetarium	id=g:6944086
Planetarium am Insulaner	id=g:6944087
Rathaus Berlin	id=g:6944088
Rathaus Schöneberg	id=g:6944089
Reichstagsgebäude	id=g:6944090
Rotes Rathaus	id=g:6944091
Schloss Bellevue	id=g:6944092
Schloss Charlottenburg	id=g:6944093
Schloss Friedrichsfelde	id=g:6944094
Schloss Köpenick	id=g:6944095
Schloss Tegel	id=g:6944096
Sowjetisches Ehrenmal	id=g:6944097
Spreepark	id=g:6944098
Staatsbibliothek	id=g:6944099
Staatsoper unter den Linden	id=g:6944100
Strasse des 17. Juni	id=g:6944101
Technische Universität  Berlin	id=g:6944102
Zoologischer Garten	id=g:6944103
Messe Berlin	id=g:6944104
Neurüdnitz OT Spitz	id=g:6944105
A&O CITY AM ZOO	id=g:6944284
Hamburg Hauptbahnhof	id=g:6944285
U-Bahn Alter Teichweg	id=g:6944286
U-Bahnstation Berliner Tor	id=g:6944287
U-Bahnstation Gänsemarkt	id=g:6944288
U-Bahnstation Horner Rennbahn	id=g:6944289
U-Bahnstation Landungsbrücken	id=g:6944290
U-Bahnstation Rathaus	id=g:6944291
U-Bahnstation Steinfurther Allee	id=g:6944292
U-Bahnstation Stephansplatz	id=g:6944293
U-Bahnstation Trabrennbahn	id=g:6944294
St. Pauli	id=g:6944296
Botanischer Garten	id=g:6944297
Deutsches Schauspielhaus	id=g:6944298
Elbchaussee	id=g:6944299
Esplanade	id=g:6944300
Galopprennbahn	id=g:6944302
HSH-Nordbank Arena	id=g:6944303
Jungfernstieg	id=g:6944304
Kennedybrücke	id=g:6944305
Kunsthalle Hamburg	id=g:6944306
Ohnsorg Theater	id=g:6944307
Operettenhaus	id=g:6944308
Rathaus Hamburg	id=g:6944309
Reeperbahn	id=g:6944310
Rote Flora	id=g:6944311
Speicherstadt	id=g:6944312
St. Pauli Theater	id=g:6944314
St.-Katharinenkirche	id=g:6944315
A&O City Hauptbahnhof Leipzig	id=g:6944316
St.-Michaeliskirche	id=g:6944317
Staatsoper Hamburg	id=g:6944319
Stadtpark Hamburg	id=g:6944320
U-Bahnstation Hoheluftbrücke	id=g:6944321
Universität Hamburg	id=g:6944322
Volkspark Altona	id=g:6944323
Congress Center Hamburg	id=g:6944324
Messe Hamburg	id=g:6944325
A&O Dresden Hauptbahnhof	id=g:6944326
