Lem Vig	id=g:2617813
Lemvig	id=g:2617814
Lemtorp	id=g:2617815
Lemming Nygård	id=g:2617816
Lemming	id=g:2617817
Lemming	id=g:2617818
Lemming	id=g:2617819
Lemmer	id=g:2617820
Lem	id=g:2617821
Lem	id=g:2617822
Lem	id=g:2617823
Lem	id=g:2617824
Lellinge Frihed	id=g:2617825
Lellinge	id=g:2617826
Lekkende	id=g:2617827
Lejsø	id=g:2617828
Lejrskov	id=g:2617829
Lejre Vig	id=g:2617830
Lejre Kommune	id=g:2617831
Lejre	id=g:2617832
Lejbølle	id=g:2617833
Lejbjerg	id=g:2617834
Lehnskov	id=g:2617846
Legindgård	id=g:2617847
Legindbjerge Plantage	id=g:2617848
Legind	id=g:2617849
Leestrup Skov	id=g:2617850
Leestrup	id=g:2617851
Lee	id=g:2617852
Ledreborg	id=g:2617853
Ledøje	id=g:2617854
Ledøje-Smørum Kommune	id=g:2617855
Leding	id=g:2617856
Ledas Grund	id=g:2617857
Leby	id=g:2617858
Lebøl	id=g:2617859
Leammer	id=g:2617860
Læborg	id=g:2617861
Lavtrupgård	id=g:2617862
Lavstrup	id=g:2617863
Lavridsminde	id=g:2617864
Lavø	id=g:2617865
Lavindsgårde	id=g:2617866
Lavesgård	id=g:2617867
Lavensby	id=g:2617868
Laven	id=g:2617869
Lavborg	id=g:2617870
Lavbjerg Hage	id=g:2617871
Laursrev	id=g:2617872
Laurbjerg	id=g:2617873
Lauenborg	id=g:2617874
Lauegård	id=g:2617875
Låstrup	id=g:2617877
Låsby	id=g:2617878
Låsby	id=g:2617879
Lårup	id=g:2617880
Lappen	id=g:2617881
Lånum	id=g:2617882
Langvang	id=g:2617883
Langvad	id=g:2617884
Langtved	id=g:2617885
Langtved	id=g:2617886
Langtved	id=g:2617887
Langtoftegård	id=g:2617888
Langtoftegård	id=g:2617889
Langthjem	id=g:2617890
Langstrup	id=g:2617891
Langsted	id=g:2617892
Langsø	id=g:2617893
Langsø	id=g:2617894
Langsø	id=g:2617895
Langsø	id=g:2617896
Langskov	id=g:2617897
Langskov	id=g:2617898
Langskov	id=g:2617899
Langø Vrid	id=g:2617900
Langør	id=g:2617901
Langøre	id=g:2617902
Langør	id=g:2617903
Langø Plantage	id=g:2617904
Langø Hoved	id=g:2617905
Langø Havn	id=g:2617906
Langø	id=g:2617907
Langø	id=g:2617908
Langø	id=g:2617909
Langø	id=g:2617910
Langø	id=g:2617911
Langmose	id=g:2617912
Langli Sand	id=g:2617913
Langli	id=g:2617914
Langkær	id=g:2617915
