Ostergaards	id=g:6475391
Square	id=g:6475462
Hotel 71 Nyhavn	id=g:6476312
City Hotel Nebo	id=g:6477109
Radisson SAS H.C. Andersen Hotel	id=g:6477126
Comfort Hotel Atlantic	id=g:6477499
Axel Hotel Guldsmeden	id=g:6477651
Norlandia Star Hotel	id=g:6477708
Comfort Hotel Osterport	id=g:6478332
First Grand Hotel Odense	id=g:6479429
Absalon Hotel	id=g:6479621
Radisson SAS Falconer Hotel & Conference Centre	id=g:6479740
Phoenix Copenhagen	id=g:6480271
Helnan Phonix Hotel	id=g:6481017
Palace Hotel	id=g:6481211
Norlandia Mercur Copenhagen	id=g:6481431
Norlandia Richmond Hotel	id=g:6481559
Imperial Hotel	id=g:6482302
Park Inn Copenhagen Airport	id=g:6482514
Grand Hotel	id=g:6483030
Radisson SAS Scandinavia Hotel	id=g:6483206
Hotel Kong Arthur - A Brochner Hotel	id=g:6483324
Hotel Opera	id=g:6483919
Copenhagen Admiral Hotel	id=g:6485458
Radisson SAS Royal Hotel	id=g:6485883
Comfort Hotel Windsor	id=g:6486205
Hotel D Angleterre Copenhagen	id=g:6490037
Zleep Hotel Ballerup	id=g:6490777
Ribe Byferie	id=g:6491120
Zleep Hotel Billund	id=g:6491248
Quality Hotel Sonderborg	id=g:6491402
First Hotel Kolding	id=g:6492914
Ascot Apartments	id=g:6493144
Helnan Marina Hotel	id=g:6493902
Copenhagen Island Hotel	id=g:6495290
Adina Apartments	id=g:6495624
Bertrams Hotel Guldsmeden	id=g:6495922
Cab Inn City Hotel	id=g:6496367
Hotel Kong Frederik	id=g:6496833
Hotel Maritime	id=g:6497422
Zleep Ishoj Hotel	id=g:6497908
Cab inn Aarhus Hotel	id=g:6498339
Hotel Mercur	id=g:6498811
Brondby Park Hotel	id=g:6498958
First Hotel Aalborg	id=g:6499084
Bella Danica Hotel	id=g:6499576
Clarion Collection Hotel Kronjylland	id=g:6499599
Korning Kro	id=g:6499609
Hotel Ansgar	id=g:6499749
Avenue Hotel	id=g:6500086
Copenhagen Plaza Hotel	id=g:6500465
Scandic Olympic Esbjerg	id=g:6501247
Scandic Sydhavnen	id=g:6501277
Clarion Hotel Copenhagen	id=g:6501309
Scandic Hvidovre	id=g:6501358
Scandic Frederikshavn	id=g:6501366
Zleep Airport Hotel	id=g:6501583
Scandic Webers	id=g:6501653
Dagmar Hotel	id=g:6501721
Scandic Ringsted	id=g:6501969
Carlton Hotel Guldsmeden	id=g:6501977
Scandic Eremitage	id=g:6502063
Comwell Middlefart	id=g:6502093
Scandic Aalborg	id=g:6502136
Hotel Centrum	id=g:6502204
First Hotel Skt Petri	id=g:6502285
Hotel Hvide Hus	id=g:6502475
Savoy Hotel	id=g:6502625
Hotel Legoland	id=g:6502743
Copenhagen Airport Hotel	id=g:6502765
Hotel Bel Air Copenhagen	id=g:6502843
The Square	id=g:6502981
Hellerup Parkhotel	id=g:6503716
Radisson SAS Hotel Silkeborg	id=g:6503849
Quality Hotel Airport Dan	id=g:6504293
Quality Hotel Aalborg	id=g:6504560
Ry Park Hotel	id=g:6504909
Falsled Kro	id=g:6505161
Christies Sdr Hostrup Kro	id=g:6505869
Cab Inn Scandinavia	id=g:6506024
Odder Parkhotel	id=g:6506305
Hotel Lautruppark	id=g:6506323
City Hotel Odense	id=g:6506443
Hotel Randers	id=g:6506610
Arnbjerg Hotel	id=g:6506636
Odense Congress Centre	id=g:6506814
Sallingsund Faergekro	id=g:6506916
Aarslev Kro And Hotel	id=g:6506933
Hotel Skuldelev Kro	id=g:6506959
Hotel Hedegaarden	id=g:6506975
Sdr Omme Kro	id=g:6507034
Praestkkilde Hotel	id=g:6507112
Hotel Tonderhus	id=g:6507169
Bredal Kro	id=g:6507180
Filskov Kro	id=g:6507216
Hotel Lisboa	id=g:6507257
Hotel Hilltop	id=g:6507281
Saxildhus Hotel	id=g:6507288
Blommenslyst Kro	id=g:6507301
