Kafr Ibrāsh	id=g:354241
Kafr Ibrāhīm Yūsif	id=g:354242
Kafr Ibrāhīm Sharaf	id=g:354243
Kafr Ibrāhīm Bishārah	id=g:354244
Kafr Ibrāhīm al ‘Āydī	id=g:354245
Kafr Ibrāhīm Āghā	id=g:354246
Kafr Ibrâhîm	id=g:354247
Kafr Ibnahs	id=g:354248
Kafr Ibjīj	id=g:354249
Kafr Ḩusayn Bey aţ Ţūbjī	id=g:354250
Kafr Ḩusayn	id=g:354251
Kafr Hūrayn	id=g:354252
Kafr Ḩumayyid	id=g:354253
Kafr Ḩumaydah	id=g:354254
Kafr Ḩisām	id=g:354255
Kafr Hindāwī aţ Ţāḩāwī	id=g:354256
Kafr Hilāl	id=g:354257
Kafr Ḩijāzī	id=g:354258
Kafr Ḩijāzī	id=g:354259
Kafr ’ijāzī	id=g:354260
Kafr Ḩifnā	id=g:354261
Kafr Ḩassān	id=g:354262
Kafr Ḩashshād	id=g:354263
Kafr Ḩasan ‘Ukāshah	id=g:354264
Kafr ’asan Sa‘d	id=g:354265
Kafr Ḩasan Nadā	id=g:354266
Kafr Ḩasan ‘Aţā’ Allāh	id=g:354267
Kafr Ḩasab Allāh	id=g:354268
Kafr Ḩasab Allāh	id=g:354269
Kafr Ḩānūt al Qiblī	id=g:354270
Kafr Ḩānūt	id=g:354271
Kafr Ḩamzah	id=g:354272
Kafr Ḩamzah	id=g:354273
Kafr Ḩammūdah	id=g:354274
Kafr Ḩammād	id=g:354275
Kafr Ḩamāqah	id=g:354276
Kafr Ḩamām	id=g:354277
Kafr Ḩamad Mūsá	id=g:354278
Kafr ’akīm	id=g:354279
Kafr Ḩajjī	id=g:354280
Kafr Ḩajjāj	id=g:354281
Kafr Ḩāfiz̧	id=g:354282
Kafr Ghunaym	id=g:354283
Kafr Ghāzī	id=g:354284
Kafr Gharīn	id=g:354285
Kafr Ghannām	id=g:354286
Kafr Ghānim	id=g:354287
Kafr Fiyâla	id=g:354288
Kafr Fīshā al Kubrá	id=g:354289
Kafr Fazārah	id=g:354290
Kafr Farsīs	id=g:354291
Kafr Farsīs	id=g:354292
Kafr Fârouqî	id=g:354293
Kafr Faraj Jirjis	id=g:354294
Kafr Fānūs	id=g:354295
Kafret Rihama	id=g:354296
Kafret Hamdan	id=g:354297
Kafret Habbuni	id=g:354298
Kafret el Tawarsa	id=g:354299
Kafret el Tawârsa	id=g:354300
Kafret el Sarahna	id=g:354301
Kafret el Sanâgra	id=g:354302
Kafret ‘Eilet Imshâzz	id=g:354303
Kafret Eilet el Taflal	id=g:354304
Kafret Abu Ghaniya	id=g:354305
Kafret Abu Ghaniya	id=g:354306
Kafr el-Walaga	id=g:354307
Kafr ash Shaba‘	id=g:354308
Kafr el- Kafr Kub ‘Umâya	id=g:354309
Kafr el Gharbâwi	id=g:354310
Kafr el- Eshari	id=g:354311
Kafr el- Dawwar Ikyâd	id=g:354312
Kafr ‘Eilet Lauwâg	id=g:354313
Kafr Duqmāq	id=g:354314
Kafr Dunūhyā	id=g:354315
Kafr Dukhmays	id=g:354316
Kafr Diyarb Buqţāris	id=g:354317
Kafr Diyamā	id=g:354318
Kafr Dinshawāy	id=g:354319
Kafr Dimyān	id=g:354320
Kafr Dimitnu	id=g:354321
Kafr Dimillâsh	id=g:354322
Kafr Dimeira el-Qadîm	id=g:354323
Kafr Dimeira el-Gedîd	id=g:354324
Kafr Difrīyah	id=g:354325
Kafr Dāwūd Maţar	id=g:354326
Kafr Dā’ūd	id=g:354327
Kafr Darwīsh	id=g:354328
Kafr Damshīt	id=g:354329
Kafr Damrū wa Shubrā Nabāt	id=g:354330
Kafr Damatyūh	id=g:354331
Kafr Damanhūr al Qadīm	id=g:354332
Kafr Damallīj	id=g:354333
Kafr Dahtūrah	id=g:354334
Kafr Dahmashā	id=g:354335
Kafr Dafān	id=g:354336
Kafr Dabbūs	id=g:354337
Kafr Buqţur Sa‘d	id=g:354338
Kafr Būlūs al Hawá	id=g:354339
Kafr Būlīn	id=g:354340
Kafr Buhût	id=g:354341
Kafr Bihaydah	id=g:354342
Kafr Bū al Ḩasan	id=g:354343
Kafr Bitibs	id=g:354344
Kafr Bisāţ	id=g:354345
Kafr Bilmishţ	id=g:354346
Kafr Baţā	id=g:354347
Kafr Barshūm al Kubrá	id=g:354348
Kafr Barbarī Sulaymān	id=g:354349
Jazīrat Kafr Barakāt	id=g:354350
Kafr Barakāt	id=g:354351
Kafr Banī Zayd	id=g:354352
Kafr Banī ‘Uthmān	id=g:354353
Kafr Banī Sālim	id=g:354354
Kafr Banī Hilāl	id=g:354355
Kafr Banī Ghiryān	id=g:354356
Kafr Banī ‘Amr	id=g:354357
Kafr Banī ‘alī	id=g:354358
Kafr Balḑam	id=g:354359
Kafr Badrān	id=g:354360
Kafr Badawāy al Qadīm	id=g:354361
Kafr Badawāy al Jadīd	id=g:354362
Kafr ‘Azzāz	id=g:354363
