Ar Raḩmānīyah Qiblī	id=g:434564
Naj‘ al Kharwa‘ah	id=g:434565
Naj‘ ash Sha‘īnīyah	id=g:434566
‘Izbat al Būşah	id=g:434567
Aş Şabrīyāt	id=g:434568
Naj‘ al Ḩajarīyah	id=g:434569
Naj‘ al Fāwīyah	id=g:434570
Naj‘ al Qunburah	id=g:434571
Naj‘ ash Shaykh ‘Alī	id=g:434572
Naj‘ al Miyāt	id=g:434573
Jazīrat al ‘Āqūlah	id=g:434574
Jazīrat al Ḩimūdīyah	id=g:434575
Shaqlūf	id=g:434729
‘Izbat Isḩāq	id=g:434730
‘Izbat Kamāl	id=g:434731
‘Izbat ‘Alī Farrāj	id=g:434732
‘Izbat Ismā‘īl al Farīq	id=g:434733
‘Izbat Ḩasan Shiḩātah	id=g:434734
‘Izbat aḑ Ḑaw	id=g:434735
‘Izbat Tādrus	id=g:434736
‘Izbat Ramzī al Gharbīyah	id=g:434737
‘Izbat as Sāyiḩ	id=g:434738
‘Izbat Awlād Muḩammad al Kāshif	id=g:434739
‘Izbat Ţulbah Bāshā	id=g:434740
‘Izbat Muftāḩ Muḩammad ‘Aţā	id=g:434741
‘Izbat Aḩmad Bāshā	id=g:434742
‘Izbat Rizq Burayyik	id=g:434743
‘Izbat Anwar ‘Alī Şāliḩ	id=g:434744
‘Izbat al Jabal	id=g:434745
‘Izbat al Bāsil	id=g:434746
‘Izbat Salām	id=g:434747
‘Izbat Mughayyib	id=g:434748
‘Izbat ‘Arab as Sarīrah	id=g:434749
‘Izbat Lamlūm al Bāsil	id=g:434750
‘Izbat Ādam Ghālib	id=g:434751
Al Ḩamadīyah	id=g:434752
Minshāt al Biddīnī	id=g:434753
Minshāt ‘Abd aş Şamad	id=g:434754
‘Izbat Abū Ţāhā	id=g:434755
‘Izbat al Manyal	id=g:434756
‘Izbat Ḩilmī Za‘zū‘	id=g:434757
‘Izbat ‘Abd al Jawād Aḩmad	id=g:434758
‘Izbat Khūrshīd	id=g:434759
‘Izbat Muḩammad Amīn	id=g:434760
‘Izbat ‘Abd al Wahhāb	id=g:434761
‘Izbat Ḩasan Sirrī	id=g:434762
‘Izbat Ḩusayn Ramzī	id=g:434763
Al Mashāriqah	id=g:434764
‘Izbat ‘Alī Khalīfah	id=g:434765
‘Izbat As‘ad Yūsif	id=g:434766
‘Izbat al Bakrīyah	id=g:434767
‘Izbat as Sayyid Sallām	id=g:434768
‘Izbat ‘Alī ash Sharīf	id=g:434769
‘Izbat Ḩusayn Sulaymān	id=g:434770
Minshāt Ţāhir	id=g:434771
Zayd	id=g:434831
Minshāt as Salām	id=g:434832
Minshāt Huwaydá	id=g:434833
‘Izbat Karīm Mabrūk	id=g:434834
‘Izbat Muḩammad Sharaf ad Dīn	id=g:434835
‘Izbat Būrīsh al Gharbīyāh	id=g:434836
‘Izbat ath Thulthumāyah	id=g:434837
‘Izbat Ibrāhīm aş Şubayḩī	id=g:434838
‘Izbat al ‘Awnī	id=g:434839
‘Izbat ‘Abd al Majīd al Biltājī	id=g:434840
‘Izbat al ‘Uqaylī	id=g:434841
‘Izbat al Misharrak	id=g:434842
‘Izbat aş Şubayḩī	id=g:434843
‘Izbat an Nāmūs	id=g:434844
‘Izbat al Fallāḩ	id=g:434845
‘Izbat aş Şafrāwiyāh	id=g:434846
‘Izbat ‘Afīfī	id=g:434847
‘Izbat al Jawāhirjī	id=g:434848
‘Izbat Jubbah	id=g:434849
‘Izbat Tawfīq	id=g:434850
‘Izbat Sayyid Afandī	id=g:434851
‘Izbat ‘Uthmān ‘Īd	id=g:434852
‘Izbat Jahmī Ḩamdah	id=g:434853
‘Izbat as Sa‘dāwī	id=g:434854
‘Izbat Aḩmad Dhū al Faqār	id=g:434855
‘Izbat ad Dawādah	id=g:434856
‘Izbat ‘Abdallah Bayk al Baḩrī	id=g:434857
‘Izbat Baḩr Abū al Mir	id=g:434858
‘Izbat Mughnī	id=g:434859
Al Mukhtalaţah	id=g:434860
Wādī al Mu‘ayn	id=g:442620
Ra’s Umm Badīr	id=g:442641
Wādī al Muhashsham	id=g:442642
Wādī ash Shāmīyah	id=g:442643
Wādī Abū Şūfān	id=g:442644
Wādī al Iktīrāt	id=g:442645
Al Kubāshīyāt	id=g:442646
Wādī al ‘Idām	id=g:442661
Wādī al Ḩamz̧	id=g:442662
Jabal Nakhl	id=g:442663
Wādī Umm Rithām	id=g:442664
Jabal Umm ‘Alī	id=g:442665
Wādī Abū Qaţr	id=g:442666
Wādī ‘Uqābah	id=g:442667
Wādī al Fayḩī	id=g:442668
Abū Rujaym	id=g:442669
Wādī al Ghawrīyah	id=g:442670
Wādī al Mahāji‘	id=g:442671
Ra’s al Mahāji‘	id=g:442672
Wādī Abū Khurayzāt	id=g:442673
Wādī al Jurf	id=g:442675
Wādī Abū an Nutayqinah	id=g:442698
Wādī al Maghārah	id=g:442702
Wādī Umm Judayl	id=g:442703
Wādī Aşfar Abū Bayḑah	id=g:442704
Al ‘Umayrī	id=g:442705
Wādī Ţurayfīyah	id=g:442707
Wādī Şayfī	id=g:442708
Wādī Ḩuqayrīs	id=g:442709
Wādī al Maţalah	id=g:442806
Jabal Shūshah Abū an Nimrāt	id=g:442817
Jabal Abū Zurūb	id=g:442818
Wādī Suwayq	id=g:442819
Jabal Umm Rijlayn	id=g:442820
Wādī Bālah	id=g:442821
Jabal Umm Ranah	id=g:442822
Wādī Kuḩayl	id=g:442823
Ra’s al Ḩumaymah	id=g:442824
Jabal Rūaykinah	id=g:442825
Jabal Rās Waţā	id=g:442826
Jabal Jūrilis	id=g:442827
Wādī al ‘Usaylah	id=g:442828
Wādī al Ḩuwayshīyah	id=g:442829
Wādī al Qash‘al	id=g:442830
Wādī Ḑalmah	id=g:442831
Jabal al Malbad	id=g:442832
Wādī al Malbad	id=g:442833
Wādī Abū Thimām	id=g:442834
Jabal Umm ‘Idām	id=g:442835
Wādī Umm ‘Idām	id=g:442836
Qabr ‘Imrān	id=g:442837
Jabal Khasrat Naqī‘ al Fūl	id=g:442838
Sahl al Ghīlān	id=g:442839
Jabal al Akḩal	id=g:442840
Qabr al ‘Aqīd	id=g:442841
Jabal al Khawr	id=g:442842
Jabal Ḩudayb al Jimāl	id=g:442843
Wādī Şifrī	id=g:442856
Jabal ‘Unayzah	id=g:442857
Jabal Akwas	id=g:442858
Wādī Abū Shuyūkh	id=g:442859
Wādī Abū Şuwayrah	id=g:442860
Ra’s Ibn Nāji‘	id=g:442861
Wādī Abū Saylah	id=g:442862
Jabal Abū Khuraybah	id=g:442863
Wādī ad Diyābah	id=g:442864
Wādī Sidr	id=g:442865
‘Urqūbat Umm Jawābī	id=g:442866
Wādī Fahdīyah	id=g:442868
Ath Thalamah	id=g:442869
Jabal Umm Zarānīk	id=g:442870
Jabal al Ḩalāl	id=g:442871
Ra’s at Talbūnī	id=g:442872
Khashm ar Rīḩ	id=g:442873
Wādī al Muhādirah	id=g:442874
Bi’r al Muhādirah	id=g:442875
Wādī al Ḩamz̧	id=g:442876
Wādī al Khammārah	id=g:442877
Wādī Umm Jurfān	id=g:442878
Wādī al Murayrah	id=g:442879
Bi’r al Ḩilwāt	id=g:442880
Wādī al Ḩasanah	id=g:442882
Wādī Jidāl ad Dawkh	id=g:442883
Wādī ash Shiyyāḩ	id=g:442884
Şafrat al Ḩasanah	id=g:442885
Wādī al Fahdī	id=g:442886
Bi’r ar Rashāydah	id=g:442888
Ra’s ‘Ubayd	id=g:442889
Bi’r al Mushāsh	id=g:442890
Wādī al Ghaythīyah	id=g:442891
Wādī aţ Ţala‘h as Samrā’	id=g:442892
Wādī Umm Kitāf	id=g:442893
Wādī Abū Şuwayrah	id=g:442894
Wādī ash Shulayl	id=g:442895
Wādī az̧ Z̧ulmah	id=g:442896
Wādī al Jiddī	id=g:442897
Jabal aţ Ţiwāl	id=g:442898
Wādī aţ Ţiwāl	id=g:442899
Jabal al Ḩamrā’	id=g:442900
Wādī Umm Sayyāl	id=g:442901
Wādī al Jīfah	id=g:442902
Wādī al Ja‘barī	id=g:442903
Wādī al Maghārah	id=g:442904
Wādī Abū Shumayrah	id=g:442905
Wādī al Muzayri‘	id=g:442906
Ra’s Abū ‘Awāsij	id=g:442907
Maqām Sīdī al Mujarrab	id=g:442908
Wādī al Mujarrab	id=g:442909
Rīshat Sa‘dah	id=g:442910
Jabal ar Raghawī	id=g:442911
Jabal al Manz̧ūr	id=g:442912
Jabal ar Rukbah	id=g:442913
Wādī al Masājid	id=g:442914
Wādī al Karam	id=g:442915
Jabal al ‘Urf	id=g:442916
Qulayb al ‘Urf	id=g:442917
Ra’s Suwaylim	id=g:442918
