Kita	id=g:6420999
Emba Addi Shanet	id=g:6421005
Emba Haddemti	id=g:6421008
Emba Tusn’ya	id=g:6421013
Ashira	id=g:6421015
Ba Hal	id=g:6421023
Fogaya	id=g:6421026
Deridshen	id=g:6421027
Hadem Chaalo	id=g:6421029
Addokayez	id=g:6421030
Lallay Addi	id=g:6421032
Ziban Arnabo	id=g:6421034
Merra Nahayne	id=g:6421035
Ornay	id=g:6421037
Adi Akop	id=g:6421038
Ziban Difki	id=g:6421039
Ziban Tosos	id=g:6421040
Adi Auey	id=g:6421041
Adi Etket	id=g:6421042
Adi Ferti	id=g:6421044
Enda Genki	id=g:6421045
Sala Daro	id=g:6421048
Maadoruba	id=g:6421055
Merkats	id=g:6421059
Abakole	id=g:6421060
May Tsada	id=g:6421061
Mai Daro	id=g:6421062
Mai Lakaya	id=g:6421063
Messililo	id=g:6421066
Mai Assumata	id=g:6421068
Mai Chakampte	id=g:6421069
Erar	id=g:6421070
Seruya	id=g:6421073
Megamal’	id=g:6421074
Adi Kanta	id=g:6421075
Demasit	id=g:6421078
Zeban Derder	id=g:6421080
Shakat	id=g:6421081
Debar	id=g:6421083
Chefa	id=g:6421093
Karni	id=g:6421094
Dipta	id=g:6421097
Kuraha	id=g:6421098
Maror	id=g:6421100
Meharat	id=g:6421111
Egilo	id=g:6421112
Kasasat	id=g:6421113
Zeban Testay	id=g:6421114
Li-Aleo	id=g:6421115
Messongelesola	id=g:6421116
Mai Etamse	id=g:6421117
Koaylo	id=g:6421118
Uogile	id=g:6421154
Fagatida	id=g:6421156
Adagena	id=g:6421157
Ugurakelo	id=g:6421160
Bukara	id=g:6421161
Eureta	id=g:6421167
Filasa	id=g:6421168
Ad Adolo	id=g:6421169
Sanako	id=g:6421170
Maayo	id=g:6421171
Haneyta	id=g:6421172
Aranlae	id=g:6421180
Bosolita	id=g:6421181
Alil’	id=g:6421182
Aualo	id=g:6421183
Zeban Salu	id=g:6421184
Derbala	id=g:6421186
Munguddaraha	id=g:6421257
Adi Felehi	id=g:6421259
Sassue	id=g:6421290
Chaanadi	id=g:6421293
Mai Chou	id=g:6421301
Aueddi	id=g:6421302
Galaha	id=g:6421303
Mai Chelalo	id=g:6421304
Ad Harbe	id=g:6421307
Enda Estifanos	id=g:6421311
Eiban Hesse	id=g:6421313
Egrimakal’	id=g:6421317
Mekemas	id=g:6421320
Bahati Selu	id=g:6421325
N’yul’to	id=g:6421326
Jalau	id=g:6421358
Mai Karamiddi	id=g:6421359
Mai Affileto	id=g:6421360
Debransum	id=g:6421364
Enda Ekkise	id=g:6421391
Mader	id=g:6421393
Ziban Mandafara	id=g:6421401
Agula	id=g:6421463
Deriya	id=g:6421464
Katam Beta	id=g:6421465
Mersata	id=g:6421466
Haddas	id=g:6421467
Addishum	id=g:6421468
Danluta	id=g:6421469
Imba di Damhena	id=g:6421470
Hendaharo Negadi	id=g:6421471
Larina	id=g:6421472
Ulula	id=g:6421473
Toas	id=g:6421493
Uaybeleta	id=g:6421497
Ari	id=g:6421499
Aduefas	id=g:6421500
Hemberten	id=g:6421502
Garbanaba	id=g:6421504
Ona Bet Aksiam	id=g:6421505
Enfaga	id=g:6421511
Ambor	id=g:6421512
Zeban Kafish	id=g:6421514
Kafish	id=g:6421533
Kokone	id=g:6421534
Kanfurkul’sas	id=g:6421538
Farar	id=g:6421539
May Makan	id=g:6421541
Grat Enda	id=g:6421543
Ona	id=g:6421544
Mai Damba	id=g:6421546
Saganto	id=g:6421547
Mai Al’ba	id=g:6421561
Mai Assagla	id=g:6421565
Amba Khesse	id=g:6421566
Āmba Assor	id=g:6421568
Āmba Kaberti	id=g:6421570
Adi Beke	id=g:6421572
Durhopa	id=g:6421574
Chomello	id=g:6421578
Mesaba	id=g:6421580
Onabariya	id=g:6421583
May Maho	id=g:6421584
Adfellasn	id=g:6421587
Euanet	id=g:6421642
Ad Auki	id=g:6421644
Abba Kabaro	id=g:6421646
Shimehele	id=g:6421647
Adish Addi	id=g:6421648
Lebadu	id=g:6421649
Azaho	id=g:6421650
Goberak’ya	id=g:6421651
Ziban Dabir	id=g:6421652
Surgua	id=g:6421660
Momburo	id=g:6421668
Kal’kala	id=g:6421669
Ona Bariya	id=g:6421670
Achchirkudo	id=g:6421672
Ngela	id=g:6421673
Zaare	id=g:6421688
Mai Maharad Kilan	id=g:6421689
Adi Kosolo	id=g:6421697
Ziban Zaare	id=g:6421698
Kofono	id=g:6421700
Mai Ayu	id=g:6421702
Kofoko	id=g:6421703
Ona Foroho	id=g:6421706
Mai Ngela	id=g:6421710
Mosof	id=g:6421712
Āmba Āmbessa	id=g:6421713
Mai Kurda	id=g:6421714
Kobo Kellelle	id=g:6421718
Assab International	id=g:6453437
Hokat	id=g:6659617
Sarakalle	id=g:6659680
Muriay Daga	id=g:6659773
Brikoma	id=g:6659774
Adda Bortu	id=g:6659775
Kuddo	id=g:6659786
Foha	id=g:6659816
Gafur	id=g:6659817
Onugdu	id=g:6659818
Ejalo	id=g:6659821
Midola	id=g:6659822
Bareera	id=g:6659826
Aygagut	id=g:6659832
Zari	id=g:6660074
Gabayta	id=g:6660075
Freris	id=g:6660076
Aguda	id=g:6660077
Taarad	id=g:6660114
Garadaf	id=g:6660115
Galline Faraone	id=g:6660116
Gorzay	id=g:6660117
Metihura	id=g:6660118
Mahayen	id=g:6660119
Maruglo	id=g:6660120
Nabagede	id=g:6660121
Ayga	id=g:6660122
Hayga	id=g:6660123
Fadiddo	id=g:6660124
May Bava	id=g:6660125
Forrohema	id=g:6660126
Kahanka	id=g:6660127
Dipta	id=g:6660128
Maroro Massebale	id=g:6660129
Saridde	id=g:6660130
Grarat	id=g:6660131
Murret	id=g:6660132
Igipta Daga	id=g:6660133
Assahadaga	id=g:6660137
Dipta	id=g:6660138
Assahag	id=g:6660350
May Naret	id=g:6660351
Dandero	id=g:6660352
Dega	id=g:6660357
Hammenga	id=g:6660358
Amba Mossino	id=g:6660359
Marber	id=g:6660360
May Had	id=g:6660362
Ebuko	id=g:6660363
Dahan Dahan	id=g:6660365
Debri Mela	id=g:6660366
Inkafle	id=g:6660367
Amba Marrod	id=g:6660368
Sala	id=g:6660372
Layle	id=g:6660374
Assad	id=g:6660376
Amboreli	id=g:6660377
Yansit	id=g:6660378
Darri	id=g:6660379
Ibaka	id=g:6660380
Dabarayto	id=g:6661304
Sohog	id=g:6661305
Medesgino	id=g:6661306
Adurri	id=g:6661307
Hanado	id=g:6661308
Tayrooa	id=g:6661309
Erali	id=g:6661310
Addakora	id=g:6661311
Dallotiri	id=g:6661312
Galalen	id=g:6661313
