Algarga	id=g:3130388
Algar de Mesa	id=g:3130389
Sierra de Algairén	id=g:3130390
Algadefe	id=g:3130391
Alfoz	id=g:3130392
Alforque	id=g:3130393
Riera de Alforja	id=g:3130394
Alforja	id=g:3130395
Alfocea	id=g:3130396
Alfés	id=g:3130397
Alfarràs	id=g:3130398
Alfaro	id=g:3130399
Alfaraz	id=g:3130400
Alfara de Carles	id=g:3130401
el Far d'Empordà	id=g:3130402
Alfar	id=g:3130403
Badia dels Alfacs	id=g:3130404
Alfántega	id=g:3130405
Alfamén	id=g:3130406
Río Alfambra	id=g:3130407
Alfambra	id=g:3130408
Alfajarín	id=g:3130409
Alfages	id=g:3130410
Plana de Alfa	id=g:3130411
Alevia	id=g:3130412
Alesón	id=g:3130413
Alesanco	id=g:3130414
Alerre	id=g:3130415
Alentorn	id=g:3130416
Alentisque	id=g:3130417
Alence	id=g:3130418
Río Alén	id=g:3130419
Alén	id=g:3130420
Alemparte	id=g:3130421
Alella	id=g:3130422
Alejico	id=g:3130423
Aleje	id=g:3130424
Balsete de Alejandrico	id=g:3130425
l' Aleixar	id=g:3130426
Alegia	id=g:3130427
Alegia	id=g:3130428
Alegría	id=g:3130429
Alecha	id=g:3130430
Aleas	id=g:3130431
Alea	id=g:3130432
Aldurfe	id=g:3130433
Monte Aldura	id=g:3130434
Aldunate	id=g:3130435
Aldueso	id=g:3130436
Aldover	id=g:3130437
Aldosende	id=g:3130438
Aldomán	id=g:3130439
Aldobrén	id=g:3130440
Arroyo de la Aldobarilla	id=g:3130441
Arroyo de Aldobareta	id=g:3130442
Arroyo de la Aldobara Honda	id=g:3130443
Aldín	id=g:3130444
Aldige	id=g:3130445
Aldeyuso	id=g:3130446
Aldeonte	id=g:3130447
Aldeonsancho	id=g:3130448
Aldemunde	id=g:3130449
Aldehuela de Yeltes	id=g:3130450
Aldehuela de Santa Cruz	id=g:3130451
Aldehuela de Periañez	id=g:3130452
Aldehuela del Rincón	id=g:3130453
Aldehuela del Jerte	id=g:3130454
Aldehuela de Liestos	id=g:3130455
Aldehuela del Codonal	id=g:3130456
Aldehuela del Codonal	id=g:3130457
Aldehuela de la Bóveda	id=g:3130458
Aldehuela de Calatañazor	id=g:3130459
Aldehuela de Ágreda	id=g:3130460
Río de la Aldehuela	id=g:3130461
Aldehuela	id=g:3130462
Aldehuela	id=g:3130463
Aldehuela	id=g:3130464
Aldehuela	id=g:3130465
Aldehuela	id=g:3130466
Aldehuela	id=g:3130467
Aldehuela	id=g:3130468
Aldehorno	id=g:3130469
Aldeguer	id=g:3130470
Aldeavieja de Tormes	id=g:3130471
Aldeavieja	id=g:3130472
Aldeavieja	id=g:3130473
Aldeavella	id=g:3130474
Aldeatejada	id=g:3130475
Aldeasoña	id=g:3130476
Aldeaseca de la Frontera	id=g:3130477
Aldeaseca de Armuña	id=g:3130478
Aldeaseca de Alba	id=g:3130479
Aldeaseca	id=g:3130480
Aldeasaz	id=g:3130481
Aldearrubia	id=g:3130482
Aldearrodrigo	id=g:3130483
Aldearraso	id=g:3130484
Aldea Real	id=g:3130485
