Cervera del Río Alhama	id=g:6359037
Cidamón	id=g:6359038
Cihuri	id=g:6359039
Cirueña	id=g:6359040
Clavijo	id=g:6359041
Cordovín	id=g:6359042
Corera	id=g:6359043
Cornago	id=g:6359044
Corporales	id=g:6359045
Cuzcurrita de Río Tirón	id=g:6359046
Daroca de Rioja	id=g:6359047
Enciso	id=g:6359048
Entrena	id=g:6359049
Estollo	id=g:6359050
Ezcaray	id=g:6359051
Foncea	id=g:6359052
Fonzaleche	id=g:6359053
Fuenmayor	id=g:6359054
Galbárruli	id=g:6359055
Galilea	id=g:6359056
Gallinero de Cameros	id=g:6359057
Gimileo	id=g:6359058
Grañón	id=g:6359059
Grávalos	id=g:6359060
Haro	id=g:6359061
Herce	id=g:6359062
Herramélluri	id=g:6359063
Hervías	id=g:6359064
Hormilla	id=g:6359065
Hormilleja	id=g:6359066
Hornillos de Cameros	id=g:6359067
Hornos de Moncalvillo	id=g:6359068
Huércanos	id=g:6359069
Igea	id=g:6359070
Jalón de Cameros	id=g:6359071
Laguna de Cameros	id=g:6359072
Lagunilla del Jubera	id=g:6359073
Lardero	id=g:6359074
Ledesma de la Cogolla	id=g:6359075
Leiva	id=g:6359076
Leza de Río Leza	id=g:6359077
Logroño	id=g:6359078
Lumbreras	id=g:6359079
Manjarrés	id=g:6359080
Mansilla de la Sierra	id=g:6359081
Manzanares de Rioja	id=g:6359082
Matute	id=g:6359083
Medrano	id=g:6359084
Munilla	id=g:6359085
Murillo de Río Leza	id=g:6359086
Muro de Aguas	id=g:6359087
Muro en Cameros	id=g:6359088
Nájera	id=g:6359089
Nalda	id=g:6359090
Navajún	id=g:6359091
Navarrete	id=g:6359092
Nestares	id=g:6359093
Nieva de Cameros	id=g:6359094
Ocón	id=g:6359095
Ochánduri	id=g:6359096
Ojacastro	id=g:6359097
Ollauri	id=g:6359098
Ortigosa de Cameros	id=g:6359099
Pazuengos	id=g:6359100
Pedroso	id=g:6359101
Pinillos	id=g:6359102
Pradejón	id=g:6359103
Pradillo	id=g:6359104
Préjano	id=g:6359105
Quel	id=g:6359106
Rabanera	id=g:6359107
Rasillo de Cameros (El)	id=g:6359108
Redal (El)	id=g:6359109
Ribafrecha	id=g:6359110
Rincón de Soto	id=g:6359111
Robres del Castillo	id=g:6359112
Rodezno	id=g:6359113
Sajazarra	id=g:6359114
San Asensio	id=g:6359115
San Millán de la Cogolla	id=g:6359116
San Millán de Yécora	id=g:6359117
San Román de Cameros	id=g:6359118
Santa Coloma	id=g:6359119
Santa Engracia del Jubera	id=g:6359120
Santa Eulalia Bajera	id=g:6359121
Santo Domingo de la Calzada	id=g:6359122
San Torcuato	id=g:6359123
Santurde de Rioja	id=g:6359124
Santurdejo	id=g:6359125
San Vicente de la Sonsierra	id=g:6359126
Sojuela	id=g:6359127
Sorzano	id=g:6359128
Sotés	id=g:6359129
Soto en Cameros	id=g:6359130
Terroba	id=g:6359131
Tirgo	id=g:6359132
Tobía	id=g:6359133
Tormantos	id=g:6359134
Torrecilla en Cameros	id=g:6359135
Torrecilla sobre Alesanco	id=g:6359136
Torre en Cameros	id=g:6359137
Torremontalbo	id=g:6359138
Treviana	id=g:6359139
Tricio	id=g:6359140
Tudelilla	id=g:6359141
Uruñuela	id=g:6359142
Valdemadera	id=g:6359143
Valgañón	id=g:6359144
Ventosa	id=g:6359145
Ventrosa	id=g:6359146
Viguera	id=g:6359147
Villalba de Rioja	id=g:6359148
Villalobar de Rioja	id=g:6359149
Villamediana de Iregua	id=g:6359150
Villanueva de Cameros	id=g:6359151
Villar de Arnedo (El)	id=g:6359152
Villar de Torre	id=g:6359153
Villarejo	id=g:6359154
Villarroya	id=g:6359155
Villarta-Quintana	id=g:6359156
Villavelayo	id=g:6359157
Villaverde de Rioja	id=g:6359158
Villoslada de Cameros	id=g:6359159
Viniegra de Abajo	id=g:6359160
Viniegra de Arriba	id=g:6359161
Zarratón	id=g:6359162
Zarzosa	id=g:6359163
Zorraquín	id=g:6359164
Abadín	id=g:6359165
Baleira	id=g:6359166
Barreiros	id=g:6359167
Becerreá	id=g:6359168
Begonte	id=g:6359169
Bóveda	id=g:6359170
Carballedo	id=g:6359171
Castro de Rei	id=g:6359172
Castroverde	id=g:6359173
Cervantes	id=g:6359174
Corgo (O)	id=g:6359175
Cospeito	id=g:6359176
Chantada	id=g:6359177
Folgoso do Courel	id=g:6359178
Fonsagrada (A)	id=g:6359179
Foz	id=g:6359180
Friol	id=g:6359181
Xermade	id=g:6359182
Guitiriz	id=g:6359183
Guntín	id=g:6359184
Incio (O)	id=g:6359185
Xove	id=g:6359186
Láncara	id=g:6359187
Lourenzá	id=g:6359188
Lugo	id=g:6359189
Meira	id=g:6359190
Mondoñedo	id=g:6359191
Monforte de Lemos	id=g:6359192
Monterroso	id=g:6359193
Muras	id=g:6359194
Navia de Suarna	id=g:6359195
Negueira de Muñiz	id=g:6359196
Nogais (As)	id=g:6359197
Ourol	id=g:6359198
Outeiro de Rei	id=g:6359199
Palas de Rei	id=g:6359200
Pantón	id=g:6359201
Paradela	id=g:6359202
Pastoriza (A)	id=g:6359203
Pedrafita do Cebreiro	id=g:6359204
Pol	id=g:6359205
Pobra do Brollón (A)	id=g:6359206
Pontenova (A)	id=g:6359207
Portomarín	id=g:6359208
Quiroga	id=g:6359209
Ribadeo	id=g:6359210
Ribas de Sil	id=g:6359211
Ribeira de Piquín	id=g:6359212
Riotorto	id=g:6359213
Samos	id=g:6359214
Rábade	id=g:6359215
Sarria	id=g:6359216
Sober	id=g:6359217
Taboada	id=g:6359218
Trabada	id=g:6359219
Triacastela	id=g:6359220
Valadouro (O)	id=g:6359221
Vicedo (O)	id=g:6359222
Vilalba	id=g:6359223
Viveiro	id=g:6359224
Baralla	id=g:6359225
Burela	id=g:6359226
Acebeda (La)	id=g:6359227
Ajalvir	id=g:6359228
Alameda del Valle	id=g:6359229
Álamo (El)	id=g:6359230
Alcalá de Henares	id=g:6359231
Alcobendas	id=g:6359232
Alcorcón	id=g:6359233
Aldea del Fresno	id=g:6359234
Algete	id=g:6359235
Alpedrete	id=g:6359236
Ambite	id=g:6359237
Anchuelo	id=g:6359238
Aranjuez	id=g:6359239
Arganda del Rey	id=g:6359240
Arroyomolinos	id=g:6359241
Atazar (El)	id=g:6359242
Batres	id=g:6359243
Becerril de la Sierra	id=g:6359244
Belmonte de Tajo	id=g:6359245
Berzosa del Lozoya	id=g:6359246
Berrueco (El)	id=g:6359247
Boadilla del Monte	id=g:6359248
Boalo (El)	id=g:6359249
Braojos	id=g:6359250
Brea de Tajo	id=g:6359251
Brunete	id=g:6359252
Buitrago del Lozoya	id=g:6359253
Bustarviejo	id=g:6359254
Cabanillas de la Sierra	id=g:6359255
Cabrera (La)	id=g:6359256
Cadalso de los Vidrios	id=g:6359257
Camarma de Esteruelas	id=g:6359258
Campo Real	id=g:6359259
Canencia	id=g:6359260
Carabaña	id=g:6359261
Casarrubuelos	id=g:6359262
Cenicientos	id=g:6359263
Cercedilla	id=g:6359264
Cervera de Buitrago	id=g:6359265
Ciempozuelos	id=g:6359266
Cobeña	id=g:6359267
Colmenar del Arroyo	id=g:6359268
Colmenar de Oreja	id=g:6359269
Colmenarejo	id=g:6359270
Colmenar Viejo	id=g:6359271
Collado Mediano	id=g:6359272
Collado Villalba	id=g:6359273
Corpa	id=g:6359274
Coslada	id=g:6359275
Cubas de la Sagra	id=g:6359276
Chapinería	id=g:6359277
Chinchón	id=g:6359278
Daganzo de Arriba	id=g:6359279
Escorial (El)	id=g:6359280
Estremera	id=g:6359281
Fresnedillas de la Oliva	id=g:6359282
Fresno de Torote	id=g:6359283
Fuenlabrada	id=g:6359284
Fuente el Saz de Jarama	id=g:6359285
Fuentidueña de Tajo	id=g:6359286
Galapagar	id=g:6359287
Garganta de los Montes	id=g:6359288
Gargantilla del Lozoya y Pinilla de Buitrago	id=g:6359289
Gascones	id=g:6359290
Getafe	id=g:6359291
Griñón	id=g:6359292
Guadalix de la Sierra	id=g:6359293
Guadarrama	id=g:6359294
Hiruela (La)	id=g:6359295
Horcajo de la Sierra	id=g:6359296
Horcajuelo de la Sierra	id=g:6359297
Hoyo de Manzanares	id=g:6359298
Humanes de Madrid	id=g:6359299
Leganés	id=g:6359300
Loeches	id=g:6359301
Lozoya	id=g:6359302
Madarcos	id=g:6359303
Madrid	id=g:6359304
Majadahonda	id=g:6359305
Manzanares el Real	id=g:6359306
Meco	id=g:6359307
Mejorada del Campo	id=g:6359308
Miraflores de la Sierra	id=g:6359309
Molar (El)	id=g:6359310
Molinos (Los)	id=g:6359311
Montejo de la Sierra	id=g:6359312
Moraleja de Enmedio	id=g:6359313
Moralzarzal	id=g:6359314
Morata de Tajuña	id=g:6359315
Móstoles	id=g:6359316
Navacerrada	id=g:6359317
Navalafuente	id=g:6359318
Navalagamella	id=g:6359319
Navalcarnero	id=g:6359320
Navarredonda y San Mamés	id=g:6359321
Navas del Rey	id=g:6359322
Nuevo Baztán	id=g:6359323
Olmeda de las Fuentes	id=g:6359324
Orusco de Tajuña	id=g:6359325
Paracuellos de Jarama	id=g:6359326
Parla	id=g:6359327
Patones	id=g:6359328
Pedrezuela	id=g:6359329
Pelayos de la Presa	id=g:6359330
Perales de Tajuña	id=g:6359331
Pezuela de las Torres	id=g:6359332
Pinilla del Valle	id=g:6359333
Pinto	id=g:6359334
Piñuécar-Gandullas	id=g:6359335
Pozuelo de Alarcón	id=g:6359336
Pozuelo del Rey	id=g:6359337
Prádena del Rincón	id=g:6359338
Puebla de la Sierra	id=g:6359339
Quijorna	id=g:6359340
Rascafría	id=g:6359341
Redueña	id=g:6359342
Ribatejada	id=g:6359343
Rivas-Vaciamadrid	id=g:6359344
Robledillo de la Jara	id=g:6359345
Robledo de Chavela	id=g:6359346
Robregordo	id=g:6359347
Rozas de Madrid (Las)	id=g:6359348
Rozas de Puerto Real	id=g:6359349
San Agustín del Guadalix	id=g:6359350
San Fernando de Henares	id=g:6359351
San Lorenzo de El Escorial	id=g:6359352
San Martín de la Vega	id=g:6359353
San Martín de Valdeiglesias	id=g:6359354
San Sebastián de los Reyes	id=g:6359355
Santa María de la Alameda	id=g:6359356
Santorcaz	id=g:6359357
Santos de la Humosa (Los)	id=g:6359358
Serna del Monte (La)	id=g:6359359
Serranillos del Valle	id=g:6359360
Sevilla la Nueva	id=g:6359361
Somosierra	id=g:6359362
Soto del Real	id=g:6359363
Talamanca de Jarama	id=g:6359364
Tielmes	id=g:6359365
Titulcia	id=g:6359366
Torrejón de Ardoz	id=g:6359367
Torrejón de la Calzada	id=g:6359368
Torrejón de Velasco	id=g:6359369
Torrelaguna	id=g:6359370
Torrelodones	id=g:6359371
Torremocha de Jarama	id=g:6359372
Torres de la Alameda	id=g:6359373
Valdaracete	id=g:6359374
Valdeavero	id=g:6359375
Valdelaguna	id=g:6359376
Valdemanco	id=g:6359377
Valdemaqueda	id=g:6359378
Valdemorillo	id=g:6359379
Valdemoro	id=g:6359380
Valdeolmos-Alalpardo	id=g:6359381
Valdepiélagos	id=g:6359382
Valdetorres de Jarama	id=g:6359383
Valdilecha	id=g:6359384
Valverde de Alcalá	id=g:6359385
Velilla de San Antonio	id=g:6359386
Vellón (El)	id=g:6359387
Venturada	id=g:6359388
Villaconejos	id=g:6359389
Villa del Prado	id=g:6359390
Villalbilla	id=g:6359391
Villamanrique de Tajo	id=g:6359392
Villamanta	id=g:6359393
Villamantilla	id=g:6359394
Villanueva de la Cañada	id=g:6359395
Villanueva del Pardillo	id=g:6359396
Villanueva de Perales	id=g:6359397
Villar del Olmo	id=g:6359398
Villarejo de Salvanés	id=g:6359399
Villaviciosa de Odón	id=g:6359400
Villavieja del Lozoya	id=g:6359401
Zarzalejo	id=g:6359402
Lozoyuela-Navas-Sieteiglesias	id=g:6359403
Puentes Viejas	id=g:6359404
Tres Cantos	id=g:6359405
Alameda	id=g:6359406
Alcaucín	id=g:6359407
Alfarnate	id=g:6359408
Alfarnatejo	id=g:6359409
Algarrobo	id=g:6359410
Algatocín	id=g:6359411
Alhaurín de la Torre	id=g:6359412
Alhaurín el Grande	id=g:6359413
Almáchar	id=g:6359414
Almargen	id=g:6359415
Almogía	id=g:6359416
Álora	id=g:6359417
Alozaina	id=g:6359418
Alpandeire	id=g:6359419
Antequera	id=g:6359420
