Bīcho	id=g:342186
Bīch’ik’o	id=g:342187
Bīch’enk’eny	id=g:342188
Bichena Āwraja	id=g:342189
Bichena	id=g:342190
Bichemer	id=g:342191
Bichano	id=g:342192
Bica	id=g:342193
Bib el Bur Bur	id=g:342195
Bibbio	id=g:342196
Biahemedu	id=g:342197
Biadeh	id=g:342199
Biad	id=g:342200
Bezzena	id=g:342201
Beza	id=g:342202
Beyza	id=g:342203
Beyo	id=g:342205
Bēyema Shet’	id=g:342208
Beyain	id=g:342209
Beyahīlē Shet’	id=g:342210
Beverley Hills	id=g:342211
Betuma	id=g:342212
Bets’wa‘i	id=g:342213
Beto Shet’	id=g:342214
Beto Shet’	id=g:342215
Betomē Bota	id=g:342216
Beto	id=g:342217
Bēt Nigus	id=g:342218
Bēt Muha	id=g:342219
Bet Mīka’ēl	id=g:342220
Bēt Maryam	id=g:342221
Bet Maryam	id=g:342222
Bētmera	id=g:342223
Betmai	id=g:342224
Bēt Mahber	id=g:342225
Betlem	id=g:342227
Bet’k’wa Bota	id=g:342228
Bēt K’ork’os	id=g:342229
Bēt K’īrk’os Bēte Kristīyan	id=g:342230
Bēt K’īrk’os	id=g:342231
Bēt K’īrk’os	id=g:342232
Bēt Hawiya	id=g:342233
Bēt Hāwaryat Shet’	id=g:342234
Bēt Hāwaryat	id=g:342235
Bēt Gebet’	id=g:342236
Betgar	id=g:342237
Bēte Yohanis	id=g:342238
Bēte Nigus Maryam Bēte Kristīyan	id=g:342241
Bēte Nigus	id=g:342242
Bēte Muja Shet’	id=g:342243
Bēte Mengist	id=g:342244
Beteho Shet’	id=g:342245
Bete Hor	id=g:342246
Betē	id=g:342247
Bētara	id=g:342248
Bēt Ānsa	id=g:342249
Bēt Ālbo Mīka’ēl Bēte Kristīyan	id=g:342251
Betagheue	id=g:342252
Bēt’a	id=g:342253
Besu	id=g:342254
Bestēkan	id=g:342255
Besī	id=g:342256
Besī	id=g:342257
Beshlo Wenz	id=g:342258
Beshinto	id=g:342259
Beshīmī Wenz	id=g:342260
Besheno	id=g:342261
Beshē	id=g:342262
Besek’a Hāyk’	id=g:342263
Besek’a Gīyorgis Bēte Kristīyan	id=g:342264
Berza	id=g:342265
Beru Isate Gemora YeFelek’ebet Gudgwad	id=g:342266
Bertetē	id=g:342267
Bersu Terara	id=g:342268
Bērso Shet’	id=g:342269
