Untuasalmi	id=g:633360
Untola	id=g:633361
Untilanneva	id=g:633362
Untila	id=g:633363
Untesrova	id=g:633364
Untava	id=g:633365
Untamojärvi	id=g:633366
Untamo	id=g:633367
Untamala	id=g:633368
Untamala	id=g:633369
Unnukkala	id=g:633370
Unnukka	id=g:633371
Unnukansalo	id=g:633372
Unkkavaara	id=g:633373
Unkila	id=g:633374
Unioja	id=g:633375
Unimäki	id=g:633376
Unikko	id=g:633377
Unijoki	id=g:633378
Unhurvaara	id=g:633379
Unhola	id=g:633380
Unhola	id=g:633381
Unela	id=g:633382
Unari	id=g:633383
Unari	id=g:633384
Unaja	id=g:633385
Umprantinvuoma	id=g:633386
Umpijärvi	id=g:633387
Ummistovesi	id=g:633388
Ummeljoki	id=g:633389
Ulvomajärvi	id=g:633390
Ulvo	id=g:633391
Ulvinsalon Luonnonpuisto	id=g:633392
Ulvingen	id=g:633393
Ulvila	id=g:633394
Ulvila	id=g:633395
Ulvila	id=g:633396
Ulvi	id=g:633397
Ulvajanniemi	id=g:633400
Ulot	id=g:633401
Ulmaoja	id=g:633402
Ulmala	id=g:633403
Ulmala	id=g:633404
Ulmakkolampi	id=g:633405
Ulmajoki	id=g:633406
Villavaara	id=g:633407
Ulluroadja	id=g:633408
Ullavarash	id=g:633409
Ullavanjoki	id=g:633410
Ullavanjärvi	id=g:633411
Ullava	id=g:633412
Ullava	id=g:633413
Ullava	id=g:633414
Ullajoki	id=g:633415
Ullajärvi	id=g:633416
Ullainen	id=g:633417
Ulkuvaara	id=g:633418
Ulkuniemi	id=g:633419
Ulkuniemi	id=g:633420
Ulkuniemi	id=g:633421
Ulkulampi	id=g:633422
Ulkula	id=g:633423
Ulkujärvi	id=g:633424
Ulkujärvi	id=g:633425
Ulkujärvi	id=g:633426
Varjakansaari	id=g:633427
Ulko-Tammio	id=g:633428
Ulko Pallonen	id=g:633429
Ulkola	id=g:633430
Ulkokrunni	id=g:633431
Ulko-Klaama	id=g:633432
Ulkokalla	id=g:633433
Uljuanoja	id=g:633434
Uljuanjärvi	id=g:633435
Uljua	id=g:633436
Uljas	id=g:633437
Ulikasjoki	id=g:633438
Uleåborgsgrund	id=g:633439
Ulasoori	id=g:633440
Ukuranperä	id=g:633441
Uksjärvi	id=g:633442
Ukselmapää	id=g:633443
Ukonvuoma	id=g:633444
Ukonvesi	id=g:633445
Ukonvaara	id=g:633446
Ukonvaara	id=g:633447
Ukonselkä	id=g:633448
Ukonselkä	id=g:633449
Ukonselkä	id=g:633450
Ukonniemi	id=g:633451
Ukonniemi	id=g:633452
Ukonniemi	id=g:633453
Ukonniemi	id=g:633454
Ukonmäki	id=g:633455
Ukonmäki	id=g:633456
Ukonlahti	id=g:633457
Ukonjoki	id=g:633458
Ukonjärvi	id=g:633459
Ukonjärvi	id=g:633460
Ukonjärvi	id=g:633461
Ukonaho	id=g:633462
Ukkostenjärvi	id=g:633463
Ukkolanvaara	id=g:633464
Ukkolanperä	id=g:633465
Ukkolanmäki	id=g:633466
Ukkola	id=g:633467
Ukkola	id=g:633468
Ukkola	id=g:633469
Ukkola	id=g:633470
Ukkola	id=g:633471
Ukkola	id=g:633472
Ukkola	id=g:633473
Ukkola	id=g:633474
Ukkola	id=g:633475
Ukkola	id=g:633476
Ukko-Juhonsalo	id=g:633477
Ukko	id=g:633478
Ukkila	id=g:633479
Ujanen	id=g:633480
Uittokanava	id=g:633481
Uittoharju	id=g:633482
Uitto	id=g:633483
Uitto	id=g:633484
Uittamonjoki	id=g:633485
Uitonsalmi	id=g:633486
Uitonperä	id=g:633487
Uitonniemi	id=g:633488
Uimola	id=g:633489
Uiminniemi	id=g:633490
Uimila	id=g:633491
Uimari	id=g:633492
Uimaniemi	id=g:633493
Uimaniemi	id=g:633494
Uimaniemi	id=g:633495
Uimaharju	id=g:633496
Uimaharju	id=g:633497
Uilo	id=g:633498
Uikkaala	id=g:633499
Uijavuoma	id=g:633500
Uihero	id=g:633501
