Vånäs Sund	id=g:840573
Stormossen	id=g:840574
Tallbackafjärden	id=g:840575
Bylandet	id=g:840576
Korsholmen	id=g:840577
Lilla Hamnholmen	id=g:840578
Stora Hamnholmen	id=g:840579
Högholmen	id=g:840580
Stångören	id=g:840581
Herröfjärden	id=g:840582
Röda Kon	id=g:840583
Ingarskila	id=g:840584
Halvdels	id=g:840585
Storängen	id=g:840586
Fremböle	id=g:840587
Storkärr	id=g:840588
Timalabergen	id=g:840589
Marsviken	id=g:840590
Marsudden	id=g:840591
Båtviken	id=g:840592
Holmen	id=g:840593
Pilvijärvi	id=g:840594
Mattby	id=g:840595
Granholmen	id=g:840596
Nätikärr	id=g:840597
Dåvitsviken	id=g:840598
Fladet	id=g:840599
Lilla Herrö	id=g:840600
Brudholmsfjärden	id=g:840601
Bergholmen	id=g:840602
Mössholmen	id=g:840603
Herrökobben	id=g:840604
Träskholm	id=g:840605
Kaparkobben	id=g:840606
Kaparen	id=g:840607
Rövaren	id=g:840608
Dragonängen	id=g:840609
Rankila	id=g:840610
Rödbrått	id=g:840611
Maggböle Träsk	id=g:840612
Åkerbergen	id=g:840613
Solberg Ån	id=g:840614
Knappa	id=g:840615
Kämpbacka	id=g:840616
Pickalaån	id=g:840617
Hamossen	id=g:840618
Fiskarviken	id=g:840619
Broända	id=g:840620
Storträsk	id=g:840622
Brissas	id=g:840623
Kolsari	id=g:840624
Syväjärvi	id=g:840625
Saltfjärden	id=g:840626
Stora Vivasten	id=g:840627
Brudholmen	id=g:840628
Pentalasundet	id=g:840629
Storaisarn	id=g:840630
Halsholmen	id=g:840631
Minnesholmen	id=g:840632
Pentalaträsket	id=g:840633
Torraisarn	id=g:840634
Bölsmark	id=g:840635
Stormossen	id=g:840636
Djupträsk	id=g:840637
Tvära	id=g:840638
Billskog	id=g:840639
Mågsberget	id=g:840640
Fågelvik	id=g:840641
Böle	id=g:840642
Kälakärr	id=g:840643
Stormossen	id=g:840644
Bergträsk	id=g:840645
Överby	id=g:840646
Finnsbacka	id=g:840647
Tollsån	id=g:840648
Heikkilä	id=g:840649
Bredbergen	id=g:840650
Stormossen	id=g:840651
Hjortronmossen	id=g:840652
Stormossen	id=g:840653
Österängen	id=g:840654
Kaftakärret	id=g:840655
Storkärret	id=g:840656
Dystmalmen	id=g:840657
Hemviken	id=g:840658
Petbergen	id=g:840659
Sundsängen	id=g:840660
Sarpaniityt	id=g:840661
Hummelviksberget	id=g:840662
Klobbudden	id=g:840663
Norra Fladet	id=g:840664
Kalvholmen	id=g:840665
Roholmen	id=g:840666
Lilla Pentala	id=g:840667
Svartholmen	id=g:840668
Soukanniemi	id=g:840669
Moisofjärden	id=g:840670
Moisö	id=g:840671
Tallholm	id=g:840672
Aisarfjärden	id=g:840673
Lillaisarn	id=g:840674
Ramsö	id=g:840675
Suvisaaristo	id=g:840676
Tjärnmossen	id=g:840677
Tiilitehtaanmäki	id=g:840678
Sudenkaari	id=g:840679
Rudträsk	id=g:840680
Vitträsk	id=g:840681
Slätmossen	id=g:840682
Granbacka	id=g:840683
Vaipo	id=g:840684
Timmermossen	id=g:840685
Kvarnbyån	id=g:840686
Ravals	id=g:840687
Lindal	id=g:840688
Gesterby	id=g:840689
Jolkby	id=g:840690
Gillobackaträsket	id=g:840691
Vasikkahaka	id=g:840692
Ingvalsby	id=g:840693
Småholmarna	id=g:840694
Björkö	id=g:840695
Soukanlahti	id=g:840696
Hanikka	id=g:840697
Kopparträsk	id=g:840698
Hästböle	id=g:840699
Norrmossen	id=g:840700
Flytträsket	id=g:840701
Malm	id=g:840702
Pellas	id=g:840703
Bollstad	id=g:840704
Sjundbyån	id=g:840705
Kynnarträsk	id=g:840706
Kynnar	id=g:840707
Långträsk	id=g:840708
Djupbäck	id=g:840709
Degermossen	id=g:840710
Långträsk	id=g:840711
Trehörningen	id=g:840712
Talimossen	id=g:840713
Korsolampi	id=g:840714
Myllykylä	id=g:840715
Kotolampi	id=g:840716
Mustijärvi	id=g:840717
Ingelsån	id=g:840718
Hemträsket	id=g:840719
Martinmäki	id=g:840720
Hannusjärvi	id=g:840721
Hannus	id=g:840722
Iivisniemi	id=g:840723
Kaitaa	id=g:840724
Gårdsböle	id=g:840725
Svartbäck	id=g:840726
Grundträsk	id=g:840727
Hakuträsk	id=g:840728
Kvarnberget	id=g:840729
Molnmossen	id=g:840730
Grenomossen	id=g:840731
Dorgarn	id=g:840732
Stormossen	id=g:840733
Nydalsviken	id=g:840734
Volsviken	id=g:840735
Storholmen	id=g:840736
Österbyviken	id=g:840737
Veklahti	id=g:840738
Svartvik	id=g:840739
Latokaski	id=g:840741
Kockis	id=g:840742
Myrans	id=g:840743
Lappers	id=g:840744
Munks	id=g:840745
Kyrkån	id=g:840746
Fåträsk	id=g:840747
Backa	id=g:840748
Ormträsk	id=g:840749
Vikträsk	id=g:840750
Bytträsk	id=g:840751
Munkträsk	id=g:840752
Storträsk	id=g:840753
Evitskog	id=g:840754
Bakträsk	id=g:840755
Lamme	id=g:840756
Stormossen	id=g:840757
Österby	id=g:840758
Vitträskholmen	id=g:840759
Mankki	id=g:840760
Mankinjoki	id=g:840761
Kurttila	id=g:840762
Tillinmäki	id=g:840763
Puolarmetsä	id=g:840764
Suninhaka	id=g:840765
Storängen	id=g:840766
Kurkis	id=g:840767
Nyby	id=g:840768
Raivio	id=g:840769
Lilla Lonoks	id=g:840770
Lonoksån	id=g:840771
Stora Lonoks	id=g:840772
Degermossen	id=g:840773
Solvik	id=g:840774
Storklobben	id=g:840775
Mustakorpi	id=g:840776
Vitträsk	id=g:840777
Hällkärr	id=g:840778
Perinki	id=g:840779
Mynttilä	id=g:840780
Nakinkylä	id=g:840781
Muurala	id=g:840782
Kaupunginkallio	id=g:840783
Suvela	id=g:840784
Ymmersta	id=g:840785
Maksjoki	id=g:840786
Lempansån	id=g:840787
Storträsk	id=g:840788
Lillträsk	id=g:840789
Tuohilampi	id=g:840790
Lauklampi	id=g:840791
Sjundeå Å	id=g:840793
Björnträsk	id=g:840794
Andby	id=g:840795
Saarlammi	id=g:840796
Gillermossen	id=g:840797
Hiirlampi	id=g:840798
Lappböle	id=g:840799
Lappböleträsket	id=g:840800
Loojärvi	id=g:840802
Halujärvi	id=g:840803
Halujärvi	id=g:840804
Svartbäckträsket	id=g:840805
Kvarnträsk	id=g:840806
Därnman	id=g:840807
Karhusuo	id=g:840809
Lommila	id=g:840810
Jorvi	id=g:840811
Harvs	id=g:840812
Torbackaviken	id=g:840813
Sandöfjärden	id=g:840814
Storängarna	id=g:840815
Storängarna	id=g:840816
Bergensgrund	id=g:840817
Brandögrunden	id=g:840818
Suursuo	id=g:840819
Båsgrunden	id=g:840820
Dåvits Udd	id=g:840821
Småholmarna	id=g:840822
Västra Petisholmen	id=g:841451
Riskholmen	id=g:841452
Vessor	id=g:841453
Rutiluoto	id=g:841454
Vähä-Petääs	id=g:841455
Kummelgrundet	id=g:841456
Stora Sädik	id=g:841457
Pikku Riihiluoto	id=g:841458
Nurmisholm	id=g:841459
Lammasluoto	id=g:841460
Yxfjärden	id=g:841461
Småholmen	id=g:841462
Notfladan	id=g:841463
Haverö Träsk	id=g:841464
Klintholmen	id=g:841465
Fågelholmen	id=g:841466
Kalkkilaudden	id=g:841467
Viken	id=g:841468
Lilludden	id=g:841469
Edesholmarna	id=g:841470
Byfjärden	id=g:841471
Skagsudden	id=g:841472
Djupsundet	id=g:841473
Ängsholm	id=g:841474
Kuggholmen	id=g:841475
Kait	id=g:841476
Kråkholmen	id=g:841477
Gert	id=g:841478
Voit	id=g:841479
Innamo Sund	id=g:841480
Stora Tamenkant	id=g:841481
Numminvor	id=g:841482
Haplot	id=g:841483
Koirankari	id=g:841484
Hepokari	id=g:841485
Kaskisgrundet	id=g:841486
Stora Äggskär	id=g:841487
Lilla Äggskär	id=g:841488
Ominaisholmen	id=g:841489
Stora Träskholm	id=g:841490
Lilla Träskholm	id=g:841491
Pitkäluoto	id=g:841492
Kaksoiskarit	id=g:841493
Päiväluoto	id=g:841494
Jäimääluoto	id=g:841495
Korkiasaari	id=g:841496
Matinkari	id=g:841497
Kortholmen	id=g:841498
Mäsgrund	id=g:841499
Linsorfjärden	id=g:841500
Östra Linsor	id=g:841501
Verkholm	id=g:841502
Svartgrund	id=g:841503
Klofsan	id=g:841504
Rumpudden	id=g:841505
Svartholmarna	id=g:841506
Norrsundet	id=g:841507
Finnängsviken	id=g:841508
Storudden	id=g:841509
Västerviken	id=g:841510
Västermölösundet	id=g:841511
Korsfjärden	id=g:841512
Mattholm	id=g:841513
Västergård	id=g:841514
Mattholmsfladan	id=g:841515
Fallsundet	id=g:841516
Lenholm	id=g:841517
Skvättviken	id=g:841518
Kyrkfjärden	id=g:841519
Kalvholmen	id=g:841520
Palstakulma	id=g:841521
Tervsund	id=g:841522
Gundvikinniemi	id=g:841523
Gyltan	id=g:841524
Brattnäs	id=g:841525
Gundvik	id=g:841526
Gundvik	id=g:841527
Brinkholm	id=g:841528
Naraholma	id=g:841529
Yksholma	id=g:841530
Hamppu	id=g:841531
Svartholma	id=g:841532
Sanviikinselkä	id=g:841533
Pjukala	id=g:841534
Kaltsaarenaukko	id=g:841535
Kronomafjärden	id=g:841536
Pikku Tammenkanto	id=g:841537
Säckilot	id=g:841538
Paukut	id=g:841539
Ekholmarna	id=g:841540
Hopialuoto	id=g:841541
Östra Länggrundet	id=g:841542
Kattilot	id=g:841543
Kuustentausta	id=g:841544
Lilla-Kuusis	id=g:841545
Mariluoto	id=g:841546
Iso Kuusinen	id=g:841547
Kuustenaukko	id=g:841548
Pitkäniemi	id=g:841549
Ryssughar	id=g:841550
Länsilahti	id=g:841551
Purhanrauma	id=g:841552
Pitkäniemi	id=g:841553
Paskalahti	id=g:841554
Orisgrunden	id=g:841555
Lilla Majholmen	id=g:841556
Västra Linsor	id=g:841557
Kirveskari	id=g:841558
Vonäsholmen	id=g:841559
Nultoviken	id=g:841560
Nulto	id=g:841561
Selvisholmen	id=g:841562
Sydänperäviken	id=g:841563
Ontala	id=g:841564
Kojkullafjärden	id=g:841565
Hivylempfjärden	id=g:841566
Skräbböle	id=g:841567
Ybbersnäsfjärden	id=g:841568
Rajuholmen	id=g:841569
Vallisfjärden	id=g:841570
Sysilaxviken	id=g:841571
Kurkas	id=g:841572
Jonsäng	id=g:841573
Vallis	id=g:841574
Kyrkomalm	id=g:841575
Munvik	id=g:841576
Prästgården	id=g:841577
Kvarnholm	id=g:841578
Långholmen	id=g:841579
Brattnäs Sund	id=g:841580
Kalvholm	id=g:841581
Brattnäsviken	id=g:841582
Högen	id=g:841583
Smedsholm	id=g:841584
Pito Sund	id=g:841585
Ovidja	id=g:841586
Ytterholm	id=g:841587
Storholm	id=g:841588
Hönsviken	id=g:841589
Näsudden	id=g:841590
Siggnäs Udd	id=g:841591
Korkiakari	id=g:841592
Märtykari	id=g:841593
Vähän-Kaidan Aukko	id=g:841594
Nurmonaukko	id=g:841595
Nurmo	id=g:841596
Montinaukko	id=g:841597
Montti	id=g:841598
Samsaarenaukko	id=g:841599
Tallgrundet	id=g:841600
Haarakari	id=g:841601
Hulnakarit	id=g:841602
Lökgrundet	id=g:841603
Tammiluoto	id=g:841604
Haminaluoto	id=g:841605
Isokari	id=g:841606
Länsiaukko	id=g:841607
Pöllänkurkku	id=g:841608
Falkinkurkku	id=g:841609
Kolkkaluoto	id=g:841610
Kimo	id=g:841611
Monikkalanniemi	id=g:841612
Vähä Maisaari	id=g:841613
Kairoluoto	id=g:841614
Päiväsalmi	id=g:841615
Menikkalanjärvi	id=g:841616
Rikkomeri	id=g:841617
Sydänmaanjärvi	id=g:841618
Sianpäänjärvi	id=g:841619
Karjaluoto	id=g:841620
Kekkari	id=g:841621
Isoluoto	id=g:841622
Vanhankylänlahti	id=g:841623
Hämmärsalmi	id=g:841624
Ojainen	id=g:841625
Länsimäki	id=g:841626
Korkkisluoto	id=g:841627
Isoniitty	id=g:841628
Kollinniemi	id=g:841629
Kollinpää	id=g:841630
Lattarna	id=g:841631
Malmudden	id=g:841632
Mustfinn Träsket	id=g:841633
Tennäs	id=g:841634
Sunnanberg	id=g:841635
Gräggböle Träsket	id=g:841636
Lampisträsket	id=g:841637
Lampis	id=g:841638
Lampisviken	id=g:841639
Hyvilemp	id=g:841640
Storholmen	id=g:841641
Loskarnäs	id=g:841642
Kuplholmen	id=g:841643
Hoggais	id=g:841644
Vepo	id=g:841645
Finby	id=g:841646
Parsby	id=g:841647
Stäsnasviken	id=g:841648
Svino	id=g:841649
Norrbyåsen	id=g:841650
Norrbyholmen	id=g:841651
Skråbboviken	id=g:841652
Söderby	id=g:841653
Tennby	id=g:841654
Lönäs	id=g:841655
Muddaisfjärden	id=g:841656
Björköfjärden	id=g:841657
Nilsbyviken	id=g:841658
Rånavik	id=g:841659
Pito	id=g:841660
Siggnäs Sund	id=g:841661
Rapusudden	id=g:841662
Garsböleholm	id=g:841663
Bergholm	id=g:841664
Notholm	id=g:841665
Ängsholm	id=g:841666
Tuoreenkarinaukko	id=g:841667
Siestinkari	id=g:841668
Rajakarinaukko	id=g:841669
Rajakari	id=g:841670
Isolamppi	id=g:841671
Riukuluoto	id=g:841672
Laitaluoto	id=g:841673
Nikuluoto	id=g:841674
Taipaluksenaukko	id=g:841675
Iso Vehkaluoto	id=g:841676
Ruotsalaistenaukko	id=g:841677
Pihlavaiset	id=g:841678
Halvvägsklobben	id=g:841679
Hänninaukko	id=g:841680
Päiväsalmi	id=g:841681
Salonkylä	id=g:841682
Iso-Anosin	id=g:841683
Laitsalmi	id=g:841684
Marttisluodonaukko	id=g:841685
