Plouvien	id=g:2986629
Plouvara	id=g:2986630
Plouvain	id=g:2986631
Plourivo	id=g:2986632
Plourin-lès-Morlaix	id=g:2986633
Plourin	id=g:2986634
Plouray	id=g:2986635
Plourac'h	id=g:2986636
Plounez	id=g:2986637
Plounévez-Quintin	id=g:2986638
Plounévez-Moëdec	id=g:2986639
Plounévez-Lochrist	id=g:2986640
Plounévézel	id=g:2986641
Plounéventer	id=g:2986642
Plounérin	id=g:2986643
Plounéour-Trez	id=g:2986644
Plounéour-Ménez	id=g:2986645
Ploumoguer	id=g:2986646
Ploumilliau	id=g:2986647
Ploumanac'h	id=g:2986648
Ploumagoar	id=g:2986649
Ploulec'h	id=g:2986650
Ploujean	id=g:2986651
Plouisy	id=g:2986652
Plouigneau	id=g:2986653
Plouider	id=g:2986654
Plouhinec	id=g:2986655
Plouhinec	id=g:2986656
Plouharnel	id=g:2986657
Plourhan	id=g:2986658
Pointe Plouha	id=g:2986659
Plouha	id=g:2986660
Plouguin	id=g:2986661
Plouguiel	id=g:2986662
Plouguernével	id=g:2986663
Plouguerneau	id=g:2986664
Plouguenast	id=g:2986665
Plougrescant	id=g:2986666
Plougras	id=g:2986667
Plougourvest	id=g:2986668
Plougoumelen	id=g:2986669
Plougoulm	id=g:2986670
Plougonver	id=g:2986671
Plougonven	id=g:2986672
Plougonvelin	id=g:2986673
Plougastel-Daoulas	id=g:2986674
Banc de Plougastel	id=g:2986675
Plougasnou	id=g:2986676
Plougar	id=g:2986677
Ploufragan	id=g:2986678
Plouezoc'h	id=g:2986679
Pointe de Plouézec	id=g:2986680
Plouézec	id=g:2986681
Plouescat	id=g:2986682
Plouër-sur-Rance	id=g:2986683
Plouénez	id=g:2986684
Plouénan	id=g:2986685
Plouégat-Moysan	id=g:2986686
Plouégat-Guérand	id=g:2986687
Plouédern	id=g:2986688
Plouëc-du-Trieux	id=g:2986689
Ploudiry	id=g:2986690
Ploudaniel	id=g:2986691
Ploudalmézeau	id=g:2986692
Ploubezre	id=g:2986693
Ploubazlanec	id=g:2986694
