Irles	id=g:3012740
Irissarry	id=g:3012741
Irigny	id=g:3012742
Étang d'Irieu	id=g:3012743
Pointe d'Ireuse	id=g:3012744
Iré-le-Sec	id=g:3012745
Irceville	id=g:3012746
Irazein	id=g:3012747
Bosque de Irati	id=g:3012748
Irancy	id=g:3012749
Irance	id=g:3012750
Irais	id=g:3012751
Irai	id=g:3012752
Ippling	id=g:3012753
Ippécourt	id=g:3012754
Col d'Ipharlatcé	id=g:3012755
Monte Iparla	id=g:3012756
Iola	id=g:3012757
Île d'Iock	id=g:3012758
Inzinzac-Lochrist	id=g:3012759
Inxent	id=g:3012760
Invilliers	id=g:3012761
Invault	id=g:3012762
Inval-Boiron	id=g:3012763
Inval	id=g:3012764
Intville-la-Guétard	id=g:3012765
Intréville	id=g:3012766
Intres	id=g:3012767
Intraville	id=g:3012768
Insviller	id=g:3012769
Insming	id=g:3012770
Inor	id=g:3012771
Innimond	id=g:3012772
Innenheim	id=g:3012773
Injoux-Génissiat	id=g:3012774
Inières	id=g:3012775
Forêt Domaniale d'Ingwiller	id=g:3012776
Ingwiller	id=g:3012777
Inguiniel	id=g:3012778
Étang d'Ingril	id=g:3012779
Ingré	id=g:3012780
Ingrannes	id=g:3012781
Ingrandes-de-Touraine	id=g:3012782
Ingrandes	id=g:3012783
Ingrandes	id=g:3012784
Ingrandes	id=g:3012785
Ingouville	id=g:3012786
Ingolsheim	id=g:3012787
Inglange	id=g:3012788
Inghem	id=g:3012789
Ingersheim	id=g:3012790
Ingenheim	id=g:3012791
Infreville	id=g:3012792
Infray	id=g:3012793
Vallon de l'Inferno	id=g:3012794
Torrent de Boscodon	id=g:3012795
Infernet	id=g:3012796
Pas de l'Infernay	id=g:3012797
Pla del Infern	id=g:3012798
Infer	id=g:3012799
Ineuil	id=g:3012800
Indrois	id=g:3012801
Indrieux	id=g:3012802
Indret	id=g:3012803
Département d'Indre-et-Loire	id=g:3012804
Département de l'Indre	id=g:3012805
Indre	id=g:3012807
Indevillers	id=g:3012808
Monte Incudine	id=g:3012809
Incourt	id=g:3012810
Incon	id=g:3012811
Inchy-en-Artois	id=g:3012812
Inchy	id=g:3012813
Incheville	id=g:3012814
Incé	id=g:3012815
Incarville	id=g:3012816
Incarville	id=g:3012817
Inaumont	id=g:3012818
Inam	id=g:3012819
Ruisseau Impradine	id=g:3012820
Imphy	id=g:3012821
Imling	id=g:3012822
Imeldange	id=g:3012823
Imécourt	id=g:3012824
Imbsheim	id=g:3012825
Imbleville	id=g:3012826
Imbermais	id=g:3012827
Ilonse	id=g:3012828
Illzach	id=g:3012829
Illy	id=g:3012830
Illwald	id=g:3012831
Illoud	id=g:3012832
Illois	id=g:3012833
Illkirch-Graffenstaden	id=g:3012834
Illins	id=g:3012835
Illifaut	id=g:3012836
Illies	id=g:3012837
Illiers-l'Évêque	id=g:3012838
Illiers-Combray	id=g:3012839
Illier-et-Laramade	id=g:3012840
Illien Serpil	id=g:3012841
Illien-ar-Guen	id=g:3012842
Illiat	id=g:3012843
Illhaeusern	id=g:3012844
Illfurth	id=g:3012845
Illeville-sur-Montfort	id=g:3012846
Illet	id=g:3012847
Ille-sur-Têt	id=g:3012848
Département d'Ille-et-Vilaine	id=g:3012849
Canal d'Ille et Rance	id=g:3012850
Illats	id=g:3012851
Ilhat	id=g:3012852
Illartein	id=g:3012853
Illange	id=g:3012854
Ill	id=g:3012855
Ilheu	id=g:3012856
Ilhet	id=g:3012857
Ilharre	id=g:3012858
Ilhan	id=g:3012859
Île-Tudy	id=g:3012860
Île Saint-Martin	id=g:3012861
Île Saint-Aubin	id=g:3012862
Danger de l'Île Rousse	id=g:3012863
Fort de l'Île Pelée	id=g:3012864
Île Napoléon	id=g:3012865
Pointe de l'Île Longue	id=g:3012866
Canal de l'Île Jeanty	id=g:3012867
Île du Plan du Bourg	id=g:3012868
Plateau de l'Île Dumet	id=g:3012869
Île du Carney	id=g:3012870
Île de Menac	id=g:3012871
Île de la Camargue	id=g:3012872
Île-de-France	id=g:3012873
Région Île-de-France	id=g:3012874
Rade de l'Île d'Aix	id=g:3012875
Chausée de l'Île aux Chevaux	id=g:3012876
Étang de l'Île	id=g:3012877
Aber Ildut	id=g:3012878
Aber Ildut	id=g:3012879
Château d'Ilbarritz	id=g:3012880
Col d'Ilarata	id=g:3012881
Iholdy	id=g:3012882
Ihalar	id=g:3012883
Iguerande	id=g:3012884
Igoville	id=g:3012885
Igornay	id=g:3012886
Igon	id=g:3012887
Igny-Comblizy	id=g:3012888
Igny	id=g:3012889
Igny	id=g:3012890
Ignon	id=g:3012891
Ignol	id=g:3012892
Igney	id=g:3012893
Igney	id=g:3012894
Bois d'Igneray	id=g:3012895
Igneray	id=g:3012896
Ignaux	id=g:3012897
Ignauval	id=g:3012898
Ignaucourt	id=g:3012899
Iges	id=g:3012900
Igé	id=g:3012901
Igé	id=g:3012902
Ifs	id=g:3012903
Iffour	id=g:3012904
Iffendic	id=g:3012905
Mont Iffana	id=g:3012906
Iffana	id=g:3012907
Île d'If	id=g:3012908
Château d'If	id=g:3012909
Ie	id=g:3012910
