Brionne	id=g:6430289
Broglie	id=g:6430290
Brosville	id=g:6430291
Bueil	id=g:6430292
Burey	id=g:6430293
Bus-Saint-Rémy	id=g:6430294
Cahaignes	id=g:6430295
Caillouet-Orgeville	id=g:6430296
Cailly-sur-Eure	id=g:6430297
Campigny	id=g:6430298
Canappeville	id=g:6430299
Cantiers	id=g:6430300
Carsix	id=g:6430302
Caugé	id=g:6430303
Caumont	id=g:6430304
Cauverville-en-Roumois	id=g:6430305
Cesseville	id=g:6430306
Chaignes	id=g:6430307
Chamblac	id=g:6430309
Chambord	id=g:6430310
Champ-Dolent	id=g:6430311
Champenard	id=g:6430312
Champignolles	id=g:6430313
Champigny-la-Futelaye	id=g:6430314
Chanteloup	id=g:6430315
Charleval	id=g:6430316
Château-sur-Epte	id=g:6430317
Chavigny-Bailleul	id=g:6430318
Cierrey	id=g:6430321
Cintray	id=g:6430322
Civières	id=g:6430323
Collandres-Quincarnon	id=g:6430324
Colletot	id=g:6430325
Combon	id=g:6430326
Conches-en-Ouche	id=g:6430327
Condé-sur-Risle	id=g:6430328
Connelles	id=g:6430329
Corneville-la-Fouquetière	id=g:6430331
Corneville-sur-Risle	id=g:6430332
Corny	id=g:6430333
Coudres	id=g:6430334
Courbépine	id=g:6430335
Courcelles-sur-Seine	id=g:6430336
Courdemanche	id=g:6430337
Courteilles	id=g:6430338
Crestot	id=g:6430339
Criquebeuf-la-Campagne	id=g:6430340
Criquebeuf-sur-Seine	id=g:6430341
Croisy-sur-Eure	id=g:6430342
Crosville-la-Vieille	id=g:6430343
Croth	id=g:6430344
Dame-Marie	id=g:6430345
Dampsmesnil	id=g:6430346
Dangu	id=g:6430347
Dardez	id=g:6430348
Daubeuf-la-Campagne	id=g:6430349
Daubeuf-près-Vatteville	id=g:6430350
Douains	id=g:6430351
Douville-sur-Andelle	id=g:6430352
Droisy	id=g:6430353
Drucourt	id=g:6430354
Écaquelon	id=g:6430355
Écardenville-la-Campagne	id=g:6430356
Écardenville-sur-Eure	id=g:6430357
Écauville	id=g:6430358
Écouis	id=g:6430359
Ecquetot	id=g:6430360
Épaignes	id=g:6430361
Épégard	id=g:6430362
Épieds	id=g:6430363
Épreville-en-Lieuvin	id=g:6430364
Épreville-en-Roumois	id=g:6430365
Épreville-près-le-Neubourg	id=g:6430366
Étrépagny	id=g:6430367
Étréville	id=g:6430368
Éturqueraye	id=g:6430369
Ézy-sur-Eure	id=g:6430370
Fains	id=g:6430371
Farceaux	id=g:6430372
Fatouville-Grestain	id=g:6430373
Faverolles-la-Campagne	id=g:6430374
Ferrières-Haut-Clocher	id=g:6430375
Ferrières-Saint-Hilaire	id=g:6430376
Feuguerolles	id=g:6430377
Flancourt-Catelon	id=g:6430379
Fleury-la-Forêt	id=g:6430380
Fleury-sur-Andelle	id=g:6430381
Flipou	id=g:6430382
Fontaine-Bellenger	id=g:6430383
Fontaine-Heudebourg	id=g:6430384
Fontaine-l'Abbé	id=g:6430385
Fontaine-la-Louvet	id=g:6430386
Fontaine-la-Soret	id=g:6430387
Fontaine-sous-Jouy	id=g:6430388
Forêt-la-Folie	id=g:6430389
Fort-Moville	id=g:6430390
Foucrainville	id=g:6430391
Foulbec	id=g:6430392
Fouqueville	id=g:6430393
Fourmetot	id=g:6430395
Fours-en-Vexin	id=g:6430396
Francheville	id=g:6430397
Freneuse-sur-Risle	id=g:6430398
Fresne-Cauverville	id=g:6430399
Fresne-l'Archevêque	id=g:6430400
Fresney	id=g:6430401
Gaillardbois-Cressenville	id=g:6430402
Gamaches-en-Vexin	id=g:6430403
Garencières	id=g:6430404
Garennes-sur-Eure	id=g:6430405
Gauciel	id=g:6430406
Gaudreville-la-Rivière	id=g:6430407
Gauville-la-Campagne	id=g:6430408
Gisors	id=g:6430409
Giverville	id=g:6430411
Glisolles	id=g:6430412
Glos-sur-Risle	id=g:6430413
Gouttières	id=g:6430414
Gouville	id=g:6430415
Granchain	id=g:6430416
Grandvilliers	id=g:6430417
Graveron-Sémerville	id=g:6430418
Gravigny	id=g:6430419
Grosley-sur-Risle	id=g:6430420
Guernanville	id=g:6430421
Guerny	id=g:6430422
Guichainville	id=g:6430423
Guiseniers	id=g:6430424
Guitry	id=g:6430425
Hacqueville	id=g:6430426
Harcourt	id=g:6430427
Hardencourt-Cocherel	id=g:6430428
Harquency	id=g:6430429
Hauville	id=g:6430430
Hébécourt	id=g:6430431
Hecmanville	id=g:6430432
Hécourt	id=g:6430433
Hectomare	id=g:6430434
Hennezis	id=g:6430435
Herqueville	id=g:6430436
Heudebouville	id=g:6430437
Heudicourt	id=g:6430438
Heudreville-en-Lieuvin	id=g:6430439
Heudreville-sur-Eure	id=g:6430440
Hondouville	id=g:6430441
Honguemare-Guenouville	id=g:6430442
Houetteville	id=g:6430443
Houlbec-Cocherel	id=g:6430444
Houlbec-près-le-Gros-Theil	id=g:6430445
Houville-en-Vexin	id=g:6430446
Huest	id=g:6430447
Igoville	id=g:6430448
Illeville-sur-Montfort	id=g:6430449
Illiers-l'Évêque	id=g:6430450
Irreville	id=g:6430451
Iville	id=g:6430452
Ivry-la-Bataille	id=g:6430453
Jonquerets-de-Livet	id=g:6430454
Jouy-sur-Eure	id=g:6430455
Juignettes	id=g:6430456
Jumelles	id=g:6430457
Landepéreuse	id=g:6430458
Léry	id=g:6430459
Lignerolles	id=g:6430461
Lilly	id=g:6430462
Lisors	id=g:6430463
Livet-sur-Authou	id=g:6430464
Longchamps	id=g:6430465
Lorleau	id=g:6430466
Louversey	id=g:6430467
Louviers	id=g:6430468
Louye	id=g:6430469
Lyons-la-Forêt	id=g:6430470
Mainneville	id=g:6430471
Malleville-sur-le-Bec	id=g:6430472
Malouy	id=g:6430473
Mandeville	id=g:6430474
Mandres	id=g:6430475
Manneville-la-Raoult	id=g:6430476
Manneville-sur-Risle	id=g:6430477
Manthelon	id=g:6430478
Marais-Vernier	id=g:6430479
Marbeuf	id=g:6430480
Marcilly-la-Campagne	id=g:6430481
Marcilly-sur-Eure	id=g:6430482
Martot	id=g:6430483
Mélicourt	id=g:6430484
Ménilles	id=g:6430485
Menneval	id=g:6430486
Mercey	id=g:6430487
Merey	id=g:6430488
Mesnil-Rousset	id=g:6430489
Mesnil-sous-Vienne	id=g:6430490
Mesnil-Verclives	id=g:6430492
Mézières-en-Vexin	id=g:6430493
Miserey	id=g:6430494
Moisville	id=g:6430495
Montaure	id=g:6430496
Montfort-sur-Risle	id=g:6430497
Montreuil-l'Argillé	id=g:6430498
Morsan	id=g:6430499
Mouettes	id=g:6430500
Mouflaines	id=g:6430501
Mousseaux-Neuville	id=g:6430502
Muids	id=g:6430503
Nagel-Séez-Mesnil	id=g:6430505
Nassandres	id=g:6430506
Neaufles-Saint-Martin	id=g:6430507
Neuilly	id=g:6430508
Neuville-sur-Authou	id=g:6430509
Noards	id=g:6430510
Nogent-le-Sec	id=g:6430511
Notre-Dame-de-l'Isle	id=g:6430512
Notre-Dame-d'Épine	id=g:6430513
Ormes	id=g:6430515
Orvaux	id=g:6430516
Pacy-sur-Eure	id=g:6430517
Panilleuse	id=g:6430518
Parville	id=g:6430519
Perriers-la-Campagne	id=g:6430520
Perriers-sur-Andelle	id=g:6430521
Perruel	id=g:6430522
Pinterville	id=g:6430524
Piseux	id=g:6430525
Plainville	id=g:6430526
Plasnes	id=g:6430527
Pont-Authou	id=g:6430528
Pont-de-l'Arche	id=g:6430529
Pont-Saint-Pierre	id=g:6430530
Porte-Joie	id=g:6430531
Portes	id=g:6430532
Port-Mort	id=g:6430533
Prey	id=g:6430534
Puchay	id=g:6430535
Pullay	id=g:6430536
Quatremare	id=g:6430537
Quessigny	id=g:6430538
Quittebeuf	id=g:6430540
Radepont	id=g:6430541
Renneville	id=g:6430542
Reuilly	id=g:6430543
Richeville	id=g:6430544
Romilly-la-Puthenaye	id=g:6430545
Romilly-sur-Andelle	id=g:6430546
Rosay-sur-Lieure	id=g:6430547
Rouge-Perriers	id=g:6430549
Sacquenville	id=g:6430551
Saint-Agnan-de-Cernières	id=g:6430552
Saint-Amand-des-Hautes-Terres	id=g:6430553
Saint-André-de-l'Eure	id=g:6430554
Saint-Aquilin-de-Pacy	id=g:6430556
Saint-Aubin-d'Écrosville	id=g:6430557
Saint-Aubin-de-Scellon	id=g:6430558
Saint-Aubin-des-Hayes	id=g:6430559
Saint-Aubin-du-Thenney	id=g:6430560
Saint-Aubin-le-Guichard	id=g:6430561
Saint-Aubin-le-Vertueux	id=g:6430562
Saint-Aubin-sur-Gaillon	id=g:6430563
Sainte-Barbe-sur-Gaillon	id=g:6430565
Saint-Benoît-des-Ombres	id=g:6430566
Saint-Christophe-sur-Avre	id=g:6430567
Saint-Christophe-sur-Condé	id=g:6430568
Saint-Clair-d'Arcey	id=g:6430569
Sainte-Colombe-près-Vernon	id=g:6430570
Saint-Cyr-de-Salerne	id=g:6430572
Saint-Cyr-la-Campagne	id=g:6430573
Saint-Denis-d'Augerons	id=g:6430574
Saint-Denis-des-Monts	id=g:6430575
Saint-Denis-du-Béhélan	id=g:6430576
Saint-Denis-le-Ferment	id=g:6430577
Saint-Didier-des-Bois	id=g:6430578
Saint-Élier	id=g:6430579
Saint-Éloi-de-Fourques	id=g:6430580
Saint-Étienne-du-Vauvray	id=g:6430581
Saint-Étienne-l'Allier	id=g:6430582
Saint-Étienne-sous-Bailleul	id=g:6430583
Saint-Georges-du-Mesnil	id=g:6430585
Saint-Georges-du-Vièvre	id=g:6430586
Saint-Georges-Motel	id=g:6430587
Saint-Germain-de-Pasquier	id=g:6430588
Saint-Germain-des-Angles	id=g:6430589
Saint-Germain-sur-Avre	id=g:6430591
Saint-Germain-Village	id=g:6430592
Saint-Grégoire-du-Vièvre	id=g:6430593
Saint-Jean-de-la-Léqueraye	id=g:6430594
Saint-Julien-de-la-Liègue	id=g:6430596
Saint-Laurent-des-Bois	id=g:6430597
Saint-Léger-du-Gennetey	id=g:6430599
Saint-Marcel	id=g:6430601
Saint-Mards-de-Blacarville	id=g:6430602
Sainte-Marguerite-de-l'Autel	id=g:6430604
Sainte-Marguerite-en-Ouche	id=g:6430605
Sainte-Marie-de-Vatimesnil	id=g:6430606
