Campanile Villeneuve Saint Georges	id=g:6491739
Grand Hôtel Dauphiné	id=g:6491749
Résidence Les Terrasses de Pentrez Plage	id=g:6491754
Campanile Soissons	id=g:6491755
Quality Hotel Michel Montparna	id=g:6491759
Premiere Classe Orléans Nord - Saran	id=g:6491760
Campanile Villejust - ZA Courtaboeuf	id=g:6491765
Campanile Dijon Nord - Toison d'Or	id=g:6491770
Campanile Paris Pantin	id=g:6491792
Maeva Residence Antares	id=g:6491797
Villa du Lac	id=g:6491804
Citea Clamart	id=g:6491815
Kyriad Dunkerque Loon Plage	id=g:6491830
Residence Lagrange Prestige les Alpages de Champagny	id=g:6491832
Citea Aparthotel Clermont Ferrand Gerzat	id=g:6491837
Pierre & Vacances Residence le Belmont	id=g:6491846
Campanile Nanterre	id=g:6491848
Pierre & Vacances Residence les Chalets du Forum	id=g:6491871
Comfort Hotel Gennevilliers	id=g:6491901
Hotel Imperial	id=g:6491928
Appart'City Clermont Ferrand	id=g:6491930
Escurial Hotel	id=g:6491932
Oceania Brest Aeroport	id=g:6491947
Campanile Gonesse	id=g:6491966
Campanile Bordeau Gradignan	id=g:6491971
Campanile Nancy Essey	id=g:6491988
Odalys Residence Milles Soleils	id=g:6491993
Auberge de l'Impossible	id=g:6492003
Odalys Residence Rochebrune	id=g:6492021
Campanile Rouen Mt St Aignan	id=g:6492032
Cinque Giornate Hotel	id=g:6492036
Le Grand Logisson	id=g:6492037
Résidence NEMEA Les Chalets d'Estive	id=g:6492040
Residence NEMEA Les Chalets des Cimes	id=g:6492051
Hotel du Sauvage	id=g:6492059
Residence Eureca	id=g:6492076
Campanile Avignon Montfavet	id=g:6492084
Campanile Bordeaux Le Bouscat	id=g:6492089
D Angleterre Hotel	id=g:6492094
Campanile Rouen Franqueville	id=g:6492107
Hotel Meridional	id=g:6492122
Appart'City Poissy	id=g:6492127
Golf Hotel de Fontcaude	id=g:6492135
Résidence Hôtelière Archipel	id=g:6492153
Escale Oceania Marseille	id=g:6492168
Residence Lagrange Prestige l'Ardoisière	id=g:6492169
Appart'City Cergy	id=g:6492171
Hotel Du Golfe	id=g:6492179
Comfort Hotel La Chapelle-sain	id=g:6492181
Castellu Rossu	id=g:6492203
Citea Résidentiel de Marseille Plan de Cuques	id=g:6492208
Odalys Residence le Palatine	id=g:6492215
Odalys Residence Soleil D'aure	id=g:6492220
Oceania Nantes	id=g:6492231
Campanile Toulouse L Union	id=g:6492232
Campanile Cergy Saint Christophe	id=g:6492244
Domaine Saint-Hilaire	id=g:6492251
Les Jardins de Charlary	id=g:6492255
L'Ecu de Bretagne	id=g:6492260
Pierre & Vacances Residence la Marelle	id=g:6492272
Campanile Manosque	id=g:6492280
Campanile Caen Herouville	id=g:6492310
Hotel Cap Europe	id=g:6492323
Residence Lagrange Prestige L'Ecrin des Sybelles	id=g:6492358
Clemenceau Hotel	id=g:6492359
Campanile Niort La Creche	id=g:6492361
Residence Lagrange Prestige le Hameau du Rocher Blanc	id=g:6492362
Residence Lagrange Classic le Prat de Lis	id=g:6492374
Appart'City Louveciennes	id=g:6492375
Hotel Gambetta	id=g:6492376
Hotel Edelweiss	id=g:6492417
Citea Prevessin	id=g:6492435
Antheus Hotel	id=g:6492442
Citea Nantes Aubiniere	id=g:6492472
La Ferme d Augustin	id=g:6492487
Hotel Belvedere	id=g:6492488
Eurogroup les Chalets de Seyne les Alpes	id=g:6492499
Citea Lattes	id=g:6492503
Villa Les Pins	id=g:6492510
Sofitel Toulouse Airport	id=g:6492520
Citea Marcy L'Etoile	id=g:6492534
Aida Marais Printania	id=g:6492552
Citea Montpellier Citadelle	id=g:6492560
Campanile Aix Les Bains	id=g:6492569
Mercure Marseille Beauvau Vieux Port	id=g:6492630
Saint George Hotel	id=g:6492643
Eurogroup Résidence les Terrasses de Peyragudes	id=g:6492644
Kyriad Libourne Saint Emilion	id=g:6492645
Hotel Le Kaya	id=g:6492647
Citea Lissieu	id=g:6492649
Loire Hotel	id=g:6492661
Residence La Barbacane	id=g:6492664
Hotel le Danival	id=g:6492666
Residence Holydream L'Orée des Pistes	id=g:6492706
Sofitel La Defense Grande Arche	id=g:6492723
Chambres d'hotes Maxana Bed and Breakfast	id=g:6492745
Citea Saint Denis Pleyel	id=g:6492761
Citea Paris de Charenton	id=g:6492774
Paxton Residence Hotel Spa	id=g:6492787
Citea Mougins	id=g:6492804
Sofitel Lyon Aeroport	id=g:6492823
Hotel de la Cité Concorde Lyon	id=g:6492847
Hotel de Paris	id=g:6492856
Résidence LVR Le Hameau de Saint Jean les Ecours	id=g:6492858
The Five Hotel	id=g:6492890
Hôtel Château l'Arc	id=g:6492898
Quality Hotel Quimper Kerloch	id=g:6492908
Courtyard Paris Defense West-Colombes	id=g:6492918
Sofitel Roissy Paris Charles de Gaulle Aeroport	id=g:6492944
Taylor Hotel	id=g:6492945
Best Western Adagio	id=g:6492964
Comfort Hotel Evreux	id=g:6492972
Le Charlary	id=g:6492975
Sofitel Nice	id=g:6492996
Citéa Résidentiel Marne La Vallée	id=g:6493007
Hotel de la Loze	id=g:6493013
Le Royal	id=g:6493021
Chalet Altitude Val Thorens	id=g:6493027
Résidence Les Terrasses du Lac	id=g:6493057
Appart'Hotel Victoria Garden	id=g:6493058
3.14 Hotel	id=g:6493076
Admiral's Hotel	id=g:6493077
Hôtel Beaulieu	id=g:6493091
Campanile Corbeil Essonnes Evry	id=g:6493093
Chalet altitude 2100	id=g:6493095
Bel Azur	id=g:6493101
Mercure Rennes Cesson 3	id=g:6493104
Hotel Victor Masse	id=g:6493112
Château Laval	id=g:6493114
Premiere Classe Bordeaux Est-Lormont	id=g:6493115
Les Loges du Park	id=g:6493116
Chalet Hôtel le Ménuire	id=g:6493128
La Villa Duflot	id=g:6493140
Campanile Mont De Marsan	id=g:6493151
Résidence LVR Les Balcons de Vaujany ou la Fedora	id=g:6493174
Hôtel La Croix Saint Maurice	id=g:6493185
Hotel les Grandes Alpes	id=g:6493187
Residence La Baie des Voiles	id=g:6493191
Hôtel les 3 Vallées	id=g:6493201
Hostellerie de la Petite Verrerie	id=g:6493209
Hotel Treperi	id=g:6493223
Résidence LVR Le Prince des Ecrins	id=g:6493234
Hotellerie Abbaye Royale de Fontevraud	id=g:6493240
Village - Club Le Serre du Villard	id=g:6493259
Gounod Hotel	id=g:6493267
Hôtel Reine Amélie	id=g:6493287
Appart'vacances Lacanau	id=g:6493293
Hôtel le Plein Sud	id=g:6493295
Hôtel Agora	id=g:6493318
Résidence Grand Cap	id=g:6493341
Hôtel du Bourg	id=g:6493345
Hôtel du Centenaire	id=g:6493355
Le Ski Dor	id=g:6493362
Le Floreal	id=g:6493363
Hôtel Neige et Roc	id=g:6493365
Hôtel du Nord	id=g:6493369
1 Med Hotel	id=g:6493372
Résidence Château Ricard	id=g:6493379
Résidence Le Royal	id=g:6493382
Hotel Athena	id=g:6493387
Hôtel Club Le Domaine de Somail	id=g:6493388
Chalet de l'Ours	id=g:6493391
Hôtel Esplanade	id=g:6493394
Villa Modigliani	id=g:6493411
Hotel Le Lion D'Or	id=g:6493422
VVF Village Club Lou Sarri	id=g:6493441
Grand Hotel des Thermes	id=g:6493445
Hôtel Club Les Provinces	id=g:6493464
Appart'city Nantes Château des Ducs	id=g:6493474
