Hôtel le Majestic	id=g:7521788
Tulip Inn Marciano Hotel	id=g:7521792
Meliá Royal Alma Boutique Hotel	id=g:7521795
Meliá Vendome Boutique Hotel	id=g:7521796
Mercure Gentilly	id=g:7521807
Hotel Mercure Nice Marché aux Fleurs	id=g:7521808
Hotel Mercure Mont Saint Michel	id=g:7521811
Hôtel Mercure Paris Porte de Pantin	id=g:7521813
Modial	id=g:7521817
Hôtel du Mouton Blanc	id=g:7521818
My Suite Inn Lognes Marne La Vallee Le Roi Du Lac	id=g:7521819
Park & Suites Confort Aix en Provence - La Duranne	id=g:7521820
Disney's Hotel Cheyenne	id=g:7521821
Lac de Montbel	id=g:7521840
Galerie David d'Angers	id=g:7521849
Canadian National Vimy Memorial	id=g:7521861
NH Nice	id=g:7521963
Hotel Citadines Residence Nice Fleurs	id=g:7521964
Hotel Ibis Marseille Est La Valentine	id=g:7521966
Hotel Opera Lafayette	id=g:7521967
Otelinn	id=g:7521968
Menton Pierre & Vacances Les Rivages du Parc	id=g:7521970
Park & Suites Paris | Gd Bibliothèque	id=g:7521971
Plaza Opera Hotel Paris	id=g:7521973
Hotel Pointe Isabelle	id=g:7521974
Hotel Pullman Paris Charles De Gaulle Airport	id=g:7521975
Hotel Pullman Paris La Défense	id=g:7521976
Hotel Pullman Marseille Palm Beach	id=g:7521978
Hotel Pullman Versailles Château	id=g:7521991
Hotel Regina Roscoff	id=g:7521995
Résidence Maeva Inter-Résidences	id=g:7522001
Picasso Museum	id=g:7522010
Résidence Maeva Le Hameau du Sauget	id=g:7522027
Résidence Maeva Le Montana	id=g:7522028
Maeva Résidence Les Chalets des Arolles	id=g:7522029
Résidence Maeva Les Mélèzes	id=g:7522030
Résidence Maeva Les Valmonts	id=g:7522031
Hôtel Residence MGM Les Alpages de Reberty	id=g:7522032
Pierre & Vacances Premium Les Fermes De Méribel	id=g:7522033
Courchevel Pierre & Vacances Les Chalets du Forum	id=g:7522034
Belambra Clubs, Tignes 'Le Borsat IV', Tignes Val Claret	id=g:7522035
Résidence Maeva Charvet et Villards	id=g:7522036
Maeva Holiday Residence Le Rond Point Des Pistes	id=g:7522037
Hôtel Residence MGM l'Ecrin des Neiges	id=g:7522038
Résidence Hôtel les Adrets	id=g:7522040
Hotel Residhome Mirabeau	id=g:7522041
Residhome Paris Opéra	id=g:7522042
Residhome Privilège Metz Lorraine	id=g:7522043
Residhome Nancy Lorraine	id=g:7522044
Restaurant Les Loges Confort Inn	id=g:7522046
Royal  Mirabeau	id=g:7522054
Hôtel Royal Westminster	id=g:7522056
Hôtel Saint Florent	id=g:7522057
Hotel Saint Jean Orange	id=g:7522058
Disney's Hotel Santa Fe	id=g:7522059
Hôtel Saphir Grenelle	id=g:7522060
Séjours et Affaires résidence hôtelière Clairmarais	id=g:7522061
Séjours et Affaires résidence hôtelière Park Avenue	id=g:7522062
Sejours et Affaires Residence Hoteliere Park Lane	id=g:7522063
Hotel Sully Saint-Germain	id=g:7522100
Tonic Hôtel Gare de Lyon	id=g:7522102
Hôtel Tours Giraudeau	id=g:7522104
Hôtel Villa des Princes	id=g:7522109
Hôtel Villa Rivoli	id=g:7522110
Lagrange Résidence Village Vignec	id=g:7522111
Mont Saint-Michel	id=g:7522158
Laugimone	id=g:7522247
La Soucrie	id=g:7522248
Loches	id=g:7522501
Cima di Corboraut	id=g:7522504
Rocca Negra	id=g:7522509
Cima di Collalunga	id=g:7522510
Château de Malle	id=g:7532975
Beccaltu	id=g:7534456
Roche del Serous	id=g:7534523
Piccolo Serous	id=g:7534525
Normandy American Cemetery and Memorial	id=g:7534687
Brittany American Cemetery and Memorial	id=g:7534788
Golf Bourg-en-Bresse	id=g:7534820
Golf de la Bresse	id=g:7534821
Golf de la Commanderie	id=g:7534822
Golf Divonne les Bains	id=g:7534823
Golf Maison Blanche	id=g:7534824
Golf de la Valserine	id=g:7534825
Golf Club Mionnay La Dombes	id=g:7534826
Golf du Gouverneur	id=g:7534827
Golf de la Manchette	id=g:7534828
Golf Club des Serves	id=g:7534829
Golf Gonville	id=g:7534830
Golf du Clou	id=g:7534831
Golf de la Sorelle	id=g:7534832
Golf du Val Secret	id=g:7534833
Golf de l'Ailette	id=g:7534834
Golf Menneville	id=g:7534835
Golf Saint-Quentin Mesnil	id=g:7534836
Golf Champagne	id=g:7534837
Golf Vichy Sporting Club	id=g:7534838
Golf Montluçon	id=g:7534839
Golf Club Sainte-Agathe	id=g:7534840
Golf Briailles	id=g:7534841
Golf de la Forêt de Montpensier	id=g:7534842
Golf Moulins les Avenelles	id=g:7534843
Golf Digne les Bains	id=g:7534844
Golf du Luberon	id=g:7534845
Golf Gap Bayard	id=g:7534846
Golf Montgenevre	id=g:7534847
Golf Biot	id=g:7534848
Saint-Philippe Golf Academy	id=g:7534849
Golf Cannes Mandelieu	id=g:7534850
Golf Country Club Saint-Donat	id=g:7534851
Grasse Country Club	id=g:7534852
Golf Club Riviera	id=g:7534853
Golf Cannes Mougins	id=g:7534854
Golf Club Royal Mougins	id=g:7534855
Golf Club Opio Valbonne	id=g:7534856
Golf de la Grande Bastide	id=g:7534857
Golf Monte Carlo	id=g:7534858
Golf Club Victoria	id=g:7534859
Golf Villeneuve-Loubet	id=g:7534860
Golf Vievola	id=g:7534861
Golf Annonay Gourdan	id=g:7534862
Golf Abbaye des sept fontaines	id=g:7534863
Golf des Ardennes	id=g:7534864
Golf Club Ariège	id=g:7534865
Golf Troyes	id=g:7534866
Golf de la Forêt d'Orient	id=g:7534867
Golf de l'Ermitage	id=g:7534868
Golf Club Carcassonne Auriac	id=g:7534869
Golf Mezeyrac	id=g:7534870
Golf du Grand Rodez	id=g:7534871
Golf d'Aix Marseille	id=g:7534872
Set Golf International	id=g:7534873
Golf d'Allauch Marseille	id=g:7534874
Golf des Baux de Provence	id=g:7534875
Golf de la Sainte-Victoire	id=g:7534876
Golf International de Pont Royal	id=g:7534877
Golf Club Marseille Borely	id=g:7534878
Golf Marseille La Salette	id=g:7534879
Golf Club Miramas	id=g:7534880
Golf Servanes	id=g:7534881
Golf de l'Ecole de l'Air	id=g:7534882
Golf Caen	id=g:7534883
Golf public de Cabourg	id=g:7534884
Golf Clecy Cantelou	id=g:7534885
Golf Deauville Barrière	id=g:7534886
Golf Deauville L'Amirauté	id=g:7534887
Golf Garcelles	id=g:7534888
Golf Houlgate	id=g:7534889
Golf Saint-Julien	id=g:7534890
Golf Bayeux Omaha Beach	id=g:7534891
Golf Saint-Gatien	id=g:7534892
Golf Viré La Dathée	id=g:7534893
Golf de l'Amirauté	id=g:7534894
Golf Cabourg Le Hôme	id=g:7534895
Golf Haute Auvergne	id=g:7534896
Golf Val Saint-Jean	id=g:7534897
Golf Club Vezac	id=g:7534898
Golf de l'Hirondelle	id=g:7534899
Golf International de La Prèze	id=g:7534900
Golf du Cognac	id=g:7534901
Golf de la Jarne	id=g:7534902
Golf de la Prée La Rochelle	id=g:7534903
Golf Montendre	id=g:7534904
Golf Trousse Chemise	id=g:7534905
Golf du Pays Rochefortais	id=g:7534906
Golf Royan	id=g:7534907
Golf d'Oléron	id=g:7534908
Golf du Château de La Vallade	id=g:7534909
Golf Saintonge	id=g:7534910
Golf Club Bourges	id=g:7534911
Golf Nançay	id=g:7534912
Golf de la Vallée de Germigny	id=g:7534913
Golf du Sancerrois	id=g:7534914
Golf Club La Picardière	id=g:7534915
Golf d'Aubazine	id=g:7534916
Golf Club Brive	id=g:7534917
Golf Neuvic d'Ussel	id=g:7534918
Golf du Chammet	id=g:7534919
Golf Beaune Levernois	id=g:7534920
Golf Dijon Bourgogne	id=g:7534921
Golf Club Château de Chailly	id=g:7534922
Golf Pré Lamy	id=g:7534923
Golf Quétigny Bourgogne	id=g:7534924
Golf Salives	id=g:7534925
Golf Club Bégard	id=g:7534926
Golf Club La Crinière	id=g:7534927
Golf Gilles de Boisgelin	id=g:7534928
Golf des Sables d'Or	id=g:7534929
Golf Pléneuf-Val-André	id=g:7534930
Golf Saint-Samson	id=g:7534931
Golf Saint-Cast-Pen Guen	id=g:7534932
Golf Club La Corbinais	id=g:7534933
Golf des Ajoncs d'Or	id=g:7534934
Golf Tremereuc	id=g:7534935
Golf de la Jonchère	id=g:7534936
Golf public de Périgueux	id=g:7534937
Golf Club Château des Vigiers	id=g:7534938
Golf Club Château Les Merles	id=g:7534939
Golf de la Marterie	id=g:7534940
Golf Lolivarie	id=g:7534941
Golf Rochebois	id=g:7534942
Golf Club Château de Bournel	id=g:7534943
Golf Prunevelle Montbéliard	id=g:7534944
Golf Besançon	id=g:7534945
Golf Pontarlier Les Etraches	id=g:7534946
Golf des Chanalets	id=g:7534947
Golf de la Chapelle-en-Vercors	id=g:7534948
Golf Valence Saint-Didier	id=g:7534949
Golf du Domaine de Sagnol	id=g:7534950
Golf de la Valdaine	id=g:7534951
Golf du Bourget	id=g:7534952
Golf de la Drôme Provencale	id=g:7534953
Golf d'Albon	id=g:7534954
Golf d'Evreux	id=g:7534955
Golf Gaillon	id=g:7534956
Golf du Champ de Bataille	id=g:7534957
Golf Lery Poses	id=g:7534958
Golf du Vaudreuil	id=g:7534959
Golf Center Parcs	id=g:7534960
Golf Parc	id=g:7534961
Golf du Château de Maintenon	id=g:7534962
Golf du Bois d'O	id=g:7534963
Golf du Perche	id=g:7534964
Golf de l'Odet	id=g:7534965
Golf Carantec	id=g:7534966
Golf Cornouaille	id=g:7534967
Golf Brest-Iroise	id=g:7534968
Golf Brest-Les Abers	id=g:7534969
Golf Pen Ar Bed	id=g:7534970
Golf Nîmes Campagne	id=g:7534971
Golf Nîmes Vacquerolles	id=g:7534972
Golf d'Alès Ribaute	id=g:7534973
Golf Club Uzès	id=g:7534974
Golf Luchon	id=g:7534975
Golf Toulouse Palmola	id=g:7534976
Golf Estolosa	id=g:7534977
Golf Saint-Gabriel	id=g:7534978
Golf du Comminges	id=g:7534979
Golf Teoula	id=g:7534980
Golf Club Seilh Toulouse	id=g:7534981
Golf Toulouse La Ramée	id=g:7534982
Golf Toulouse	id=g:7534983
Golf d'Auch Ambats Le Prat	id=g:7534984
Golf Guinlet	id=g:7534985
Golf Fleurance Lassalle	id=g:7534986
Golf de las Martines	id=g:7534987
Golf du Château de Barbet	id=g:7534988
Golf Gascogne	id=g:7534989
Golf du Château de Pallanne	id=g:7534990
Golf Teynac	id=g:7534991
Golf Bordeaux Lac	id=g:7534992
Golf Bordelais	id=g:7534993
Golf Gujan-Mestras	id=g:7534994
Golf International de Lacanau	id=g:7534995
Golf UCPA de La Méjanne	id=g:7534996
Golf des Graves et du Sauternais	id=g:7534997
Golf Bordeaux Pessac	id=g:7534998
Golf du Medoc	id=g:7534999
Golf Bordeaux	id=g:7535000
Golf d'Arcachon	id=g:7535001
Golf du Cap d'Agde	id=g:7535002
Golf Montpellier Massane	id=g:7535003
Golf Saint-Thomas	id=g:7535004
Golf Fontcaude Montpellier	id=g:7535005
Golf de lamalou les Bains	id=g:7535006
Golf Coulondres Montpellier	id=g:7535007
Golf de la Grande Motte	id=g:7535008
Golf Cicé-Blossac	id=g:7535009
Golf Cesson Sevigné	id=g:7535010
Golf des Ormes	id=g:7535011
Golf de la Freslonnière	id=g:7535012
Golf Dinard	id=g:7535013
Golf Rennes Saint-Jacques	id=g:7535014
Golf des Rochers Sevigne	id=g:7535015
Golf Saint-Malo	id=g:7535016
Golf des Sarrays	id=g:7535017
