Lofortoe	id=g:2298398
Lofito	id=g:2298399
Lodgekonkrugu	id=g:2298400
Lobia	id=g:2298401
Lobia	id=g:2298402
Lobi	id=g:2298403
Live	id=g:2298404
Litton Rock	id=g:2298405
Lissa	id=g:2298406
Limme	id=g:2298407
Limaburuga	id=g:2298408
Lilixia	id=g:2298409
Lijine	id=g:2298410
Lifiti	id=g:2298411
Levi	id=g:2298412
Lesi	id=g:2298413
Lepusi	id=g:2298414
Lengbi	id=g:2298415
Lemeto	id=g:2298416
Lekponguno	id=g:2298417
Lekpogele	id=g:2298418
Lekping	id=g:2298419
Legu	id=g:2298420
Legos	id=g:2298421
Legon Hill	id=g:2298422
Legon	id=g:2298423
Legale	id=g:2298424
Lefafa	id=g:2298425
Ledze	id=g:2298426
Lebuni	id=g:2298427
Lawra	id=g:2298428
Lawoashime	id=g:2298429
Lawlawvaw	id=g:2298430
Lawlawvaw	id=g:2298431
Lawgawre	id=g:2298432
Lawgawre	id=g:2298433
Lave	id=g:2298434
Lava	id=g:2298435
Laura	id=g:2298436
Latriku	id=g:2298437
Latinkpa	id=g:2298438
Lateman	id=g:2298439
Latele	id=g:2298440
Latel	id=g:2298441
Latekofe	id=g:2298442
Latebibio	id=g:2298443
Latare Sempayiri	id=g:2298444
Latare Nayiri	id=g:2298445
Lasivenu	id=g:2298446
Lasaga	id=g:2298447
Larteh Kubeasi	id=g:2298448
Larteh Aheneasi	id=g:2298449
Larlabliga	id=g:2298450
Laribong	id=g:2298451
Larekago	id=g:2298452
Larabanga	id=g:2298453
Lapliki	id=g:2298454
Lapliga	id=g:2298455
Lapelik	id=g:2298456
Issana Bouga	id=g:2298457
Lanvi	id=g:2298458
Lanto	id=g:2298459
Lante	id=g:2298460
Lantarni	id=g:2298461
Lanobe	id=g:2298462
Lankatere	id=g:2298463
Lanka	id=g:2298464
Langbwina	id=g:2298465
Langbinsi	id=g:2298466
Langbalanga	id=g:2298467
Langasi	id=g:2298468
Langa	id=g:2298469
Landua	id=g:2298470
Lando	id=g:2298471
Lanaw	id=g:2298472
Lamuete	id=g:2298473
Lamu	id=g:2298474
Lampurga	id=g:2298475
Lampol	id=g:2298476
Lampol	id=g:2298477
Lamirem	id=g:2298478
Lambussie	id=g:2298479
Lambu	id=g:2298480
Lamboya	id=g:2298481
Lambo	id=g:2298482
