Qaanaaq	id=g:3831208
Qaanaaq Kommune	id=g:3831209
Putdlerssuaq	id=g:3831210
Kap Pussy	id=g:3831211
Puissitdlûssarssuaq	id=g:3831212
Puissilik	id=g:3831213
Prudhoe Land	id=g:3831214
Kap Powlett	id=g:3831215
Kap Powell	id=g:3831216
Poulsen Klipper	id=g:3831217
Kap Porter	id=g:3831218
Politiken Bræ	id=g:3831219
Polaris Bugt	id=g:3831220
Piulip Nunaa	id=g:3831221
Pitugfiup Kûgssua	id=g:3831222
Pituffik Gletscher	id=g:3831223
Pituffik	id=g:3831224
Pitorâvik	id=g:3831225
Pisigiaq	id=g:3831226
Pisigiapaluk	id=g:3831227
Pinguarsuit Sermiat	id=g:3831228
Pingorssuit	id=g:3831229
Petermann Halvø	id=g:3831230
Petermann Fjord	id=g:3831231
Perlernerit	id=g:3831232
Pentamerus Bjerge	id=g:3831233
Pemmican Elv	id=g:3831234
Peary Gletscher	id=g:3831235
Kap Peary	id=g:3831236
Peabody Bugt	id=g:3831237
Pattefjeldene	id=g:3831238
Kap Parry	id=g:3831239
Parker Snow Bugt	id=g:3831240
Parish Gletscher	id=g:3831241
Paornartôrssuaq	id=g:3831242
Pandora Havn	id=g:3831243
Østre Klovbjerg	id=g:3831244
Østgletscher	id=g:3831245
Olrik Fjord	id=g:3831246
Kap Ohlsen	id=g:3831247
Ohio Fjeld	id=g:3831248
Offley Ø	id=g:3831249
Nygård Bugt	id=g:3831250
Nuussuaq	id=g:3831251
Nuussuaq	id=g:3831252
Nuussuapaluk	id=g:3831253
Núngarut	id=g:3831254
Núngarússuaq	id=g:3831255
Nûnganitipaluk	id=g:3831256
Nunatarsuaq	id=g:3831257
Nunatârssuk	id=g:3831258
Nunataq	id=g:3831259
Nunatami	id=g:3831260
Nunâta Isua	id=g:3831261
Nunat	id=g:3831262
Kiatak	id=g:3831263
North Star Bugt	id=g:3831264
Nørre Sø	id=g:3831265
Nordvestø	id=g:3831266
Nordre Tvillinggletscher	id=g:3831267
Nordre Rampesø	id=g:3831268
Nordlyset Bjerg	id=g:3831269
Noorujupaluk	id=g:3831270
Noorujupaluk	id=g:3831271
Nigaarfivik	id=g:3831272
Nicolaj Nielsen Kyst	id=g:3831273
Niaqornarssuaq	id=g:3831274
Neqi	id=g:3831275
Naujarssuit	id=g:3831276
Natsilivik	id=g:3831277
Narsaq	id=g:3831278
Narsaarsuk	id=g:3831279
Nánugfik	id=g:3831280
Nanuarssugssuit	id=g:3831281
Nanortûpaluk	id=g:3831282
Nallortoq	id=g:3831283
Naajat	id=g:3831284
Kap Murdoch	id=g:3831285
Murchison Sund	id=g:3831286
Kap Morton	id=g:3831287
Morris Jesup Gletscher	id=g:3831288
Morris Bugt	id=g:3831289
Kap Morris	id=g:3831290
Morell Gletscher	id=g:3831291
Moltke Sø	id=g:3831292
Mohn Gletscher	id=g:3831293
Modstrømmen	id=g:3831294
Misûmassoq	id=g:3831295
Minturn Elv	id=g:3831296
Kap Milne	id=g:3831297
Meteoritø	id=g:3831298
Meteor Bugt	id=g:3831299
Melville Gletscher	id=g:3831300
Qimusseriarsuaq	id=g:3831301
Kap Melville	id=g:3831302
Meehan Gletscher	id=g:3831303
McGary Øer	id=g:3831304
McGary Ø	id=g:3831305
Mac Cormick Fjord	id=g:3831306
Kap Maynard	id=g:3831307
Marshall Bugt	id=g:3831308
Marie Gletscher	id=g:3831309
Moriusaq	id=g:3831310
Qeqertaarsuit	id=g:3831311
Manek	id=g:3831312
Magnetitbjerg	id=g:3831313
Kap Madison	id=g:3831314
MacCormick Fjord	id=g:3831315
Kap Lyngbæk	id=g:3831316
Lykkedalselv	id=g:3831317
Lykkedal	id=g:3831318
Kap Lupton	id=g:3831319
Kap Lucie Marie	id=g:3831320
Littleton Ø	id=g:3831321
Life Boat Vig	id=g:3831322
