Kapóremma	id=g:261111
Kapoglaíika	id=g:261112
Kapnokhórion	id=g:261113
Kapnokhória	id=g:261114
Ákra Kapnodhókhi	id=g:261115
Kápnis Farángi	id=g:261116
Kapní	id=g:261117
Kaplánion	id=g:261118
Kapíon	id=g:261119
Kápi	id=g:261120
Kapetanianá	id=g:261121
Nisís Kapéllon	id=g:261122
Ákra Kapéllo	id=g:261123
Kapelítsa	id=g:261124
Kápeli	id=g:261125
Kápeli	id=g:261126
Kapeléton	id=g:261127
Kapedhianá	id=g:261128
Stenó Pserímou	id=g:261129
Órmos Kápari	id=g:261130
Nisís Kápari	id=g:261131
Kaparéllion	id=g:261132
Kapandrítion	id=g:261133
Kapandrítion	id=g:261134
Kaouryianá	id=g:261135
Órmos Kantziliéris	id=g:261136
Órmos Kannavítsa	id=g:261137
Kánithos	id=g:261138
Kánion	id=g:261139
Kaniavás	id=g:261140
Kangélai	id=g:261141
Kagkátika	id=g:261142
Kangádhion	id=g:261143
Kangadhaíoi	id=g:261144
Kánevos	id=g:261145
Kanétta	id=g:261146
Límni Kanéta	id=g:261147
Kándia	id=g:261148
Kandhílion Óros	id=g:261149
Kandíla	id=g:261150
Kandhíla	id=g:261151
Kandhíla	id=g:261152
Vrachonisída Kandelioússa	id=g:261153
Kándhalos	id=g:261154
Kándhalos	id=g:261155
Kándhalos	id=g:261156
Kándhalos	id=g:261157
Kántanos	id=g:261158
Kandalaíika	id=g:261159
Kanavári Réma	id=g:261160
Kanavaíika	id=g:261161
Kanatádhika	id=g:261162
Limín Kanári	id=g:261163
Ákra Kanapítsa	id=g:261164
Kanapítsa	id=g:261165
Kánalos	id=g:261166
Kanallákion	id=g:261167
Kanálion	id=g:261168
Kanália	id=g:261169
Kanália	id=g:261170
Kanália	id=g:261171
Órmos Kanála	id=g:261172
Kanála	id=g:261173
Kanákidhes	id=g:261174
Órmos Kanákia	id=g:261175
Ákra Kanákia	id=g:261176
Nisídes Kanákia	id=g:261177
Kanáki	id=g:261178
Kamvoúnia Óri	id=g:261179
Kamnaḯtiko Réma	id=g:261180
Kamisianá	id=g:261181
Kamisianá	id=g:261182
Ákra Kamiótisa	id=g:261183
Káminos	id=g:261184
Kamínion	id=g:261185
Kamínia	id=g:261186
Kaminiá	id=g:261187
Kamínia	id=g:261188
Órmos Kamíni	id=g:261189
Vrachonisís Kamíni	id=g:261190
Kamíni	id=g:261191
Kaminárion	id=g:261192
Kaminaráta	id=g:261193
Kaminákion	id=g:261194
Órmos Kaminákia	id=g:261195
Kamináki	id=g:261196
Kaminádhika	id=g:261197
Kaminádha	id=g:261198
Kamilórrakhi	id=g:261199
Kamilonísi	id=g:261200
Kamilianá	id=g:261201
Ormískos Kamíli	id=g:261202
Ákra Kamíli	id=g:261203
Kamilárion	id=g:261204
Ákra Kamiláfka	id=g:261205
Kamíla	id=g:261206
Kamenitsotaíika	id=g:261207
Kamenítsa	id=g:261208
Kamenítsa	id=g:261209
Kameniánoi	id=g:261210
Kaména Voúrla	id=g:261211
Kaménai Nisídes	id=g:261212
Kámena	id=g:261213
Vrákhos Kámbrian	id=g:261214
Órmos Kámbos	id=g:261215
Kámpos	id=g:261216
Kámpos	id=g:261217
Kámpos	id=g:261218
Kámpos	id=g:261219
Kámpos	id=g:261220
Kámbos	id=g:261221
Kámbos	id=g:261222
