Eparchía Kydonías	id=g:445436
Eparchía Apokorónou	id=g:445437
Eparchía Sfakíon	id=g:445438
Eparchía Pyrgiotíssis	id=g:445439
Eparchía Monofatsíou	id=g:445440
Eparchía Teménous	id=g:445441
Eparchía Pediádos	id=g:445442
Eparchía Karpáthou	id=g:445443
Eparchía Ródou	id=g:445444
Eparchía Ko	id=g:445445
Eparchía Kalýmnou	id=g:445446
Eparchía Náxou	id=g:445447
Eparchía Párou	id=g:445448
Eparchía Thíras	id=g:445449
Eparchía Tínou	id=g:445450
Eparchía Sámou	id=g:445451
Eparchía Ikarías	id=g:445452
Eparchía Chíou	id=g:445453
Eparchía Plomaríou	id=g:445454
Eparchía Mytilínis	id=g:445455
Eparchía Mithýmnis	id=g:445456
Eparchía Límnou	id=g:445457
Vrachonisída Gáïdaros	id=g:445458
Órmos Drapetsónas	id=g:445459
Khersónisos Gramvoúsa	id=g:448126
Technití Límni Kastrakíou	id=g:448229
Technití Límni Kremastón	id=g:448230
Ágios Dimítrios	id=g:449728
Akarnaniká Óri	id=g:449729
Avathí Práso	id=g:449730
Stenón Kastoú	id=g:449732
Plátanos	id=g:449733
Neochórion	id=g:449734
Sáltsino	id=g:449735
Ágios Geórgios	id=g:449736
Kakomalí	id=g:449737
Ydrofília	id=g:449738
Ýfalos Vénerampl	id=g:449739
Vráchos Gkrávaris	id=g:449740
Vráchos Navágion	id=g:449741
Souglomýtis	id=g:449742
Ákra Spiliá	id=g:449743
Ágios Nikólaos	id=g:449744
Diékplous Echinádon	id=g:449745
Nisída Chamiló	id=g:449746
Maradiás	id=g:449747
Tsákovo	id=g:726145
Chaús Réma	id=g:726281
Struma River	id=g:726701
Dhemír Kapoú	id=g:727833
Papazlík Lófos	id=g:728428
Tokajík Óros	id=g:728930
Gyumyurdzhinski Snezhnik	id=g:730946
Dhespátis Potamós	id=g:732013
Bístritsa Réma	id=g:733206
Sariár	id=g:733635
Arda River	id=g:733639
Mesolóngos	id=g:733740
Zoúzouli	id=g:733741
Vrachonisída Zouráfa	id=g:733742
Zóni	id=g:733743
Zóni	id=g:733744
