Sare Tuto	id=g:2369816
Sare Tumaná	id=g:2369817
Sare Tombom	id=g:2369818
Sare Tijane	id=g:2369819
Sare Tenem	id=g:2369820
Sare Tambà	id=g:2369821
Sare Tambá	id=g:2369822
Sare Soriã	id=g:2369823
Sare Sofi	id=g:2369824
Sare Sili	id=g:2369825
Sare Seco	id=g:2369826
Sare Sambujã	id=g:2369827
Sare Sambi	id=g:2369828
Sare Sambi	id=g:2369829
Sare Samba Tubaco	id=g:2369830
Sare Samba Sinquirim	id=g:2369831
Sare Samba Seidi	id=g:2369832
Sare Samba Iafa	id=g:2369833
Sare Samba Fil	id=g:2369834
Sare Samba Cantè	id=g:2369835
Sare Samba Baldè	id=g:2369836
Sare Salum	id=g:2369837
Sare Saliu	id=g:2369838
Sare Sajau	id=g:2369839
Sare Saído Mijaca	id=g:2369840
Sare Saco	id=g:2369841
Sare Saba	id=g:2369842
Sarero	id=g:2369843
Sare Quetuca	id=g:2369844
Sare Queda	id=g:2369845
Sare Quecuta	id=g:2369846
Sare Pati	id=g:2369847
Sare Paté	id=g:2369848
Sare Patè	id=g:2369849
Sare Patè	id=g:2369850
Sare Pate	id=g:2369851
Sare Ôgò	id=g:2369852
Sare Ôgò	id=g:2369853
Sare Nhobum	id=g:2369854
Sare Nhanhala	id=g:2369855
Sare Nhado	id=g:2369856
Sare Nhado	id=g:2369857
Sare Nhaco	id=g:2369858
Sare Nhaco	id=g:2369859
Sare Nambo	id=g:2369860
Sare Mussá	id=g:2369861
Sare Mulai	id=g:2369862
Sare Mulai	id=g:2369863
Sare Mórsô	id=g:2369864
Sare Morijã	id=g:2369865
Sare Minine	id=g:2369866
Sare Mijaca	id=g:2369867
Sare Meta Boído	id=g:2369868
Sare Meta	id=g:2369869
Sare Meta	id=g:2369870
Sare Mansàli	id=g:2369871
Sare Mansali	id=g:2369872
Sare Manè	id=g:2369873
Sare Mané	id=g:2369874
Sare Mancamã	id=g:2369875
Sare Mancamã	id=g:2369876
Sare Mancamã	id=g:2369877
Sare Mamudo	id=g:2369878
Sare Mamadi	id=g:2369879
Sare Mali	id=g:2369880
Sare Madina	id=g:2369881
Sare Lu	id=g:2369882
Sare Leão	id=g:2369883
Rio de Sare Lamine	id=g:2369884
Sare Lamine	id=g:2369885
Sare Lali	id=g:2369886
Sare Juma	id=g:2369887
Sare Jomel	id=g:2369888
Sare Jobo	id=g:2369889
Sare Jobo	id=g:2369890
Sare Jeta	id=g:2369891
Sare Jeta	id=g:2369892
Sare Jaubè	id=g:2369893
Sare Jaubè	id=g:2369894
Sare Janque	id=g:2369895
Sare Jancó	id=g:2369896
Sare Jambarã	id=g:2369897
Sare Jajo	id=g:2369898
Sare Jaiba	id=g:2369899
Sare Jai	id=g:2369900
Sare Jai	id=g:2369901
Sare Jai	id=g:2369902
Sare Jai	id=g:2369903
Sare Jaguil	id=g:2369904
Rio de Sare Jabi	id=g:2369905
Sare Jaba	id=g:2369906
Sare Iunca	id=g:2369907
Rio de Sare Ioba Candè	id=g:2369908
Sare Ioba Candè	id=g:2369909
Sare Ióbà	id=g:2369910
Sare Ioba	id=g:2369911
Sare Ioba	id=g:2369912
Sare Ina	id=g:2369913
Sare Ilô	id=g:2369914
Sare Iero Nai	id=g:2369915
Rio de Sare Iero Jau	id=g:2369916
Sare Iero Jau	id=g:2369917
Sare Iero Embalô	id=g:2369918
Sare Ierobà	id=g:2369919
Sare Ierobà	id=g:2369920
Sare Iero	id=g:2369921
Sare Iero	id=g:2369922
Sare Iero	id=g:2369923
Sare Iero	id=g:2369924
Rio de Sare Hági	id=g:2369925
Sare Hági	id=g:2369926
Sare Gurêel	id=g:2369927
Sare Guigui	id=g:2369928
Sare Guidere Baldè	id=g:2369929
Rio de Sare Gidè	id=g:2369930
Sare Geno	id=g:2369931
Sare Geno	id=g:2369932
Sare Gêba	id=g:2369933
Sare Gánhà	id=g:2369934
Sare Ganà Dulò	id=g:2369935
Sare Ganà	id=g:2369936
Sare Endurè	id=g:2369937
Sare Donhá	id=g:2369938
Sare Donhà	id=g:2369939
Sare Díurè	id=g:2369940
Rio de Sare Dicò	id=g:2369941
Sare Dicò	id=g:2369942
Sare Dibane	id=g:2369943
Sare Demboxè	id=g:2369944
Rio de Sare Dembel	id=g:2369945
Sare Dembel	id=g:2369946
Sare Dembel	id=g:2369947
Sare Demba Taquel	id=g:2369948
Sare Demba Jicoi	id=g:2369949
Sare Demba Embalô	id=g:2369950
Sare Demba Baderal	id=g:2369951
Sare Demba	id=g:2369952
Sare Demba	id=g:2369953
Sare Demba	id=g:2369954
Sare Demanda	id=g:2369955
Sare Dêlô Maundè	id=g:2369956
Sare Délò Mamadu	id=g:2369957
Sare Delo	id=g:2369958
Sare Dabel	id=g:2369959
Sare Dabel	id=g:2369960
Sare Cuta Penda	id=g:2369961
Sare Curael	id=g:2369962
Sare Cuntai	id=g:2369963
Sare Cubè	id=g:2369964
Sare Coli Embalo	id=g:2369965
Sare Coli Cebô	id=g:2369966
Sare Coli	id=g:2369967
Sare Coli	id=g:2369968
Sare Cobà	id=g:2369969
Sare Chumo	id=g:2369970
Sare Chumbo	id=g:2369971
Sare Chumbo	id=g:2369972
Sare Chumbo	id=g:2369973
Sare Chicamo	id=g:2369974
Sare Carajo	id=g:2369975
Sare Canta	id=g:2369976
Sare Canta	id=g:2369977
Sare Canta	id=g:2369978
Rio de Sare Burè	id=g:2369979
Sare Burè	id=g:2369980
Sare Budi	id=g:2369981
Sare Bucò	id=g:2369982
Sare Buba	id=g:2369983
Sare Bori	id=g:2369984
Sare Bóbo	id=g:2369985
Sare Birom	id=g:2369986
Sare Birò	id=g:2369987
Sare Biral	id=g:2369988
Sare Birai	id=g:2369989
Sare Béssè	id=g:2369990
Sare Baradi	id=g:2369991
Sare Banda	id=g:2369992
Sare Bambè	id=g:2369993
Sare Bamba	id=g:2369994
Sare Baldè	id=g:2369995
Sare Bácar	id=g:2369996
Sare Arfã	id=g:2369997
Sare Ardo	id=g:2369998
Sare Ardo	id=g:2369999
Sare Andem	id=g:2370000
Sare Anambé	id=g:2370001
Sare Amadi	id=g:2370002
Sare Amadi	id=g:2370003
Sare Aliu Sene	id=g:2370004
Sare Ali	id=g:2370005
Sare Alabato	id=g:2370006
Sare Adè	id=g:2370007
Sare Abdulai	id=g:2370008
Vendu Sare	id=g:2370009
Sarauol	id=g:2370010
Rio de Saranculè	id=g:2370011
Saranculè	id=g:2370012
Sarancho	id=g:2370013
Rio Sarampinta	id=g:2370014
Rio Saramaca	id=g:2370015
Rio de Sàrábá	id=g:2370016
Sàrábá	id=g:2370017
Sárà	id=g:2370018
Rio Sáquirè	id=g:2370019
Rio Sáque	id=g:2370020
Rio Saque	id=g:2370021
Rio Sàpundo	id=g:2370022
Rio Sapo	id=g:2370023
Rio Sapateiro	id=g:2370024
São Nicolau	id=g:2370025
São Miguel Beafada	id=g:2370026
São Miguel Balanta	id=g:2370027
Rio de São Martinho	id=g:2370028
São Martinho	id=g:2370029
São José	id=g:2370030
São José	id=g:2370031
São José	id=g:2370032
São Jorge	id=g:2370033
São Jorge	id=g:2370034
São João Velho	id=g:2370035
São João	id=g:2370036
São João	id=g:2370037
São João	id=g:2370038
Ilhéu de São Francisco	id=g:2370039
Coroas de São Francisco	id=g:2370040
Rio Sãoer	id=g:2370041
Rio de São Domingos	id=g:2370042
Baixos de Saõ Domingos	id=g:2370043
São Domingos	id=g:2370044
São Domingos	id=g:2370045
São Domingos	id=g:2370046
São Domingos	id=g:2370047
São Belchior	id=g:2370048
Sanumâ	id=g:2370049
Santo António	id=g:2370050
Santarém	id=g:2370051
Santanto	id=g:2370052
Santanjã	id=g:2370053
Santancoto	id=g:2370054
Santancoto	id=g:2370055
Santana	id=g:2370056
Santana	id=g:2370057
Santana	id=g:2370058
Santambato	id=g:2370059
Rio de Santa Maria	id=g:2370060
Santa Maria	id=g:2370061
Santa Maria	id=g:2370062
Santa Maria	id=g:2370063
Santa Luzia	id=g:2370064
Santa Joana	id=g:2370065
Santa Helena	id=g:2370066
Santa Clara	id=g:2370067
Ilhas de Santa Catarina	id=g:2370068
Canal de Santa Catarina	id=g:2370069
Rio Sansuno	id=g:2370070
Sansão	id=g:2370071
Sansanto	id=g:2370072
Sansancutoto	id=g:2370073
Sansancuta	id=g:2370074
Sansabato	id=g:2370075
Sano	id=g:2370076
Sano	id=g:2370077
Rio Sanjuma	id=g:2370078
Sanjalo	id=g:2370079
Sanincha	id=g:2370080
Rio Sanina	id=g:2370081
Rio Saniel	id=g:2370082
Sanhu Abasse	id=g:2370083
Sanhar	id=g:2370084
Rio Sanguerè	id=g:2370085
Sanguê Demba Danejo	id=g:2370086
Sanguê Cabomba	id=g:2370087
Sanguê Bololi	id=g:2370088
Rio Sanguê Bissari	id=g:2370089
Sangonhá	id=g:2370090
Rio de Sangarè	id=g:2370091
Sangare	id=g:2370092
Sangarè	id=g:2370093
Rio de Sanganabè	id=g:2370094
Sanganabè	id=g:2370095
Sanècunda	id=g:2370096
Rio Sandofara	id=g:2370097
Sandina	id=g:2370098
Rio Sandanqui	id=g:2370099
Sandamena	id=g:2370100
Rio Sancular	id=g:2370101
Rio de Sancorlá	id=g:2370102
Sancorlá	id=g:2370103
Sancorlá	id=g:2370104
Sancoma	id=g:2370105
Sancoma	id=g:2370106
Rio Sancauol	id=g:2370107
Sancatuto	id=g:2370108
Rio de Sancalancunda	id=g:2370109
Sancalancunda	id=g:2370110
Rio de Sancalancó	id=g:2370111
Sancalancó	id=g:2370112
Sancaba Rundé	id=g:2370113
Vendu Sancaba	id=g:2370114
Sancaba	id=g:2370115
Rio Sanau	id=g:2370116
Sana Marum	id=g:2370117
Sana Jau	id=g:2370118
Sanael	id=g:2370119
Rio Sana	id=g:2370120
Rio Sana	id=g:2370121
Samudo	id=g:2370122
Sampulo	id=g:2370123
Rio Sampere	id=g:2370124
Rio Sampárò	id=g:2370125
Sampaje	id=g:2370126
Sampaiai	id=g:2370127
Samoje	id=g:2370128
Rio de Saminhancho	id=g:2370129
Saminhancho	id=g:2370130
Samine Bôlon	id=g:2370131
Samenhinte	id=g:2370132
Sâmene	id=g:2370133
Samenau	id=g:2370134
Samé Maúdo	id=g:2370135
