Meritizero	id=g:3376962
Meriparu River	id=g:3376963
Merawai Creek	id=g:3376964
Mepitiwau River	id=g:3376965
Menzies Landing	id=g:3376966
Mendel River	id=g:3376967
Menabaru River	id=g:3376968
Melvilles Peak	id=g:3376969
Melville	id=g:3376970
Melville	id=g:3376971
Mekropai Hill	id=g:3376972
Mehokobuina Creek	id=g:3376973
Meerzorg	id=g:3376974
Meerzorg	id=g:3376975
Meadow Bank	id=g:3376976
McTurks Creek	id=g:3376977
McTurk Creek	id=g:3376978
McNabb Canal	id=g:3376979
McKenzie Rapids	id=g:3376980
McIntyres Landing	id=g:3376981
McDoom Village	id=g:3376982
McDonald Blackwater River	id=g:3376983
Mazawini River	id=g:3376984
Mazawini Landing	id=g:3376985
Mazaruni River	id=g:3376986
Mazaruni Creek	id=g:3376987
Mazanapa Creek	id=g:3376988
Mayer Beck	id=g:3376989
Mauru Creek	id=g:3376990
Mauri River	id=g:3376991
Maurida Mountain	id=g:3376992
Mauridai	id=g:3376993
Mauri Creek	id=g:3376994
Maurasima	id=g:3376995
Mauranikabra Creek	id=g:3376996
Maunama River	id=g:3376997
Matuaparu Creek	id=g:3376998
Matthew Creek	id=g:3376999
Matorohana River	id=g:3377000
Matope River	id=g:3377001
Matope Fall	id=g:3377002
Matincharra Creek	id=g:3377003
Matikaiwau River	id=g:3377004
Matepou Creek	id=g:3377005
Mataruki River	id=g:3377006
Matara Creek	id=g:3377007
Matara Creek	id=g:3377008
Maswa Creek	id=g:3377009
Massirikaru Creek	id=g:3377010
Massiparu Creek	id=g:3377011
Massiah	id=g:3377012
Massara	id=g:3377013
Massara	id=g:3377014
Massakura	id=g:3377015
Mashiveau River	id=g:3377016
Mashikuru River	id=g:3377017
Mashabo Creek	id=g:3377018
Masaetayourau Inlet	id=g:3377019
Masabona	id=g:3377020
Maryville	id=g:3377021
Marys Hope	id=g:3377022
Marysburg	id=g:3377023
Mary Falls	id=g:3377024
Mary and Eliza	id=g:3377025
Mary	id=g:3377026
Marurawau River	id=g:3377027
Marurawau River	id=g:3377028
Marurawaunawa Village	id=g:3377029
Marupa River	id=g:3377030
Marupak Mountains	id=g:3377031
Maruni Creek	id=g:3377032
Marulla Creek	id=g:3377033
Maruiwa	id=g:3377034
Marudi River	id=g:3377035
Marudi Mountains	id=g:3377036
Marudi Mine	id=g:3377037
Marudi-Karawaimentau Mountains	id=g:3377038
Marudi Creek	id=g:3377039
Marudi Creek	id=g:3377040
Martins Burial Ground	id=g:3377041
Marshall Falls	id=g:3377042
Marowa Creek	id=g:3377043
Marowa	id=g:3377044
Marourona River	id=g:3377045
Maroni Creek	id=g:3377046
Marlissa Falls	id=g:3377047
Marlissa Creek	id=g:3377048
Marlborough	id=g:3377049
Markasana Creek	id=g:3377050
Mariwa Village	id=g:3377051
Mariwaru River	id=g:3377052
Mariwa River	id=g:3377053
Mariwa River	id=g:3377054
Mariwa Island	id=g:3377055
Mariwa Falls	id=g:3377056
Maritaparu Creek	id=g:3377057
Maritamnia River	id=g:3377058
Marishikuru Creek	id=g:3377059
Maripobo Pond	id=g:3377060
Maripa-Yaund Island	id=g:3377061
Mariparukeng River	id=g:3377062
Maripari Creek	id=g:3377063
Maripakuru River	id=g:3377064
Maripakuru River	id=g:3377065
Maripaka Creek	id=g:3377066
Maripa Falls	id=g:3377067
Maripabaro Creek	id=g:3377068
Maripa	id=g:3377069
Marionville	id=g:3377070
Maringtuk Falls	id=g:3377071
Marinero River	id=g:3377072
Marina Fall	id=g:3377073
Marimari Creek	id=g:3377074
Mari-Mari Creek	id=g:3377075
Marimari Creek	id=g:3377076
Marihi Fall	id=g:3377077
Marienda Creek	id=g:3377078
Marienburg	id=g:3377079
Marie Island	id=g:3377080
Maridawa Hill	id=g:3377081
Maridawa Creek	id=g:3377082
Maribunda River	id=g:3377083
Maribaparu River	id=g:3377084
Maribambo Creek	id=g:3377085
Marias Pleasure	id=g:3377086
Marias Lodge	id=g:3377087
Marias Lodge	id=g:3377088
Marias Delight	id=g:3377089
Marias Delight	id=g:3377090
Mariaparu River	id=g:3377091
