Kleines Buchtal	id=g:2601433
Großes Buchtal	id=g:2601434
Buchkogel	id=g:2601435
Drei Eichen	id=g:2601436
Gumpoldskirchner Steig	id=g:2601437
Tennberg	id=g:2601438
Lauskogel	id=g:2601439
Waldwiesen	id=g:2601440
Zweieichen	id=g:2601441
Ausjagdboden	id=g:2601442
Schlößlwald	id=g:2601443
Schneiderkreuz	id=g:2601444
Sandriegel	id=g:2601445
Reisetberg	id=g:2601446
Badner-Bürgerspitalswald	id=g:2601447
Weißes Kreuz	id=g:2601448
Hofwiese	id=g:2601449
Kohlmaiß	id=g:2601450
Hühnerkogel	id=g:2601451
Hotel Marienhof	id=g:2601452
Kirchenwald	id=g:2601453
Kritschenkogel	id=g:2601454
Blumensiedlung	id=g:2601455
Kaiserau	id=g:2601456
Haltestelle Möllersdorf-Aspangbahn	id=g:2601457
Heberlberg	id=g:2601458
Tieftal	id=g:2601459
Kleiner Schweinkogel	id=g:2601460
Großer Schweinkogel	id=g:2601461
Lehnstuhl	id=g:2601462
Pfaffengraben	id=g:2601463
Tennspitz	id=g:2601464
Rudolf-Proksch-Hütte	id=g:2601465
Klesheimwarte	id=g:2601466
Kleines Kiental	id=g:2601467
Einödhöhle	id=g:2601468
Großes Kiental	id=g:2601469
Großer Haselgraben	id=g:2601470
Kleiner Haselgraben	id=g:2601471
Große Einöd	id=g:2601472
Rauchwiese	id=g:2601473
Rotes Kreuz	id=g:2601474
Hühnerberg	id=g:2601475
Brandgraben	id=g:2601476
Rosental	id=g:2601477
Rosental	id=g:2601478
Viehtrift	id=g:2601479
Schaberriegel	id=g:2601480
Heutal	id=g:2601481
Ebenberg	id=g:2601482
Kohlgraben	id=g:2601483
Kohlriegel	id=g:2601484
Sattelbach	id=g:2601485
Weizenbauer	id=g:2601486
Steinleiten	id=g:2601487
Ungarstein	id=g:2601488
Steinbruch Ungarstein	id=g:2601489
Schwechatbach	id=g:2601490
Windhagberg	id=g:2601491
Helenenstüberl	id=g:2601492
Kleiner Gutentaler Bach	id=g:2601493
Grasel	id=g:2601494
Bischofsmütze	id=g:2601495
Steiner	id=g:2601496
Fuchsreut	id=g:2601497
Steinhof	id=g:2601498
Stadtrandsiedlung	id=g:2601499
Bahnhof Traiskirchen-Aspangbahn	id=g:2601500
Einöde	id=g:2601501
Gasthof Rudolfshof	id=g:2601502
Richtberg	id=g:2601503
Jungendbrunnen	id=g:2601504
Purbach	id=g:2601505
Sankt Helena	id=g:2601506
Wirtshaus Hauswiese	id=g:2601507
Ruine Burg Scharfeneck	id=g:2601508
Siebenbründlleiten	id=g:2601509
Schwarzberg	id=g:2601510
Helenental	id=g:2601511
Kleespitz	id=g:2601512
Kaiserspitz	id=g:2601513
Beethovenstein	id=g:2601514
Cholerakapelle	id=g:2601515
Franz-Schulz-Heim	id=g:2601516
Steiniger Weg	id=g:2601517
Langes Tal	id=g:2601518
Hollergraben	id=g:2601519
Blasenhöhe	id=g:2601520
Kaiserwald	id=g:2601521
Hirschenkreuz	id=g:2601522
Wolfsgrube	id=g:2601523
Sulzriegel	id=g:2601524
Allandriegel	id=g:2601525
Bachboden	id=g:2601526
Brandlgraben	id=g:2601527
Scheitergraben	id=g:2601528
Gutental	id=g:2601529
Kleiner Marchberg	id=g:2601530
Großer Marchberg	id=g:2601531
Pelleritzer	id=g:2601532
Kienkogel	id=g:2601533
Hacker am Rain	id=g:2601534
Steinfeld	id=g:2601535
Heideteile	id=g:2601536
Leimerwiese	id=g:2601537
Ruine Rauheneck	id=g:2601538
Königshöhle	id=g:2601539
Badner Lindkogel	id=g:2601540
Gasthof Jägerhaus	id=g:2601541
