Wiederfeld	id=g:2761389
Wiedendorf	id=g:2761390
Wiedenberg	id=g:2761391
Wiedenberg	id=g:2761392
Gemeindebezirk Wieden	id=g:2761393
Wieden	id=g:2761394
Wieden	id=g:2761395
Wieden	id=g:2761396
Wieden	id=g:2761397
Wieden	id=g:2761398
Wieden	id=g:2761399
Wieden	id=g:2761400
Wieden	id=g:2761401
Wieden	id=g:2761402
Wieden	id=g:2761403
Wieden	id=g:2761404
Wieden	id=g:2761405
Wieden	id=g:2761406
Widldorf	id=g:2761407
Widerlechnerstein	id=g:2761408
Widderstein	id=g:2761409
Widdersberg	id=g:2761410
Widdersberg	id=g:2761411
Wickendorf	id=g:2761412
Weyretzbach	id=g:2761413
Weyregger Bach	id=g:2761414
Weyregg am Attersee	id=g:2761415
Weyregg	id=g:2761416
Weyersdorf	id=g:2761417
Weyern	id=g:2761418
Weyer Markt	id=g:2761419
Weyerhof	id=g:2761420
Weyerburg	id=g:2761421
Weyerberg	id=g:2761422
Weyerbach	id=g:2761423
Schloss Weyer	id=g:2761424
Schloss Weyer	id=g:2761425
Wetzles Berg	id=g:2761426
Wetzles	id=g:2761427
Wetzles	id=g:2761428
Wetzleinsdorf	id=g:2761429
Wetzlas	id=g:2761430
Wetzerleiten	id=g:2761431
Wetzelstein	id=g:2761432
Wetzelsdorf in der Weststeiermark	id=g:2761433
Wetzelsdorfberg	id=g:2761434
Wetzelsdorf bei Kirchbach	id=g:2761435
Wetzelsdorf	id=g:2761436
Wetzelsdorf	id=g:2761437
Wetzelsdorf	id=g:2761438
Wetzelsdorf	id=g:2761439
Wetzelberg	id=g:2761440
Wetzawinkel	id=g:2761441
Wettmannstätten	id=g:2761442
Wetterspitzen	id=g:2761443
Wetterspitze	id=g:2761444
Wetterkreuze	id=g:2761445
Wetterkreuz	id=g:2761446
Wetterkreuz	id=g:2761447
Wetterkoglerhaus	id=g:2761448
Wetter Kogel	id=g:2761449
Wetterin	id=g:2761450
Wetschkenkopf	id=g:2761451
Wetschenbach	id=g:2761452
Westliche Seespitz	id=g:2761453
Westliche Ödkar Spitze	id=g:2761454
Westliche Eisentalerspitze	id=g:2761455
Westfalenhaus	id=g:2761456
Westendorf	id=g:2761457
Wesenufer	id=g:2761458
Wesenaurach	id=g:2761459
Wertschach	id=g:2761460
Wertham	id=g:2761461
Wertenau	id=g:2761462
Werschling	id=g:2761464
Werschenschlag	id=g:2761465
Wernthal	id=g:2761466
Wernstein am Inn	id=g:2761467
Werning	id=g:2761468
Wernig	id=g:2761469
Wernhies	id=g:2761470
Wernhartalm	id=g:2761471
Wernersdorf	id=g:2761472
Wernersdorf	id=g:2761473
Werndorf	id=g:2761474
Wernberg	id=g:2761475
Werfenweng	id=g:2761476
Werfener Hütte	id=g:2761477
Werfenau	id=g:2761478
