Plössen	id=g:2768636
Plosdorf	id=g:2768637
Plon	id=g:2768638
Plon	id=g:2768639
Plomberg	id=g:2768640
Plölitzen	id=g:2768641
Plöcking	id=g:2768642
Plöckenhaus	id=g:2768643
Plöcken	id=g:2768644
Pliessalm	id=g:2768645
Plienten	id=g:2768646
Plienten Alpe	id=g:2768647
Pletzergraben	id=g:2768648
Pletzen	id=g:2768649
Pletzachalm	id=g:2768650
Plättentaljoch	id=g:2768651
Plestätten	id=g:2768652
Plessnitz	id=g:2768653
Plessigkopf	id=g:2768654
Plessberg	id=g:2768655
Plessberg	id=g:2768656
Plessberg	id=g:2768657
Pless Berg	id=g:2768658
Pleschwirt	id=g:2768659
Pleschnitzzinken Hütte	id=g:2768660
Pleschnitzzinken	id=g:2768661
Pleschmitzalm	id=g:2768662
Pleschitzkogel	id=g:2768663
Plesching	id=g:2768664
Plescherken	id=g:2768665
Pleschberg	id=g:2768666
Pleschberg	id=g:2768667
Plesch Bach	id=g:2768668
Pleschaitz	id=g:2768669
Plesch	id=g:2768670
Plesch	id=g:2768671
Plenzengreith	id=g:2768672
Plenitzscharte	id=g:2768673
Plenge	id=g:2768674
Pleissnitzkogel	id=g:2768675
Pleisslingbach	id=g:2768676
Pleissing	id=g:2768677
Pleisenspitze	id=g:2768678
Plauener Hütte	id=g:2768679
Platzl	id=g:2768680
Platz Bach	id=g:2768681
Platzalpe	id=g:2768682
Platz	id=g:2768683
Platz	id=g:2768684
Plattspitzen	id=g:2768685
Plattnock	id=g:2768686
Plattner	id=g:2768687
Platt Kogel	id=g:2768688
Plattental Alpe	id=g:2768689
Platten Kopf	id=g:2768691
Plattenkogl	id=g:2768692
Platten Berg	id=g:2768693
Plattenberg	id=g:2768694
Platten	id=g:2768695
Platten	id=g:2768696
Platten	id=g:2768697
Plattelkopf	id=g:2768698
Platte	id=g:2768699
Plattachkopf	id=g:2768700
Platt	id=g:2768701
Plassen	id=g:2768702
Plaschischen	id=g:2768703
Plappergassen	id=g:2768704
Planspitze	id=g:2768705
Plansee	id=g:2768706
Plansee	id=g:2768707
Planner-Jagdhütte	id=g:2768708
Plankovitzspitze	id=g:2768709
Plan Kogel	id=g:2768710
Plankogel	id=g:2768711
Schloss Plankenwarth	id=g:2768712
Plankensteinhütte	id=g:2768713
Plankenstein Alpe	id=g:2768714
Plankenstein	id=g:2768715
Plankenberg	id=g:2768716
Plankenau	id=g:2768717
Plankenalm	id=g:2768718
Plankau	id=g:2768719
Plank am Kamp	id=g:2768720
Plagna	id=g:2768721
Plangeross	id=g:2768722
Planai	id=g:2768723
Planalm	id=g:2768724
Plambacheck	id=g:2768725
Plambach	id=g:2768726
Plaissa Bach	id=g:2768727
Plainfeld	id=g:2768728
Plain	id=g:2768729
Plaika	id=g:2768730
Plaik	id=g:2768731
