Hichozal	id=g:3609025
Río Hicaque	id=g:3609026
Hicaque	id=g:3609027
Quebrada de Hicaca	id=g:3609028
Monte Herreras	id=g:3609029
Estero Hermoso	id=g:3609030
Hermita	id=g:3609031
Cerro Hendricks	id=g:3609032
Hato Viejo	id=g:3609033
Hato Viejo	id=g:3609034
Hato Viejo	id=g:3609035
Hato Viejo	id=g:3609036
Hato Viejo	id=g:3609037
Hato Viejo	id=g:3609038
Hato San Antonio	id=g:3609039
Hato Quemado	id=g:3609040
Hato Nuevo	id=g:3609041
Hato Nuevo	id=g:3609042
Hato Nuevo	id=g:3609043
Hato Nuevo	id=g:3609044
Hato Grande	id=g:3609045
Hasical	id=g:3609046
Harbor Bay	id=g:3609047
Isla de Hara	id=g:3609048
Quebrada Hamaca	id=g:3609049
Half Moon Bay	id=g:3609050
Half Moon Bay	id=g:3609051
Hacienda Vieja	id=g:3609052
Hacienda Vieja	id=g:3609053
Hacienda Vieja	id=g:3609054
Hacienda Vieja	id=g:3609055
Hacienda Vieja	id=g:3609056
Hacienda Vieja	id=g:3609057
Hacienda Vieja	id=g:3609058
Hacienda Vieja	id=g:3609059
Hacienda Vallecillo	id=g:3609060
Hacienda Santa Lucía	id=g:3609061
Hacienda Santa Lucía	id=g:3609062
Hacienda Santa Elena	id=g:3609063
Hacienda Santa Cruz	id=g:3609064
Hacienda Santa Cruz	id=g:3609065
Hacienda San José	id=g:3609066
Hacienda San Isidro	id=g:3609067
Hacienda San Isidro	id=g:3609068
San Francisco	id=g:3609069
Hacienda San Bernardo	id=g:3609070
Hacienda Monte Líbano	id=g:3609071
Hacienda Las Anonas	id=g:3609072
Hacienda La Oriental	id=g:3609073
Hacienda La Lima	id=g:3609074
La Grecia	id=g:3609075
Hacienda La Florida	id=g:3609076
Hacienda La Florida	id=g:3609077
Hacienda La Bolivia	id=g:3609078
Hacienda Gualjuy	id=g:3609079
Hacienda Grande	id=g:3609080
Hacienda El Guayabito	id=g:3609081
Hacienda El Carmen	id=g:3609082
Hacienda El Canuero	id=g:3609083
Hacienda Cosire	id=g:3609084
Hacienda Arazurú	id=g:3609085
