Kinjačka	id=g:3198146
Kindrovo	id=g:3198147
Kimet	id=g:3198148
Kik	id=g:3198150
Kijevo	id=g:3198157
Rt Kijat	id=g:3198161
Rt Kijac	id=g:3198162
Luka Kijac	id=g:3198163
Kestenovac	id=g:3198167
Kestenovac	id=g:3198168
Kešinci	id=g:3198169
Kerestinec	id=g:3198172
Kerbulin	id=g:3198173
Keleminovec	id=g:3198175
Kelemen	id=g:3198176
Kegljevac	id=g:3198179
Kebel	id=g:3198181
Kazalac	id=g:3198186
Kavran	id=g:3198188
Rt Kavalo	id=g:3198189
Vela Traba	id=g:3198192
Katun Lindarski	id=g:3198195
Katuni	id=g:3198196
Katun	id=g:3198197
Katoličko Selišće	id=g:3198200
Katinovac	id=g:3198201
Katinci	id=g:3198202
Otočić Katina	id=g:3198203
Katalena Potok	id=g:3198205
Kastijon	id=g:3198207
Železnička Stanica Kaštel Sućurac	id=g:3198209
Kaštel Sućurac	id=g:3198210
Železnička Stanica Kaštel Stari	id=g:3198211
Kaštel Stari	id=g:3198212
Kaštel Štafilić	id=g:3198213
Kaštel Novi	id=g:3198214
Kaštel Lukšić	id=g:3198215
Kaštel Kambelovac	id=g:3198216
Kaštelir	id=g:3198217
Kaštel Gomilica	id=g:3198218
Kaštel Dežanovački	id=g:3198220
Kaštelanski Zaljev	id=g:3198221
Kaštelanska Rivijera	id=g:3198222
Kaštelanec	id=g:3198223
Kaštel	id=g:3198224
Rt Kašteja	id=g:3198226
Kastav	id=g:3198227
Kašt	id=g:3198228
Kasonja	id=g:3198229
Kašnica	id=g:3198231
Kašljavac	id=g:3198232
Kašina	id=g:3198235
Kašina	id=g:3198236
Kašić	id=g:3198240
Donji Kašić	id=g:3198241
Otočić Kasela	id=g:3198242
Kašćerga	id=g:3198243
Karšete	id=g:3198248
Karojba	id=g:3198253
Karniški Vrhovi	id=g:3198254
Karlovec Ludbreški	id=g:3198255
Karlovac Općina	id=g:3198257
Karlovac	id=g:3198258
Karlovac	id=g:3198259
Karlobag	id=g:3198261
Karinsko Ždrilo	id=g:3198262
Karinsko More	id=g:3198263
Rt Karf	id=g:3198265
Hrid Karbarus	id=g:3198266
Fekete Víz	id=g:3198275
Karašica	id=g:3198276
Karaš	id=g:3198277
Karaš	id=g:3198278
Otočić Karantunić	id=g:3198279
Rt Karantun	id=g:3198280
Karanj	id=g:3198283
Karane	id=g:3198285
Karanac	id=g:3198286
Karakašica	id=g:3198288
Karadžićevo	id=g:3198291
Kaptol	id=g:3198298
Rt Kaprije	id=g:3198300
Otok Kaprije	id=g:3198301
Luka Kaprije	id=g:3198302
Kaprije	id=g:3198303
Kapovac	id=g:3198304
Kapnica	id=g:3198305
Kapinci	id=g:3198307
Kapetanovo Polje	id=g:3198310
Kapelna Šuma	id=g:3198312
Kapelna	id=g:3198313
Kapelica	id=g:3198314
Kapelec	id=g:3198315
Kapela Ravenska	id=g:3198317
Kapela Podravska	id=g:3198318
Kapela Korenička	id=g:3198319
Kapela Kalnička	id=g:3198320
Kapela	id=g:3198321
Kapela	id=g:3198322
Kapan	id=g:3198327
Kopanj	id=g:3198328
Kaočine	id=g:3198333
Rt Kantafig	id=g:3198335
Uvala Kanova	id=g:3198336
Kanjane	id=g:3198341
Kaniža	id=g:3198344
Kaniška Iva	id=g:3198345
Uvala Kanica	id=g:3198347
Kanfanar	id=g:3198348
Kanculova Glavica	id=g:3198351
Kamporska Draga	id=g:3198355
Kampor	id=g:3198356
Hrid Kamik	id=g:3198370
Otočić Kamešnjak Veli	id=g:3198373
Otočić Kamešnjak Mali	id=g:3198374
Kamešnica Potok	id=g:3198375
Kamešnica	id=g:3198376
Kamešnica	id=g:3198377
Kamensko	id=g:3198379
Kamensko	id=g:3198380
Kamensko	id=g:3198382
Rt Kamenjak	id=g:3198386
Otočić Kamenjak	id=g:3198387
Otočić Kamenjak	id=g:3198388
Kamenjak	id=g:3198389
Otočić Kameni Žakan	id=g:3198391
Kamenita	id=g:3198392
Kamenik	id=g:3198394
Kamenica Skradnička	id=g:3198399
Kamenac	id=g:3198421
Kamena	id=g:3198422
Kamara	id=g:3198427
Kamanje	id=g:3198428
Kaluđerovac	id=g:3198433
Kalska Glavica	id=g:3198437
Kalnik	id=g:3198440
Kalnik	id=g:3198441
Kalnik	id=g:3198442
Kalje	id=g:3198445
Kalinovica	id=g:3198449
Kalinovac	id=g:3198450
Kalinić	id=g:3198452
Rt Kalifront	id=g:3198455
Luka Kali	id=g:3198456
Kali	id=g:3198457
Kelešinka	id=g:3198458
Luka Kaldonta	id=g:3198465
Kaldanija	id=g:3198466
Kalca	id=g:3198469
Rt Kalafat	id=g:3198473
Kalac	id=g:3198476
Mali Vrh	id=g:3198484
Kakma	id=g:3198487
Kakinac	id=g:3198488
Otok Kakan	id=g:3198491
Kadina Glavica	id=g:3198499
Uvala Kadena	id=g:3198501
Kadanovci	id=g:3198504
Rt Kačjak	id=g:3198508
Uvala Kablin	id=g:3198516
Rt Kablin	id=g:3198517
Kablar	id=g:3198519
Kabalna	id=g:3198521
Rt Kabal	id=g:3198523
Kabal	id=g:3198524
Kabal	id=g:3198525
Južni Rt	id=g:3198526
Jušići	id=g:3198528
Juršići	id=g:3198532
Jurovski Brod	id=g:3198534
Jurkovac	id=g:3198538
Jurjevo	id=g:3198539
Jurjević	id=g:3198542
Jurjeva Kosa	id=g:3198543
Jurjevac Punitovački	id=g:3198544
Jurišinka	id=g:3198545
Jurišić	id=g:3198546
Rt Jurina	id=g:3198548
Jurići	id=g:3198550
Jurićev Kal	id=g:3198551
Juricani	id=g:3198552
Željeznička Stanica Jurdani	id=g:3198553
Jurdani	id=g:3198554
Jurčevec	id=g:3198556
Jurandvor	id=g:3198557
Jural	id=g:3198558
Jurati	id=g:3198559
Jovića Kosa	id=g:3198568
Jovanovac	id=g:3198570
Josipovac Punitovački	id=g:3198573
Železnička Stanica Josipovac-Kravice	id=g:3198574
Željeznička Stanica Josipovac	id=g:3198575
Josipovac	id=g:3198576
Josipdol	id=g:3198578
Josina Rijeka	id=g:3198579
Joševica	id=g:3198581
Jošavica	id=g:3198589
Kanal Jošava	id=g:3198591
Jošan	id=g:3198595
Jorgić	id=g:3198596
Johovac	id=g:3198598
