Kuala Trienggadeng	id=g:1345994
North Daphn	id=g:1345996
Ujung Brang Bang	id=g:1345997
Menara Api Willem	id=g:1345998
Blangraya	id=g:1345999
Krueng Menrasa	id=g:1346000
Steile Huk	id=g:1346001
Kuala Nyong	id=g:1346002
Kuala Teupinraya	id=g:1346003
Krueng Le Leubeue	id=g:1346004
Kuala Gigieng	id=g:1346005
Selat Raya	id=g:1346006
Singkil Road	id=g:1346007
Ujung Nenale	id=g:1463502
Ujung Peukaran	id=g:1463503
Ujung Lho Baseuke	id=g:1463504
Ujung Ne Batee Meujung	id=g:1463505
Kota Bawah Timur	id=g:1463506
Ujung Teupin Mon	id=g:1463507
Cot Ba Getum	id=g:1463508
Ujung Seurindang	id=g:1463509
Ujung Batee Meuon	id=g:1463510
Beurawang	id=g:1463511
Ceunohot	id=g:1463512
Cot Pangkale	id=g:1463513
Cot Kenaloi	id=g:1463514
Alue Primping	id=g:1463515
Cot Mapadon	id=g:1463516
Cot Damar	id=g:1463517
Blang Garut	id=g:1463518
Paya Karing	id=g:1463519
Batee Shok	id=g:1463520
Cot Palana	id=g:1463521
Gunung Sarong Kris	id=g:1463522
Ujung Pi	id=g:1463523
Ujung Ceuhum Kameng	id=g:1463524
Alue Bangau	id=g:1463525
Alue Sanai	id=g:1463526
Cot Batee Pageu	id=g:1463527
Cot Da Intan	id=g:1463528
Ujung Teupinanoe	id=g:1463529
Alue Ceuhum	id=g:1463530
Ujung Gua	id=g:1463531
Ujung Meuntah Batee	id=g:1463532
Cot Lampase	id=g:1463533
Karang Stort	id=g:1464443
Pulau Bando	id=g:1464444
Karang Bayang	id=g:1464445
Karang Lawee	id=g:1464446
Karang South Selita	id=g:1464447
Karang Selita	id=g:1464448
Karang Sungai Limau	id=g:1464449
Karang Sungai Bamban	id=g:1464450
Karang Batik	id=g:1464451
Karang Seruncing	id=g:1464452
Karang Sagi	id=g:1464453
Karang Ingaris	id=g:1464454
Karang Bayang	id=g:1464455
