Beji	id=g:6388519
Cidondong	id=g:6388520
Bak	id=g:6388521
Gunung Bogem	id=g:6388522
Kali Pingit	id=g:6388523
Kali Glagah	id=g:6388524
Windunegara	id=g:6388525
Gunung Tugel	id=g:6388526
Kepetek	id=g:6388527
Wlahar	id=g:6388528
Janggawana	id=g:6388529
Karangkamal	id=g:6388530
Gunung Putri	id=g:6388531
Wanarata	id=g:6388532
Piasa	id=g:6388533
Tamblegan	id=g:6388534
Pekodokan	id=g:6388535
Kemlaka	id=g:6388536
Gandulekor	id=g:6388537
Igir Binangun	id=g:6388538
Pamrihan	id=g:6388539
Kali Pulung	id=g:6388540
Rangsak	id=g:6388541
Jingkang	id=g:6388542
Karangnangka	id=g:6388543
Gandaria	id=g:6388544
Salam	id=g:6388545
Kali Gandaria	id=g:6388546
Kalitapen	id=g:6388547
Igir Garung	id=g:6388548
Kali Glinggang	id=g:6388549
Kali Pelumbungan	id=g:6388550
Kali Pengasinan	id=g:6388551
Papringan	id=g:6388552
Kaliwangi	id=g:6388553
Bojongsari	id=g:6388554
Gunung Putat	id=g:6388555
Curug	id=g:6388556
Pengasinan	id=g:6388557
Canduk	id=g:6388558
Igir Pangarengan	id=g:6388559
Kali Lunjar	id=g:6388560
Kali Kuyuk	id=g:6388561
Kali Citiru	id=g:6388562
Banyumasan	id=g:6388563
Kali Genitri	id=g:6388564
Trikamba	id=g:6388565
Igir Kurungayam	id=g:6388566
Karangtengah	id=g:6388567
Kali Caban	id=g:6388568
Cirahab	id=g:6388569
Igir Karas	id=g:6388570
Kalikecil	id=g:6388571
Jurangbahas	id=g:6388572
Pengasinan	id=g:6388573
Kebonkaret	id=g:6388574
Jetis	id=g:6388575
Kalileke	id=g:6388576
Wungu	id=g:6388577
Wringin	id=g:6388578
Cikakak	id=g:6388579
Kali Kepetek	id=g:6388580
Winduraja Kulon	id=g:6388581
Baron	id=g:6388582
Winduraja Wetan	id=g:6388583
Kali Asahan	id=g:6388584
Jambukota	id=g:6388585
Kali Tando	id=g:6388586
Igir Blumbungan	id=g:6388587
Kalitando	id=g:6388588
Karangkemiri	id=g:6388589
Banteran	id=g:6388590
