Desa Ngrombo	id=g:6411428
Desa Jekawal	id=g:6411429
Desa Galeh	id=g:6411430
Desa Jenar	id=g:6411431
Desa Slendro	id=g:6411432
Desa Poleng	id=g:6411433
Kali Denok	id=g:6411434
Desa Srawung	id=g:6411435
Desa Katelan	id=g:6411436
Desa Dukuh	id=g:6411437
Desa Ngepringan	id=g:6411438
Desa Jaipoh	id=g:6411439
Desa Mlale	id=g:6411440
Desa Dawung	id=g:6411441
Kali Duren	id=g:6411442
Desa Sambungmacan	id=g:6411443
Desa Bedoro	id=g:6411444
Desa Cemeng	id=g:6411445
Desa Plumbon	id=g:6411446
Desa Klandungan	id=g:6411447
Desa Gabus	id=g:6411448
Desa Karangudi	id=g:6411449
Desa Kedungupit	id=g:6411450
Ngancar	id=g:6411451
Getasgeneng	id=g:6411452
Ngancar	id=g:6411453
Ngesong	id=g:6411454
Pule	id=g:6411455
Towo	id=g:6411456
Ngunut	id=g:6411457
Denanyar	id=g:6411458
Stren	id=g:6411459
Paker	id=g:6411460
Pondok	id=g:6411461
Teplokan	id=g:6411462
Karang	id=g:6411463
Banyuurip	id=g:6411464
Keongan	id=g:6411465
Ngablak	id=g:6411466
Tlobong	id=g:6411467
Batok	id=g:6411468
Jomlang	id=g:6411469
Keras	id=g:6411470
Sidorejo	id=g:6411471
Mencon	id=g:6411472
Saren	id=g:6411473
Grasak	id=g:6411474
Waru	id=g:6411475
Kayen	id=g:6411476
Galeh	id=g:6411477
Gondang	id=g:6411478
Trumun	id=g:6411479
Barong	id=g:6411480
Plosorejo	id=g:6411481
Kali Dungbolong	id=g:6411482
Bungkus	id=g:6411483
Genengsari	id=g:6411484
Sidomulyo	id=g:6411485
Sempu	id=g:6411486
Ngingkung	id=g:6411487
Jarak	id=g:6411488
Betek	id=g:6411489
Kali Plosombo	id=g:6411490
Kali Denok	id=g:6411491
Ngemplak	id=g:6411492
Sanggrahan	id=g:6411493
Sinom	id=g:6411494
Kedawung	id=g:6411495
Bandil	id=g:6411496
Oro-oroombo	id=g:6411497
Gondang	id=g:6411498
Cekdam Kedawung	id=g:6411499
Asemrejo	id=g:6411500
Sigit	id=g:6411501
Ngampel	id=g:6411502
Mojo	id=g:6411503
Bulu	id=g:6411504
Singet	id=g:6411505
Nglorok	id=g:6411506
Sanggrahan	id=g:6411507
Sunggang	id=g:6411508
Glinggang	id=g:6411509
Kecamatan Tangen	id=g:6411510
Ngrombo	id=g:6411511
Gunung Ngrancang	id=g:6411512
Ngasem	id=g:6411513
