Ci Kapundung Kolot	id=g:6593550
Kecamatan Arcamanik	id=g:6593551
Ci Jalupang	id=g:6593552
Ci Ngesed	id=g:6593553
Kecamatan Cicadas	id=g:6593554
Patamon	id=g:6593555
Ci Lameta	id=g:6593556
Kecamatan Batununggal	id=g:6593557
Pasirjati Lama	id=g:6593558
Kecamatan Cileunyi	id=g:6593559
Kecamatan Bojongsoang	id=g:6593560
Sekolah Staff Dan Komando Angkatan Darat	id=g:6593561
Komplek Sekolah Staff dan Komando Angkatan Darat	id=g:6593562
Cidurian	id=g:6593563
Cipagalo	id=g:6593564
Sukamaju	id=g:6593565
Ci Parungpung	id=g:6593566
Krida Nusantara	id=g:6593567
Komplek Panitia Pemilihan Indonesia	id=g:6593568
Seke	id=g:6593569
Sapan	id=g:6593570
Lio	id=g:6593571
Bongkor	id=g:6593572
Sukaresmi	id=g:6593573
Legok	id=g:6593574
Sukarame	id=g:6593575
Kordon	id=g:6593576
Kecamatan Bandung Kidul	id=g:6593577
Cikalimiring	id=g:6593578
Gamblung	id=g:6593579
Sukanegla	id=g:6593580
Kecamatan Margacinta	id=g:6593581
Cipedes	id=g:6593582
Sadang	id=g:6593583
Sukasari	id=g:6593584
Babakan	id=g:6593585
Babakan	id=g:6593586
Rancaeunteung	id=g:6593587
Pasirwangi	id=g:6593588
Ciwaru	id=g:6593589
Babakan	id=g:6593590
Cikuda	id=g:6593591
Sukaluyu	id=g:6593592
Sukamaju	id=g:6593593
Sukamulya	id=g:6593594
Kaum	id=g:6593595
Sukamulya	id=g:6593596
Babakan	id=g:6593597
Sukarajin	id=g:6593598
Neglasari	id=g:6593599
Waas	id=g:6593600
Cileutik	id=g:6593601
Sukasari	id=g:6593602
Ciseupan	id=g:6593603
Neglasari	id=g:6593604
Sukaasih	id=g:6593605
Neglasari	id=g:6593606
Bukitligar	id=g:6593607
Cibuntu	id=g:6593608
Cikondang	id=g:6593609
Kecamatan Rancasari	id=g:6593610
Cikutra	id=g:6593611
Cipicung Kaler	id=g:6593612
Cipaheut	id=g:6593613
Suryalaya	id=g:6593614
Mulyasari	id=g:6593615
Gedebage Kulon	id=g:6593616
Cigagak	id=g:6593617
Kecamatan Cibiru	id=g:6593618
Sapan	id=g:6593619
Bojongkoang	id=g:6593620
Margaluyu	id=g:6593621
Sukarasa	id=g:6593622
Desa Kalijaya	id=g:6593623
Desa Karangasih	id=g:6593624
Desa Karangraharja	id=g:6593625
Desa Karangbaru	id=g:6593626
Desa Cikarangkota	id=g:6593627
Desa Pasirgombong	id=g:6593628
Desa Tanjungsari	id=g:6593629
Desa Harjamekar	id=g:6593630
Desa Waluya	id=g:6593631
Desa Simpangan	id=g:6593632
Desa Karangsari	id=g:6593633
Desa Karangsambung	id=g:6593634
Desa Waringinjaya	id=g:6593635
Desa Tanjungbaru	id=g:6593636
Desa Labansari	id=g:6593637
Desa Jatibaru	id=g:6593638
Desa Mekarmulya	id=g:6593639
Desa Cipayung	id=g:6593640
Desa Hegarmanah	id=g:6593641
Desa Karangmulya	id=g:6593642
Desa Mulyajaya	id=g:6593643
Desa Pasirtanjung	id=g:6593644
Desa Hegarmukti	id=g:6593645
Desa Wanasari	id=g:6593646
Desa Cicau	id=g:6593647
Desa Serang	id=g:6593648
Desa Cibatu	id=g:6593649
Desa Jayamukti	id=g:6593650
Desa Sukaresmi	id=g:6593651
Desa Wangunharja	id=g:6593652
Desa Pasirsari	id=g:6593653
Desa Mekarmukti	id=g:6593654
Desa Setrajaya	id=g:6593655
Desa Jatireja	id=g:6593656
Boled Dua	id=g:6593657
Pilar	id=g:6593658
Kecamatan Kedungwaringin	id=g:6593659
Kecamatan Lemahabang	id=g:6593660
Cijingga	id=g:6593661
Kalijeruk Utara	id=g:6593662
Cikarangponcol	id=g:6593663
Cabanglio	id=g:6593664
Kampungbulak	id=g:6593665
Kampungbaru	id=g:6593666
Kaum Utara	id=g:6593667
Pilar Barat	id=g:6593668
Ci Pahlahlar	id=g:6593669
Kebonkopi	id=g:6593670
Sindangjaya	id=g:6593671
Pilar Timur	id=g:6593672
